n,annee
301,1798
3791,1799
36,1800
40,1801
8021,1802
1755,1803
70,1804
18993,1805
18657,1806
611,1807
32,1808
1450,1809
31486,1810
61,1811
43,1812
398,1813
1209,1814
331,1815
1407,1816
1226,1817
10118,1818
30723,1819
1945,1820
769,1821
599,1822
13737,1823
67929,1824
115893,1825
257237,1826
284096,1827
272891,1828
78245,1829
201644,1830
587830,1831
235557,1832
140354,1833
153511,1834
229126,1835
317814,1836
508887,1837
383603,1838
284972,1839
378378,1840
1566515,1841
606243,1842
1388072,1843
2275130,1844
5355534,1845
3264072,1846
882866,1847
1287126,1848
1156975,1849
2369544,1850
4897085,1851
2492635,1852
1803552,1853
5953881,1854
4740978,1855
7999449,1856
6387236,1857
8437244,1858
7420350,1859
6956009,1860
9152044,1861
7895627,1862
6111038,1863
3706864,1864
4264234,1865
6236717,1866
7756934,1867
7173241,1868
8520145,1869
8350742,1870
6583809,1871
8755141,1872
10858905,1873
10335223,1874
12341725,1875
14627537,1876
11176610,1877
14035338,1878
14550677,1879
11676090,1880
11809812,1881
13804893,1882
17971004,1883
13222741,1884
13758758,1885
17370821,1886
19828289,1887
24419949,1888
24722486,1889
23758257,1890
28524314,1891
22997993,1892
29206113,1893
37554499,1894
43526184,1895
60668552,1896
61364917,1897
69781043,1898
59289358,1899
53257308,1900
78634793,1901
73102100,1902
67493532,1903
65372037,1904
83981363,1905
87734902,1906
92078535,1907
96759620,1908
100650387,1909
83374454,1910
75075265,1911
87525486,1912
83243451,1913
93454858,1914
93035017,1915
89921783,1916
89549389,1917
99390108,1918
97807207,1919
98691972,1920
115384557,1921
116557628,1922
36716451,1923
35534855,1924
23885487,1925
22106308,1926
18201141,1927
17147132,1928
14278717,1929
17193934,1930
17450684,1931
25350926,1932
24848769,1933
24662811,1934
23415276,1935
22892327,1936
22737353,1937
22447693,1938
18895378,1939
16229834,1940
21967251,1941
18345885,1942
15357168,1943
15058840,1944
20224165,1945
17379528,1946
13685475,1947
12960634,1948
11682612,1949
11747774,1950
12216025,1951
10956293,1952
9947299,1953
6807113,1954
6564637,1955
2088534,1956
1883147,1957
2010795,1958
2669779,1959
8102254,1960
8124301,1961
6218737,1962
5357113,1963
