"date","base"
"1950",7964
"1951",7032
"1952",6889
"1953",6976
"1954",7261
"1955",7775
"1956",6992
"1957",7445
"1958",8489
"1959",8035
"1960",8500
"1961",8694
"1962",9422
"1963",8782
"1964",9241
"1965",9831
"1966",9769
"1967",11361
"1968",11716
"1969",11676
"1970",12262
"1971",12409
"1972",12813
"1973",14506
"1974",13933
"1975",14653
"1976",14869
"1977",15869
"1978",17172
"1979",17226
"1980",24746
"1981",21369
"1982",21928
"1983",25793
"1984",28087
"1985",26607
"1986",25046
"1987",26525
"1988",28507
"1989",28997
"1990",30749
"1991",33901
"1992",35358
"1993",38077
"1994",39424
"1995",40626
"1996",43680
"1997",45866
"1998",45104
"1999",47319
"2000",52163
"2001",65483
"2002",63326
"2003",71956
"2004",78827
"2005",92945
"2006",103019
"2007",122441
"2008",136931
"2009",155058
"2010",174056
"2011",213294
"2012",224635
"2013",246048
"2014",243674
"2015",257816
"2016",262717
"2017",265474
"2018",269041
"2019",280512
"2020",256793
"2021",238935
"2022",17881
