date,base
1473,1
1475,1
1477,1
1484,1
1485,2
1486,1
1489,1
1492,1
1493,2
1495,1
1496,2
1497,1
1500,3
1501,8
1502,7
1503,6
1504,9
1505,6
1506,8
1507,21
1508,29
1509,16
1510,24
1511,16
1512,31
1513,18
1514,30
1515,22
1516,24
1517,23
1518,47
1519,72
1520,183
1521,168
1522,215
1523,296
1524,310
1525,179
1526,128
1527,106
1528,99
1529,96
1530,199
1531,133
1532,119
1533,129
1534,113
1535,144
1536,146
1537,132
1538,125
1539,122
1540,128
1541,123
1542,161
1543,146
1544,93
1545,191
1546,222
1547,113
1548,174
1549,131
1550,198
1551,159
1552,169
1553,173
1554,124
1555,149
1556,175
1557,156
1558,128
1559,145
1560,124
1561,133
1562,157
1563,175
1564,142
1565,184
1566,152
1567,148
1568,113
1569,97
1570,143
1571,200
1572,134
1573,104
1574,134
1575,102
1576,124
1577,111
1578,146
1579,107
1580,158
1581,164
1582,232
1583,158
1584,156
1585,175
1586,177
1587,142
1588,150
1589,159
1590,183
1591,138
1592,156
1593,165
1594,123
1595,167
1596,168
1597,175
1598,157
1599,165
1600,134
1601,158
1602,180
1603,170
1604,159
1605,113
1606,131
1607,170
1608,146
1609,177
1610,196
1611,173
1612,200
1613,158
1614,198
1615,174
1616,204
1617,189
1618,229
1619,338
1620,431
1621,321
1622,148
1623,124
1624,130
1625,141
1626,136
1627,148
1628,135
1629,151
1630,166
1631,193
1632,137
1633,118
1634,79
1635,61
1636,100
1637,72
1638,79
1639,80
1640,130
1641,108
1642,98
1643,115
1644,138
1645,120
1646,110
1647,95
1648,129
1649,156
1650,236
1651,119
1652,234
1653,188
1654,166
1655,154
1656,255
1657,224
1658,222
1659,233
1660,227
1661,225
1662,191
1663,279
1664,259
1665,258
1666,220
1667,224
1668,249
1669,250
1670,280
1671,254
1672,292
1673,352
1674,373
1675,371
1676,323
1677,289
1678,335
1679,316
1680,368
1681,308
1682,321
1683,348
1684,353
1685,342
1686,349
1687,349
1688,386
1689,474
1690,484
1691,295
1692,407
1693,351
1694,344
1695,379
1696,333
1697,478
1698,467
1699,449
1700,645
1701,489
1702,561
1703,374
1704,406
1705,524
1706,434
1707,495
1708,647
1709,575
1710,802
1711,608
1712,611
1713,623
1714,657
1715,703
1716,701
1717,753
1718,635
1719,748
1720,812
1721,710
1722,708
1723,773
1724,766
1725,787
1726,762
1727,734
1728,657
1729,711
1730,970
1731,789
1732,929
1733,924
1734,845
1735,961
1736,939
1737,942
1738,951
1739,976
1740,1213
1741,1122
1742,892
1743,894
1744,1089
1745,1177
1746,1178
1747,1068
1748,1029
1749,1108
1750,1510
1751,1301
1752,1241
1753,1300
1754,1197
1755,1243
1756,1470
1757,1560
1758,1230
1759,1169
1760,1431
1761,1270
1762,1242
1763,1303
1764,1530
1765,1633
1766,1493
1767,1803
1768,1694
1769,1796
1770,1844
1771,1819
1772,1912
1773,1902
1774,1969
1775,2322
1776,2285
1777,2403
1778,2853
1779,2353
1780,2813
1781,2965
1782,3473
1783,3131
1784,3295
1785,3700
1786,3726
1787,3608
1788,3327
1789,3129
1790,3813
1791,3913
1792,3777
1793,3593
1794,3697
1795,3470
1796,3620
1797,3498
1798,3616
1799,3361
1800,4039
1801,3453
1802,3968
1803,3764
1804,3972
1805,3967
1806,3469
1807,3148
1808,3384
1809,2868
1810,3559
1811,3262
1812,3050
1813,3097
1814,3441
1815,3425
1816,3864
1817,4445
1818,4232
1819,4729
1820,4879
1821,4755
1822,5077
1823,4923
1824,5661
1825,6136
1826,6289
1827,6409
1828,7049
1829,6386
1830,7027
1831,6597
1832,6484
1833,6773
1834,7106
1835,7517
1836,7805
1837,8025
1838,8450
1839,8617
1840,9706
1841,8784
1842,8873
