date,base
1470,1
1472,2
1475,1
1476,2
1477,2
1478,1
1480,2
1481,2
1483,1
1484,1
1485,2
1486,1
1487,1
1489,2
1490,2
1491,1
1494,2
1496,1
1497,1
1499,1
1500,14
1501,20
1505,3
1506,1
1507,3
1508,4
1509,6
1510,1
1512,1
1517,2
1518,1
1520,4
1522,1
1523,2
1524,2
1525,3
1526,4
1527,3
1528,3
1529,2
1530,5
1531,2
1533,5
1534,4
1535,8
1536,4
1537,1
1538,4
1539,3
1540,3
1541,2
1542,2
1543,2
1544,2
1545,5
1546,2
1547,13
1548,4
1549,6
1550,9
1551,5
1552,3
1553,3
1554,5
1555,6
1556,1
1557,6
1558,3
1559,7
1560,7
1561,6
1562,5
1563,9
1564,1
1565,8
1566,13
1567,7
1568,3
1569,6
1570,11
1571,5
1572,5
1573,3
1574,9
1575,9
1576,11
1577,19
1578,12
1579,19
1580,11
1581,23
1582,11
1583,9
1584,13
1585,8
1586,11
1587,16
1588,26
1589,19
1590,12
1591,25
1592,35
1593,28
1594,39
1595,36
1596,31
1597,40
1598,48
1599,31
1600,83
1601,58
1602,56
1603,49
1604,59
1605,65
1606,69
1607,73
1608,82
1609,112
1610,66
1611,72
1612,78
1613,89
1614,78
1615,70
1616,90
1617,81
1618,80
1619,75
1620,115
1621,92
1622,113
1623,99
1624,103
1625,95
1626,73
1627,71
1628,69
1629,81
1630,117
1631,116
1632,109
1633,109
1634,102
1635,131
1636,109
1637,107
1638,110
1639,125
1640,160
1641,243
1642,215
1643,105
1644,98
1645,87
1646,90
1647,149
1648,146
1649,121
1650,183
1651,148
1652,134
1653,148
1654,153
1655,146
1656,146
1657,198
1658,201
1659,255
1660,275
1661,230
1662,240
1663,200
1664,154
1665,205
1666,112
1667,160
1668,177
1669,191
1670,261
1671,234
1672,281
1673,268
1674,256
1675,283
1676,275
1677,259
1678,285
1679,373
1680,391
1681,389
1682,375
1683,335
1684,317
1685,375
1686,248
1687,276
1688,323
1689,357
1690,299
1691,306
1692,299
1693,316
1694,317
1695,366
1696,358
1697,365
1698,389
1699,389
1700,549
1701,463
1702,527
1703,409
1704,439
1705,439
1706,436
1707,449
1708,524
1709,490
1710,624
1711,542
1712,518
1713,528
1714,649
1715,634
1716,524
1717,562
1718,531
1719,688
1720,726
1721,553
1722,622
1723,516
1724,497
1725,632
1726,669
1727,682
