date,base
1490,1
1491,1
1492,1
1494,2
1495,2
1497,1
1498,3
1500,2
1502,2
1503,1
1504,1
1506,1
1507,1
1509,5
1510,1
1511,1
1512,2
1513,1
1514,1
1515,3
1516,2
1517,2
1519,6
1520,6
1521,4
1524,1
1525,1
1526,7
1527,4
1528,9
1529,5
1530,6
1531,4
1532,1
1533,8
1534,10
1535,4
1536,3
1537,7
1538,2
1539,6
1540,7
1541,7
1542,13
1543,14
1544,13
1545,17
1546,18
1547,12
1548,15
1549,32
1550,36
1551,49
1552,53
1553,39
1554,64
1555,57
1556,45
1557,32
1558,29
1559,13
1560,14
1561,25
1562,28
1563,15
1564,32
1565,41
1566,42
1567,28
1568,53
1569,47
1570,56
1571,35
1572,54
1573,53
1574,52
1575,45
1576,35
1577,37
1578,49
1579,52
1580,57
1581,35
1582,41
1583,52
1584,76
1585,77
1586,74
1587,77
1588,90
1589,82
1590,74
1591,83
1592,69
1593,47
1594,97
1595,106
1596,85
1597,106
1598,87
1599,99
1600,137
1601,101
1602,109
1603,169
1604,162
1605,149
1606,121
1607,90
1608,150
1609,137
1610,215
1611,153
1612,182
1613,158
1614,177
1615,201
1616,179
1617,204
1618,205
1619,147
1620,146
1621,165
1622,193
1623,136
1624,202
1625,169
1626,173
1627,180
1628,138
1629,160
1630,152
1631,99
1632,117
1633,104
1634,152
1635,152
1636,120
1637,123
1638,104
1639,128
1640,168
1641,151
1642,132
1643,130
1644,142
1645,120
1646,110
1647,99
1648,109
1649,110
1650,176
1651,122
1652,145
1653,111
1654,130
1655,125
1656,89
1657,121
1658,80
1659,113
1660,111
1661,125
1662,114
1663,135
1664,108
1665,142
1666,110
1667,115
1668,116
1669,124
1670,179
1671,129
1672,99
1673,88
1674,132
1675,179
1676,126
1677,118
1678,170
1679,104
1680,156
1681,157
1682,120
1683,123
1684,130
1685,98
1686,71
1687,107
1688,117
1689,85
1690,113
1691,99
1692,110
1693,138
1694,90
1695,113
1696,154
1697,106
1698,114
1699,110
1700,199
1701,114
1702,126
1703,55
1704,99
1705,102
1706,72
1707,54
1708,74
1709,73
1710,75
1711,182
1712,74
1713,110
1714,88
1715,100
1716,121
1717,129
1718,89
1719,135
1720,119
1721,108
1722,126
1723,191
1724,155
1725,200
1726,176
1727,214
1728,155
1729,175
1730,187
1731,134
1732,196
1733,206
1734,215
1735,177
1736,313
1737,254
1738,202
1739,195
1740,223
1741,142
1742,140
1743,127
1744,176
1745,200
1746,201
1747,183
1748,251
1749,168
1750,312
1751,279
1752,264
1753,325
1754,307
1755,286
1756,240
1757,345
1758,252
1759,267
1760,376
1761,261
1762,377
1763,249
1764,314
1765,384
1766,270
1767,263
1768,464
1769,378
1770,394
1771,354
1772,305
1773,355
1774,354
1775,484
1776,453
1777,465
1778,445
1779,521
1780,548
1781,535
1782,411
1783,457
1784,558
1785,654
1786,717
1787,949
1788,878
1789,957
1790,963
1791,879
1792,838
1793,812
1794,724
1795,732
1796,919
1797,769
1798,725
1799,610
1800,886
1801,465
1802,627
1803,705
1804,836
1805,756
1806,579
1807,670
1808,563
1809,244
1810,283
1811,402
1812,409
1813,647
1814,653
1815,469
1816,559
1817,608
1818,582
1819,654
1820,1110
1821,1003
1822,801
1823,536
1824,565
1825,691
1826,910
1827,904
1828,897
1829,1251
1830,1005
1831,852
1832,1026
1833,856
1834,940
1835,943
1836,1038
1837,875
1838,1039
1839,1048
1840,1475
1841,1398
1842,1424
1843,1363
1844,1638
1845,1830
1846,1733
1847,1680
1848,1643
1849,1629
1850,1875
1851,1981
1852,1902
1853,1706
1854,1723
1855,1806
1856,1958
1857,2232
1858,2171
1859,2229
1860,2295
1861,2300
1862,2535
1863,2503
1864,2483
1865,2375
1866,2200
1867,2142
1868,1756
1869,1897
1870,1658
1871,1546
1872,1780
1873,1683
1874,1770
1875,1812
1876,2093
1877,2098
1878,2156
1879,1694
1880,1581
1881,1702
1882,1738
1883,1777
1884,1903
1885,1778
1886,1866
1887,1908
1888,1913
1889,2062
1890,2013
1891,1869
1892,2195
1893,1864
1894,1980
1895,1960
1896,2129
1897,2244
1898,2233
1899,2420
1900,3064
1901,2588
1902,2728
1903,2821
1904,2830
1905,3488
1906,3298
1907,3491
1908,3730
1909,3119
1910,4514
1911,3761
1912,4000
1913,4022
1914,3882
1915,3880
1916,4278
1917,4269
1918,4203
1919,4247
1920,4867
1921,4186
1922,4106
1923,3189
1924,2735
1925,3370
1926,3424
1927,3345
1928,3848
1929,4049
1930,4354
1931,3210
1932,2948
1933,3342
1934,3614
1935,4375
1936,4442
1937,4474
1938,5049
1939,5289
1940,5152
1941,5445
1942,5684
1943,6011
1944,6603
1945,7057
1946,7282
1947,6364
1948,6329
1949,6318
1950,6663
1951,6335
1952,7050
1953,7339
1954,7351
1955,7781
1956,8500
1957,8669
1958,9065
1959,9418
1960,10967
1961,10564
1962,11284
1963,12330
1964,12350
1965,13134
1966,13232
1967,14100
1968,14743
1969,14015
1970,14662
1971,14702
1972,14473
1973,16464
1974,17075
1975,16599
1976,16745
1977,16074
1978,16286
1979,16409
1980,17598
1981,17210
1982,17395
1983,17704
1984,17959
1985,18786
1986,18650
1987,18236
1988,20996
1989,20351
1990,19849
1991,20255
1992,22020
1993,21412
1994,22091
1995,21273
1996,22199
1997,24783
1998,24911
1999,25988
2000,27316
2001,26654
2002,26264
2003,27784
2004,28481
2005,29777
2006,29633
2007,25715
2008,20567
2009,16533
2010,16600
2011,19207
2012,22798
2013,21118
2014,36962
2015,25930
2016,25532
2017,25957
2018,27039
2019,24720
