"date","base"
"1380",2
"1381",0
"1382",0
"1383",1
"1384",2
"1385",0
"1386",1
"1387",0
"1388",1
"1389",0
"1390",0
"1391",0
"1392",0
"1393",0
"1394",0
"1395",0
"1396",0
"1397",0
"1398",0
"1399",0
"1400",12
"1401",0
"1402",1
"1403",0
"1404",0
"1405",0
"1406",0
"1407",0
"1408",1
"1409",0
"1410",0
"1411",0
"1412",1
"1413",0
"1414",0
"1415",0
"1416",0
"1417",0
"1418",2
"1419",1
"1420",2
"1421",0
"1422",1
"1423",3
"1424",0
"1425",0
"1426",0
"1427",0
"1428",0
"1429",0
"1430",0
"1431",0
"1432",0
"1433",0
"1434",0
"1435",0
"1436",1
"1437",1
"1438",0
"1439",0
"1440",0
"1441",0
"1442",0
"1443",0
"1444",1
"1445",0
"1446",0
"1447",0
"1448",0
"1449",0
"1450",1
"1451",0
"1452",0
"1453",4
"1454",1
"1455",0
"1456",0
"1457",1
"1458",0
"1459",0
"1460",1
"1461",1
"1462",0
"1463",0
"1464",0
"1465",1
"1466",0
"1467",0
"1468",0
"1469",0
"1470",0
"1471",0
"1472",0
"1473",0
"1474",0
"1475",0
"1476",3
"1477",2
"1478",5
"1479",4
"1480",0
"1481",1
"1482",1
"1483",0
"1484",3
"1485",7
"1486",6
"1487",2
"1488",5
"1489",1
"1490",10
"1491",5
"1492",5
"1493",4
"1494",6
"1495",10
"1496",3
"1497",8
"1498",15
"1499",17
"1500",35
"1501",8
"1502",3
"1503",6
"1504",7
"1505",6
"1506",5
"1507",3
"1508",2
"1509",3
"1510",3
"1511",0
"1512",7
"1513",5
"1514",10
"1515",7
"1516",2
"1517",1
"1518",2
"1519",3
"1520",4
"1521",3
"1522",5
"1523",0
"1524",6
"1525",4
"1526",1
"1527",3
"1528",4
"1529",4
"1530",9
"1531",10
"1532",3
"1533",9
"1534",5
"1535",3
"1536",10
"1537",7
"1538",7
"1539",12
"1540",14
"1541",14
"1542",13
"1543",6
"1544",12
"1545",10
"1546",8
"1547",10
"1548",9
"1549",6
"1550",30
"1551",11
"1552",24
"1553",16
"1554",14
"1555",25
"1556",16
"1557",20
"1558",18
"1559",24
"1560",26
"1561",22
"1562",32
"1563",20
"1564",26
"1565",23
"1566",26
"1567",22
"1568",21
"1569",18
"1570",30
"1571",30
"1572",25
"1573",27
"1574",23
"1575",20
"1576",18
"1577",11
"1578",30
"1579",16
"1580",29
"1581",30
"1582",13
"1583",21
"1584",16
"1585",30
"1586",23
"1587",26
"1588",32
"1589",35
"1590",15
"1591",8
"1592",9
"1593",13
"1594",16
"1595",25
