,n
1564,4110
1562,6146
1568,11558
1580,2271
1584,3017
1563,8014
1583,6322
1578,3879
1567,11358
1566,18328
1571,23694
1582,11545
1570,39918
1590,32291
1572,37498
1589,65422
1591,83631
1587,153001
1569,186007
1581,126731
1585,126353
1573,152876
1586,115588
1561,77364
1574,189472
1598,174
1592,38648
1597,85977
1595,108298
1576,774263
1596,492783
1593,110914
1599,309068
1588,1087457
1600,896869
1549,3993
1380,4978
1546,3394
1545,3409
1556,34056
1557,9526
1554,57185
1552,42410
1550,94652
1551,260045
1547,73533
1559,15582
1519,682946
2015,204212
1601,229995
2016,43415
2013,182838
2007,401686
1602,607929
2010,362241
2009,339271
2011,281957
2014,497357
2012,400065
1607,709992
2008,1138643
1605,1490525
1620,1540999
1622,1539603
1609,1486919
1612,1478379
1617,1649112
1613,1605113
1604,2470661
1616,2051008
1621,2389739
1611,2383460
1632,1310062
1624,1332032
1713,3580734
1614,2183729
1717,3731643
1608,2496465
1615,2716145
1623,961276
1688,3145388
1687,3370429
1686,3069251
1625,1502181
1610,2695342
1628,2141865
1678,1486469
1633,1999428
1618,2874101
1975,1731882
1711,3264228
1629,2716824
1982,2341501
1943,3630405
1712,5389755
1626,1250218
1630,1082664
1944,3332686
1976,2314509
1627,2131614
1710,6377223
1994,1166138
1946,4579469
1978,2736303
1718,9901361
1979,3264650
1951,3966165
1980,3062045
2006,1159958
1690,3017919
1948,5340227
1955,1817683
1949,3255469
1985,2630929
1945,3188754
1652,2101252
1974,3160755
1634,1462846
1649,2293891
1684,4366348
1698,3525480
1958,1223454
1992,1209214
1977,2703194
1997,1185412
1640,1935359
1983,3058353
1682,2619870
1963,1550695
1654,2328394
1641,1940280
2004,632729
1995,969377
1699,6032159
1981,4282018
1636,2433160
1716,6024444
1991,1640055
1957,1433144
1988,2465439
1961,1183196
1729,10201664
1989,1762716
1967,2746701
2003,427824
1960,1877830
1677,2597428
1655,2728165
1647,2890632
1696,4162147
1993,1307359
1685,7055089
1639,2139382
1987,2289904
1721,4309449
1642,2206805
1984,4556012
2005,465169
2001,925893
1715,7811981
1743,5121324
1730,6111882
1996,736889
1990,2156682
1644,3833309
1999,1193268
1986,2207610
2002,436836
1702,7332389
1722,3809069
1694,4776025
1700,6997022
1998,1036782
1970,3065871
1720,4589407
1950,4348656
1689,2960154
1679,2997695
1708,4780663
1619,1941397
1728,7404168
1972,2303495
1697,5560774
1969,2505538
1714,14328886
1648,1896700
1653,3638945
1962,1708314
1733,7462707
1631,2291464
1727,7506780
1651,3198537
1973,3124956
1706,3626683
1667,2457502
1725,12182424
1691,4950946
1709,3211146
1656,2266290
1747,5387615
1732,9483654
1719,13403733
1646,3087295
1701,11114222
1703,4755406
1726,5811869
1748,8196217
1650,3860585
1746,6860419
1731,4121871
1645,3482136
1749,6899815
1638,4939991
1658,992985
1740,8780173
1680,3517416
1734,17494239
1947,11804615
1692,1140081
1959,990875
1741,5930675
1752,10233913
1704,3368210
1737,12344089
1941,3961445
1661,4143417
1739,13047214
1662,2456656
1657,2275123
1953,1912175
1666,4070157
1971,2059697
1665,3676215
1668,2884727
1723,8601987
1659,2266919
1670,1386978
1669,748962
1965,2027736
1674,1335074
1664,5066599
1745,7147711
1673,1888674
1635,2791317
1753,12354863
1724,25440832
1637,3570404
1681,3149406
1676,2099745
1660,3226062
1663,3331766
1672,722952
1735,16210003
1738,19551486
1736,4554576
1671,3736471
1675,3211494
1776,19596779
1693,15427839
1742,22385660
1814,19665401
1813,20042869
1779,22843878
1761,11603234
1755,16410677
1705,5386825
1744,12247550
1750,14359355
1765,9493746
1764,11487354
1815,22451182
1760,13254637
1758,13682279
1781,20973497
1778,28486694
1809,17150289
1643,5075426
1942,2979907
1954,3231248
1966,3903109
1773,12260658
1915,29851558
1784,28661874
1956,1917226
1767,15432257
1816,43058092
1968,1530782
1810,20903194
1811,25606885
1762,14144981
1785,24810455
1918,35044433
1812,45864374
1786,32301166
1782,31092594
1754,16945829
1791,17368194
1757,18325272
1796,7664690
1917,36747768
1759,22741916
1756,14526464
1790,17186430
1817,34951075
1788,27131828
1777,34181918
1916,39387322
1787,36219117
1770,23382169
1783,31189873
1819,48782782
1774,13776766
1766,12186353
1683,7926918
1794,10345632
1818,43446055
1772,24454355
1695,5523926
1797,16494963
1769,15959465
1707,3017191
1919,40086843
1768,16316430
1820,59487735
1799,13031990
1795,10377453
1808,19770867
1849,63237766
1751,19620673
1793,15207866
1763,12047306
1771,24063767
1789,24098957
1798,25332598
1825,62638965
1848,74609643
1807,18362626
1843,103800250
1826,62329634
1927,46516550
1806,18484030
1822,57424165
1780,29787332
1803,32758214
1805,18914334
1842,89467563
1852,85811532
1952,1811295
1964,2054473
1831,38234054
1775,35099024
1823,68171250
1827,68883258
1830,60772492
1914,78677732
1829,68605822
1824,79376374
1850,91326361
1821,96647098
1913,96009504
1828,72625051
1909,109549853
1846,93634026
1832,48735390
1792,19708749
1911,112466902
1844,105505612
1847,117716474
1928,45686370
1804,24237271
1851,90992262
1940,5599851
1833,66550648
1834,97936006
1921,49186818
1838,101425513
1910,105588287
1931,54146127
1933,28136259
1879,155114308
1908,102232380
1840,92472563
1884,158114446
1923,52352704
1853,151281056
1882,139624238
1839,111880378
1885,171148035
1835,85865892
1878,152124707
1855,115811246
1836,94421386
1935,47104956
1875,160152605
1854,129050214
1841,79998848
1864,135348846
1920,60953795
1860,130477404
1845,147640160
1880,161951368
1800,18003854
1801,20675791
1877,165744657
1881,157300982
1922,69601554
1859,110467425
1896,126651334
1802,29103184
1862,191960838
1883,158451783
1856,135161291
1894,152509845
1897,125283884
1863,137622139
1858,133206276
1892,142657130
1857,113605562
1871,73391625
1861,135846187
1887,163528259
1893,140965203
1872,134875110
1868,125381801
1886,226494602
1906,123751230
1895,142969574
1870,108860329
1904,108413082
1867,166664234
1874,148640877
1899,112724246
1905,117538313
1869,171005684
1907,90839786
1873,139007981
2000,2455462
1606,689170
1603,972973
1937,25384589
1938,27116670
1936,38524493
1888,153509566
1924,41224021
1902,115298574
1901,129560318
1900,149086612
1903,110758251
1939,15766311
1934,31307397
1932,33489802
1929,43934354
1930,44847837
1925,48669316
1837,93525694
1912,98979379
1891,121609611
1926,50798222
1865,133078597
1898,126058900
1876,165430086
1890,163877136
1866,151258545
1889,189114532
