date,base
1564,3693
1562,5507
1568,10445
1580,2085
1584,2609
1563,6828
1583,5623
1578,3193
1567,9931
1566,15868
1571,20824
1582,10291
1570,31592
1590,28351
1572,31292
1589,57030
1591,68948
1587,134810
1569,158693
1581,110302
1585,108576
1573,133767
1586,95057
1561,57790
1574,169976
1598,113
1592,33798
1597,74861
1595,85741
1576,582479
1596,426650
1593,78958
1599,264422
1588,684453
1600,719709
1549,3490
1380,4453
1546,1886
1545,2418
1556,26828
1557,7911
1554,48675
1552,34766
1550,78070
1551,203437
1547,49197
1559,14003
1519,608558
2015,152793
1601,192128
2016,26954
2013,145891
2007,305051
1602,482304
2010,266604
2009,239129
2011,200655
2014,385771
2012,305828
1607,600299
2008,675231
1605,1242722
1620,1334729
1622,1325801
1609,1250077
1612,1243535
1617,1404898
1613,1343832
1604,2087093
1616,1702584
1621,2040303
1611,2086600
1632,1127902
1624,1132089
1713,3056613
1614,1863056
1717,3146346
1608,2051589
1615,2276290
1623,823213
1688,2650413
1687,2791424
1686,2580158
1625,1301695
1610,2211522
1628,1847678
1678,1265004
1633,1720674
1618,2500590
1975,1302583
1711,2607257
1629,2293159
1982,1777555
1943,3059416
1712,4532928
1626,1057695
1630,937600
1944,2745516
1976,1736883
1627,1803379
1710,5494298
1994,951233
1946,3828080
1978,2050885
1718,8012474
1979,2400222
1951,3217764
1980,2246323
2006,958791
1690,2550415
1948,4403660
1955,1377049
1949,2564905
1985,1962322
1945,2622275
1652,1753618
1974,2343797
1634,1227187
1649,1992838
1684,3669036
1698,2901438
1958,964887
1992,933508
1977,1952669
1997,906637
1640,1660746
1983,2302173
1682,2230179
1963,1203535
1654,1974321
1641,1686598
2004,378880
1995,763716
1699,5096899
1981,3228825
1636,2067582
1716,4655355
1991,1290291
1957,1161028
1988,1854056
1961,894088
1729,8573769
1989,1346355
1967,2134605
2003,328324
1960,1499130
1677,2169796
1655,2306675
1647,2443343
1696,3531886
1993,1044018
1685,5828554
1639,1786272
1987,1710075
1721,3621695
1642,1884638
1984,3529338
2005,348746
2001,693063
1715,6052463
1743,4322222
1730,5173808
1996,546325
1990,1594842
1644,3256676
1999,870812
1986,1630861
2002,309514
1702,6103061
1722,3214425
1694,3950777
1700,5789928
1998,786080
1970,2419683
1720,4001504
1950,3252403
1689,2470912
1679,2496106
1708,4112519
1619,1578848
1728,6286555
1972,1738445
1697,4637705
1969,1929299
1714,12085068
1648,1514961
1653,3068781
1962,1339991
1733,6338259
1631,1907133
1727,6263345
1651,2723465
1973,2400909
1706,2783152
1667,2117538
1725,10151152
1691,4106032
1709,2648290
1656,1911192
1747,4512316
1732,7963246
1719,11033639
1646,2624045
1701,9230753
1703,3982193
1726,4804920
1748,6945479
1650,3226879
1746,5730250
1731,3484641
1645,2881635
1749,5821497
1638,4315330
1658,830715
1740,7379373
1680,2943006
1734,14598746
1947,9562840
1692,943259
1959,787266
1741,4998185
