,n
1564,3828.0
1562,5710.0
1568,10797.0
1580,2145.0
1584,2738.0
1563,7199.0
1583,5847.0
1578,3388.0
1567,10383.0
1566,16640.0
1571,21724.0
1582,10694.0
1570,34132.0
1590,29594.0
1572,33235.0
1589,59689.0
1591,73431.0
1587,140380.0
1569,167158.0
1581,115303.0
1585,114060.0
1573,139794.0
1586,101310.0
1561,63689.0
1574,176193.0
1598,132.0
1592,35281.0
1597,78381.0
1595,91137.0
1576,630611.0
1596,445934.0
1593,88929.0
1599,277798.0
1588,777182.0
1600,770275.0
1549,3653.0
1380,4615.0
1546,2363.0
1545,2715.0
1556,29106.0
1557,8356.0
1554,51251.0
1552,36963.0
1550,83122.0
1551,218666.0
1547,56565.0
1559,14514.0
1519,631741.0
2015,166951.0
1601,203958.0
2016,30952.0
2013,156978.0
2007,331746.0
1602,515533.0
2010,292225.0
2009,264024.0
2011,220615.0
2014,417533.0
2012,331619.0
1607,632173.0
2008,776668.0
1605,1314859.0
1620,1396608.0
1622,1387736.0
1609,1320500.0
1612,1314732.0
1617,1477574.0
1613,1418965.0
1604,2200117.0
1616,1805808.0
1621,2147462.0
1611,2175991.0
1632,1184620.0
1624,1193323.0
1713,3215626.0
1614,1958941.0
1717,3320473.0
1608,2177472.0
1615,2405407.0
1623,864515.0
1688,2799508.0
1687,2965640.0
1686,2727371.0
1625,1363255.0
1610,2355890.0
1628,1938846.0
1678,1332948.0
1633,1806751.0
1618,2616126.0
1975,1420784.0
1711,2792103.0
1629,2415046.0
1982,1939189.0
1943,3236195.0
1712,4791792.0
1626,1113667.0
1630,982215.0
1944,2924046.0
1976,1899613.0
1627,1902731.0
1710,5758561.0
1994,1014885.0
1946,4056871.0
1978,2242021.0
1718,8577084.0
1979,2638731.0
1951,3436997.0
1980,2475203.0
2006,1007315.0
1690,2692891.0
1948,4692476.0
1955,1498541.0
1949,2760045.0
1985,2143134.0
1945,2794805.0
1652,1857263.0
1974,2572829.0
1634,1295592.0
1649,2084282.0
1684,3877925.0
1698,3083869.0
1958,1036873.0
1992,1009279.0
1977,2156049.0
1997,983532.0
1640,1744027.0
1983,2516992.0
1682,2350783.0
1963,1300331.0
1654,2082519.0
1641,1764736.0
2004,437450.0
1995,822111.0
1699,5380432.0
1981,3533788.0
1636,2174643.0
1716,5042925.0
1991,1389470.0
1957,1239549.0
1988,2021873.0
1961,970582.0
1729,9068528.0
1989,1463925.0
1967,2309685.0
2003,355785.0
1960,1605666.0
1677,2294764.0
1655,2431754.0
1647,2574390.0
1696,3726351.0
1993,1120660.0
1685,6195973.0
1639,1893645.0
1987,1871262.0
1721,3830694.0
1642,1981317.0
1984,3830908.0
2005,380030.0
2001,752300.0
1715,6561491.0
1743,4565165.0
1730,5461260.0
1996,593537.0
1990,1733380.0
1644,3428806.0
1999,956405.0
1986,1788419.0
2002,339061.0
1702,6474603.0
1722,3397857.0
1694,4198890.0
1700,6143237.0
1998,855261.0
1970,2602043.0
1720,4178076.0
1950,3549676.0
1689,2618544.0
1679,2646142.0
1708,4316525.0
1619,1681551.0
1728,6617579.0
1972,1893735.0
1697,4914418.0
1969,2092251.0
1714,12761349.0
1648,1620986.0
1653,3239959.0
1962,1443219.0
1733,6674905.0
1631,2022509.0
1727,6620423.0
1651,2863424.0
1973,2602771.0
1706,3018583.0
1667,2221794.0
1725,10752386.0
1691,4358258.0
1709,2816410.0
1656,2019308.0
1747,4775573.0
1732,8422724.0
1719,11729856.0
1646,2758394.0
1701,9802754.0
1703,4209959.0
1726,5109386.0
1748,7332391.0
1650,3413403.0
1746,3387663.0
1731,3680989.0
1645,3056751.0
1749,6142225.0
1638,4505015.0
1658,878032.0
1740,7807174.0
1680,3110199.0
1734,15463049.0
1947,10236694.0
1692,1001782.0
1959,845109.0
1741,5278684.0
1752,9044297.0
1704,3002151.0
1737,11010389.0
1941,3367565.0
1661,3733741.0
1739,11712976.0
1662,2221865.0
1657,2016204.0
1953,1626916.0
1666,3650443.0
1971,1741993.0
1665,3329119.0
1668,2589931.0
1723,7653778.0
1659,1997123.0
1670,1230677.0
1669,652471.0
1965,1736487.0
1674,1186431.0
1664,4549540.0
1745,6287752.0
