"date","base"
"1632",2
"1633",3
"1634",2
"1635",1
"1636",1
"1637",0
"1638",0
"1639",0
"1640",1
"1641",1
"1642",3
"1643",1
"1644",156
"1645",1
"1646",3
"1647",75
"1648",2
"1649",25
"1650",3
"1651",3
"1652",5
"1653",2
"1654",91
"1655",2
"1656",89
"1657",2
"1658",2
"1659",2
"1660",1
"1661",2
"1662",75
"1663",2
"1664",2
"1665",2
"1666",4
"1667",91
"1668",6
"1669",82
"1670",2
"1671",3
"1672",87
"1673",4
"1674",65
"1675",127
"1676",116
"1677",12
"1678",24
"1679",24
"1680",17
"1681",15
"1682",13
"1683",14
"1684",13
"1685",14
"1686",16
"1687",15
"1688",16
"1689",75
"1690",14
"1691",15
"1692",15
"1693",14
"1694",14
"1695",67
"1696",18
"1697",208
"1698",124
"1699",23
"1700",31
"1701",30
"1702",30
"1703",27
"1704",31
"1705",28
"1706",28
"1707",20
"1708",22
"1709",121
"1710",50
"1711",121
"1712",148
"1713",58
"1714",113
"1715",117
"1716",120
"1717",142
"1718",140
"1719",139
"1720",139
"1721",181
"1722",180
"1723",139
"1724",140
"1725",60
"1726",43
"1727",39
"1728",41
"1729",38
"1730",36
"1731",37
"1732",35
"1733",39
"1734",76
"1735",186
"1736",122
"1737",169
"1738",169
"1739",180
"1740",144
"1741",221
"1742",165
"1743",138
"1744",149
"1745",81
"1746",188
"1747",242
"1748",192
"1749",186
"1750",140
"1751",36
"1752",228
"1753",144
"1754",108
"1755",69
"1756",76
"1757",181
"1758",68
"1759",62
"1760",195
"1761",157
"1762",220
"1763",448
"1764",350
"1765",401
"1766",388
"1767",353
"1768",358
"1769",368
"1770",463
"1771",473
"1772",357
"1773",566
"1774",715
"1775",733
"1776",534
"1777",999
"1778",959
"1779",947
"1780",884
"1781",983
"1782",764
"1783",917
"1784",704
"1785",725
"1786",738
"1787",860
"1788",966
"1789",2750
"1790",5147
"1791",7165
"1792",5501
"1793",4351
"1794",3922
"1795",2960
"1796",4076
"1797",4706
"1798",3410
"1799",2907
"1800",2427
"1801",2033
"1802",2775
"1803",2470
"1804",2935
"1805",2641
"1806",2658
"1807",2753
"1808",2511
"1809",2878
"1810",2500
"1811",2593
"1812",2406
"1813",2558
"1814",2964
"1815",3058
"1816",3574
"1817",3402
"1818",3490
"1819",4075
"1820",4277
"1821",4746
"1822",5286
"1823",5183
"1824",5077
"1825",5163
"1826",6372
"1827",5366
"1828",6579
"1829",7305
"1830",7916
"1831",7728
"1832",8678
"1833",9557
"1834",9098
"1835",9530
"1836",9994
"1837",10574
"1838",10219
"1839",9492
"1840",9014
"1841",9629
"1842",9710
"1843",10039
"1844",10639
"1845",11653
"1846",11674
"1847",10549
"1848",13465
"1849",15306
"1850",16804
"1851",16637
"1852",12363
"1853",10887
"1854",10119
"1855",9919
"1856",10153
"1857",10635
"1858",10102
"1859",10691
"1860",11745
"1861",12192
"1862",12106
"1863",13722
"1864",13896
"1865",15058
"1866",16101
"1867",16423
"1868",17722
"1869",21637
"1870",21528
"1871",20514
"1872",24518
"1873",24964
"1874",25401
"1875",26912
"1876",28994
"1877",29503
"1878",29129
"1879",30912
"1880",34712
"1881",37922
"1882",43750
"1883",43588
"1884",43917
"1885",44625
"1886",46077
"1887",48513
"1888",48879
"1889",52363
"1890",52943
"1891",54046
"1892",55839
"1893",58174
"1894",58455
"1895",59152
"1896",59271
"1897",58842
"1898",60276
"1899",60713
"1900",61634
"1901",62316
"1902",63483
"1903",63056
"1904",62899
"1905",61763
"1906",59942
"1907",58866
"1908",57673
"1909",56506
"1910",58338
"1911",59803
"1912",61630
"1913",61939
"1914",53725
"1915",42700
"1916",46306
"1917",46031
"1918",45274
"1919",50423
"1920",50210
"1921",52135
"1922",52137
"1923",54163
"1924",54487
"1925",55207
"1926",53171
"1927",53083
"1928",54084
"1929",53017
"1930",51417
"1931",52528
"1932",51430
"1933",49746
"1934",50560
"1935",49072
"1936",49596
"1937",46982
"1938",42975
"1939",37998
"1940",26585
"1941",24362
"1942",22827
"1943",23187
"1944",19125
"1945",13299
"1946",15498
"1947",15518
"1948",14706
"1949",14211
"1950",13066
"1951",12304
"1952",1702
"1953",1535
"1954",1754
"1955",1698
"1956",1304
"1957",1321
"1958",1413
"1959",1331
"1960",1277
"1961",1225
"1962",1555
"1963",1421
"1964",1429
"1965",1452
"1966",1498
"1967",1060
"1968",1098
"1969",1394
"1970",1149
"1971",1211
"1972",1278
"1973",1193
"1974",1044
"1975",882
"1976",870
"1977",921
"1978",897
"1979",930
"1980",908
"1981",856
"1982",831
"1983",806
"1984",820
"1985",805
"1986",874
"1987",924
"1988",884
"1989",903
"1990",1057
"1991",862
"1992",844
"1993",882
"1994",878
"1995",977
"1996",933
"1997",810
"1998",784
"1999",680
"2000",680
"2001",583
"2002",547
"2003",497
"2004",482
"2005",408
"2006",372
"2007",357
"2008",324
"2009",300
"2010",211
"2011",204
"2012",187
"2013",154
"2014",127
"2015",114
"2016",77
"2017",63
"2018",45
"2019",16
"2020",7
"2021",1
"2022",0
