date,base
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,2
1591,2
1592,0
1593,0
1594,0
1595,0
1596,0
1597,2
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,13
1690,13
1691,12
1692,12
1693,10
1694,10
1695,0
1696,5
1697,0
1698,0
1699,0
1700,3
1701,0
1702,0
1703,0
1704,1
1705,104
1706,104
1707,105
1708,104
1709,102
1710,104
1711,104
1712,98
1713,87
1714,34
1715,34
1716,34
1717,61
1718,104
1719,207
1720,208
1721,157
1722,193
1723,174
1724,104
1725,202
1726,208
1727,209
1728,208
1729,206
1730,208
1731,222
1732,211
1733,103
1734,217
1735,115
1736,116
1737,103
1738,105
1739,215
1740,221
1741,204
1742,219
1743,222
1744,223
1745,223
1746,220
1747,223
1748,223
1749,241
1750,218
1751,261
1752,271
1753,261
1754,261
1755,262
1756,245
1757,138
1758,218
1759,242
1760,237
1761,221
1762,227
1763,114
1764,213
1765,222
1766,222
1767,222
1768,689
1769,582
1770,571
1771,725
1772,727
1773,635
1774,737
1775,726
1776,729
1777,742
1778,764
1779,821
1780,796
1781,783
1782,833
1783,833
1784,1009
1785,939
1786,847
1787,847
1788,1092
1789,902
1790,902
1791,961
1792,935
1793,927
1794,873
1795,1135
1796,853
1797,955
1798,1005
1799,815
1800,815
1801,1593
1802,1229
1803,1229
1804,1604
1805,1588
1806,1546
1807,1546
1808,1746
1809,1701
1810,2051
1811,2502
1812,2873
1813,2419
1814,2545
1815,2903
1816,4370
1817,4487
1818,3993
1819,3855
1820,4061
1821,4223
1822,4493
1823,4828
1824,4828
1825,4980
1826,4980
1827,4980
1828,4980
1829,5105
1830,4653
1831,5094
1832,4705
1833,4705
1834,4705
1835,4705
1836,4705
1837,4955
1838,6351
1839,6244
1840,6323
1841,6509
1842,6509
1843,7378
1844,7478
1845,7478
1846,7478
1847,7478
1848,7478
1849,7478
1850,7478
1851,7478
1852,7478
1853,7478
1854,7478
1855,7478
1856,7478
1857,7478
1858,7478
1859,7478
1860,7478
1861,7538
1862,9174
1863,9664
1864,10327
1865,11271
1866,10992
1867,10992
1868,12956
1869,13439
1870,13141
1871,14136
1872,14417
1873,16326
1874,15542
1875,14489
1876,12983
1877,12983
1878,7290
1879,7006
1880,7153
1881,7838
1882,7838
1883,9310
1884,9506
1885,9889
1886,9744
1887,9811
1888,10480
1889,11167
1890,11167
1891,11167
1892,11167
1893,11167
1894,11167
1895,12076
1896,14431
1897,13693
1898,14269
1899,14222
1900,16220
1901,16360
1902,16724
1903,16724
1904,17193
1905,17193
1906,17465
1907,17952
1908,17906
1909,17906
1910,17906
1911,18565
1912,18822
1913,18632
1914,20265
1915,21488
1916,20566
1917,19577
1918,18149
1919,18149
1920,13953
1921,13953
1922,13953
1923,12843
1924,14295
1925,14350
1926,14316
1927,14316
1928,14849
1929,14465
1930,15037
1931,15018
1932,14890
1933,15068
1934,12718
1935,12275
1936,12198
1937,12000
1938,11371
1939,7977
1940,7560
1941,7743
1942,6854
1943,7078
1944,5277
1945,2660
1946,5346
1947,6131
1948,5381
1949,5981
1950,5446
1951,56
1952,56
1953,55
1954,57
1955,60
1956,63
1957,68
1958,55
1959,58
1960,52
1961,57
1962,52
1963,63
1964,53
1965,51
1966,50
1967,50
1968,50
1969,50
1970,50
1971,50
1972,50
1973,59
1974,59
1975,53
1976,64
1977,66
1978,64
1979,54
1980,57
1981,54
1982,56
1983,56
1984,57
1985,56
1986,55
1987,53
1988,55
1989,57
1990,57
1991,61
1992,60
1993,59
1994,63
1995,64
1996,65
1997,64
1998,65
1999,63
2000,53
2001,64
2002,52
2003,62
2004,59
2005,59
2006,60
2007,60
2008,62
2009,62
2010,39
2011,39
2012,33
2013,37
2014,37
2015,32
2016,16
2017,12
2018,10
2019,10
2020,6
2021,0
