"date","base"
"1632",2
"1633",1
"1634",1
"1635",1
"1636",1
"1637",0
"1638",0
"1639",0
"1640",1
"1641",1
"1642",2
"1643",1
"1644",156
"1645",1
"1646",2
"1647",74
"1648",2
"1649",1
"1650",2
"1651",3
"1652",1
"1653",2
"1654",91
"1655",2
"1656",88
"1657",2
"1658",2
"1659",2
"1660",1
"1661",2
"1662",75
"1663",2
"1664",2
"1665",1
"1666",2
"1667",91
"1668",6
"1669",82
"1670",1
"1671",2
"1672",85
"1673",1
"1674",63
"1675",127
"1676",116
"1677",1
"1678",1
"1679",1
"1680",1
"1681",1
"1682",1
"1683",1
"1684",1
"1685",0
"1686",2
"1687",1
"1688",1
"1689",54
"1690",1
"1691",1
"1692",0
"1693",1
"1694",1
"1695",54
"1696",3
"1697",106
"1698",5
"1699",0
"1700",3
"1701",2
"1702",1
"1703",1
"1704",1
"1705",1
"1706",2
"1707",1
"1708",1
"1709",1
"1710",1
"1711",1
"1712",55
"1713",1
"1714",52
"1715",1
"1716",1
"1717",1
"1718",2
"1719",1
"1720",1
"1721",53
"1722",59
"1723",1
"1724",1
"1725",1
"1726",0
"1727",2
"1728",2
"1729",1
"1730",2
"1731",2
"1732",2
"1733",1
"1734",2
"1735",53
"1736",3
"1737",2
"1738",1
"1739",1
"1740",2
"1741",52
"1742",1
"1743",1
"1744",53
"1745",1
"1746",1
"1747",53
"1748",1
"1749",53
"1750",1
"1751",1
"1752",54
"1753",53
"1754",1
"1755",1
"1756",1
"1757",53
"1758",1
"1759",1
"1760",52
"1761",1
"1762",105
"1763",105
"1764",104
"1765",105
"1766",104
"1767",104
"1768",105
"1769",104
"1770",105
"1771",104
"1772",1
"1773",105
"1774",104
"1775",104
"1776",105
"1777",104
"1778",104
"1779",107
"1780",103
"1781",104
"1782",1
"1783",104
"1784",105
"1785",104
"1786",104
"1787",103
"1788",105
"1789",104
"1790",118
"1791",114
"1792",144
"1793",2
"1794",0
"1795",2
"1796",2
"1797",2
"1798",2
"1799",2
"1800",32
"1801",30
"1802",3
"1803",1
"1804",4
"1805",1
"1806",2
"1807",3
"1808",2
"1809",2
"1810",2
"1811",3
"1812",3
"1813",3
"1814",280
"1815",361
"1816",361
"1817",358
"1818",393
"1819",358
"1820",362
"1821",426
"1822",350
"1823",349
"1824",394
"1825",361
"1826",365
"1827",371
"1828",362
"1829",367
"1830",367
"1831",377
"1832",374
"1833",364
"1834",360
"1835",369
"1836",371
"1837",371
"1838",368
"1839",373
"1840",373
"1841",364
"1842",364
"1843",363
"1844",376
"1845",369
"1846",370
"1847",373
"1848",373
"1849",370
"1850",364
"1851",356
"1852",371
"1853",351
"1854",365
"1855",313
"1856",346
"1857",303
"1858",339
"1859",356
"1860",335
"1861",353
"1862",370
"1863",370
"1864",324
"1865",290
"1866",317
"1867",450
"1868",427
"1869",431
"1870",578
"1871",870
"1872",1361
"1873",948
"1874",905
"1875",915
"1876",1062
"1877",1010
"1878",1088
"1879",1106
"1880",1178
"1881",1269
"1882",1391
"1883",1285
"1884",1364
"1885",1320
"1886",1210
"1887",1158
"1888",1390
"1889",1237
"1890",1218
"1891",1330
"1892",1232
"1893",1664
"1894",1577
"1895",1660
"1896",1487
"1897",1624
"1898",1475
"1899",1376
"1900",1528
"1901",1527
"1902",1178
"1903",1289
"1904",1301
"1905",1300
"1906",1227
"1907",1252
"1908",1255
"1909",1400
"1910",1591
"1911",1703
"1912",1649
"1913",1762
"1914",1883
"1915",2392
"1916",3450
"1917",3740
"1918",3628
"1919",4495
"1920",2505
"1921",2859
"1922",2750
"1923",2743
"1924",2469
"1925",2303
"1926",2397
"1927",2356
"1928",2374
"1929",2431
"1930",2178
"1931",2563
"1932",1537
"1933",1615
"1934",1506
"1935",1389
"1936",1548
"1937",1496
"1938",1254
"1939",1325
"1940",961
"1941",717
"1942",675
"1943",725
"1944",693
"1945",426
"1946",241
"1947",272
"1948",266
"1949",656
"1950",606
"1951",35
"1952",7
"1953",8
"1954",57
"1955",69
"1956",40
"1957",65
"1958",50
"1959",5
"1960",5
"1961",5
"1962",5
"1963",5
"1964",5
"1965",5
"1966",5
"1967",5
"1968",4
"1969",4
"1970",4
"1971",4
"1972",52
"1973",51
"1974",56
"1975",56
"1976",52
"1977",53
"1978",54
"1979",38
"1980",6
"1981",7
"1982",6
"1983",6
"1984",6
"1985",5
"1986",2
"1987",6
"1988",6
"1989",5
"1990",1
"1991",1
"1992",0
"1993",1
"1994",1
"1995",2
"1996",2
"1997",2
"1998",0
"1999",2
"2000",1
"2001",2
"2002",2
"2003",1
"2004",2
"2005",2
"2006",2
"2007",1
"2008",2
"2009",2
"2010",2
"2011",1
"2012",3
"2013",0
"2014",0
"2015",0
"2016",0
"2017",0
"2018",0
"2019",0
"2020",0
"2021",0
