"date","base"
"1699",6
"1700",0
"1701",0
"1702",0
"1703",0
"1704",0
"1705",0
"1706",0
"1707",0
"1708",9
"1709",153
"1710",283
"1711",500
"1712",1391
"1713",652
"1714",181
"1715",178
"1716",1135
"1717",580
"1718",174
"1719",509
"1720",1342
"1721",2077
"1722",952
"1723",1899
"1724",2278
"1725",2449
"1726",1970
"1727",2176
"1728",2774
"1729",2025
"1730",1601
"1731",1276
"1732",1747
"1733",2526
"1734",2244
"1735",2142
"1736",2352
"1737",1582
"1738",1686
"1739",3030
"1740",2923
"1741",2906
"1742",3102
"1743",3196
"1744",2458
"1745",3055
"1746",3790
"1747",3294
"1748",4869
"1749",5422
"1750",4235
"1751",3254
"1752",3237
"1753",2968
"1754",3707
"1755",4761
"1756",5942
"1757",4109
"1758",6226
"1759",4098
"1760",6803
"1761",8135
"1762",7012
"1763",8109
"1764",8152
"1765",7455
"1766",7520
"1767",8355
"1768",8503
"1769",7382
"1770",6183
"1771",8822
"1772",10404
"1773",13621
"1774",14396
"1775",14398
"1776",16317
"1777",12198
"1778",22716
"1779",21579
"1780",23616
"1781",27030
"1782",19927
"1783",26477
"1784",23765
"1785",25211
"1786",24092
"1787",29663
"1788",16136
"1789",28233
"1790",20505
"1791",17240
"1792",21630
"1793",30678
"1794",27888
"1795",27634
"1796",22304
"1797",29538
"1798",21866
"1799",32201
"1800",23659
"1801",44512
"1802",55945
"1803",53428
"1804",64253
"1805",77464
"1806",80169
"1807",73796
"1808",86645
"1809",91673
"1810",102340
"1811",94016
"1812",80495
"1813",91676
"1814",99285
"1815",106265
"1816",98257
"1817",104480
"1818",132321
"1819",132580
"1820",126820
"1821",132171
"1822",134312
"1823",138692
"1824",157980
"1825",174043
"1826",201943
"1827",207193
"1828",241313
"1829",249630
"1830",247997
"1831",271228
"1832",312961
"1833",332276
"1834",333000
"1835",373060
"1836",385193
"1837",435225
"1838",450101
"1839",498581
"1840",494703
"1841",519740
"1842",538920
"1843",522227
"1844",591431
"1845",592091
"1846",673509
"1847",674428
"1848",705978
"1849",678061
"1850",709995
"1851",773370
"1852",818338
"1853",897568
"1854",1005341
"1855",1105547
"1856",1160830
"1857",1246162
"1858",1351120
"1859",1506444
"1860",1630682
"1861",1695393
"1862",1842888
"1863",1875127
"1864",1921045
"1865",1908614
"1866",2003915
"1867",2016017
"1868",2033026
"1869",2109314
"1870",2238307
"1871",1982162
"1872",1754185
"1873",1821123
"1874",2068228
"1875",2131726
"1876",2279255
"1877",2589312
"1878",2433246
"1879",2867521
"1880",3018710
"1881",3112397
"1882",3198037
"1883",3205729
"1884",3257015
"1885",3462806
"1886",3543343
"1887",3572732
"1888",3676310
"1889",4196078
"1890",3864215
"1891",4066019
"1892",4211507
"1893",4214876
"1894",4153066
"1895",4187177
"1896",3680436
"1897",3600138
"1898",3784039
"1899",4523128
"1900",4298400
"1901",4548622
"1902",4547052
"1903",4659107
"1904",5008758
"1905",4918734
"1906",4968149
"1907",4860083
"1908",4841049
"1909",4902244
"1910",4379975
"1911",3603891
"1912",3641678
"1913",3437364
"1914",3553348
"1915",3253179
"1916",2807185
"1917",2406834
"1918",2019904
"1919",2229013
"1920",2409088
"1921",2349108
"1922",2283391
"1923",2563655
"1924",2502101
"1925",2392713
"1926",2500753
"1927",2453876
"1928",2490500
"1929",2677083
"1930",2699598
"1931",2775412
"1932",2811148
"1933",2810387
"1934",2851169
"1935",2865548
"1936",2876339
"1937",2963773
"1938",2892049
"1939",3880524
"1940",2197484
"1941",1629895
"1942",1518785
"1943",1424573
"1944",1363092
"1945",1446583
"1946",1347078
"1947",1382429
"1948",1301978
"1949",1549286
"1950",1723423
"1951",1187823
"1952",1197022
"1953",1333705
"1954",1530149
"1955",1462077
"1956",1245514
"1957",1199086
"1958",1241381
"1959",963975
"1960",890511
"1961",844434
"1962",817422
"1963",825237
"1964",856083
"1965",892859
"1966",959428
"1967",951282
"1968",951334
"1969",985351
"1970",962122
"1971",921831
"1972",932280
"1973",909704
"1974",960104
"1975",858048
"1976",768372
"1977",746297
"1978",730817
"1979",698296
"1980",521317
"1981",427487
"1982",365017
"1983",356323
"1984",328944
"1985",332107
"1986",739152
"1987",770725
"1988",786024
"1989",801776
"1990",888004
"1991",796040
"1992",859878
"1993",825141
"1994",892723
"1995",778098
"1996",682755
"1997",668671
"1998",720244
"1999",690195
"2000",323208
"2001",336930
"2002",328235
"2003",340659
"2004",344959
"2005",337532
"2006",232165
"2007",168326
"2008",156931
"2009",141757
"2010",0
"2011",0
"2012",0
"2013",0
"2014",0
"2015",0
"2016",0
"2017",0
"2018",0
"2019",0
"2020",0
"2021",0
