"date","base"
"1700",0
"1701",0
"1702",0
"1703",0
"1704",0
"1705",0
"1706",4
"1707",0
"1708",0
"1709",0
"1710",0
"1711",0
"1712",0
"1713",0
"1714",0
"1715",0
"1716",0
"1717",0
"1718",0
"1719",24
"1720",0
"1721",0
"1722",0
"1723",0
"1724",0
"1725",0
"1726",0
"1727",0
"1728",115
"1729",98
"1730",95
"1731",96
"1732",96
"1733",96
"1734",94
"1735",124
"1736",96
"1737",1578
"1738",2967
"1739",1703
"1740",1551
"1741",1550
"1742",1361
"1743",1389
"1744",1504
"1745",1548
"1746",1447
"1747",1450
"1748",958
"1749",1066
"1750",1066
"1751",1068
"1752",1068
"1753",1068
"1754",1158
"1755",1058
"1756",1465
"1757",1544
"1758",2489
"1759",1843
"1760",2564
"1761",2554
"1762",3423
"1763",2713
"1764",2425
"1765",2717
"1766",2897
"1767",3395
"1768",2450
"1769",2430
"1770",2444
"1771",2414
"1772",3341
"1773",2694
"1774",1885
"1775",1873
"1776",3031
"1777",1994
"1778",3000
"1779",2225
"1780",1669
"1781",6007
"1782",2050
"1783",1536
"1784",3479
"1785",3438
"1786",6077
"1787",7376
"1788",8197
"1789",7407
"1790",7297
"1791",3842
"1792",3964
"1793",6110
"1794",8208
"1795",8315
"1796",7597
"1797",8072
"1798",6143
"1799",7553
"1800",6679
"1801",6386
"1802",6508
"1803",6295
"1804",8282
"1805",9383
"1806",9622
"1807",7639
"1808",8363
"1809",6870
"1810",6348
"1811",10245
"1812",12725
"1813",19005
"1814",16257
"1815",6721
"1816",6196
"1817",5720
"1818",6214
"1819",7841
"1820",16270
"1821",23952
"1822",22554
"1823",10100
"1824",5647
"1825",7572
"1826",7493
"1827",8665
"1828",8676
"1829",8149
"1830",9279
"1831",6420
"1832",8662
"1833",7010
"1834",12304
"1835",9306
"1836",12783
"1837",14309
"1838",16202
"1839",18940
"1840",22814
"1841",25788
"1842",27793
"1843",30434
"1844",27987
"1845",30738
"1846",28985
"1847",28693
"1848",28712
"1849",29188
"1850",33393
"1851",35305
"1852",35453
"1853",29538
"1854",24300
"1855",25823
"1856",25471
"1857",24322
"1858",24360
"1859",28020
"1860",31515
"1861",32729
"1862",35960
"1863",37916
"1864",35831
"1865",38619
"1866",33330
"1867",30387
"1868",32232
"1869",32270
"1870",34536
"1871",52022
"1872",49214
"1873",42167
"1874",32390
"1875",35883
"1876",44681
"1877",49969
"1878",45601
"1879",54751
"1880",60948
"1881",63467
"1882",63722
"1883",60589
"1884",63109
"1885",59659
"1886",60552
"1887",55689
"1888",55865
"1889",52061
"1890",56437
"1891",60562
"1892",59809
"1893",54816
"1894",64425
"1895",55208
"1896",58043
"1897",69816
"1898",71194
"1899",80034
"1900",79843
"1901",90040
"1902",93808
"1903",95912
"1904",102976
"1905",103569
"1906",96938
"1907",99765
"1908",113417
"1909",109766
"1910",113093
"1911",121458
"1912",118266
"1913",123977
"1914",126499
"1915",119295
"1916",122789
"1917",126247
"1918",120577
"1919",121677
"1920",109711
"1921",93723
"1922",104398
"1923",104101
"1924",99269
"1925",106021
"1926",113930
"1927",117997
"1928",124570
"1929",124248
"1930",132267
"1931",135020
"1932",138623
"1933",146154
"1934",137797
"1935",159674
"1936",90573
"1937",50941
"1938",43663
"1939",28051
"1940",18056
"1941",22129
"1942",31375
"1943",33693
"1944",36312
"1945",33127
"1946",29194
"1947",30497
"1948",30584
"1949",32226
"1950",34800
"1951",34884
"1952",37624
"1953",42960
"1954",46357
"1955",49286
"1956",50451
"1957",57574
"1958",60427
"1959",59596
"1960",63267
"1961",64854
"1962",68206
"1963",71744
"1964",72598
"1965",77297
"1966",83387
"1967",96670
"1968",98382
"1969",108648
"1970",118709
"1971",122022
"1972",143279
"1973",152792
"1974",150944
"1975",151928
"1976",175907
"1977",195515
"1978",216282
"1979",232386
"1980",230387
"1981",237057
"1982",252381
"1983",262909
"1984",273677
"1985",285149
"1986",331999
"1987",356428
"1988",397141
"1989",443607
"1990",494021
"1991",520717
"1992",553193
"1993",541572
"1994",564037
"1995",577933
"1996",638225
"1997",676497
"1998",754590
"1999",2911102
"2000",3016465
"2001",2966458
"2002",3108248
"2003",3347339
"2004",3338396
"2005",3421841
"2006",3428661
"2007",3303634
"2008",2502766
"2009",2133948
"2010",392407
"2011",169874
"2012",176295
"2013",148204
"2014",1061801
"2015",2658538
"2016",2854806
"2017",3691743
"2018",3643692
"2019",3416817
"2020",1863853
"2021",0
