"date","base"
"1854",41
"1855",52
"1856",103
"1857",144
"1858",157
"1859",158
"1860",157
"1861",405
"1862",493
"1863",800
"1864",666
"1865",869
"1866",1256
"1867",1781
"1868",2026
"1869",2477
"1870",2505
"1871",2643
"1872",2744
"1873",2918
"1874",3011
"1875",2804
"1876",2690
"1877",3105
"1878",2850
"1879",2659
"1880",2689
"1881",2696
"1882",2980
"1883",2694
"1884",3023
"1885",3092
"1886",3005
"1887",2979
"1888",3017
"1889",2700
"1890",2529
"1891",2404
"1892",2635
"1893",2703
"1894",2669
"1895",2690
"1896",2624
"1897",2483
"1898",2228
"1899",2351
"1900",2425
"1901",2295
"1902",2261
"1903",2217
"1904",2331
"1905",2242
"1906",2241
"1907",2228
"1908",2082
"1909",2107
"1910",2000
"1911",2145
"1912",2297
"1913",2270
"1914",2154
"1915",1940
"1916",2220
"1917",2169
"1918",2171
"1919",2131
"1920",2220
"1921",2135
"1922",2176
"1923",2119
"1924",2197
"1925",2211
"1926",2134
"1927",2093
"1928",1948
"1929",1288
"1930",1355
"1931",1551
"1932",1494
"1933",1261
"1934",1205
"1935",1155
"1936",1283
"1937",1223
"1938",1361
"1939",980
"1940",977
"1941",518
"1942",706
"1943",68
"1944",54
"1945",1
"1946",1
"1947",2
"1948",3
"1949",2
"1950",2
"1951",2
"1952",2
"1953",2
"1954",2
"1955",2
"1956",2
"1957",2
"1958",2
"1959",2
"1960",2
"1961",1
"1962",2
"1963",2
"1964",2
"1965",2
"1966",2
"1967",2
"1968",2
"1969",2
"1970",2
"1971",2
"1972",2
"1973",2
"1974",2
"1975",2
"1976",2
"1977",2
"1978",2
"1979",2
"1980",4
"1981",4
"1982",4
"1983",4
"1984",4
"1985",4
"1986",4
"1987",4
"1988",3
"1989",4
"1990",4
"1991",4
"1992",3
"1993",3
"1994",4
"1995",4
"1996",3
"1997",4
"1998",3
"1999",4
"2000",2
"2001",0
"2002",0
"2003",0
"2004",0
"2005",0
"2006",0
"2007",0
"2008",0
"2009",0
"2010",0
"2011",0
"2012",0
"2013",0
"2014",0
"2015",0
"2016",0
"2017",0
"2018",0
"2019",0
"2020",0
"2021",0
