"date","base"
"1692",624
"1693",0
"1694",0
"1695",0
"1696",0
"1697",0
"1698",0
"1699",0
"1700",0
"1701",0
"1702",0
"1703",0
"1704",0
"1705",0
"1706",0
"1707",0
"1708",0
"1709",0
"1710",0
"1711",0
"1712",0
"1713",813
"1714",601
"1715",731
"1716",418
"1717",0
"1718",0
"1719",0
"1720",0
"1721",0
"1722",0
"1723",0
"1724",0
"1725",0
"1726",0
"1727",0
"1728",0
"1729",0
"1730",935
"1731",872
"1732",0
"1733",0
"1734",0
"1735",0
"1736",0
"1737",0
"1738",985
"1739",1217
"1740",0
"1741",0
"1742",1083
"1743",1207
"1744",1227
"1745",1213
"1746",1023
"1747",1095
"1748",1069
"1749",1111
"1750",1123
"1751",1102
"1752",1108
"1753",1182
"1754",1276
"1755",1167
"1756",1147
"1757",0
"1758",1327
"1759",0
"1760",521
"1761",1496
"1762",1371
"1763",1311
"1764",1169
"1765",1289
"1766",1253
"1767",1403
"1768",1482
"1769",1592
"1770",1685
"1771",1716
"1772",1507
"1773",1391
"1774",1244
"1775",1152
"1776",1146
"1777",1081
"1778",1025
"1779",1125
"1780",1155
"1781",1125
"1782",1141
"1783",1177
"1784",1195
"1785",1188
"1786",979
"1787",902
"1788",1080
"1789",936
"1790",989
"1791",1079
"1792",983
"1793",817
"1794",1010
"1795",915
"1796",1262
"1797",1240
"1798",53
"1799",0
"1800",0
"1801",0
"1802",0
"1803",0
"1804",0
"1805",0
"1806",0
"1807",0
"1808",0
"1809",0
"1810",0
"1811",0
"1812",0
"1813",0
"1814",141
"1815",85
"1816",160
"1817",0
"1818",165
"1819",137
"1820",113
"1821",142
"1822",125
"1823",152
"1824",148
"1825",149
"1826",164
"1827",179
"1828",159
"1829",221
"1830",890
"1831",1867
"1832",1391
"1833",1045
"1834",225
"1835",256
"1836",270
"1837",298
"1838",306
"1839",1113
"1840",1606
"1841",2201
"1842",3055
"1843",3259
"1844",2107
"1845",2198
"1846",2982
"1847",2911
"1848",2930
"1849",3155
"1850",3495
"1851",3226
"1852",4661
"1853",4955
"1854",5934
"1855",9052
"1856",10223
"1857",10088
"1858",10375
"1859",10834
"1860",11157
"1861",16175
"1862",14195
"1863",13676
"1864",15323
"1865",16737
"1866",16321
"1867",16310
"1868",17647
"1869",19155
"1870",18485
"1871",21613
"1872",22891
"1873",23691
"1874",28193
"1875",27441
"1876",32738
"1877",34764
"1878",36433
"1879",37141
"1880",47171
"1881",57336
"1882",56143
"1883",61409
"1884",66802
"1885",61682
"1886",76826
"1887",69152
"1888",68825
"1889",68689
"1890",79386
"1891",88952
"1892",80100
"1893",83119
"1894",82578
"1895",86177
"1896",78221
"1897",86389
"1898",89322
"1899",96482
"1900",109120
"1901",112019
"1902",107751
"1903",106946
"1904",119781
"1905",135811
"1906",132679
"1907",144630
"1908",134019
"1909",130485
"1910",136871
"1911",156797
"1912",165971
"1913",172845
"1914",162314
"1915",158150
"1916",159433
"1917",159854
"1918",162301
"1919",165244
"1920",176575
"1921",149092
"1922",146310
"1923",152906
"1924",161474
"1925",163813
"1926",172732
"1927",178324
"1928",186148
"1929",191674
"1930",197696
"1931",195047
"1932",196055
"1933",193499
"1934",204740
"1935",187210
"1936",173246
"1937",180359
"1938",167147
"1939",176227
"1940",174037
"1941",173515
"1942",180134
"1943",175049
"1944",181412
"1945",176773
"1946",196094
"1947",206251
"1948",220111
"1949",221148
"1950",218616
"1951",225543
"1952",231244
"1953",231767
"1954",245561
"1955",259757
"1956",284675
"1957",296496
"1958",305013
"1959",304868
"1960",309593
"1961",323689
"1962",339706
"1963",336883
"1964",355425
"1965",365196
"1966",367600
"1967",381515
"1968",372235
"1969",393926
"1970",360297
"1971",327552
"1972",364456
"1973",368737
"1974",361401
"1975",346865
"1976",363509
"1977",371476
"1978",394646
"1979",371154
"1980",385462
"1981",389687
"1982",388108
"1983",391472
"1984",398716
"1985",404595
"1986",416333
"1987",429813
"1988",400326
"1989",411718
"1990",414123
"1991",401712
"1992",389077
"1993",373602
"1994",363740
"1995",364543
"1996",299210
"1997",308004
"1998",328292
"1999",332307
"2000",322599
"2001",314715
"2002",290452
"2003",280726
"2004",276094
"2005",264533
"2006",259581
"2007",272945
"2008",263555
"2009",236322
"2010",240907
"2011",232250
"2012",198371
"2013",135709
"2014",143642
"2015",139960
"2016",141357
"2017",142180
"2018",87965
"2019",85388
"2020",66100
"2021",25452
"2022",0
