"date","base"
"1700",0
"1701",0
"1702",0
"1703",0
"1704",0
"1705",0
"1706",0
"1707",0
"1708",0
"1709",0
"1710",0
"1711",0
"1712",0
"1713",0
"1714",0
"1715",0
"1716",0
"1717",0
"1718",0
"1719",0
"1720",0
"1721",0
"1722",0
"1723",0
"1724",0
"1725",0
"1726",0
"1727",0
"1728",0
"1729",0
"1730",0
"1731",0
"1732",0
"1733",0
"1734",0
"1735",0
"1736",0
"1737",0
"1738",0
"1739",0
"1740",0
"1741",0
"1742",0
"1743",0
"1744",0
"1745",0
"1746",0
"1747",0
"1748",0
"1749",0
"1750",0
"1751",0
"1752",0
"1753",0
"1754",0
"1755",0
"1756",0
"1757",0
"1758",0
"1759",0
"1760",0
"1761",0
"1762",0
"1763",0
"1764",0
"1765",0
"1766",0
"1767",0
"1768",0
"1769",0
"1770",0
"1771",0
"1772",0
"1773",0
"1774",0
"1775",0
"1776",0
"1777",0
"1778",0
"1779",0
"1780",0
"1781",0
"1782",0
"1783",0
"1784",0
"1785",0
"1786",0
"1787",0
"1788",0
"1789",0
"1790",0
"1791",0
"1792",0
"1793",0
"1794",0
"1795",0
"1796",0
"1797",0
"1798",0
"1799",0
"1800",0
"1801",0
"1802",0
"1803",0
"1804",0
"1805",0
"1806",0
"1807",0
"1808",0
"1809",0
"1810",0
"1811",0
"1812",0
"1813",0
"1814",1667
"1815",732
"1816",1436
"1817",1466
"1818",730
"1819",1345
"1820",742
"1821",2265
"1822",3357
"1823",3897
"1824",3950
"1825",5417
"1826",4582
"1827",5763
"1828",5641
"1829",6525
"1830",7705
"1831",13082
"1832",10431
"1833",9706
"1834",10038
"1835",9898
"1836",8095
"1837",7436
"1838",8694
"1839",9109
"1840",11929
"1841",11228
"1842",8555
"1843",6994
"1844",8607
"1845",8450
"1846",7640
"1847",7920
"1848",8992
"1849",10407
"1850",10930
"1851",12476
"1852",11832
"1853",10334
"1854",12655
"1855",11057
"1856",12108
"1857",8366
"1858",10708
"1859",12417
"1860",10181
"1861",10151
"1862",9928
"1863",9654
"1864",10360
"1865",9308
"1866",9846
"1867",10180
"1868",10775
"1869",11318
"1870",11158
"1871",11196
"1872",9894
"1873",10491
"1874",9634
"1875",8877
"1876",8262
"1877",9274
"1878",11875
"1879",10820
"1880",11153
"1881",10544
"1882",10082
"1883",7965
"1884",13717
"1885",13920
"1886",12594
"1887",13164
"1888",14954
"1889",14559
"1890",13687
"1891",14854
"1892",14218
"1893",14540
"1894",15521
"1895",16301
"1896",17772
"1897",19756
"1898",17525
"1899",17960
"1900",18182
"1901",19423
"1902",23172
"1903",24076
"1904",26211
"1905",24097
"1906",25042
"1907",26265
"1908",20932
"1909",20663
"1910",21263
"1911",26511
"1912",27398
"1913",30629
"1914",21165
"1915",13876
"1916",14356
"1917",9608
"1918",6400
"1919",22046
"1920",25842
"1921",28323
"1922",34902
"1923",36182
"1924",38306
"1925",38474
"1926",36100
"1927",35415
"1928",37033
"1929",37435
"1930",37529
"1931",34668
"1932",40977
"1933",42134
"1934",44338
"1935",48055
"1936",50473
"1937",55558
"1938",52310
"1939",50839
"1940",27875
"1941",25066
"1942",16622
"1943",13428
"1944",9254
"1945",10729
"1946",27151
"1947",31476
"1948",33893
"1949",36256
"1950",38315
"1951",6282
"1952",6447
"1953",6747
"1954",7178
"1955",8449
"1956",7561
"1957",7568
"1958",8196
"1959",8555
"1960",7781
"1961",7762
"1962",7025
"1963",7575
"1964",7685
"1965",7702
"1966",9712
"1967",7853
"1968",8241
"1969",9103
"1970",6946
"1971",0
"1972",0
"1973",0
"1974",0
"1975",0
"1976",0
"1977",0
"1978",0
"1979",0
"1980",0
"1981",0
"1982",0
"1983",0
"1984",0
"1985",0
"1986",0
"1987",0
"1988",0
"1989",0
"1990",0
"1991",0
"1992",0
"1993",0
"1994",0
"1995",0
"1996",0
"1997",0
"1998",0
"1999",0
"2000",0
"2001",0
"2002",0
"2003",0
"2004",0
"2005",0
"2006",0
"2007",0
"2008",0
"2009",0
"2010",0
"2011",0
"2012",0
"2013",0
"2014",0
"2015",0
"2016",0
"2017",0
"2018",0
"2019",0
"2020",0
"2021",0
