"date","base"
"1814",0
"1815",0
"1816",0
"1817",0
"1818",0
"1819",0
"1820",0
"1821",0
"1822",0
"1823",0
"1824",0
"1825",0
"1826",0
"1827",0
"1828",0
"1829",0
"1830",0
"1831",0
"1832",0
"1833",0
"1834",0
"1835",0
"1836",0
"1837",0
"1838",0
"1839",0
"1840",0
"1841",0
"1842",0
"1843",0
"1844",32
"1845",730
"1846",644
"1847",654
"1848",972
"1849",1218
"1850",1212
"1851",1236
"1852",1232
"1853",1320
"1854",1440
"1855",0
"1856",110
"1857",1246
"1858",1279
"1859",1352
"1860",1316
"1861",1422
"1862",1326
"1863",1328
"1864",2710
"1865",2720
"1866",2758
"1867",2740
"1868",2323
"1869",1322
"1870",1352
"1871",1330
"1872",1216
"1873",1236
"1874",1236
"1875",1375
"1876",1425
"1877",1415
"1878",1428
"1879",1401
"1880",2308
"1881",2020
"1882",2204
"1883",590
"1884",2563
"1885",3522
"1886",2429
"1887",2488
"1888",2540
"1889",2624
"1890",1344
"1891",1348
"1892",1340
"1893",2438
"1894",4030
"1895",3568
"1896",4012
"1897",4054
"1898",4134
"1899",4230
"1900",4264
"1901",4534
"1902",5000
"1903",4314
"1904",4574
"1905",4423
"1906",4534
"1907",4552
"1908",4648
"1909",5186
"1910",7870
"1911",15638
"1912",15404
"1913",15078
"1914",9995
"1915",7116
"1916",4972
"1917",3482
"1918",3061
"1919",14677
"1920",16626
"1921",20249
"1922",22563
"1923",23774
"1924",24717
"1925",25247
"1926",25339
"1927",25047
"1928",27349
"1929",30098
"1930",30940
"1931",32674
"1932",38436
"1933",38106
"1934",38392
"1935",40339
"1936",42930
"1937",45019
"1938",44708
"1939",44684
"1940",23296
"1941",18139
"1942",13090
"1943",8448
"1944",6310
"1945",13084
"1946",27466
"1947",34954
"1948",37107
"1949",38494
"1950",41546
"1951",0
"1952",0
"1953",0
"1954",0
"1955",0
"1956",0
"1957",0
"1958",0
"1959",0
"1960",0
"1961",0
"1962",0
"1963",0
"1964",0
"1965",0
"1966",0
"1967",0
"1968",0
"1969",0
"1970",0
