"date","base"
"1800",0
"1801",0
"1802",0
"1803",0
"1804",0
"1805",0
"1806",0
"1807",144
"1808",282
"1809",831
"1810",853
"1811",1028
"1812",921
"1813",1103
"1814",1079
"1815",1413
"1816",1389
"1817",1298
"1818",839
"1819",866
"1820",1042
"1821",1070
"1822",1048
"1823",424
"1824",1001
"1825",874
"1826",1003
"1827",356
"1828",25
"1829",700
"1830",857
"1831",24
"1832",693
"1833",631
"1834",1263
"1835",1889
"1836",1928
"1837",2089
"1838",2224
"1839",2066
"1840",2649
"1841",1866
"1842",2057
"1843",2488
"1844",3008
"1845",2688
"1846",2877
"1847",3029
"1848",6034
"1849",6770
"1850",6536
"1851",6587
"1852",5380
"1853",6762
"1854",6913
"1855",6016
"1856",6643
"1857",5706
"1858",4177
"1859",2892
"1860",4592
"1861",5071
"1862",6550
"1863",5866
"1864",5759
"1865",5869
"1866",5910
"1867",5882
"1868",6190
"1869",6565
"1870",5958
"1871",5868
"1872",5560
"1873",6551
"1874",5883
"1875",6836
"1876",6691
"1877",6688
"1878",6833
"1879",6157
"1880",6102
"1881",7182
"1882",7962
"1883",7258
"1884",8737
"1885",8249
"1886",7129
"1887",4500
"1888",5285
"1889",6888
"1890",6910
"1891",7161
"1892",7713
"1893",8583
"1894",7909
"1895",6809
"1896",6769
"1897",6681
"1898",6594
"1899",6408
"1900",5862
"1901",6684
"1902",5764
"1903",5382
"1904",6875
"1905",6837
"1906",4897
"1907",4706
"1908",4487
"1909",4149
"1910",4610
"1911",4950
"1912",4635
"1913",4117
"1914",3171
"1915",1902
"1916",1603
"1917",1525
"1918",1540
"1919",2315
"1920",1860
"1921",960
"1922",4369
"1923",4483
"1924",4705
"1925",5032
"1926",5119
"1927",5244
"1928",5629
"1929",5826
"1930",6010
"1931",6230
"1932",6368
"1933",6432
"1934",5543
"1935",7105
"1936",10780
"1937",8759
"1938",6919
"1939",5858
"1940",2547
"1941",3181
"1942",2400
"1943",2143
"1944",1559
"1945",106
"1946",0
"1947",0
"1948",0
"1949",0
"1950",0
