"date","base"
"1800",0
"1801",0
"1802",1
"1803",2
"1804",1
"1805",0
"1806",1
"1807",1
"1808",1
"1809",1
"1810",1
"1811",1
"1812",1
"1813",1
"1814",0
"1815",0
"1816",2
"1817",26
"1818",2
"1819",1
"1820",5
"1821",30
"1822",18
"1823",7
"1824",3
"1825",22
"1826",2
"1827",3
"1828",5
"1829",3
"1830",9
"1831",12
"1832",7
"1833",17
"1834",2
"1835",2
"1836",1
"1837",4
"1838",4
"1839",3
"1840",2
"1841",5
"1842",5
"1843",3
"1844",3
"1845",3
"1846",4
"1847",3
"1848",3
"1849",1
"1850",5
"1851",5
"1852",2
"1853",1
"1854",3
"1855",2
"1856",4
"1857",8
"1858",8
"1859",21
"1860",19
"1861",24
"1862",23
"1863",20
"1864",22
"1865",21
"1866",14
"1867",12
"1868",17
"1869",34
"1870",30
"1871",13
"1872",30
"1873",29
"1874",30
"1875",38
"1876",35
"1877",47
"1878",96
"1879",34
"1880",37
"1881",46
"1882",23
"1883",40
"1884",78
"1885",35
"1886",31
"1887",60
"1888",26
"1889",26
"1890",46
"1891",59
"1892",100
"1893",77
"1894",132
"1895",70
"1896",109
"1897",192
"1898",221
"1899",168
"1900",135
"1901",135
"1902",147
"1903",185
"1904",148
"1905",108
"1906",199
"1907",310
"1908",370
"1909",409
"1910",380
"1911",351
"1912",834
"1913",813
"1914",621
"1915",500
"1916",552
"1917",553
"1918",534
"1919",588
"1920",648
"1921",722
"1922",823
"1923",957
"1924",981
"1925",1144
"1926",1019
"1927",1042
"1928",1011
"1929",872
"1930",1032
"1931",1022
"1932",1058
"1933",1180
"1934",1284
"1935",1128
"1936",1134
"1937",850
"1938",708
"1939",454
"1940",427
"1941",424
"1942",389
"1943",422
"1944",379
"1945",66
"1946",72
"1947",73
"1948",70
"1949",65
"1950",64
"1951",67
"1952",71
"1953",71
"1954",73
"1955",76
"1956",82
"1957",77
"1958",88
"1959",7
"1960",6
"1961",8
"1962",8
"1963",6
"1964",6
"1965",7
"1966",9
"1967",11
"1968",9
"1969",10
"1970",10
"1971",12
"1972",10
"1973",5
"1974",3
"1975",5
"1976",6
"1977",6
"1978",6
"1979",6
"1980",5
"1981",7
"1982",4
"1983",4
"1984",5
"1985",5
"1986",6
"1987",6
"1988",5
"1989",9
"1990",6
"1991",6
"1992",4
"1993",7
"1994",6
"1995",6
"1996",6
"1997",6
"1998",5
"1999",5
"2000",5
"2001",6
"2002",7
"2003",5
"2004",4
"2005",6
"2006",5
"2007",6
"2008",6
"2009",2
"2010",0
"2011",0
"2012",0
"2013",0
"2014",0
"2015",0
"2016",0
"2017",0
"2018",0
"2019",0
"2020",0
"2021",0
