"date","base"
"1821",1
"1822",0
"1823",1
"1824",0
"1825",0
"1826",0
"1827",1
"1828",0
"1829",1
"1830",1
"1831",1
"1832",1
"1833",1
"1834",0
"1835",0
"1836",1
"1837",0
"1838",2
"1839",0
"1840",1
"1841",0
"1842",0
"1843",0
"1844",0
"1845",1
"1846",1
"1847",0
"1848",0
"1849",0
"1850",1
"1851",0
"1852",0
"1853",1
"1854",1
"1855",1
"1856",0
"1857",0
"1858",0
"1859",0
"1860",5
"1861",2
"1862",2
"1863",1
"1864",3
"1865",2
"1866",2
"1867",2
"1868",3
"1869",2
"1870",3
"1871",2
"1872",3
"1873",3
"1874",4
"1875",0
"1876",0
"1877",4
"1878",3
"1879",4
"1880",6
"1881",1
"1882",11
"1883",45
"1884",0
"1885",0
"1886",44
"1887",373
"1888",363
"1889",359
"1890",358
"1891",407
"1892",393
"1893",359
"1894",360
"1895",357
"1896",358
"1897",366
"1898",364
"1899",515
"1900",725
"1901",727
"1902",734
"1903",747
"1904",739
"1905",736
"1906",803
"1907",734
"1908",737
"1909",734
"1910",733
"1911",735
"1912",1033
"1913",1292
"1914",1099
"1915",1379
"1916",1829
"1917",1823
"1918",1463
"1919",1730
"1920",1462
"1921",1461
"1922",1468
"1923",1515
"1924",1520
"1925",1454
"1926",1453
"1927",1462
"1928",1470
"1929",1462
"1930",1462
"1931",1462
"1932",1528
"1933",1519
"1934",1498
"1935",1492
"1936",1495
"1937",1447
"1938",1455
"1939",1095
"1940",1389
"1941",1287
"1942",1233
"1943",1223
"1944",642
"1945",0
"1946",0
"1947",0
"1948",0
"1949",0
"1950",0
"1951",0
"1952",0
"1953",0
"1954",0
"1955",0
"1956",0
"1957",4
"1958",3
"1959",3
"1960",4
"1961",4
"1962",4
"1963",5
"1964",3
"1965",4
"1966",4
"1967",2
"1968",4
"1969",3
"1970",4
"1971",3
"1972",4
"1973",4
"1974",5
"1975",4
"1976",4
"1977",1
"1978",0
"1979",0
"1980",0
"1981",0
"1982",0
"1983",0
"1984",0
"1985",0
"1986",0
"1987",0
"1988",0
"1989",0
"1990",0
"1991",0
"1992",0
"1993",0
"1994",0
"1995",0
"1996",0
"1997",0
"1998",0
"1999",0
"2000",0
"2001",0
"2002",0
"2003",0
"2004",0
"2005",0
"2006",0
"2007",0
"2008",0
"2009",0
"2010",0
"2011",0
"2012",0
"2013",0
"2014",0
"2015",0
"2016",0
"2017",0
"2018",0
"2019",0
"2020",0
"2021",0
