"","year","month","count","n_page","mot","base","date","ratio"
"1",1780,1,1864,NA,"und",1864,1780-01-01,1
"2",1780,2,1811,NA,"und",1811,1780-02-01,1
"3",1780,3,1855,NA,"und",1855,1780-03-01,1
"4",1780,4,1769,NA,"und",1769,1780-04-01,1
"5",1780,5,1930,NA,"und",1930,1780-05-01,1
"6",1780,6,1720,NA,"und",1720,1780-06-01,1
"7",1780,7,1945,NA,"und",1945,1780-07-01,1
"8",1780,8,1848,NA,"und",1848,1780-08-01,1
"9",1780,9,1851,NA,"und",1851,1780-09-01,1
"10",1780,10,1882,NA,"und",1882,1780-10-01,1
"11",1780,11,1108,NA,"und",1108,1780-11-01,1
"12",1780,12,685,NA,"und",685,1780-12-01,1
"13",1781,1,1775,NA,"und",1775,1781-01-01,1
"14",1781,2,1535,NA,"und",1535,1781-02-01,1
"15",1781,3,1730,NA,"und",1730,1781-03-01,1
"16",1781,4,1565,NA,"und",1565,1781-04-01,1
"17",1781,5,1725,NA,"und",1725,1781-05-01,1
"18",1781,6,1669,NA,"und",1669,1781-06-01,1
"19",1781,7,1701,NA,"und",1701,1781-07-01,1
"20",1781,8,1672,NA,"und",1672,1781-08-01,1
"21",1781,9,1497,NA,"und",1497,1781-09-01,1
"22",1781,10,1538,NA,"und",1538,1781-10-01,1
"23",1781,11,1481,NA,"und",1481,1781-11-01,1
"24",1781,12,1682,NA,"und",1682,1781-12-01,1
"25",1782,1,890,NA,"und",890,1782-01-01,1
"26",1782,2,616,NA,"und",616,1782-02-01,1
"27",1782,3,772,NA,"und",772,1782-03-01,1
"28",1782,4,822,NA,"und",822,1782-04-01,1
"29",1782,5,725,NA,"und",725,1782-05-01,1
"30",1782,6,658,NA,"und",658,1782-06-01,1
"31",1782,7,778,NA,"und",778,1782-07-01,1
"32",1782,8,695,NA,"und",695,1782-08-01,1
"33",1782,9,584,NA,"und",584,1782-09-01,1
"34",1782,10,743,NA,"und",743,1782-10-01,1
"35",1782,11,683,NA,"und",683,1782-11-01,1
"36",1782,12,733,NA,"und",733,1782-12-01,1
"37",1783,1,781,NA,"und",781,1783-01-01,1
"38",1783,2,757,NA,"und",757,1783-02-01,1
"39",1783,3,800,NA,"und",800,1783-03-01,1
"40",1783,4,834,NA,"und",834,1783-04-01,1
"41",1783,5,837,NA,"und",837,1783-05-01,1
"42",1783,6,754,NA,"und",754,1783-06-01,1
"43",1783,7,995,NA,"und",995,1783-07-01,1
"44",1783,8,959,NA,"und",959,1783-08-01,1
"45",1783,9,787,NA,"und",787,1783-09-01,1
"46",1783,10,749,NA,"und",749,1783-10-01,1
"47",1783,11,742,NA,"und",742,1783-11-01,1
"48",1783,12,710,NA,"und",710,1783-12-01,1
"49",1784,1,1901,NA,"und",1901,1784-01-01,1
"50",1784,2,1951,NA,"und",1951,1784-02-01,1
"51",1784,3,2446,NA,"und",2446,1784-03-01,1
"52",1784,4,2034,NA,"und",2034,1784-04-01,1
"53",1784,5,2029,NA,"und",2029,1784-05-01,1
"54",1784,6,1999,NA,"und",1999,1784-06-01,1
"55",1784,7,2326,NA,"und",2326,1784-07-01,1
"56",1784,8,2291,NA,"und",2291,1784-08-01,1
"57",1784,9,2023,NA,"und",2023,1784-09-01,1
"58",1784,10,2076,NA,"und",2076,1784-10-01,1
"59",1784,11,2136,NA,"und",2136,1784-11-01,1
"60",1784,12,2541,NA,"und",2541,1784-12-01,1
"61",1785,1,3378,NA,"und",3378,1785-01-01,1
"62",1785,2,3041,NA,"und",3041,1785-02-01,1
"63",1785,3,3426,NA,"und",3426,1785-03-01,1
"64",1785,4,2859,NA,"und",2859,1785-04-01,1
"65",1785,5,3066,NA,"und",3066,1785-05-01,1
"66",1785,6,3014,NA,"und",3014,1785-06-01,1
"67",1785,7,3291,NA,"und",3291,1785-07-01,1
"68",1785,8,3214,NA,"und",3214,1785-08-01,1
"69",1785,9,3225,NA,"und",3225,1785-09-01,1
"70",1785,10,3843,NA,"und",3843,1785-10-01,1
"71",1785,11,4095,NA,"und",4095,1785-11-01,1
"72",1785,12,4898,NA,"und",4898,1785-12-01,1
"73",1786,1,3859,NA,"und",3859,1786-01-01,1
"74",1786,2,3477,NA,"und",3477,1786-02-01,1
"75",1786,3,3929,NA,"und",3929,1786-03-01,1
"76",1786,4,3534,NA,"und",3534,1786-04-01,1
"77",1786,5,3829,NA,"und",3829,1786-05-01,1
"78",1786,6,3402,NA,"und",3402,1786-06-01,1
"79",1786,7,3796,NA,"und",3796,1786-07-01,1
"80",1786,8,4164,NA,"und",4164,1786-08-01,1
"81",1786,9,4635,NA,"und",4635,1786-09-01,1
"82",1786,10,3882,NA,"und",3882,1786-10-01,1
"83",1786,11,3857,NA,"und",3857,1786-11-01,1
"84",1786,12,3694,NA,"und",3694,1786-12-01,1
"85",1787,1,4367,NA,"und",4367,1787-01-01,1
"86",1787,2,4098,NA,"und",4098,1787-02-01,1
"87",1787,3,4938,NA,"und",4938,1787-03-01,1
"88",1787,4,4344,NA,"und",4344,1787-04-01,1
"89",1787,5,5013,NA,"und",5013,1787-05-01,1
"90",1787,6,4764,NA,"und",4764,1787-06-01,1
"91",1787,7,4968,NA,"und",4968,1787-07-01,1
"92",1787,8,4804,NA,"und",4804,1787-08-01,1
"93",1787,9,4381,NA,"und",4381,1787-09-01,1
"94",1787,10,5227,NA,"und",5227,1787-10-01,1
"95",1787,11,4637,NA,"und",4637,1787-11-01,1
"96",1787,12,5155,NA,"und",5155,1787-12-01,1
"97",1788,1,4304,NA,"und",4304,1788-01-01,1
"98",1788,2,4208,NA,"und",4208,1788-02-01,1
"99",1788,3,4490,NA,"und",4490,1788-03-01,1
"100",1788,4,4554,NA,"und",4554,1788-04-01,1
"101",1788,5,4680,NA,"und",4680,1788-05-01,1
"102",1788,6,4685,NA,"und",4685,1788-06-01,1
"103",1788,7,5218,NA,"und",5218,1788-07-01,1
"104",1788,8,4755,NA,"und",4755,1788-08-01,1
"105",1788,9,5397,NA,"und",5397,1788-09-01,1
"106",1788,10,4696,NA,"und",4696,1788-10-01,1
"107",1788,11,4275,NA,"und",4275,1788-11-01,1
"108",1788,12,4620,NA,"und",4620,1788-12-01,1
"109",1789,1,3895,NA,"und",3895,1789-01-01,1
"110",1789,2,3392,NA,"und",3392,1789-02-01,1
"111",1789,3,3766,NA,"und",3766,1789-03-01,1
"112",1789,4,3781,NA,"und",3781,1789-04-01,1
"113",1789,5,3715,NA,"und",3715,1789-05-01,1
"114",1789,6,3678,NA,"und",3678,1789-06-01,1
"115",1789,7,3589,NA,"und",3589,1789-07-01,1
"116",1789,8,3914,NA,"und",3914,1789-08-01,1
"117",1789,9,3928,NA,"und",3928,1789-09-01,1
"118",1789,10,4232,NA,"und",4232,1789-10-01,1
"119",1789,11,4223,NA,"und",4223,1789-11-01,1
"120",1789,12,4076,NA,"und",4076,1789-12-01,1
"121",1790,1,3690,NA,"und",3690,1790-01-01,1
"122",1790,2,3573,NA,"und",3573,1790-02-01,1
"123",1790,3,4963,NA,"und",4963,1790-03-01,1
"124",1790,4,3892,NA,"und",3892,1790-04-01,1
"125",1790,5,4198,NA,"und",4198,1790-05-01,1
"126",1790,6,4361,NA,"und",4361,1790-06-01,1
"127",1790,7,3988,NA,"und",3988,1790-07-01,1
"128",1790,8,4419,NA,"und",4419,1790-08-01,1
"129",1790,9,4026,NA,"und",4026,1790-09-01,1
"130",1790,10,3980,NA,"und",3980,1790-10-01,1
"131",1790,11,4335,NA,"und",4335,1790-11-01,1
"132",1790,12,4230,NA,"und",4230,1790-12-01,1
"133",1791,1,4988,NA,"und",4988,1791-01-01,1
"134",1791,2,3822,NA,"und",3822,1791-02-01,1
"135",1791,3,4790,NA,"und",4790,1791-03-01,1
"136",1791,4,4824,NA,"und",4824,1791-04-01,1
"137",1791,5,5080,NA,"und",5080,1791-05-01,1
"138",1791,6,4894,NA,"und",4894,1791-06-01,1
"139",1791,7,5171,NA,"und",5171,1791-07-01,1
"140",1791,8,5358,NA,"und",5358,1791-08-01,1
"141",1791,9,5723,NA,"und",5723,1791-09-01,1
"142",1791,10,5186,NA,"und",5186,1791-10-01,1
