"date","base"
"1689/01",0
"1689/02",0
"1689/03",0
"1689/04",0
"1689/05",0
"1689/06",0
"1689/07",0
"1689/08",0
"1689/09",0
"1689/10",0
"1689/11",0
"1689/12",0
"1690/01",0
"1690/02",0
"1690/03",0
"1690/04",0
"1690/05",0
"1690/06",0
"1690/07",0
"1690/08",0
"1690/09",0
"1690/10",0
"1690/11",0
"1690/12",0
"1691/01",0
"1691/02",0
"1691/03",0
"1691/04",0
"1691/05",0
"1691/06",0
"1691/07",0
"1691/08",0
"1691/09",0
"1691/10",0
"1691/11",0
"1691/12",0
"1692/01",0
"1692/02",0
"1692/03",0
"1692/04",0
"1692/05",0
"1692/06",0
"1692/07",0
"1692/08",0
"1692/09",0
"1692/10",0
"1692/11",0
"1692/12",0
"1693/01",0
"1693/02",0
"1693/03",0
"1693/04",0
"1693/05",0
"1693/06",0
"1693/07",0
"1693/08",0
"1693/09",0
"1693/10",0
"1693/11",0
"1693/12",0
"1694/01",0
"1694/02",0
"1694/03",0
"1694/04",0
"1694/05",0
"1694/06",0
"1694/07",0
"1694/08",0
"1694/09",0
"1694/10",0
"1694/11",0
"1694/12",0
"1695/01",0
"1695/02",0
"1695/03",0
"1695/04",0
"1695/05",0
"1695/06",0
"1695/07",0
"1695/08",0
"1695/09",0
"1695/10",0
"1695/11",0
"1695/12",0
"1696/01",0
"1696/02",0
"1696/03",0
"1696/04",0
"1696/05",0
"1696/06",0
"1696/07",0
"1696/08",0
"1696/09",0
"1696/10",0
"1696/11",0
"1696/12",0
"1697/01",0
"1697/02",0
"1697/03",0
"1697/04",0
"1697/05",0
"1697/06",0
"1697/07",0
"1697/08",0
"1697/09",0
"1697/10",0
"1697/11",0
"1697/12",0
"1698/01",0
"1698/02",0
"1698/03",0
"1698/04",0
"1698/05",0
"1698/06",0
"1698/07",0
"1698/08",0
"1698/09",0
"1698/10",0
"1698/11",0
"1698/12",0
"1699/01",0
"1699/02",0
"1699/03",0
"1699/04",0
"1699/05",0
"1699/06",0
"1699/07",0
"1699/08",0
"1699/09",0
"1699/10",0
"1699/11",0
"1699/12",0
"1700/01",0
"1700/02",0
"1700/03",0
"1700/04",0
"1700/05",0
"1700/06",0
"1700/07",0
"1700/08",0
"1700/09",0
"1700/10",0
"1700/11",0
"1700/12",2
"1701/01",0
"1701/02",0
"1701/03",0
"1701/04",0
"1701/05",0
"1701/06",0
"1701/07",0
"1701/08",0
"1701/09",0
"1701/10",0
"1701/11",0
"1701/12",0
"1702/01",0
"1702/02",0
"1702/03",0
"1702/04",0
"1702/05",0
"1702/06",0
"1702/07",0
"1702/08",0
"1702/09",0
"1702/10",0
"1702/11",0
"1702/12",0
"1703/01",0
"1703/02",0
"1703/03",0
"1703/04",0
"1703/05",0
"1703/06",0
"1703/07",0
"1703/08",7
"1703/09",7
"1703/10",7
"1703/11",9
"1703/12",9
"1704/01",9
"1704/02",9
"1704/03",9
"1704/04",0
"1704/05",0
"1704/06",0
"1704/07",0
"1704/08",0
"1704/09",0
"1704/10",0
"1704/11",0
"1704/12",0
"1705/01",9
"1705/02",9
"1705/03",8
"1705/04",9
"1705/05",9
"1705/06",8
"1705/07",9
"1705/08",9
"1705/09",9
"1705/10",9
"1705/11",8
"1705/12",9
"1706/01",9
"1706/02",8
"1706/03",9
"1706/04",8
"1706/05",9
"1706/06",9
"1706/07",9
"1706/08",8
"1706/09",8
"1706/10",9
"1706/11",8
"1706/12",9
"1707/01",9
"1707/02",9
"1707/03",8
"1707/04",9
"1707/05",8
"1707/06",8
"1707/07",9
"1707/08",9
"1707/09",8
"1707/10",9
"1707/11",9
"1707/12",9
"1708/01",8
"1708/02",8
"1708/03",9
"1708/04",8
"1708/05",9
"1708/06",9
"1708/07",8
"1708/08",9
"1708/09",9
"1708/10",9
"1708/11",8
"1708/12",9
"1709/01",9
"1709/02",8
"1709/03",9
"1709/04",9
"1709/05",7
"1709/06",9
"1709/07",9
"1709/08",9
"1709/09",8
"1709/10",9
"1709/11",9
"1709/12",8
"1710/01",9
"1710/02",8
"1710/03",9
"1710/04",9
"1710/05",9
"1710/06",8
"1710/07",9
"1710/08",9
"1710/09",8
"1710/10",8
"1710/11",9
"1710/12",8
"1711/01",8
"1711/02",9
"1711/03",8
"1711/04",9
"1711/05",9
"1711/06",5
"1711/07",9
"1711/08",9
"1711/09",9
"1711/10",9
"1711/11",8
"1711/12",8
"1712/01",8
"1712/02",6
"1712/03",8
"1712/04",9
"1712/05",8
"1712/06",9
"1712/07",9
"1712/08",9
"1712/09",6
"1712/10",9
"1712/11",9
"1712/12",8
"1713/01",8
"1713/02",6
"1713/03",8
"1713/04",8
"1713/05",9
"1713/06",8
"1713/07",7
"1713/08",0
"1713/09",6
"1713/10",6
"1713/11",9
"1713/12",9
"1714/01",9
"1714/02",5
"1714/03",0
"1714/04",0
"1714/05",3
"1714/06",3
"1714/07",4
"1714/08",2
"1714/09",3
"1714/10",0
"1714/11",0
"1714/12",0
"1715/01",4
"1715/02",4
"1715/03",5
"1715/04",4
"1715/05",4
"1715/06",9
"1715/07",9
"1715/08",4
"1715/09",4
"1715/10",5
"1715/11",4
"1715/12",4
"1716/01",5
"1716/02",4
"1716/03",4
"1716/04",5
"1716/05",5
"1716/06",4
"1716/07",4
"1716/08",10
"1716/09",14
"1716/10",13
"1716/11",12
"1716/12",12
"1717/01",12
"1717/02",9
"1717/03",8
"1717/04",8
"1717/05",9
"1717/06",9
"1717/07",9
"1717/08",8
"1717/09",9
"1717/10",9
"1717/11",8
"1717/12",9
"1718/01",9
"1718/02",8
"1718/03",9
"1718/04",9
"1718/05",8
"1718/06",9
"1718/07",9
"1718/08",9
"1718/09",8
"1718/10",9
"1718/11",9
"1718/12",8
"1719/01",16
"1719/02",16
"1719/03",18
"1719/04",18
"1719/05",18
"1719/06",16
"1719/07",18
"1719/08",18
"1719/09",17
"1719/10",16
"1719/11",18
"1719/12",18
"1720/01",18
