"date","base"
"1800-01",0
"1800-02",0
"1800-03",0
"1800-04",0
"1800-05",0
"1800-06",0
"1800-07",0
"1800-08",0
"1800-09",0
"1800-10",0
"1800-11",0
"1800-12",0
"1801-01",0
"1801-02",0
"1801-03",0
"1801-04",0
"1801-05",0
"1801-06",0
"1801-07",0
"1801-08",0
"1801-09",0
"1801-10",0
"1801-11",0
"1801-12",0
"1802-01",0
"1802-02",0
"1802-03",0
"1802-04",0
"1802-05",0
"1802-06",0
"1802-07",0
"1802-08",0
"1802-09",0
"1802-10",0
"1802-11",0
"1802-12",0
"1803-01",0
"1803-02",0
"1803-03",0
"1803-04",0
"1803-05",0
"1803-06",0
"1803-07",0
"1803-08",0
"1803-09",0
"1803-10",0
"1803-11",0
"1803-12",0
"1804-01",0
"1804-02",0
"1804-03",0
"1804-04",0
"1804-05",0
"1804-06",0
"1804-07",0
"1804-08",0
"1804-09",0
"1804-10",0
"1804-11",0
"1804-12",0
"1805-01",0
"1805-02",0
"1805-03",0
"1805-04",0
"1805-05",0
"1805-06",0
"1805-07",0
"1805-08",0
"1805-09",0
"1805-10",0
"1805-11",0
"1805-12",0
"1806-01",0
"1806-02",0
"1806-03",0
"1806-04",0
"1806-05",0
"1806-06",0
"1806-07",0
"1806-08",0
"1806-09",0
"1806-10",1
"1806-11",3
"1806-12",4
"1807-01",14
"1807-02",12
"1807-03",12
"1807-04",13
"1807-05",14
"1807-06",12
"1807-07",4
"1807-08",8
"1807-09",9
"1807-10",9
"1807-11",8
"1807-12",10
"1808-01",10
"1808-02",17
"1808-03",16
"1808-04",14
"1808-05",13
"1808-06",13
"1808-07",14
"1808-08",11
"1808-09",12
"1808-10",13
"1808-11",12
"1808-12",14
"1809-01",4
"1809-02",4
"1809-03",4
"1809-04",6
"1809-05",4
"1809-06",4
"1809-07",3
"1809-08",3
"1809-09",4
"1809-10",1
"1809-11",4
"1809-12",5
"1810-01",3
"1810-02",4
"1810-03",16
"1810-04",4
"1810-05",1
"1810-06",5
"1810-07",5
"1810-08",5
"1810-09",4
"1810-10",5
"1810-11",4
"1810-12",3
"1811-01",4
"1811-02",5
"1811-03",2
"1811-04",0
"1811-05",0
"1811-06",0
"1811-07",0
"1811-08",0
"1811-09",0
"1811-10",0
"1811-11",0
"1811-12",0
"1812-01",0
"1812-02",0
"1812-03",0
"1812-04",0
"1812-05",0
"1812-06",0
"1812-07",0
"1812-08",0
"1812-09",0
"1812-10",0
"1812-11",0
"1812-12",0
"1813-01",0
"1813-02",0
"1813-03",0
"1813-04",1
"1813-05",0
"1813-06",5
"1813-07",5
"1813-08",4
"1813-09",5
"1813-10",4
"1813-11",4
"1813-12",5
"1814-01",5
"1814-02",3
"1814-03",5
"1814-04",4
"1814-05",5
"1814-06",4
"1814-07",4
"1814-08",6
"1814-09",4
"1814-10",4
"1814-11",5
"1814-12",4
"1815-01",5
"1815-02",5
"1815-03",4
"1815-04",4
"1815-05",5
"1815-06",4
"1815-07",5
"1815-08",6
"1815-09",4
"1815-10",5
"1815-11",4
"1815-12",4
"1816-01",5
"1816-02",4
"1816-03",4
"1816-04",5
"1816-05",4
"1816-06",4
"1816-07",5
"1816-08",4
"1816-09",5
"1816-10",4
"1816-11",4
"1816-12",5
"1817-01",4
"1817-02",4
"1817-03",9
"1817-04",9
"1817-05",9
"1817-06",14
"1817-07",14
"1817-08",19
"1817-09",17
"1817-10",14
"1817-11",19
"1817-12",17
"1818-01",20
"1818-02",16
"1818-03",17
"1818-04",16
"1818-05",19
"1818-06",17
"1818-07",16
"1818-08",19
"1818-09",17
"1818-10",18
"1818-11",16
"1818-12",18
"1819-01",19
"1819-02",16
"1819-03",18
"1819-04",16
"1819-05",18
"1819-06",17
"1819-07",17
"1819-08",16
"1819-09",10
"1819-10",14
"1819-11",14
"1819-12",11
"1820-01",7
"1820-02",8
"1820-03",10
"1820-04",9
"1820-05",9
"1820-06",9
"1820-07",9
"1820-08",9
"1820-09",9
"1820-10",8
"1820-11",9
"1820-12",9
"1821-01",10
"1821-02",8
"1821-03",9
"1821-04",8
"1821-05",9
"1821-06",9
"1821-07",8
"1821-08",9
"1821-09",9
"1821-10",9
"1821-11",8
"1821-12",9
"1822-01",9
"1822-02",8
"1822-03",9
"1822-04",8
"1822-05",9
"1822-06",9
"1822-07",9
"1822-08",9
"1822-09",8
"1822-10",10
"1822-11",9
"1822-12",8
"1823-01",10
"1823-02",8
"1823-03",9
"1823-04",11
"1823-05",11
"1823-06",12
"1823-07",14
"1823-08",13
"1823-09",12
"1823-10",13
"1823-11",12
"1823-12",12
"1824-01",13
"1824-02",13
"1824-03",13
"1824-04",10
"1824-05",10
"1824-06",14
"1824-07",13
"1824-08",13
"1824-09",11
"1824-10",9
"1824-11",8
"1824-12",9
"1825-01",11
"1825-02",8
"1825-03",5
"1825-04",5
"1825-05",4
"1825-06",4
"1825-07",5
"1825-08",4
"1825-09",5
"1825-10",5
"1825-11",4
"1825-12",5
"1826-01",4
"1826-02",4
"1826-03",4
"1826-04",5
"1826-05",4
"1826-06",4
"1826-07",5
"1826-08",5
"1826-09",9
"1826-10",8
"1826-11",14
"1826-12",9
"1827-01",7
"1827-02",13
"1827-03",17
"1827-04",17
"1827-05",18
"1827-06",17
"1827-07",20
"1827-08",21
"1827-09",18
"1827-10",18
"1827-11",17
"1827-12",19
"1828-01",18
"1828-02",17
"1828-03",19
"1828-04",17
"1828-05",18
"1828-06",17
"1828-07",18
"1828-08",17
"1828-09",18
"1828-10",18
"1828-11",17
"1828-12",18
"1829-01",18
"1829-02",18
"1829-03",12
"1829-04",9
"1829-05",9
"1829-06",9
"1829-07",9
"1829-08",9
"1829-09",8
"1829-10",9
"1829-11",9
"1829-12",9
"1830-01",8
"1830-02",11
"1830-03",11
"1830-04",10
"1830-05",9
"1830-06",8
"1830-07",9
"1830-08",9
"1830-09",10
"1830-10",8
"1830-11",9
"1830-12",9
"1831-01",10
"1831-02",9
"1831-03",11
"1831-04",8
"1831-05",17
"1831-06",18
"1831-07",17
"1831-08",18
"1831-09",17
"1831-10",18
"1831-11",18
"1831-12",18
"1832-01",17
"1832-02",17
"1832-03",21
"1832-04",18
"1832-05",22
"1832-06",22
"1832-07",26
"1832-08",32
"1832-09",30
"1832-10",33
"1832-11",32
"1832-12",32
"1833-01",31
"1833-02",29
"1833-03",34
"1833-04",36
"1833-05",37
"1833-06",33
"1833-07",36
"1833-08",36
"1833-09",34
"1833-10",37
"1833-11",33
"1833-12",35
"1834-01",36
"1834-02",34
"1834-03",36
"1834-04",34
"1834-05",36
"1834-06",35
"1834-07",36
"1834-08",34
"1834-09",34
"1834-10",39
"1834-11",33
"1834-12",38
"1835-01",40
"1835-02",38
"1835-03",35
"1835-04",39
"1835-05",36
"1835-06",33
"1835-07",37
"1835-08",35
"1835-09",34
"1835-10",36
"1835-11",34
"1835-12",35
"1836-01",32
"1836-02",34
"1836-03",36
"1836-04",34
"1836-05",34
"1836-06",30
"1836-07",30
"1836-08",32
"1836-09",30
"1836-10",31
"1836-11",30
"1836-12",31
"1837-01",30
"1837-02",29
"1837-03",33
"1837-04",39
"1837-05",47
"1837-06",44
"1837-07",45
"1837-08",49
"1837-09",48
"1837-10",48
"1837-11",43
"1837-12",44
"1838-01",40
"1838-02",38
"1838-03",35
"1838-04",29
"1838-05",35
"1838-06",48
"1838-07",51
"1838-08",54
"1838-09",49
"1838-10",53
"1838-11",27
"1838-12",26
"1839-01",27
"1839-02",28
"1839-03",27
"1839-04",21
"1839-05",24
"1839-06",24
"1839-07",31
"1839-08",32
"1839-09",31
"1839-10",31
"1839-11",30
"1839-12",30
"1840-01",27
"1840-02",26
"1840-03",26
"1840-04",32
"1840-05",30
"1840-06",40
"1840-07",40
"1840-08",35
"1840-09",35
"1840-10",34
"1840-11",27
"1840-12",29
"1841-01",26
"1841-02",28
"1841-03",32
"1841-04",32
"1841-05",30
"1841-06",30
"1841-07",35
"1841-08",32
"1841-09",34
"1841-10",30
"1841-11",27
"1841-12",22
"1842-01",23
"1842-02",24
"1842-03",24
"1842-04",26
"1842-05",33
"1842-06",37
"1842-07",37
"1842-08",36
"1842-09",48
"1842-10",47
"1842-11",47
"1842-12",62
"1843-01",59
"1843-02",57
"1843-03",59
"1843-04",56
"1843-05",65
"1843-06",57
"1843-07",62
"1843-08",74
"1843-09",63
"1843-10",61
"1843-11",70
"1843-12",67
"1844-01",65
"1844-02",66
"1844-03",63
"1844-04",68
"1844-05",71
"1844-06",68
"1844-07",77
"1844-08",75
"1844-09",64
"1844-10",73
"1844-11",62
"1844-12",67
"1845-01",64
"1845-02",62
"1845-03",70
"1845-04",66
"1845-05",59
"1845-06",56
"1845-07",56
"1845-08",54
"1845-09",52
"1845-10",56
"1845-11",50
"1845-12",42
"1846-01",44
"1846-02",40
"1846-03",42
"1846-04",44
"1846-05",42
"1846-06",43
"1846-07",46
"1846-08",43
"1846-09",43
"1846-10",44
"1846-11",42
"1846-12",44
"1847-01",40
"1847-02",39
"1847-03",43
"1847-04",42
"1847-05",43
"1847-06",44
"1847-07",43
"1847-08",42
"1847-09",42
"1847-10",40
"1847-11",43
"1847-12",41
"1848-01",41
"1848-02",42
"1848-03",45
"1848-04",42
"1848-05",45
"1848-06",45
"1848-07",48
"1848-08",48
"1848-09",45
"1848-10",47
"1848-11",45
"1848-12",44
"1849-01",41
"1849-02",35
"1849-03",37
"1849-04",33
"1849-05",37
"1849-06",32
"1849-07",35
"1849-08",36
"1849-09",33
"1849-10",36
"1849-11",35
"1849-12",35
"1850-01",35
"1850-02",32
"1850-03",34
"1850-04",35
"1850-05",37
"1850-06",32
"1850-07",36
"1850-08",36
"1850-09",34
"1850-10",36
"1850-11",33
"1850-12",34
"1851-01",34
"1851-02",32
"1851-03",35
"1851-04",34
"1851-05",37
"1851-06",36
"1851-07",41
"1851-08",39
"1851-09",38
"1851-10",39
"1851-11",37
"1851-12",37
"1852-01",33
"1852-02",32
"1852-03",41
"1852-04",39
"1852-05",42
"1852-06",43
"1852-07",46
"1852-08",43
"1852-09",45
"1852-10",44
"1852-11",40
"1852-12",39
"1853-01",37
"1853-02",36
"1853-03",52
"1853-04",52
"1853-05",52
"1853-06",51
"1853-07",52
"1853-08",54
"1853-09",52
"1853-10",53
"1853-11",52
"1853-12",52
"1854-01",48
"1854-02",48
"1854-03",54
"1854-04",48
"1854-05",54
"1854-06",50
"1854-07",52
"1854-08",56
"1854-09",51
"1854-10",53
"1854-11",49
"1854-12",48
"1855-01",47
"1855-02",45
"1855-03",49
"1855-04",46
"1855-05",58
"1855-06",50
"1855-07",52
"1855-08",54
"1855-09",50
"1855-10",51
"1855-11",47
"1855-12",48
"1856-01",49
"1856-02",48
"1856-03",51
"1856-04",57
"1856-05",52
"1856-06",47
"1856-07",55
"1856-08",52
"1856-09",51
"1856-10",52
"1856-11",45
"1856-12",49
"1857-01",46
"1857-02",69
"1857-03",76
"1857-04",78
"1857-05",87
"1857-06",88
"1857-07",95
"1857-08",82
"1857-09",84
"1857-10",86
"1857-11",62
"1857-12",68
"1858-01",58
"1858-02",60
"1858-03",78
"1858-04",72
"1858-05",70
"1858-06",73
"1858-07",75
"1858-08",70
"1858-09",68
"1858-10",68
"1858-11",67
"1858-12",77
"1859-01",70
"1859-02",72
"1859-03",80
"1859-04",74
"1859-05",78
"1859-06",72
"1859-07",78
"1859-08",82
"1859-09",78
"1859-10",79
"1859-11",78
"1859-12",76
"1860-01",75
"1860-02",75
"1860-03",84
"1860-04",76
"1860-05",84
"1860-06",85
"1860-07",92
"1860-08",93
"1860-09",85
"1860-10",96
"1860-11",88
"1860-12",85
"1861-01",85
"1861-02",80
"1861-03",83
"1861-04",88
"1861-05",84
"1861-06",78
"1861-07",91
"1861-08",89
"1861-09",84
"1861-10",92
"1861-11",84
"1861-12",86
"1862-01",84
"1862-02",80
"1862-03",83
"1862-04",96
"1862-05",101
"1862-06",81
"1862-07",91
"1862-08",92
"1862-09",90
"1862-10",94
"1862-11",82
"1862-12",83
"1863-01",84
"1863-02",84
"1863-03",93
"1863-04",99
"1863-05",95
"1863-06",82
"1863-07",91
"1863-08",88
"1863-09",92
"1863-10",93
"1863-11",89
"1863-12",92
"1864-01",81
"1864-02",89
"1864-03",92
"1864-04",91
"1864-05",101
"1864-06",105
"1864-07",100
"1864-08",105
"1864-09",150
"1864-10",161
"1864-11",156
"1864-12",166
"1865-01",157
"1865-02",153
"1865-03",165
"1865-04",150
"1865-05",166
"1865-06",149
"1865-07",162
"1865-08",166
"1865-09",162
"1865-10",162
"1865-11",158
"1865-12",153
"1866-01",157
"1866-02",150
"1866-03",169
"1866-04",168
"1866-05",172
"1866-06",176
"1866-07",189
"1866-08",195
"1866-09",178
"1866-10",194
"1866-11",182
"1866-12",177
"1867-01",189
"1867-02",177
"1867-03",163
"1867-04",163
"1867-05",168
"1867-06",146
"1867-07",168
"1867-08",175
"1867-09",160
"1867-10",172
"1867-11",155
"1867-12",152
"1868-01",153
"1868-02",152
"1868-03",155
"1868-04",155
"1868-05",160
"1868-06",164
"1868-07",190
"1868-08",175
"1868-09",174
"1868-10",174
"1868-11",164
"1868-12",168
"1869-01",153
"1869-02",159
"1869-03",172
"1869-04",173
"1869-05",158
"1869-06",163
"1869-07",175
"1869-08",164
"1869-09",179
"1869-10",180
"1869-11",175
"1869-12",183
"1870-01",172
"1870-02",174
"1870-03",189
"1870-04",179
"1870-05",188
"1870-06",182
"1870-07",190
"1870-08",197
"1870-09",189
"1870-10",181
"1870-11",178
"1870-12",189
"1871-01",166
"1871-02",164
"1871-03",186
"1871-04",161
"1871-05",175
"1871-06",168
"1871-07",173
"1871-08",180
"1871-09",167
"1871-10",167
"1871-11",154
"1871-12",147
"1872-01",150
"1872-02",154
"1872-03",152
"1872-04",151
"1872-05",153
"1872-06",146
"1872-07",156
"1872-08",163
"1872-09",151
"1872-10",159
"1872-11",153
"1872-12",153
"1873-01",156
"1873-02",143
"1873-03",155
"1873-04",151
"1873-05",164
"1873-06",149
"1873-07",165
"1873-08",154
"1873-09",160
"1873-10",174
"1873-11",150
"1873-12",156
"1874-01",151
"1874-02",148
"1874-03",156
"1874-04",164
"1874-05",163
"1874-06",159
"1874-07",189
"1874-08",182
"1874-09",181
"1874-10",187
"1874-11",175
"1874-12",182
"1875-01",164
"1875-02",169
"1875-03",180
"1875-04",181
"1875-05",169
"1875-06",170
"1875-07",185
"1875-08",175
"1875-09",171
"1875-10",176
"1875-11",169
"1875-12",178
"1876-01",160
"1876-02",170
"1876-03",180
"1876-04",165
"1876-05",175
"1876-06",168
"1876-07",175
"1876-08",184
"1876-09",168
"1876-10",170
"1876-11",165
"1876-12",165
"1877-01",164
"1877-02",158
"1877-03",176
"1877-04",160
"1877-05",166
"1877-06",185
"1877-07",189
"1877-08",198
"1877-09",183
"1877-10",198
"1877-11",197
"1877-12",185
"1878-01",186
"1878-02",175
"1878-03",188
"1878-04",187
"1878-05",185
"1878-06",171
"1878-07",188
"1878-08",194
"1878-09",174
"1878-10",193
"1878-11",183
"1878-12",186
"1879-01",189
"1879-02",175
"1879-03",181
"1879-04",180
"1879-05",178
"1879-06",165
"1879-07",205
"1879-08",204
"1879-09",204
"1879-10",219
"1879-11",194
"1879-12",201
"1880-01",205
"1880-02",200
"1880-03",205
"1880-04",199
"1880-05",205
"1880-06",209
"1880-07",246
"1880-08",243
"1880-09",243
"1880-10",249
"1880-11",242
"1880-12",257
"1881-01",221
"1881-02",224
"1881-03",247
"1881-04",249
"1881-05",239
"1881-06",232
"1881-07",242
"1881-08",244
"1881-09",239
"1881-10",242
"1881-11",228
"1881-12",242
"1882-01",229
"1882-02",236
"1882-03",264
"1882-04",247
"1882-05",256
"1882-06",243
"1882-07",236
"1882-08",238
"1882-09",252
"1882-10",248
"1882-11",246
"1882-12",242
"1883-01",260
"1883-02",273
"1883-03",309
"1883-04",283
"1883-05",291
"1883-06",281
"1883-07",286
"1883-08",324
"1883-09",305
"1883-10",302
"1883-11",281
"1883-12",278
"1884-01",285
"1884-02",278
"1884-03",285
"1884-04",277
"1884-05",293
"1884-06",258
"1884-07",292
"1884-08",276
"1884-09",268
"1884-10",299
"1884-11",284
"1884-12",291
"1885-01",294
"1885-02",282
"1885-03",294
"1885-04",300
"1885-05",301
"1885-06",283
"1885-07",294
"1885-08",282
"1885-09",281
"1885-10",323
"1885-11",289
"1885-12",296
"1886-01",286
"1886-02",298
"1886-03",325
"1886-04",320
"1886-05",320
"1886-06",291
"1886-07",333
"1886-08",323
"1886-09",329
"1886-10",330
"1886-11",317
"1886-12",335
"1887-01",302
"1887-02",300
"1887-03",332
"1887-04",322
"1887-05",322
"1887-06",316
"1887-07",320
"1887-08",317
"1887-09",318
"1887-10",315
"1887-11",294
"1887-12",345
"1888-01",330
"1888-02",332
"1888-03",365
"1888-04",334
"1888-05",348
"1888-06",346
"1888-07",354
"1888-08",374
"1888-09",346
"1888-10",376
"1888-11",355
"1888-12",349
"1889-01",358
"1889-02",342
"1889-03",363
"1889-04",353
"1889-05",374
"1889-06",332
"1889-07",370
"1889-08",385
"1889-09",350
"1889-10",349
"1889-11",336
"1889-12",332
"1890-01",321
"1890-02",315
"1890-03",335
"1890-04",332
"1890-05",343
"1890-06",301
"1890-07",343
"1890-08",333
"1890-09",322
"1890-10",351
"1890-11",311
"1890-12",330
"1891-01",325
"1891-02",315
"1891-03",313
"1891-04",331
"1891-05",310
"1891-06",311
"1891-07",320
"1891-08",297
"1891-09",293
"1891-10",323
"1891-11",282
"1891-12",297
"1892-01",270
"1892-02",266
"1892-03",300
"1892-04",253
"1892-05",242
"1892-06",247
"1892-07",276
"1892-08",283
"1892-09",279
"1892-10",278
"1892-11",272
"1892-12",291
"1893-01",254
"1893-02",245
"1893-03",254
"1893-04",218
"1893-05",226
"1893-06",234
"1893-07",198
"1893-08",216
"1893-09",205
"1893-10",200
"1893-11",210
"1893-12",201
"1894-01",191
"1894-02",192
"1894-03",220
"1894-04",196
"1894-05",219
"1894-06",223
"1894-07",235
"1894-08",261
"1894-09",235
"1894-10",250
"1894-11",249
"1894-12",233
"1895-01",250
"1895-02",233
"1895-03",262
"1895-04",241
"1895-05",256
"1895-06",236
"1895-07",223
"1895-08",227
"1895-09",193
"1895-10",226
"1895-11",216
"1895-12",208
"1896-01",205
"1896-02",202
"1896-03",201
"1896-04",200
"1896-05",210
"1896-06",201
"1896-07",214
"1896-08",202
"1896-09",201
"1896-10",218
"1896-11",193
"1896-12",206
"1897-01",199
"1897-02",194
"1897-03",205
"1897-04",209
"1897-05",199
"1897-06",201
"1897-07",222
"1897-08",205
"1897-09",203
"1897-10",216
"1897-11",200
"1897-12",200
"1898-01",169
"1898-02",176
"1898-03",196
"1898-04",194
"1898-05",185
"1898-06",186
"1898-07",196
"1898-08",187
"1898-09",220
"1898-10",212
"1898-11",202
"1898-12",224
"1899-01",194
"1899-02",195
"1899-03",219
"1899-04",204
"1899-05",223
"1899-06",214
"1899-07",201
"1899-08",214
"1899-09",211
"1899-10",202
"1899-11",204
"1899-12",213
"1900-01",206
"1900-02",179
"1900-03",211
"1900-04",181
"1900-05",194
"1900-06",204
"1900-07",188
"1900-08",203
"1900-09",192
"1900-10",199
"1900-11",206
"1900-12",197
"1901-01",198
"1901-02",186
"1901-03",212
"1901-04",182
"1901-05",179
"1901-06",169
"1901-07",168
"1901-08",193
"1901-09",165
"1901-10",187
"1901-11",176
"1901-12",172
"1902-01",179
"1902-02",161
"1902-03",180
"1902-04",176
"1902-05",185
"1902-06",166
"1902-07",177
"1902-08",183
"1902-09",169
"1902-10",187
"1902-11",170
"1902-12",164
"1903-01",178
"1903-02",179
"1903-03",163
"1903-04",192
"1903-05",204
"1903-06",203
"1903-07",208
"1903-08",196
"1903-09",192
"1903-10",215
"1903-11",190
"1903-12",199
"1904-01",190
"1904-02",184
"1904-03",203
"1904-04",202
"1904-05",194
"1904-06",200
"1904-07",206
"1904-08",191
"1904-09",203
"1904-10",204
"1904-11",190
"1904-12",216
"1905-01",185
"1905-02",185
"1905-03",209
"1905-04",183
"1905-05",191
"1905-06",202
"1905-07",198
"1905-08",200
"1905-09",206
"1905-10",193
"1905-11",191
"1905-12",200
"1906-01",188
"1906-02",182
"1906-03",215
"1906-04",179
"1906-05",191
"1906-06",207
"1906-07",198
"1906-08",215
"1906-09",203
"1906-10",202
"1906-11",208
"1906-12",203
"1907-01",201
"1907-02",192
"1907-03",218
"1907-04",204
"1907-05",215
"1907-06",214
"1907-07",212
"1907-08",230
"1907-09",201
"1907-10",213
"1907-11",212
"1907-12",208
"1908-01",230
"1908-02",231
"1908-03",235
"1908-04",229
"1908-05",246
"1908-06",223
"1908-07",230
"1908-08",223
"1908-09",215
"1908-10",242
"1908-11",216
"1908-12",226
"1909-01",219
"1909-02",201
"1909-03",220
"1909-04",219
"1909-05",223
"1909-06",219
"1909-07",238
"1909-08",217
"1909-09",214
"1909-10",231
"1909-11",209
"1909-12",228
"1910-01",231
"1910-02",241
"1910-03",281
"1910-04",283
"1910-05",270
"1910-06",274
"1910-07",283
"1910-08",274
"1910-09",273
"1910-10",279
"1910-11",265
"1910-12",288
"1911-01",260
"1911-02",250
"1911-03",283
"1911-04",258
"1911-05",275
"1911-06",278
"1911-07",279
"1911-08",286
"1911-09",275
"1911-10",262
"1911-11",248
"1911-12",257
"1912-01",244
"1912-02",246
"1912-03",266
"1912-04",255
"1912-05",282
"1912-06",247
"1912-07",251
"1912-08",272
"1912-09",240
"1912-10",257
"1912-11",257
"1912-12",245
"1913-01",245
"1913-02",234
"1913-03",256
"1913-04",276
"1913-05",293
"1913-06",255
"1913-07",274
"1913-08",273
"1913-09",259
"1913-10",285
"1913-11",256
"1913-12",266
"1914-01",276
"1914-02",257
"1914-03",279
"1914-04",271
"1914-05",278
"1914-06",262
"1914-07",283
"1914-08",275
"1914-09",277
"1914-10",290
"1914-11",266
"1914-12",265
"1915-01",258
"1915-02",243
"1915-03",267
"1915-04",271
"1915-05",264
"1915-06",266
"1915-07",299
"1915-08",279
"1915-09",275
"1915-10",279
"1915-11",259
"1915-12",284
"1916-01",270
"1916-02",265
"1916-03",302
"1916-04",275
"1916-05",277
"1916-06",281
"1916-07",277
"1916-08",286
"1916-09",282
"1916-10",282
"1916-11",288
"1916-12",291
"1917-01",278
"1917-02",270
"1917-03",320
"1917-04",275
"1917-05",295
"1917-06",290
"1917-07",281
"1917-08",303
"1917-09",274
"1917-10",290
"1917-11",288
"1917-12",272
"1918-01",282
"1918-02",259
"1918-03",288
"1918-04",279
"1918-05",298
"1918-06",282
"1918-07",286
"1918-08",310
"1918-09",270
"1918-10",293
"1918-11",287
"1918-12",278
"1919-01",294
"1919-02",270
"1919-03",296
"1919-04",280
"1919-05",311
"1919-06",278
"1919-07",286
"1919-08",295
"1919-09",279
"1919-10",306
"1919-11",278
"1919-12",286
"1920-01",262
"1920-02",252
"1920-03",288
"1920-04",300
"1920-05",285
"1920-06",278
"1920-07",304
"1920-08",275
"1920-09",289
"1920-10",294
"1920-11",277
"1920-12",300
"1921-01",279
"1921-02",273
"1921-03",302
"1921-04",305
"1921-05",300
"1921-06",321
"1921-07",324
"1921-08",318
"1921-09",319
"1921-10",321
"1921-11",301
"1921-12",325
"1922-01",297
"1922-02",292
"1922-03",334
"1922-04",298
"1922-05",308
"1922-06",321
"1922-07",313
"1922-08",329
"1922-09",314
"1922-10",311
"1922-11",314
"1922-12",306
"1923-01",299
"1923-02",288
"1923-03",317
"1923-04",291
"1923-05",310
"1923-06",298
"1923-07",313
"1923-08",341
"1923-09",262
"1923-10",316
"1923-11",310
"1923-12",294
"1924-01",315
"1924-02",306
"1924-03",313
"1924-04",294
"1924-05",316
"1924-06",283
"1924-07",311
"1924-08",306
"1924-09",294
"1924-10",323
"1924-11",286
"1924-12",305
"1925-01",304
"1925-02",287
"1925-03",310
"1925-04",296
"1925-05",294
"1925-06",292
"1925-07",309
"1925-08",295
"1925-09",288
"1925-10",323
"1925-11",281
"1925-12",301
"1926-01",280
"1926-02",280
"1926-03",315
"1926-04",315
"1926-05",289
"1926-06",294
"1926-07",316
"1926-08",296
"1926-09",298
"1926-10",314
"1926-11",298
"1926-12",316
"1927-01",287
"1927-02",296
"1927-03",339
"1927-04",315
"1927-05",311
"1927-06",319
"1927-07",315
"1927-08",325
"1927-09",326
"1927-10",326
"1927-11",316
"1927-12",344
"1928-01",307
"1928-02",312
"1928-03",350
"1928-04",303
"1928-05",330
"1928-06",326
"1928-07",327
"1928-08",351
"1928-09",320
"1928-10",346
"1928-11",332
"1928-12",318
"1929-01",331
"1929-02",314
"1929-03",332
"1929-04",329
"1929-05",342
"1929-06",314
"1929-07",330
"1929-08",344
"1929-09",308
"1929-10",346
"1929-11",318
"1929-12",324
"1930-01",319
"1930-02",281
"1930-03",300
"1930-04",297
"1930-05",303
"1930-06",293
"1930-07",342
"1930-08",337
"1930-09",315
"1930-10",352
"1930-11",315
"1930-12",335
"1931-01",329
"1931-02",312
"1931-03",331
"1931-04",327
"1931-05",323
"1931-06",317
"1931-07",351
"1931-08",328
"1931-09",342
"1931-10",378
"1931-11",349
"1931-12",369
"1932-01",330
"1932-02",342
"1932-03",357
"1932-04",360
"1932-05",328
"1932-06",319
"1932-07",332
"1932-08",331
"1932-09",327
"1932-10",319
"1932-11",308
"1932-12",334
"1933-01",310
"1933-02",313
"1933-03",352
"1933-04",309
"1933-05",323
"1933-06",334
"1933-07",320
"1933-08",344
"1933-09",323
"1933-10",320
"1933-11",327
"1933-12",321
"1934-01",311
"1934-02",301
"1934-03",357
"1934-04",343
"1934-05",355
"1934-06",350
"1934-07",338
"1934-08",371
"1934-09",331
"1934-10",355
"1934-11",363
"1934-12",344
"1935-01",354
"1935-02",332
"1935-03",365
"1935-04",344
"1935-05",346
"1935-06",315
"1935-07",323
"1935-08",349
"1935-09",307
"1935-10",346
"1935-11",330
"1935-12",321
"1936-01",325
"1936-02",323
"1936-03",352
"1936-04",354
"1936-05",352
"1936-06",350
"1936-07",373
"1936-08",357
"1936-09",345
"1936-10",371
"1936-11",342
"1936-12",362
"1937-01",337
"1937-02",328
"1937-03",348
"1937-04",372
"1937-05",348
"1937-06",352
"1937-07",375
"1937-08",341
"1937-09",355
"1937-10",367
"1937-11",346
"1937-12",375
"1938-01",341
"1938-02",344
"1938-03",368
"1938-04",356
"1938-05",352
"1938-06",364
"1938-07",367
"1938-08",360
"1938-09",365
"1938-10",357
"1938-11",348
"1938-12",384
"1939-01",347
"1939-02",315
"1939-03",391
"1939-04",344
"1939-05",355
"1939-06",363
"1939-07",345
"1939-08",366
"1939-09",358
"1939-10",367
"1939-11",363
"1939-12",359
"1940-01",332
"1940-02",352
"1940-03",365
"1940-04",352
"1940-05",370
"1940-06",346
"1940-07",354
"1940-08",380
"1940-09",344
"1940-10",377
"1940-11",358
"1940-12",348
"1941-01",343
"1941-02",330
"1941-03",362
"1941-04",352
"1941-05",377
"1941-06",332
"1941-07",357
"1941-08",338
"1941-09",307
"1941-10",339
"1941-11",310
"1941-12",324
"1942-01",317
"1942-02",301
"1942-03",324
"1942-04",321
"1942-05",320
"1942-06",314
"1942-07",339
"1942-08",323
"1942-09",310
"1942-10",337
"1942-11",309
"1942-12",312
"1943-01",304
"1943-02",297
"1943-03",326
"1943-04",330
"1943-05",313
"1943-06",302
"1943-07",337
"1943-08",317
"1943-09",314
"1943-10",326
"1943-11",306
"1943-12",329
"1944-01",300
"1944-02",311
"1944-03",340
"1944-04",307
"1944-05",316
"1944-06",334
"1944-07",323
"1944-08",335
"1944-09",318
"1944-10",329
"1944-11",329
"1944-12",332
"1945-01",292
