"date","base"
"1840/01",52
"1840/02",52
"1840/03",52
"1840/04",52
"1840/05",52
"1840/06",52
"1840/07",52
"1840/08",52
"1840/09",52
"1840/10",52
"1840/11",52
"1840/12",52
"1841/01",52
"1841/02",52
"1841/03",52
"1841/04",52
"1841/05",52
"1841/06",52
"1841/07",52
"1841/08",52
"1841/09",52
"1841/10",52
"1841/11",52
"1841/12",52
"1842/01",52
"1842/02",52
"1842/03",52
"1842/04",52
"1842/05",52
"1842/06",52
"1842/07",52
"1842/08",52
"1842/09",52
"1842/10",52
"1842/11",52
"1842/12",52
"1843/01",52
"1843/02",52
"1843/03",52
"1843/04",52
"1843/05",52
"1843/06",52
"1843/07",52
"1843/08",52
"1843/09",52
"1843/10",52
"1843/11",52
"1843/12",52
"1844/01",52
"1844/02",52
"1844/03",52
"1844/04",52
"1844/05",52
"1844/06",52
"1844/07",52
"1844/08",52
"1844/09",52
"1844/10",52
"1844/11",52
"1844/12",52
"1845/01",52
"1845/02",52
"1845/03",52
"1845/04",52
"1845/05",52
"1845/06",52
"1845/07",52
"1845/08",52
"1845/09",52
"1845/10",52
"1845/11",52
"1845/12",52
"1846/01",52
"1846/02",52
"1846/03",52
"1846/04",52
"1846/05",52
"1846/06",52
"1846/07",52
"1846/08",52
"1846/09",52
"1846/10",52
"1846/11",52
"1846/12",52
"1847/01",52
"1847/02",52
"1847/03",52
"1847/04",52
"1847/05",52
"1847/06",52
"1847/07",52
"1847/08",52
"1847/09",52
"1847/10",52
"1847/11",52
"1847/12",52
"1848/01",53
"1848/02",53
"1848/03",53
"1848/04",53
"1848/05",53
"1848/06",53
"1848/07",53
"1848/08",53
"1848/09",53
"1848/10",53
"1848/11",53
"1848/12",53
"1849/01",52
"1849/02",52
"1849/03",52
"1849/04",52
"1849/05",52
"1849/06",52
"1849/07",52
"1849/08",52
"1849/09",52
"1849/10",52
"1849/11",52
"1849/12",52
"1850/01",52
"1850/02",52
"1850/03",52
"1850/04",52
"1850/05",52
"1850/06",52
"1850/07",52
"1850/08",52
"1850/09",52
"1850/10",52
"1850/11",52
"1850/12",52
"1851/01",52
"1851/02",52
"1851/03",52
"1851/04",52
"1851/05",52
"1851/06",52
"1851/07",52
"1851/08",52
"1851/09",52
"1851/10",52
"1851/11",52
"1851/12",52
"1852/01",52
"1852/02",52
"1852/03",52
"1852/04",52
"1852/05",52
"1852/06",52
"1852/07",52
"1852/08",52
"1852/09",52
"1852/10",52
"1852/11",52
"1852/12",52
"1853/01",52
"1853/02",52
"1853/03",52
"1853/04",52
"1853/05",52
"1853/06",52
"1853/07",52
"1853/08",52
"1853/09",52
"1853/10",52
"1853/11",52
"1853/12",52
"1854/01",52
"1854/02",52
"1854/03",52
"1854/04",52
"1854/05",52
"1854/06",52
"1854/07",52
"1854/08",52
"1854/09",52
"1854/10",52
"1854/11",52
"1854/12",52
"1855/01",52
"1855/02",52
"1855/03",52
"1855/04",52
"1855/05",52
"1855/06",52
"1855/07",52
"1855/08",52
"1855/09",52
"1855/10",52
"1855/11",52
"1855/12",52
"1856/01",109
"1856/02",109
"1856/03",109
"1856/04",109
"1856/05",109
"1856/06",109
"1856/07",109
"1856/08",109
"1856/09",109
"1856/10",109
"1856/11",109
"1856/12",109
"1857/01",157
"1857/02",157
"1857/03",157
"1857/04",157
"1857/05",157
"1857/06",157
"1857/07",157
"1857/08",157
"1857/09",157
"1857/10",157
"1857/11",157
"1857/12",157
"1858/01",154
"1858/02",154
"1858/03",154
"1858/04",154
"1858/05",154
"1858/06",154
"1858/07",154
"1858/08",154
"1858/09",154
"1858/10",154
"1858/11",154
"1858/12",154
"1859/01",156
"1859/02",156
"1859/03",156
"1859/04",156
"1859/05",156
"1859/06",156
"1859/07",156
"1859/08",156
"1859/09",156
"1859/10",156
"1859/11",156
"1859/12",156
"1860/01",158
"1860/02",158
"1860/03",158
"1860/04",158
"1860/05",158
"1860/06",158
"1860/07",158
"1860/08",158
"1860/09",158
"1860/10",158
"1860/11",158
"1860/12",158
"1861/01",79
"1861/02",79
"1861/03",79
"1861/04",79
"1861/05",79
"1861/06",79
"1861/07",79
"1861/08",79
"1861/09",79
"1861/10",79
"1861/11",79
"1861/12",79
"1862/01",194
"1862/02",194
"1862/03",194
"1862/04",194
"1862/05",194
"1862/06",194
"1862/07",194
"1862/08",194
"1862/09",194
"1862/10",194
"1862/11",194
"1862/12",194
"1863/01",203
"1863/02",203
"1863/03",203
"1863/04",203
"1863/05",203
"1863/06",203
"1863/07",203
"1863/08",203
"1863/09",203
"1863/10",203
"1863/11",203
"1863/12",203
"1864/01",201
"1864/02",201
"1864/03",201
"1864/04",201
"1864/05",201
"1864/06",201
"1864/07",201
"1864/08",201
"1864/09",201
"1864/10",201
"1864/11",201
"1864/12",201
"1865/01",205
