"date","base"
"1854/01",0
"1854/02",0
"1854/03",0
"1854/04",6
"1854/05",4
"1854/06",4
"1854/07",5
"1854/08",4
"1854/09",4
"1854/10",5
"1854/11",4
"1854/12",5
"1855/01",4
"1855/02",4
"1855/03",4
"1855/04",6
"1855/05",4
"1855/06",4
"1855/07",5
"1855/08",3
"1855/09",5
"1855/10",4
"1855/11",4
"1855/12",5
"1856/01",8
"1856/02",8
"1856/03",9
"1856/04",8
"1856/05",9
"1856/06",9
"1856/07",9
"1856/08",9
"1856/09",8
"1856/10",9
"1856/11",9
"1856/12",8
"1857/01",10
"1857/02",8
"1857/03",9
"1857/04",11
"1857/05",14
"1857/06",13
"1857/07",13
"1857/08",14
"1857/09",12
"1857/10",14
"1857/11",13
"1857/12",13
"1858/01",15
"1858/02",12
"1858/03",12
"1858/04",13
"1858/05",14
"1858/06",12
"1858/07",14
"1858/08",13
"1858/09",13
"1858/10",14
"1858/11",12
"1858/12",13
"1859/01",14
"1859/02",12
"1859/03",13
"1859/04",14
"1859/05",13
"1859/06",12
"1859/07",14
"1859/08",13
"1859/09",12
"1859/10",14
"1859/11",12
"1859/12",15
"1860/01",13
"1860/02",12
"1860/03",14
"1860/04",13
"1860/05",13
"1860/06",13
"1860/07",13
"1860/08",13
"1860/09",14
"1860/10",12
"1860/11",13
"1860/12",14
"1861/01",13
"1861/02",12
"1861/03",14
"1861/04",17
"1861/05",43
"1861/06",44
"1861/07",43
"1861/08",45
"1861/09",43
"1861/10",44
"1861/11",43
"1861/12",44
"1862/01",44
"1862/02",40
"1862/03",43
"1862/04",42
"1862/05",42
"1862/06",42
"1862/07",43
"1862/08",44
"1862/09",41
"1862/10",37
"1862/11",40
"1862/12",35
"1863/01",46
"1863/02",61
"1863/03",70
"1863/04",68
"1863/05",70
"1863/06",63
"1863/07",72
"1863/08",76
"1863/09",71
"1863/10",70
"1863/11",64
"1863/12",69
"1864/01",68
"1864/02",62
"1864/03",60
"1864/04",66
"1864/05",53
"1864/06",44
"1864/07",44
"1864/08",45
"1864/09",55
"1864/10",68
"1864/11",56
"1864/12",45
"1865/01",46
"1865/02",52
"1865/03",56
"1865/04",47
"1865/05",66
"1865/06",66
"1865/07",85
"1865/08",94
"1865/09",100
"1865/10",95
"1865/11",74
"1865/12",88
"1866/01",88
"1866/02",76
"1866/03",86
"1866/04",92
"1866/05",102
"1866/06",129
"1866/07",110
"1866/08",96
"1866/09",101
"1866/10",116
"1866/11",120
"1866/12",140
"1867/01",158
"1867/02",136
"1867/03",143
"1867/04",145
"1867/05",149
"1867/06",145
"1867/07",156
"1867/08",149
"1867/09",147
"1867/10",149
"1867/11",139
"1867/12",165
"1868/01",156
"1868/02",145
"1868/03",159
"1868/04",151
"1868/05",159
"1868/06",153
"1868/07",186
"1868/08",189
"1868/09",181
"1868/10",184
"1868/11",179
"1868/12",184
"1869/01",200
"1869/02",174
"1869/03",189
"1869/04",188
"1869/05",218
"1869/06",196
"1869/07",218
"1869/08",219
"1869/09",219
"1869/10",217
"1869/11",213
"1869/12",226
"1870/01",236
"1870/02",206
"1870/03",208
"1870/04",200
"1870/05",223
"1870/06",219
"1870/07",203
"1870/08",195
"1870/09",178
"1870/10",214
"1870/11",211
"1870/12",212
"1871/01",298
"1871/02",181
"1871/03",318
"1871/04",295
"1871/05",226
"1871/06",195
"1871/07",197
"1871/08",200
"1871/09",190
"1871/10",182
"1871/11",194
"1871/12",167
"1872/01",189
"1872/02",181
"1872/03",214
"1872/04",196
"1872/05",214
"1872/06",212
"1872/07",257
"1872/08",258
"1872/09",245
"1872/10",259
"1872/11",261
"1872/12",258
"1873/01",234
"1873/02",200
"1873/03",219
"1873/04",210
"1873/05",227
"1873/06",218
"1873/07",254
"1873/08",254
"1873/09",258
"1873/10",294
"1873/11",267
"1873/12",283
"1874/01",255
"1874/02",232
"1874/03",259
"1874/04",247
"1874/05",258
"1874/06",233
"1874/07",249
"1874/08",260
"1874/09",251
"1874/10",260
"1874/11",248
"1874/12",259
"1875/01",258
"1875/02",231
"1875/03",225
"1875/04",220
"1875/05",227
"1875/06",236
"1875/07",238
"1875/08",228
"1875/09",243
"1875/10",249
"1875/11",225
"1875/12",224
"1876/01",231
"1876/02",230
"1876/03",237
"1876/04",231
"1876/05",230
"1876/06",226
"1876/07",232
"1876/08",231
"1876/09",230
"1876/10",214
"1876/11",198
"1876/12",200
"1877/01",296
"1877/02",235
"1877/03",261
"1877/04",250
"1877/05",260
"1877/06",251
"1877/07",263
"1877/08",262
"1877/09",250
"1877/10",263
"1877/11",251
"1877/12",263
"1878/01",257
"1878/02",231
"1878/03",259
"1878/04",248
"1878/05",264
"1878/06",249
"1878/07",222
"1878/08",225
"1878/09",218
"1878/10",229
"1878/11",223
"1878/12",225
"1879/01",229
"1879/02",206
"1879/03",231
"1879/04",220
"1879/05",232
"1879/06",221
"1879/07",225
"1879/08",226
"1879/09",219
"1879/10",222
"1879/11",218
"1879/12",210
"1880/01",236
"1880/02",238
"1880/03",238
"1880/04",209
"1880/05",224
"1880/06",216
"1880/07",223
"1880/08",221
"1880/09",218
"1880/10",227
"1880/11",216
"1880/12",223
"1881/01",227
"1881/02",205
"1881/03",226
"1881/04",224
"1881/05",228
"1881/06",220
"1881/07",230
"1881/08",230
"1881/09",222
"1881/10",233
"1881/11",221
"1881/12",230
"1882/01",224
"1882/02",201
"1882/03",221
"1882/04",214
"1882/05",222
"1882/06",258
"1882/07",281
"1882/08",281
"1882/09",275
"1882/10",258
"1882/11",277
"1882/12",268
"1883/01",234
"1883/02",204
"1883/03",226
"1883/04",216
"1883/05",225
"1883/06",219
"1883/07",221
"1883/08",218
"1883/09",217
"1883/10",222
"1883/11",243
"1883/12",249
"1884/01",254
"1884/02",238
"1884/03",255
"1884/04",250
"1884/05",263
"1884/06",248
"1884/07",254
"1884/08",257
"1884/09",248
"1884/10",251
"1884/11",250
"1884/12",255
"1885/01",258
"1885/02",233
"1885/03",256
"1885/04",273
"1885/05",271
"1885/06",261
"1885/07",268
"1885/08",260
"1885/09",247
"1885/10",260
"1885/11",248
"1885/12",257
"1886/01",261
"1886/02",225
"1886/03",253
"1886/04",249
"1886/05",257
"1886/06",248
"1886/07",257
"1886/08",254
"1886/09",248
"1886/10",249
"1886/11",246
"1886/12",258
"1887/01",261
"1887/02",233
"1887/03",248
"1887/04",239
"1887/05",245
"1887/06",238
"1887/07",253
"1887/08",255
"1887/09",247
"1887/10",253
"1887/11",244
"1887/12",263
"1888/01",264
"1888/02",239
"1888/03",249
"1888/04",240
"1888/05",254
"1888/06",248
"1888/07",256
"1888/08",256
"1888/09",249
"1888/10",257
"1888/11",248
"1888/12",257
"1889/01",259
"1889/02",215
"1889/03",224
"1889/04",212
"1889/05",224
"1889/06",224
"1889/07",227
"1889/08",230
"1889/09",211
"1889/10",221
"1889/11",215
"1889/12",238
"1890/01",232
"1890/02",211
"1890/03",222
"1890/04",183
"1890/05",195
"1890/06",196
"1890/07",205
"1890/08",227
"1890/09",217
"1890/10",206
"1890/11",213
"1890/12",222
"1891/01",215
"1891/02",198
"1891/03",216
"1891/04",209
"1891/05",215
"1891/06",215
"1891/07",206
"1891/08",177
"1891/09",178
"1891/10",183
"1891/11",177
"1891/12",215
"1892/01",196
"1892/02",185
"1892/03",219
"1892/04",211
"1892/05",218
"1892/06",222
"1892/07",230
"1892/08",231
"1892/09",226
"1892/10",239
"1892/11",223
"1892/12",235
"1893/01",226
"1893/02",207
"1893/03",230
"1893/04",226
"1893/05",234
"1893/06",224
"1893/07",227
"1893/08",227
"1893/09",221
"1893/10",226
"1893/11",217
"1893/12",238
"1894/01",229
"1894/02",208
"1894/03",230
"1894/04",230
"1894/05",227
"1894/06",224
"1894/07",230
"1894/08",227
"1894/09",227
"1894/10",201
"1894/11",198
"1894/12",238
"1895/01",223
"1895/02",199
"1895/03",230
"1895/04",210
"1895/05",230
"1895/06",226
"1895/07",231
"1895/08",230
"1895/09",224
"1895/10",230
"1895/11",223
"1895/12",234
"1896/01",232
"1896/02",208
"1896/03",219
"1896/04",205
"1896/05",219
"1896/06",212
"1896/07",222
"1896/08",223
"1896/09",215
"1896/10",225
"1896/11",215
"1896/12",229
"1897/01",230
"1897/02",203
"1897/03",217
"1897/04",213
"1897/05",219
"1897/06",211
"1897/07",217
"1897/08",208
"1897/09",186
"1897/10",192
"1897/11",188
"1897/12",199
"1898/01",195
"1898/02",174
"1898/03",186
"1898/04",182
"1898/05",182
"1898/06",185
"1898/07",177
"1898/08",190
"1898/09",183
"1898/10",190
"1898/11",186
"1898/12",198
"1899/01",202
"1899/02",174
"1899/03",189
"1899/04",190
"1899/05",198
"1899/06",196
"1899/07",194
"1899/08",210
"1899/09",212
"1899/10",212
"1899/11",201
"1899/12",173
"1900/01",201
"1900/02",178
"1900/03",196
"1900/04",201
"1900/05",204
"1900/06",185
"1900/07",201
"1900/08",214
"1900/09",206
"1900/10",213
"1900/11",212
"1900/12",214
"1901/01",212
"1901/02",174
"1901/03",188
"1901/04",189
"1901/05",189
"1901/06",186
"1901/07",207
"1901/08",197
"1901/09",186
"1901/10",195
"1901/11",184
"1901/12",188
"1902/01",200
"1902/02",171
"1902/03",186
"1902/04",160
"1902/05",192
"1902/06",189
"1902/07",184
"1902/08",193
"1902/09",183
"1902/10",212
"1902/11",199
"1902/12",192
"1903/01",200
"1903/02",165
"1903/03",187
"1903/04",181
"1903/05",183
"1903/06",177
"1903/07",178
"1903/08",177
"1903/09",183
"1903/10",189
"1903/11",193
"1903/12",204
"1904/01",203
"1904/02",171
"1904/03",197
"1904/04",193
"1904/05",194
"1904/06",185
"1904/07",190
"1904/08",196
"1904/09",202
"1904/10",198
"1904/11",191
"1904/12",211
"1905/01",198
"1905/02",172
"1905/03",190
"1905/04",175
"1905/05",200
"1905/06",182
"1905/07",184
"1905/08",194
"1905/09",183
"1905/10",189
"1905/11",185
"1905/12",190
"1906/01",210
"1906/02",172
"1906/03",171
"1906/04",176
"1906/05",197
"1906/06",183
"1906/07",188
"1906/08",191
"1906/09",183
"1906/10",194
"1906/11",191
"1906/12",185
"1907/01",209
"1907/02",176
"1907/03",200
"1907/04",195
"1907/05",189
"1907/06",187
"1907/07",209
"1907/08",169
"1907/09",169
"1907/10",188
"1907/11",164
"1907/12",173
"1908/01",200
"1908/02",180
"1908/03",172
"1908/04",174
"1908/05",177
"1908/06",159
"1908/07",182
"1908/08",162
"1908/09",158
"1908/10",175
"1908/11",164
"1908/12",179
"1909/01",193
"1909/02",164
"1909/03",170
"1909/04",169
"1909/05",175
"1909/06",181
"1909/07",165
"1909/08",175
"1909/09",183
"1909/10",184
"1909/11",182
"1909/12",166
"1910/01",177
"1910/02",158
"1910/03",170
"1910/04",166
"1910/05",168
"1910/06",158
"1910/07",165
"1910/08",168
"1910/09",166
"1910/10",169
"1910/11",169
"1910/12",166
"1911/01",169
"1911/02",146
"1911/03",175
"1911/04",171
"1911/05",191
"1911/06",185
"1911/07",187
"1911/08",188
"1911/09",182
"1911/10",180
"1911/11",183
"1911/12",188
"1912/01",211
"1912/02",180
"1912/03",194
"1912/04",187
"1912/05",193
"1912/06",193
"1912/07",193
"1912/08",189
"1912/09",190
"1912/10",190
"1912/11",185
"1912/12",192
"1913/01",197
"1913/02",173
"1913/03",195
"1913/04",192
"1913/05",195
"1913/06",184
"1913/07",189
"1913/08",188
"1913/09",189
"1913/10",189
"1913/11",185
"1913/12",194
"1914/01",195
"1914/02",170
"1914/03",204
"1914/04",210
"1914/05",205
"1914/06",185
"1914/07",190
"1914/08",184
"1914/09",154
"1914/10",154
"1914/11",148
"1914/12",155
"1915/01",155
"1915/02",132
"1915/03",153
"1915/04",148
"1915/05",150
"1915/06",148
"1915/07",177
"1915/08",178
"1915/09",174
"1915/10",176
"1915/11",171
"1915/12",178
"1916/01",195
"1916/02",178
"1916/03",185
"1916/04",182
"1916/05",188
"1916/06",184
"1916/07",191
"1916/08",188
"1916/09",178
"1916/10",186
"1916/11",179
"1916/12",186
"1917/01",196
"1917/02",163
"1917/03",188
"1917/04",173
"1917/05",184
"1917/06",177
"1917/07",184
"1917/08",183
"1917/09",178
"1917/10",182
"1917/11",176
"1917/12",185
"1918/01",198
"1918/02",165
"1918/03",189
"1918/04",178
"1918/05",181
"1918/06",177
"1918/07",184
"1918/08",184
"1918/09",177
"1918/10",184
"1918/11",175
"1918/12",179
"1919/01",195
"1919/02",171
"1919/03",191
"1919/04",183
"1919/05",184
"1919/06",184
"1919/07",190
"1919/08",192
"1919/09",187
"1919/10",189
"1919/11",88
"1919/12",177
"1920/01",187
"1920/02",174
"1920/03",187
"1920/04",185
"1920/05",187
"1920/06",184
"1920/07",189
"1920/08",190
"1920/09",184
"1920/10",189
"1920/11",179
"1920/12",185
"1921/01",179
"1921/02",168
"1921/03",185
"1921/04",178
"1921/05",181
"1921/06",179
"1921/07",177
"1921/08",176
"1921/09",171
"1921/10",178
"1921/11",177
"1921/12",186
"1922/01",180
"1922/02",166
"1922/03",183
"1922/04",176
"1922/05",181
"1922/06",176
"1922/07",189
"1922/08",190
"1922/09",184
"1922/10",187
"1922/11",180
"1922/12",184
"1923/01",190
"1923/02",169
"1923/03",188
"1923/04",174
"1923/05",172
"1923/06",162
"1923/07",174
"1923/08",181
"1923/09",162
"1923/10",185
"1923/11",176
"1923/12",186
"1924/01",191
"1924/02",176
"1924/03",183
"1924/04",182
"1924/05",186
"1924/06",180
"1924/07",174
"1924/08",184
"1924/09",182
"1924/10",187
"1924/11",181
"1924/12",191
"1925/01",189
"1925/02",172
"1925/03",190
"1925/04",184
"1925/05",190
"1925/06",182
"1925/07",185
"1925/08",190
"1925/09",186
"1925/10",190
"1925/11",178
"1925/12",175
"1926/01",185
"1926/02",163
"1926/03",181
"1926/04",170
"1926/05",177
"1926/06",174
"1926/07",181
"1926/08",184
"1926/09",180
"1926/10",183
"1926/11",179
"1926/12",177
"1927/01",175
"1927/02",168
"1927/03",175
"1927/04",162
"1927/05",186
"1927/06",169
"1927/07",185
"1927/08",189
"1927/09",181
"1927/10",183
"1927/11",149
"1927/12",171
"1928/01",185
"1928/02",174
"1928/03",166
"1928/04",155
"1928/05",169
"1928/06",159
"1928/07",159
"1928/08",160
"1928/09",154
"1928/10",156
"1928/11",153
"1928/12",158
"1929/01",142
"1929/02",105
"1929/03",141
"1929/04",120
"1929/05",116
"1929/06",95
"1929/07",97
"1929/08",99
"1929/09",87
"1929/10",100
"1929/11",91
"1929/12",95
"1930/01",99
"1930/02",89
"1930/03",98
"1930/04",95
"1930/05",95
"1930/06",107
"1930/07",126
"1930/08",131
"1930/09",130
"1930/10",131
"1930/11",126
"1930/12",128
"1931/01",135
"1931/02",120
"1931/03",134
"1931/04",128
"1931/05",136
"1931/06",132
"1931/07",134
"1931/08",130
"1931/09",124
"1931/10",128
"1931/11",125
"1931/12",125
"1932/01",132
"1932/02",118
"1932/03",129
"1932/04",125
"1932/05",127
"1932/06",123
"1932/07",126
"1932/08",129
"1932/09",124
"1932/10",129
"1932/11",125
"1932/12",107
"1933/01",105
"1933/02",117
"1933/03",114
"1933/04",117
"1933/05",104
"1933/06",108
"1933/07",110
"1933/08",102
"1933/09",97
"1933/10",98
"1933/11",94
"1933/12",95
"1934/01",102
"1934/02",84
"1934/03",98
"1934/04",94
"1934/05",97
"1934/06",95
"1934/07",110
"1934/08",116
"1934/09",116
"1934/10",101
"1934/11",93
"1934/12",99
"1935/01",103
"1935/02",88
"1935/03",93
"1935/04",94
"1935/05",97
"1935/06",96
"1935/07",100
"1935/08",99
"1935/09",96
"1935/10",97
"1935/11",95
"1935/12",97
"1936/01",100
"1936/02",94
"1936/03",98
"1936/04",96
"1936/05",109
"1936/06",110
"1936/07",122
"1936/08",125
"1936/09",120
"1936/10",125
"1936/11",90
"1936/12",94
"1937/01",100
"1937/02",101
"1937/03",122
"1937/04",98
"1937/05",85
"1937/06",114
"1937/07",118
"1937/08",93
"1937/09",91
"1937/10",95
"1937/11",91
"1937/12",115
"1938/01",127
"1938/02",106
"1938/03",119
"1938/04",114
"1938/05",116
"1938/06",116
"1938/07",121
"1938/08",116
"1938/09",116
"1938/10",120
"1938/11",99
"1938/12",91
"1939/01",97
"1939/02",82
"1939/03",94
"1939/04",91
"1939/05",97
"1939/06",64
"1939/07",67
"1939/08",93
"1939/09",90
"1939/10",76
"1939/11",65
"1939/12",64
"1940/01",74
"1940/02",72
"1940/03",126
"1940/04",100
"1940/05",95
"1940/06",36
"1940/07",53
"1940/08",75
"1940/09",91
"1940/10",89
"1940/11",86
"1940/12",80
"1941/01",75
"1941/02",34
"1941/03",38
"1941/04",37
"1941/05",36
"1941/06",35
"1941/07",35
"1941/08",37
"1941/09",32
"1941/10",46
"1941/11",55
"1941/12",58
"1942/01",90
"1942/02",60
"1942/03",62
"1942/04",56
"1942/05",57
"1942/06",68
"1942/07",58
"1942/08",57
"1942/09",57
"1942/10",59
"1942/11",53
"1942/12",29
"1943/01",9
"1943/02",4
"1943/03",2
"1943/04",2
"1943/05",3
"1943/06",2
"1943/07",8
"1943/08",6
"1943/09",8
"1943/10",8
"1943/11",7
"1943/12",9
"1944/01",15
"1944/02",7
"1944/03",3
"1944/04",9
"1944/05",7
"1944/06",4
"1944/07",7
"1944/08",2
"1944/09",0
"1944/10",0
"1944/11",0
"1944/12",0
"1945/01",1
"1945/02",0
"1945/03",0
"1945/04",0
"1945/05",0
"1945/06",0
"1945/07",0
"1945/08",0
"1945/09",0
"1945/10",0
"1945/11",0
"1945/12",0
"1946/01",1
"1946/02",0
"1946/03",0
"1946/04",0
"1946/05",0
"1946/06",0
"1946/07",0
"1946/08",0
"1946/09",0
"1946/10",0
"1946/11",0
"1946/12",0
"1947/01",2
"1947/02",0
"1947/03",0
"1947/04",0
"1947/05",0
"1947/06",0
"1947/07",0
"1947/08",0
"1947/09",0
"1947/10",0
"1947/11",0
"1947/12",0
"1948/01",3
"1948/02",0
"1948/03",0
"1948/04",0
"1948/05",0
"1948/06",0
"1948/07",0
"1948/08",0
"1948/09",0
"1948/10",0
"1948/11",0
"1948/12",0
"1949/01",2
"1949/02",0
"1949/03",0
"1949/04",0
"1949/05",0
"1949/06",0
"1949/07",0
"1949/08",0
"1949/09",0
"1949/10",0
"1949/11",0
"1949/12",0
"1950/01",2
"1950/02",0
"1950/03",0
"1950/04",0
"1950/05",0
"1950/06",0
"1950/07",0
"1950/08",0
"1950/09",0
"1950/10",0
"1950/11",0
"1950/12",0
"1951/01",2
"1951/02",0
"1951/03",0
"1951/04",0
"1951/05",0
"1951/06",0
"1951/07",0
"1951/08",0
"1951/09",0
"1951/10",0
"1951/11",0
"1951/12",0
"1952/01",2
"1952/02",0
"1952/03",0
"1952/04",0
"1952/05",0
"1952/06",0
"1952/07",0
"1952/08",0
"1952/09",0
"1952/10",0
"1952/11",0
"1952/12",0
"1953/01",2
"1953/02",0
"1953/03",0
"1953/04",0
"1953/05",0
"1953/06",0
"1953/07",0
"1953/08",0
"1953/09",0
"1953/10",0
"1953/11",0
"1953/12",0
"1954/01",2
"1954/02",0
"1954/03",0
"1954/04",0
"1954/05",0
"1954/06",0
"1954/07",0
"1954/08",0
"1954/09",0
"1954/10",0
"1954/11",0
"1954/12",0
"1955/01",2
"1955/02",0
"1955/03",0
"1955/04",0
"1955/05",0
"1955/06",0
"1955/07",0
"1955/08",0
"1955/09",0
"1955/10",0
"1955/11",0
"1955/12",0
"1956/01",2
"1956/02",0
"1956/03",0
"1956/04",0
"1956/05",0
"1956/06",0
"1956/07",0
"1956/08",0
"1956/09",0
"1956/10",0
"1956/11",0
"1956/12",0
"1957/01",2
"1957/02",0
"1957/03",0
"1957/04",0
"1957/05",0
"1957/06",0
"1957/07",0
"1957/08",0
"1957/09",0
"1957/10",0
"1957/11",0
"1957/12",0
"1958/01",2
"1958/02",0
"1958/03",0
"1958/04",0
"1958/05",0
"1958/06",0
"1958/07",0
"1958/08",0
"1958/09",0
"1958/10",0
"1958/11",0
"1958/12",0
"1959/01",2
"1959/02",0
"1959/03",0
"1959/04",0
"1959/05",0
"1959/06",0
"1959/07",0
"1959/08",0
"1959/09",0
"1959/10",0
"1959/11",0
"1959/12",0
"1960/01",2
"1960/02",0
"1960/03",0
"1960/04",0
"1960/05",0
"1960/06",0
"1960/07",0
"1960/08",0
"1960/09",0
"1960/10",0
"1960/11",0
"1960/12",0
"1961/01",1
"1961/02",0
"1961/03",0
"1961/04",0
"1961/05",0
"1961/06",0
"1961/07",0
"1961/08",0
"1961/09",0
"1961/10",0
"1961/11",0
"1961/12",0
"1962/01",2
"1962/02",0
"1962/03",0
"1962/04",0
"1962/05",0
"1962/06",0
"1962/07",0
"1962/08",0
"1962/09",0
"1962/10",0
"1962/11",0
"1962/12",0
"1963/01",2
"1963/02",0
"1963/03",0
"1963/04",0
"1963/05",0
"1963/06",0
"1963/07",0
"1963/08",0
"1963/09",0
"1963/10",0
"1963/11",0
"1963/12",0
"1964/01",2
"1964/02",0
"1964/03",0
"1964/04",0
"1964/05",0
"1964/06",0
"1964/07",0
"1964/08",0
"1964/09",0
"1964/10",0
"1964/11",0
"1964/12",0
"1965/01",2
"1965/02",0
"1965/03",0
"1965/04",0
"1965/05",0
"1965/06",0
"1965/07",0
"1965/08",0
"1965/09",0
"1965/10",0
"1965/11",0
"1965/12",0
"1966/01",2
"1966/02",0
"1966/03",0
"1966/04",0
"1966/05",0
"1966/06",0
"1966/07",0
"1966/08",0
"1966/09",0
"1966/10",0
"1966/11",0
"1966/12",0
"1967/01",2
"1967/02",0
"1967/03",0
"1967/04",0
"1967/05",0
"1967/06",0
"1967/07",0
"1967/08",0
"1967/09",0
"1967/10",0
"1967/11",0
"1967/12",0
"1968/01",2
"1968/02",0
"1968/03",0
"1968/04",0
"1968/05",0
"1968/06",0
"1968/07",0
"1968/08",0
"1968/09",0
"1968/10",0
"1968/11",0
"1968/12",0
"1969/01",2
"1969/02",0
"1969/03",0
"1969/04",0
"1969/05",0
"1969/06",0
"1969/07",0
"1969/08",0
"1969/09",0
"1969/10",0
"1969/11",0
"1969/12",0
"1970/01",2
"1970/02",0
"1970/03",0
"1970/04",0
"1970/05",0
"1970/06",0
"1970/07",0
"1970/08",0
"1970/09",0
"1970/10",0
"1970/11",0
"1970/12",0
"1971/01",2
"1971/02",0
"1971/03",0
"1971/04",0
"1971/05",0
"1971/06",0
"1971/07",0
"1971/08",0
"1971/09",0
"1971/10",0
"1971/11",0
"1971/12",0
"1972/01",2
"1972/02",0
"1972/03",0
"1972/04",0
"1972/05",0
"1972/06",0
"1972/07",0
"1972/08",0
"1972/09",0
"1972/10",0
"1972/11",0
"1972/12",0
"1973/01",2
"1973/02",0
"1973/03",0
"1973/04",0
"1973/05",0
"1973/06",0
"1973/07",0
"1973/08",0
"1973/09",0
"1973/10",0
"1973/11",0
"1973/12",0
"1974/01",2
"1974/02",0
"1974/03",0
"1974/04",0
"1974/05",0
"1974/06",0
"1974/07",0
"1974/08",0
"1974/09",0
"1974/10",0
"1974/11",0
"1974/12",0
