"date","base"
"1600/01",0
"1600/02",0
"1600/03",0
"1600/04",0
"1600/05",0
"1600/06",0
"1600/07",0
"1600/08",0
"1600/09",0
"1600/10",0
"1600/11",0
"1600/12",0
"1601/01",0
"1601/02",0
"1601/03",0
"1601/04",0
"1601/05",0
"1601/06",0
"1601/07",0
"1601/08",0
"1601/09",0
"1601/10",0
"1601/11",0
"1601/12",0
"1602/01",0
"1602/02",0
"1602/03",0
"1602/04",0
"1602/05",0
"1602/06",0
"1602/07",0
"1602/08",0
"1602/09",0
"1602/10",0
"1602/11",0
"1602/12",0
"1603/01",0
"1603/02",0
"1603/03",0
"1603/04",0
"1603/05",0
"1603/06",0
"1603/07",0
"1603/08",0
"1603/09",0
"1603/10",0
"1603/11",0
"1603/12",0
"1604/01",0
"1604/02",0
"1604/03",0
"1604/04",0
"1604/05",0
"1604/06",0
"1604/07",0
"1604/08",0
"1604/09",0
"1604/10",0
"1604/11",0
"1604/12",0
"1605/01",0
"1605/02",0
"1605/03",0
"1605/04",0
"1605/05",0
"1605/06",0
"1605/07",0
"1605/08",0
"1605/09",0
"1605/10",0
"1605/11",0
"1605/12",0
"1606/01",0
"1606/02",0
"1606/03",0
"1606/04",0
"1606/05",0
"1606/06",0
"1606/07",0
"1606/08",0
"1606/09",0
"1606/10",0
"1606/11",0
"1606/12",0
"1607/01",0
"1607/02",0
"1607/03",0
"1607/04",0
"1607/05",0
"1607/06",0
"1607/07",0
"1607/08",0
"1607/09",0
"1607/10",0
"1607/11",0
"1607/12",0
"1608/01",0
"1608/02",0
"1608/03",0
"1608/04",0
"1608/05",0
"1608/06",0
"1608/07",0
"1608/08",0
"1608/09",0
"1608/10",0
"1608/11",0
"1608/12",0
"1609/01",0
"1609/02",0
"1609/03",0
"1609/04",0
"1609/05",0
"1609/06",0
"1609/07",0
"1609/08",0
"1609/09",0
"1609/10",0
"1609/11",0
"1609/12",0
"1610/01",0
"1610/02",0
"1610/03",0
"1610/04",0
"1610/05",0
"1610/06",0
"1610/07",0
"1610/08",0
"1610/09",0
"1610/10",0
"1610/11",0
"1610/12",0
"1611/01",0
"1611/02",0
"1611/03",0
"1611/04",0
"1611/05",0
"1611/06",0
"1611/07",0
"1611/08",0
"1611/09",0
"1611/10",0
"1611/11",0
"1611/12",0
"1612/01",0
"1612/02",0
"1612/03",0
"1612/04",0
"1612/05",0
"1612/06",0
"1612/07",0
"1612/08",0
"1612/09",0
"1612/10",0
"1612/11",0
"1612/12",0
"1613/01",0
"1613/02",0
"1613/03",0
"1613/04",0
"1613/05",0
"1613/06",0
"1613/07",0
"1613/08",0
"1613/09",0
"1613/10",0
"1613/11",0
"1613/12",0
"1614/01",0
"1614/02",0
"1614/03",0
"1614/04",0
"1614/05",0
"1614/06",0
"1614/07",0
"1614/08",0
"1614/09",0
"1614/10",0
"1614/11",0
"1614/12",0
"1615/01",0
"1615/02",0
"1615/03",0
"1615/04",0
"1615/05",0
"1615/06",0
"1615/07",0
"1615/08",0
"1615/09",0
"1615/10",0
"1615/11",0
"1615/12",0
"1616/01",0
"1616/02",0
