date,base
1642/07,179649
1644/01,12178
1644/02,5250
1644/03,10566
1644/04,9151
1644/05,13774
1644/06,15585
1644/07,16263
1644/08,13911
1644/09,15674
1644/10,13630
1644/11,5363
1644/12,6712
1647/08,4006
1647/09,9212
1647/10,14953
1647/11,13684
1647/12,8948
1649/03,3754
1649/04,1237
1649/06,5234
1649/07,14423
1651/07,420473
1654/07,5399
1654/08,6712
1654/09,5614
1654/10,9269
1654/11,5756
1654/12,5314
1656/07,6801
1656/08,10272
1656/09,9373
1656/10,9925
1656/11,5158
1656/12,15568
1657/07,186535
1661/07,153914
1662/07,5831
1662/08,13521
1662/09,15066
1662/10,10949
1662/11,7763
1662/12,8016
1663/07,157634
1667/06,2570
1667/07,8432
1667/08,5011
1667/09,4978
1667/10,8214
1667/11,5034
1667/12,11448
1668/07,315966
1669/01,6792
1669/02,6953
1669/03,8188
1669/04,5853
1669/05,8791
1669/06,10197
1669/07,1163
1671/07,142121
1672/07,7676
1672/08,5391
1672/09,5265
1672/10,6610
1672/11,5564
1672/12,6896
1674/07,3993
1674/08,5316
1674/09,6795
1674/10,5312
1674/11,5322
1674/12,6217
1675/01,5406
1675/02,5484
1675/03,6609
1675/04,5399
1675/05,6052
1675/06,6742
1675/07,6032
1675/08,6519
1675/09,5382
1675/10,5410
1675/11,6797
1675/12,5332
1676/01,5471
1676/02,6764
1676/03,5430
1676/04,5402
1676/05,6857
1676/06,6216
1676/07,5531
1676/08,6777
1676/09,5369
1676/10,7171
1676/11,8885
1676/12,4916
1678/01,29472
1678/02,31580
1678/03,36493
1678/04,37806
1678/06,34412
1678/07,44323
1678/10,41283
1679/01,84674
1679/02,35363
1679/03,33912
1679/04,76659
1679/05,31307
1679/06,28761
1679/07,32581
1679/08,33730
1679/09,31506
1679/10,84359
1679/11,28904
1679/12,30082
1680/01,87496
1680/02,29801
1680/03,26182
1680/04,41440
1680/05,29789
1680/06,27687
1680/07,41376
1680/09,56851
1680/10,71046
1680/11,30049
1680/12,29027
1681/01,29100
1681/02,29045
1681/03,30723
1681/04,33011
1681/05,33860
1681/06,30278
1681/07,73519
1681/08,31528
1681/09,35423
1681/10,33847
1681/11,29336
1681/12,30903
1682/01,30659
1682/02,30930
1682/03,29615
1682/04,31748
1682/06,28448
1682/07,32213
1682/08,31705
1682/09,62299
1682/10,41019
1682/12,33736
1683/01,28919
1683/02,29201
1683/03,34972
1683/04,33108
1683/05,30719
1683/06,32166
1683/07,32970
1683/08,32441
1683/09,34321
1683/10,31133
1683/11,33085
1683/12,32142
1684/01,69654
1684/02,35626
1684/05,33754
1684/06,29567
1684/07,35263
1684/08,31499
1684/09,28915
1684/10,30725
1684/11,28608
1684/12,29132
1685/02,30155
1685/03,29291
1685/04,63509
1685/05,33190
1685/06,30569
1685/07,67868
1685/08,28750
1685/09,29184
1685/10,31144
1685/11,30233
1685/12,28909
1686/02,62787
1686/03,28095
1686/04,30403
1686/05,31443
1686/06,30756
1686/07,29248
1686/08,88477
1686/09,28235
1686/10,29433
1686/11,30494
1686/12,29838
1687/01,28639
1687/04,28941
1687/05,30680
1687/06,57195
1687/07,32788
1687/08,28962
1687/09,31707
1687/10,35884
1687/11,26713
1687/12,59331
1688/02,29085
1688/03,32893
1688/04,64707
1688/05,29316
1688/06,31547
1688/07,30829
1688/08,29709
1688/09,28756
1688/10,29631
1688/11,59357
1688/12,65183
1689/01,53628
1689/02,47005
1689/03,47274
1689/04,54713
1689/05,48780
1689/06,48343
1689/07,58966
1689/08,55880
1689/09,54951
1689/10,55404
1689/11,49964
1689/12,51006
1690/01,27559
1690/02,28972
1690/03,28273
1690/05,30666
1690/06,32374
1690/07,32724
1690/08,35884
1690/09,29975
1690/10,28523
1690/11,28038
