date,base
1844/01,0
1844/02,0
1844/03,0
1844/04,0
1844/05,0
1844/06,0
1844/07,0
1844/08,0
1844/09,0
1844/10,0
1844/11,0
1844/12,32
1845/01,70
1845/02,64
1845/03,74
1845/04,68
1845/05,68
1845/06,64
1845/07,64
1845/08,52
1845/09,48
1845/10,56
1845/11,50
1845/12,52
1846/01,64
1846/02,48
1846/03,52
1846/04,52
1846/05,56
1846/06,48
1846/07,56
1846/08,54
1846/09,52
1846/10,54
1846/11,52
1846/12,56
1847/01,46
1847/02,54
1847/03,60
1847/04,50
1847/05,56
1847/06,60
1847/07,54
1847/08,54
1847/09,50
1847/10,58
1847/11,56
1847/12,56
1848/01,48
1848/02,56
1848/03,72
1848/04,54
1848/05,56
1848/06,66
1848/07,108
1848/08,100
1848/09,104
1848/10,108
1848/11,100
1848/12,100
1849/01,104
1849/02,92
1849/03,106
1849/04,100
1849/05,104
1849/06,100
1849/07,104
1849/08,104
1849/09,100
1849/10,104
1849/11,100
1849/12,100
1850/01,104
1850/02,84
1850/03,104
1850/04,104
1850/05,104
1850/06,100
1850/07,108
1850/08,100
1850/09,100
1850/10,104
1850/11,100
1850/12,100
1851/01,104
1851/02,92
1851/03,100
1851/04,104
1851/05,108
1851/06,104
1851/07,110
1851/08,102
1851/09,100
1851/10,106
1851/11,100
1851/12,106
1852/01,104
1852/02,96
1852/03,104
1852/04,104
1852/05,100
1852/06,104
1852/07,108
1852/08,100
1852/09,104
1852/10,104
1852/11,100
1852/12,104
1853/01,96
1853/02,96
1853/03,112
1853/04,106
1853/05,106
1853/06,120
1853/07,122
1853/08,108
1853/09,114
1853/10,116
1853/11,108
1853/12,116
1854/01,120
1854/02,112
1854/03,120
1854/04,124
1854/05,116
1854/06,120
1854/07,124
1854/08,116
1854/09,120
1854/10,128
1854/11,116
1854/12,124
1855/01,0
1855/02,0
1855/03,0
1855/04,0
1855/05,0
1855/06,0
1855/07,0
1855/08,0
1855/09,0
1855/10,0
1855/11,0
1855/12,0
1856/01,0
1856/02,0
1856/03,0
1856/04,0
1856/05,0
1856/06,0
1856/07,0
1856/08,0
1856/09,0
1856/10,0
1856/11,4
1856/12,106
1857/01,106
1857/02,92
1857/03,104
1857/04,104
1857/05,108
1857/06,104
1857/07,108
1857/08,100
1857/09,108
1857/10,108
1857/11,100
1857/12,104
1858/01,112
1858/02,96
1858/03,104
1858/04,106
1858/05,100
1858/06,106
1858/07,110
1858/08,100
1858/09,108
1858/10,118
1858/11,104
1858/12,115
1859/01,116
1859/02,104
1859/03,116
1859/04,120
1859/05,122
1859/06,106
1859/07,112
1859/08,104
1859/09,110
1859/10,116
1859/11,108
1859/12,118
1860/01,108
1860/02,104
1860/03,118
1860/04,108
1860/05,112
1860/06,114
1860/07,114
1860/08,104
1860/09,114
1860/10,112
1860/11,108
1860/12,100
1861/01,118
1861/02,104
1861/03,128
1861/04,116
1861/05,120
1861/06,124
1861/07,120
1861/08,116
1861/09,116
1861/10,124
1861/11,116
1861/12,120
1862/01,112
1862/02,100
1862/03,110
1862/04,112
1862/05,112
1862/06,106
1862/07,116
1862/08,112
1862/09,110
1862/10,118
1862/11,108
1862/12,110
1863/01,114
1863/02,100
1863/03,112
1863/04,112
1863/05,114
1863/06,108
1863/07,116
1863/08,102
1863/09,112
1863/10,118
1863/11,108
1863/12,112
1864/01,232
1864/02,218
1864/03,238
1864/04,210
1864/05,216
1864/06,234
1864/07,242
1864/08,216
1864/09,232
1864/10,238
1864/11,224
1864/12,210
1865/01,228
1865/02,216
1865/03,232
1865/04,222
1865/05,224
1865/06,224
1865/07,236
1865/08,224
1865/09,236
1865/10,236
1865/11,224
1865/12,218
1866/01,232
1866/02,212
1866/03,238
1866/04,224
1866/05,228
1866/06,240
1866/07,242
1866/08,232
1866/09,226
1866/10,230
1866/11,224
1866/12,230
1867/01,232
1867/02,216
1867/03,234
1867/04,224
1867/05,232
1867/06,226
1867/07,236
1867/08,226
1867/09,228
1867/10,236
1867/11,226
1867/12,224
1868/01,228
1868/02,213
1868/03,232
1868/04,228
1868/05,222
1868/06,212
1868/07,240
1868/08,218
1868/09,192
1868/10,118
1868/11,108
1868/12,112
1869/01,108
1869/02,102
1869/03,112
1869/04,112
1869/05,110
1869/06,110
1869/07,120
1869/08,108
1869/09,112
1869/10,116
1869/11,104
1869/12,108
1870/01,108
1870/02,104
1870/03,110
1870/04,114
1870/05,108
1870/06,112
1870/07,126
1870/08,120
1870/09,114
1870/10,112
1870/11,102
1870/12,122
1871/01,114
1871/02,100
1871/03,108
1871/04,120
1871/05,108
1871/06,110
1871/07,118
1871/08,110
1871/09,116
1871/10,112
1871/11,108
1871/12,106
1872/01,104
1872/02,88
1872/03,108
1872/04,100
1872/05,102
1872/06,102
1872/07,108
1872/08,100
1872/09,96
1872/10,108
1872/11,100
1872/12,100
1873/01,112
1873/02,92
1873/03,104
1873/04,104
1873/05,106
1873/06,100
1873/07,108
1873/08,100
1873/09,100
1873/10,108
1873/11,100
1873/12,102
1874/01,106
1874/02,92
1874/03,108
1874/04,104
1874/05,106
1874/06,100
1874/07,106
1874/08,96
1874/09,104
1874/10,108
1874/11,100
1874/12,106
1875/01,104
1875/02,92
1875/03,111
1875/04,118
1875/05,112
1875/06,114
1875/07,124
1875/08,124
1875/09,120
1875/10,120
1875/11,112
1875/12,124
1876/01,114
1876/02,115
1876/03,120
1876/04,124
1876/05,112
1876/06,120
1876/07,120
1876/08,116
1876/09,124
1876/10,120
1876/11,116
1876/12,124
1877/01,114
1877/02,108
1877/03,128
1877/04,115
1877/05,120
1877/06,119
1877/07,120
1877/08,115
1877/09,122
1877/10,120
1877/11,120
1877/12,114
1878/01,116
1878/02,117
1878/03,124
1878/04,116
1878/05,120
1878/06,121
1878/07,122
1878/08,120
1878/09,124
1878/10,124
1878/11,112
1878/12,112
1879/01,114
1879/02,100
1879/03,124
1879/04,127
1879/05,114
1879/06,100
1879/07,124
1879/08,120
1879/09,120
1879/10,128
1879/11,116
1879/12,114
1880/01,116
1880/02,190
1880/03,176
1880/04,196
1880/05,206
1880/06,206
1880/07,212
1880/08,190
1880/09,208
1880/10,216
1880/11,190
1880/12,202
1881/01,100
1881/02,96
1881/03,104
1881/04,204
1881/05,188
1881/06,196
1881/07,188
1881/08,184
1881/09,184
1881/10,192
1881/11,184
1881/12,200
1882/01,188
1882/02,164
1882/03,200
1882/04,192
1882/05,148
1882/06,184
1882/07,176
1882/08,144
1882/09,192
1882/10,188
1882/11,210
1882/12,218
1883/01,100
1883/02,92
1883/03,108
1883/04,96
1883/05,100
1883/06,94
1883/07,0
1883/08,0
1883/09,0
1883/10,0
1883/11,0
1883/12,0
1884/01,172
1884/02,160
1884/03,196
1884/04,100
1884/05,202
1884/06,209
1884/07,216
1884/08,200
1884/09,276
1884/10,290
1884/11,268
1884/12,274
1885/01,288
1885/02,260
1885/03,288
1885/04,288
1885/05,300
1885/06,292
1885/07,308
1885/08,296
1885/09,302
1885/10,308
1885/11,290
1885/12,302
1886/01,196
1886/02,192
1886/03,208
1886/04,202
1886/05,203
1886/06,196
1886/07,212
1886/08,200
1886/09,208
1886/10,208
1886/11,196
1886/12,208
1887/01,200
1887/02,184
1887/03,216
1887/04,200
1887/05,202
1887/06,222
1887/07,208
1887/08,204
1887/09,212
1887/10,224
1887/11,200
1887/12,216
1888/01,204
1888/02,194
1888/03,224
1888/04,204
1888/05,216
1888/06,222
1888/07,212
1888/08,220
1888/09,210
1888/10,220
1888/11,210
1888/12,204
1889/01,216
1889/02,204
1889/03,206
1889/04,208
1889/05,214
1889/06,212
1889/07,222
1889/08,234
1889/09,224
1889/10,232
1889/11,226
1889/12,226
1890/01,112
1890/02,100
1890/03,116
1890/04,114
1890/05,116
1890/06,106
1890/07,118
1890/08,114
1890/09,108
1890/10,120
1890/11,112
1890/12,108
1891/01,112
1891/02,100
1891/03,112
1891/04,114
1891/05,122
1891/06,110
1891/07,114
1891/08,110
1891/09,112
1891/10,120
1891/11,108
1891/12,114
1892/01,114
1892/02,104
1892/03,110
1892/04,114
1892/05,110
1892/06,112
1892/07,116
1892/08,108
1892/09,112
1892/10,112
1892/11,108
1892/12,120
1893/01,112
1893/02,102
1893/03,120
1893/04,116
1893/05,108
1893/06,102
1893/07,338
1893/08,344
1893/09,326
1893/10,282
1893/11,164
1893/12,324
1894/01,340
1894/02,312
1894/03,324
1894/04,324
1894/05,338
1894/06,328
1894/07,346
1894/08,332
1894/09,332
1894/10,362
1894/11,346
1894/12,346
1895/01,376
1895/02,312
1895/03,360
1895/04,328
1895/05,344
1895/06,338
1895/07,252
1895/08,252
1895/09,240
1895/10,254
1895/11,254
1895/12,258
1896/01,338
1896/02,322
1896/03,348
1896/04,344
1896/05,338
1896/06,340
1896/07,346
1896/08,348
1896/09,308
1896/10,350
1896/11,318
1896/12,312
1897/01,340
1897/02,304
1897/03,346
1897/04,320
1897/05,348
1897/06,340
1897/07,338
1897/08,342
1897/09,336
1897/10,352
1897/11,336
1897/12,352
1898/01,354
1898/02,310
1898/03,362
1898/04,354
1898/05,354
1898/06,356
1898/07,362
1898/08,346
1898/09,348
1898/10,354
1898/11,340
1898/12,294
1899/01,266
1899/02,332
1899/03,364
1899/04,364
1899/05,352
1899/06,356
1899/07,364
1899/08,364
1899/09,366
1899/10,376
1899/11,352
1899/12,374
1900/01,356
1900/02,334
1900/03,372
1900/04,348
1900/05,366
1900/06,356
1900/07,360
1900/08,360
1900/09,372
1900/10,360
1900/11,344
1900/12,336
1901/01,362
1901/02,334
1901/03,386
1901/04,354
1901/05,364
1901/06,356
1901/07,368
1901/08,328
1901/09,352
1901/10,368
1901/11,464
1901/12,498
1902/01,480
1902/02,444
1902/03,492
1902/04,476
1902/05,474
1902/06,468
1902/07,350
1902/08,366
1902/09,352
1902/10,376
1902/11,358
1902/12,364
1903/01,360
1903/02,328
1903/03,364
1903/04,348
1903/05,368
1903/06,340
1903/07,366
1903/08,360
1903/09,360
1903/10,392
1903/11,360
1903/12,368
1904/01,392
1904/02,360
1904/03,394
1904/04,382
1904/05,374
1904/06,384
1904/07,392
1904/08,372
1904/09,374
1904/10,388
1904/11,364
1904/12,398
1905/01,374
1905/02,326
1905/03,374
1905/04,374
1905/05,374
1905/06,366
1905/07,361
1905/08,364
1905/09,374
1905/10,384
1905/11,366
1905/12,386
1906/01,386
1906/02,356
1906/03,394
1906/04,386
1906/05,380
1906/06,386
1906/07,378
1906/08,372
1906/09,374
1906/10,382
1906/11,364
1906/12,376
1907/01,374
1907/02,342
1907/03,398
1907/04,368
1907/05,384
1907/06,394
1907/07,376
1907/08,394
1907/09,380
1907/10,392
1907/11,364
1907/12,386
1908/01,378
1908/02,360
1908/03,390
1908/04,364
1908/05,388
1908/06,376
1908/07,382
1908/08,376
1908/09,370
1908/10,400
1908/11,420
1908/12,444
1909/01,434
1909/02,390
1909/03,444
1909/04,430
1909/05,434
1909/06,434
1909/07,442
1909/08,430
1909/09,428
1909/10,434
1909/11,418
1909/12,468
1910/01,446
1910/02,523
1910/03,660
1910/04,696
1910/05,675
1910/06,673
1910/07,694
1910/08,669
1910/09,692
1910/10,716
1910/11,688
1910/12,738
1911/01,1287
1911/02,1214
1911/03,1351
1911/04,1327
1911/05,1340
1911/06,1318
1911/07,1332
1911/08,1258
1911/09,1249
1911/10,1320
1911/11,1258
1911/12,1384
1912/01,1324
1912/02,1279
1912/03,1440
1912/04,1332
1912/05,1349
1912/06,1319
1912/07,1110
1912/08,1085
1912/09,1049
