"date","base"
"1800/01",0
"1800/02",0
"1800/03",0
"1800/04",0
"1800/05",0
"1800/06",0
"1800/07",0
"1800/08",0
"1800/09",0
"1800/10",0
"1800/11",0
"1800/12",0
"1801/01",0
"1801/02",0
"1801/03",0
"1801/04",0
"1801/05",0
"1801/06",0
"1801/07",0
"1801/08",0
"1801/09",0
"1801/10",0
"1801/11",0
"1801/12",0
"1802/01",0
"1802/02",0
"1802/03",0
"1802/04",0
"1802/05",0
"1802/06",0
"1802/07",0
"1802/08",0
"1802/09",0
"1802/10",0
"1802/11",0
"1802/12",0
"1803/01",0
"1803/02",0
"1803/03",0
"1803/04",0
"1803/05",0
"1803/06",0
"1803/07",0
"1803/08",0
"1803/09",0
"1803/10",0
"1803/11",0
"1803/12",0
"1804/01",0
"1804/02",0
"1804/03",0
"1804/04",0
"1804/05",0
"1804/06",0
"1804/07",0
"1804/08",0
"1804/09",0
"1804/10",0
"1804/11",0
"1804/12",0
"1805/01",0
"1805/02",0
"1805/03",0
"1805/04",0
"1805/05",0
"1805/06",0
"1805/07",0
"1805/08",0
"1805/09",0
"1805/10",0
"1805/11",0
"1805/12",0
"1806/01",0
"1806/02",0
"1806/03",0
"1806/04",0
"1806/05",0
"1806/06",0
"1806/07",0
"1806/08",0
"1806/09",0
"1806/10",0
"1806/11",0
"1806/12",0
"1807/01",0
"1807/02",0
"1807/03",0
"1807/04",0
"1807/05",0
"1807/06",18
"1807/07",30
"1807/08",20
"1807/09",20
"1807/10",18
"1807/11",16
"1807/12",22
"1808/01",16
"1808/02",18
"1808/03",24
"1808/04",18
"1808/05",22
"1808/06",26
"1808/07",22
"1808/08",24
"1808/09",24
"1808/10",34
"1808/11",30
"1808/12",24
"1809/01",70
"1809/02",64
"1809/03",68
"1809/04",72
"1809/05",90
"1809/06",68
"1809/07",69
"1809/08",72
"1809/09",62
"1809/10",68
"1809/11",63
"1809/12",65
"1810/01",74
"1810/02",50
"1810/03",59
"1810/04",62
"1810/05",66
"1810/06",65
"1810/07",72
"1810/08",63
"1810/09",81
"1810/10",86
"1810/11",85
"1810/12",90
"1811/01",85
"1811/02",84
"1811/03",98
"1811/04",67
"1811/05",100
"1811/06",96
"1811/07",101
"1811/08",84
"1811/09",69
"1811/10",82
"1811/11",74
"1811/12",88
"1812/01",104
"1812/02",80
"1812/03",76
"1812/04",80
"1812/05",80
"1812/06",64
"1812/07",84
"1812/08",73
"1812/09",68
"1812/10",68
"1812/11",84
"1812/12",60
"1813/01",88
"1813/02",100
"1813/03",92
"1813/04",80
"1813/05",108
"1813/06",127
"1813/07",88
"1813/08",68
"1813/09",68
"1813/10",80
"1813/11",104
"1813/12",100
"1814/01",93
"1814/02",76
"1814/03",72
"1814/04",84
"1814/05",100
"1814/06",104
"1814/07",112
"1814/08",90
"1814/09",80
"1814/10",100
"1814/11",88
"1814/12",80
"1815/01",112
"1815/02",124
"1815/03",103
"1815/04",136
"1815/05",168
"1815/06",136
"1815/07",108
"1815/08",99
"1815/09",105
"1815/10",112
"1815/11",100
"1815/12",110
"1816/01",124
"1816/02",101
"1816/03",114
"1816/04",116
"1816/05",110
"1816/06",124
"1816/07",130
"1816/08",112
"1816/09",102
"1816/10",130
"1816/11",110
"1816/12",116
"1817/01",116
"1817/02",104
"1817/03",124
"1817/04",116
"1817/05",112
"1817/06",112
"1817/07",124
"1817/08",112
"1817/09",104
"1817/10",72
"1817/11",98
"1817/12",104
"1818/01",68
"1818/02",64
"1818/03",68
"1818/04",74
"1818/05",69
"1818/06",68
"1818/07",68
"1818/08",68
"1818/09",72
"1818/10",88
"1818/11",64
"1818/12",68
"1819/01",72
"1819/02",64
"1819/03",72
"1819/04",64
"1819/05",72
"1819/06",68
"1819/07",72
"1819/08",68
"1819/09",60
"1819/10",72
"1819/11",76
"1819/12",106
"1820/01",90
"1820/02",86
"1820/03",98
"1820/04",88
"1820/05",86
"1820/06",86
"1820/07",88
"1820/08",88
"1820/09",88
"1820/10",84
"1820/11",88
"1820/12",72
"1821/01",84
"1821/02",80
"1821/03",92
"1821/04",94
"1821/05",106
"1821/06",92
"1821/07",84
"1821/08",88
"1821/09",84
"1821/10",92
"1821/11",84
"1821/12",90
"1822/01",94
"1822/02",84
"1822/03",92
"1822/04",82
"1822/05",80
"1822/06",88
"1822/07",98
"1822/08",96
"1822/09",77
"1822/10",89
"1822/11",84
"1822/12",84
"1823/01",36
"1823/02",29
"1823/03",44
"1823/04",38
"1823/05",36
"1823/06",32
"1823/07",36
"1823/08",36
"1823/09",32
"1823/10",36
"1823/11",36
"1823/12",33
"1824/01",92
"1824/02",70
"1824/03",92
"1824/04",83
"1824/05",94
"1824/06",79
"1824/07",88
"1824/08",84
"1824/09",80
"1824/10",77
"1824/11",92
"1824/12",70
"1825/01",70
"1825/02",67
"1825/03",88
"1825/04",88
"1825/05",84
"1825/06",82
"1825/07",76
"1825/08",71
"1825/09",80
"1825/10",70
"1825/11",50
"1825/12",48
"1826/01",84
"1826/02",84
"1826/03",88
"1826/04",83
"1826/05",94
"1826/06",82
"1826/07",102
"1826/08",86
"1826/09",48
"1826/10",78
"1826/11",86
"1826/12",88
"1827/01",94
"1827/02",86
"1827/03",56
"1827/04",71
"1827/05",41
"1827/06",0
"1827/07",0
"1827/08",0
"1827/09",0
"1827/10",0
"1827/11",0
"1827/12",8
"1828/01",6
"1828/02",0
"1828/03",0
"1828/04",4
"1828/05",6
"1828/06",0
"1828/07",0
"1828/08",0
"1828/09",0
"1828/10",0
"1828/11",4
"1828/12",5
"1829/01",64
"1829/02",54
"1829/03",58
"1829/04",50
"1829/05",60
"1829/06",52
"1829/07",66
"1829/08",44
"1829/09",61
"1829/10",65
"1829/11",64
"1829/12",62
"1830/01",53
"1830/02",50
"1830/03",61
"1830/04",57
"1830/05",61
"1830/06",79
"1830/07",82
"1830/08",97
"1830/09",82
"1830/10",74
"1830/11",85
"1830/12",76
"1831/01",0
"1831/02",0
"1831/03",0
"1831/04",0
"1831/05",0
"1831/06",20
"1831/07",0
"1831/08",0
"1831/09",0
"1831/10",0
"1831/11",0
"1831/12",4
"1832/01",52
"1832/02",52
"1832/03",52
"1832/04",52
"1832/05",83
"1832/06",57
"1832/07",57
"1832/08",54
"1832/09",48
"1832/10",56
"1832/11",78
"1832/12",52
"1833/01",56
"1833/02",49
"1833/03",52
"1833/04",53
"1833/05",53
"1833/06",54
"1833/07",60
"1833/08",56
"1833/09",54
"1833/10",53
"1833/11",48
"1833/12",43
"1834/01",109
"1834/02",96
"1834/03",104
"1834/04",108
"1834/05",102
"1834/06",114
"1834/07",108
"1834/08",105
"1834/09",104
"1834/10",108
"1834/11",97
"1834/12",108
"1835/01",140
"1835/02",148
"1835/03",182
"1835/04",144
"1835/05",164
"1835/06",174
"1835/07",170
"1835/08",149
"1835/09",170
"1835/10",144
"1835/11",148
"1835/12",156
"1836/01",157
"1836/02",142
"1836/03",202
"1836/04",157
"1836/05",160
"1836/06",166
"1836/07",144
"1836/08",156
"1836/09",149
"1836/10",156
"1836/11",194
"1836/12",145
"1837/01",185
"1837/02",168
"1837/03",174
"1837/04",181
"1837/05",192
"1837/06",164
"1837/07",173
"1837/08",184
"1837/09",164
"1837/10",174
"1837/11",154
"1837/12",176
"1838/01",190
"1838/02",166
"1838/03",189
"1838/04",180
"1838/05",197
"1838/06",154
"1838/07",191
"1838/08",204
"1838/09",169
"1838/10",233
"1838/11",170
"1838/12",181
"1839/01",164
"1839/02",145
"1839/03",166
"1839/04",156
"1839/05",164
"1839/06",160
"1839/07",158
"1839/08",172
"1839/09",160
"1839/10",201
"1839/11",205
"1839/12",215
"1840/01",226
"1840/02",234
"1840/03",229
"1840/04",218
"1840/05",217
"1840/06",208
"1840/07",231
"1840/08",241
"1840/09",235
"1840/10",208
"1840/11",194
"1840/12",208
"1841/01",162
"1841/02",131
"1841/03",163
"1841/04",141
"1841/05",157
"1841/06",162
"1841/07",159
"1841/08",157
"1841/09",155
"1841/10",162
"1841/11",151
"1841/12",166
"1842/01",161
"1842/02",146
"1842/03",159
"1842/04",160
"1842/05",158
"1842/06",162
"1842/07",182
"1842/08",188
"1842/09",184
"1842/10",188
"1842/11",180
"1842/12",189
"1843/01",209
"1843/02",190
"1843/03",208
"1843/04",202
"1843/05",208
"1843/06",214
"1843/07",213
"1843/08",233
"1843/09",196
"1843/10",200
"1843/11",197
"1843/12",218
"1844/01",243
"1844/02",246
"1844/03",251
"1844/04",262
"1844/05",250
"1844/06",254
"1844/07",256
"1844/08",257
"1844/09",242
"1844/10",262
"1844/11",243
"1844/12",242
"1845/01",239
"1845/02",213
"1845/03",231
"1845/04",224
"1845/05",238
"1845/06",213
"1845/07",234
"1845/08",218
"1845/09",212
"1845/10",220
"1845/11",214
"1845/12",232
"1846/01",239
"1846/02",216
"1846/03",224
"1846/04",234
"1846/05",230
"1846/06",223
"1846/07",234
"1846/08",230
"1846/09",229
"1846/10",244
"1846/11",265
"1846/12",309
"1847/01",264
"1847/02",250
"1847/03",289
"1847/04",271
"1847/05",284
"1847/06",251
"1847/07",257
"1847/08",243
"1847/09",241
"1847/10",246
"1847/11",204
"1847/12",229
"1848/01",249
"1848/02",242
"1848/03",412
"1848/04",508
"1848/05",528
"1848/06",548
"1848/07",537
"1848/08",597
"1848/09",605
"1848/10",601
"1848/11",578
"1848/12",629
"1849/01",607
"1849/02",547
"1849/03",628
"1849/04",568
"1849/05",584
"1849/06",572
"1849/07",538
"1849/08",540
"1849/09",519
"1849/10",558
"1849/11",545
"1849/12",564
"1850/01",554
"1850/02",509
"1850/03",554
"1850/04",533
"1850/05",544
"1850/06",540
"1850/07",564
"1850/08",574
"1850/09",548
"1850/10",550
"1850/11",538
"1850/12",528
"1851/01",555
"1851/02",522
"1851/03",494
"1851/04",495
"1851/05",509
"1851/06",512
"1851/07",548
"1851/08",639
"1851/09",568
"1851/10",604
"1851/11",546
"1851/12",595
"1852/01",462
"1852/02",435
"1852/03",466
"1852/04",472
"1852/05",472
"1852/06",450
"1852/07",462
"1852/08",438
"1852/09",424
"1852/10",442
"1852/11",422
"1852/12",435
"1853/01",572
"1853/02",518
"1853/03",562
"1853/04",564
"1853/05",560
"1853/06",608
"1853/07",596
"1853/08",548
"1853/09",542
"1853/10",576
"1853/11",550
"1853/12",566
"1854/01",588
"1854/02",540
"1854/03",627
"1854/04",574
"1854/05",567
"1854/06",569
"1854/07",573
"1854/08",573
"1854/09",568
"1854/10",592
"1854/11",575
"1854/12",567
"1855/01",507
"1855/02",484
"1855/03",545
"1855/04",474
"1855/05",518
"1855/06",513
"1855/07",526
"1855/08",516
"1855/09",515
"1855/10",518
"1855/11",452
"1855/12",448
"1856/01",542
"1856/02",510
"1856/03",528
"1856/04",516
"1856/05",548
"1856/06",568
"1856/07",600
"1856/08",575
"1856/09",554
"1856/10",600
"1856/11",556
"1856/12",546
"1857/01",534
"1857/02",464
"1857/03",480
"1857/04",467
"1857/05",476
"1857/06",446
"1857/07",488
"1857/08",472
"1857/09",462
"1857/10",495
"1857/11",466
"1857/12",456
"1858/01",350
"1858/02",327
"1858/03",360
"1858/04",354
"1858/05",360
"1858/06",332
"1858/07",364
"1858/08",356
"1858/09",344
"1858/10",358
"1858/11",324
"1858/12",348
"1859/01",252
"1859/02",240
"1859/03",248
"1859/04",248
"1859/05",254
"1859/06",246
"1859/07",260
"1859/08",196
"1859/09",196
"1859/10",200
"1859/11",196
"1859/12",356
"1860/01",340
"1860/02",330
"1860/03",384
"1860/04",400
"1860/05",392
"1860/06",392
"1860/07",413
"1860/08",380
"1860/09",386
"1860/10",408
"1860/11",389
"1860/12",378
"1861/01",374
"1861/02",360
"1861/03",419
"1861/04",388
"1861/05",358
"1861/06",336
"1861/07",464
"1861/08",452
"1861/09",457
"1861/10",466
"1861/11",460
"1861/12",537
"1862/01",678
"1862/02",614
"1862/03",618
"1862/04",517
"1862/05",524
"1862/06",510
"1862/07",534
"1862/08",522
"1862/09",504
"1862/10",540
"1862/11",505
"1862/12",484
"1863/01",491
"1863/02",510
"1863/03",522
"1863/04",458
"1863/05",494
"1863/06",467
"1863/07",490
"1863/08",481
"1863/09",462
"1863/10",482
"1863/11",489
"1863/12",520
"1864/01",579
"1864/02",494
"1864/03",454
"1864/04",460
"1864/05",476
"1864/06",478
"1864/07",488
"1864/08",456
"1864/09",469
"1864/10",472
"1864/11",453
"1864/12",480
"1865/01",488
"1865/02",446
"1865/03",548
"1865/04",524
"1865/05",480
"1865/06",480
"1865/07",500
"1865/08",477
"1865/09",484
"1865/10",494
"1865/11",465
"1865/12",483
"1866/01",476
"1866/02",460
"1866/03",552
"1866/04",473
"1866/05",488
"1866/06",491
"1866/07",498
"1866/08",493
"1866/09",486
"1866/10",486
"1866/11",476
"1866/12",531
"1867/01",470
"1867/02",463
"1867/03",522
"1867/04",444
"1867/05",497
"1867/06",484
"1867/07",533
"1867/08",401
"1867/09",480
"1867/10",488
"1867/11",478
"1867/12",622
"1868/01",496
"1868/02",497
"1868/03",502
"1868/04",460
"1868/05",486
"1868/06",462
"1868/07",544
"1868/08",532
"1868/09",530
"1868/10",539
"1868/11",532
"1868/12",610
"1869/01",540
"1869/02",477
"1869/03",526
"1869/04",546
"1869/05",557
"1869/06",551
"1869/07",589
"1869/08",526
"1869/09",536
"1869/10",561
"1869/11",514
"1869/12",642
"1870/01",577
"1870/02",504
"1870/03",562
"1870/04",541
"1870/05",473
"1870/06",479
"1870/07",529
"1870/08",495
"1870/09",465
"1870/10",458
"1870/11",427
"1870/12",448
"1871/01",568
"1871/02",519
"1871/03",546
"1871/04",435
"1871/05",428
"1871/06",450
"1871/07",503
"1871/08",481
"1871/09",485
"1871/10",498
"1871/11",466
"1871/12",489
"1872/01",473
"1872/02",439
"1872/03",502
"1872/04",440
"1872/05",474
"1872/06",465
"1872/07",470
"1872/08",462
"1872/09",438
"1872/10",441
"1872/11",472
"1872/12",484
"1873/01",502
"1873/02",452
"1873/03",497
"1873/04",584
"1873/05",629
"1873/06",598
"1873/07",626
"1873/08",589
"1873/09",472
"1873/10",512
"1873/11",485
"1873/12",605
"1874/01",497
"1874/02",458
"1874/03",500
"1874/04",480
"1874/05",505
"1874/06",478
"1874/07",512
"1874/08",493
"1874/09",488
"1874/10",507
"1874/11",481
"1874/12",484
"1875/01",623
"1875/02",560
"1875/03",600
"1875/04",576
"1875/05",547
"1875/06",560
"1875/07",575
"1875/08",556
"1875/09",554
"1875/10",583
"1875/11",530
"1875/12",572
"1876/01",560
"1876/02",532
"1876/03",573
"1876/04",561
"1876/05",562
"1876/06",546
"1876/07",569
"1876/08",544
"1876/09",565
"1876/10",574
"1876/11",538
"1876/12",567
"1877/01",550
"1877/02",513
"1877/03",582
"1877/04",534
"1877/05",548
"1877/06",570
"1877/07",566
"1877/08",571
"1877/09",568
"1877/10",579
"1877/11",550
"1877/12",557
"1878/01",570
"1878/02",532
"1878/03",593
"1878/04",544
"1878/05",583
"1878/06",568
"1878/07",572
"1878/08",579
"1878/09",572
"1878/10",595
"1878/11",561
"1878/12",564
"1879/01",465
"1879/02",404
"1879/03",463
"1879/04",430
"1879/05",453
"1879/06",431
"1879/07",568
"1879/08",593
"1879/09",575
"1879/10",608
"1879/11",574
"1879/12",593
"1880/01",483
"1880/02",458
"1880/03",476
"1880/04",491
"1880/05",479
"1880/06",432
"1880/07",558
"1880/08",545
"1880/09",540
"1880/10",582
"1880/11",505
"1880/12",553
"1881/01",549
"1881/02",507
"1881/03",547
"1881/04",537
"1881/05",544
"1881/06",524
"1881/07",639
"1881/08",666
"1881/09",660
"1881/10",693
"1881/11",643
"1881/12",673
"1882/01",664
"1882/02",616
"1882/03",679
"1882/04",662
"1882/05",658
"1882/06",659
"1882/07",684
"1882/08",669
"1882/09",671
"1882/10",680
"1882/11",640
"1882/12",680
"1883/01",666
"1883/02",618
"1883/03",675
"1883/04",662
"1883/05",627
"1883/06",674
"1883/07",543
"1883/08",551
"1883/09",557
"1883/10",556
"1883/11",526
"1883/12",603
"1884/01",711
"1884/02",689
"1884/03",754
"1884/04",692
"1884/05",747
"1884/06",696
"1884/07",716
"1884/08",747
"1884/09",708
"1884/10",750
"1884/11",761
"1884/12",766
"1885/01",783
"1885/02",709
"1885/03",788
"1885/04",702
"1885/05",728
"1885/06",702
"1885/07",716
"1885/08",626
"1885/09",613
"1885/10",643
"1885/11",621
"1885/12",618
"1886/01",745
"1886/02",666
"1886/03",719
"1886/04",711
"1886/05",758
"1886/06",536
"1886/07",514
"1886/08",509
"1886/09",485
"1886/10",514
"1886/11",472
"1886/12",500
"1887/01",388
"1887/02",344
"1887/03",377
"1887/04",373
"1887/05",368
"1887/06",367
"1887/07",401
"1887/08",368
"1887/09",380
"1887/10",394
"1887/11",356
"1887/12",384
"1888/01",434
"1888/02",404
"1888/03",451
"1888/04",429
"1888/05",431
"1888/06",455
"1888/07",445
"1888/08",443
"1888/09",454
"1888/10",450
"1888/11",431
"1888/12",458
"1889/01",549
"1889/02",524
"1889/03",582
"1889/04",539
"1889/05",566
"1889/06",569
"1889/07",597
"1889/08",615
"1889/09",596
"1889/10",605
"1889/11",578
"1889/12",568
"1890/01",572
"1890/02",528
"1890/03",610
"1890/04",559
"1890/05",586
"1890/06",570
"1890/07",581
"1890/08",594
"1890/09",556
"1890/10",593
"1890/11",582
"1890/12",579
"1891/01",618
"1891/02",544
"1891/03",587
"1891/04",587
"1891/05",603
"1891/06",593
"1891/07",591
"1891/08",620
"1891/09",594
"1891/10",650
"1891/11",581
"1891/12",593
"1892/01",661
"1892/02",603
"1892/03",649
"1892/04",641
"1892/05",619
"1892/06",605
"1892/07",657
"1892/08",628
"1892/09",613
"1892/10",678
"1892/11",658
"1892/12",701
"1893/01",675
"1893/02",631
"1893/03",711
"1893/04",819
"1893/05",769
"1893/06",766
"1893/07",804
"1893/08",727
"1893/09",681
"1893/10",645
"1893/11",662
"1893/12",693
"1894/01",651
"1894/02",614
"1894/03",694
"1894/04",663
"1894/05",648
"1894/06",680
"1894/07",660
"1894/08",673
"1894/09",708
"1894/10",660
"1894/11",607
"1894/12",651
"1895/01",523
"1895/02",518
"1895/03",618
"1895/04",553
"1895/05",578
"1895/06",586
"1895/07",570
"1895/08",586
"1895/09",574
"1895/10",564
"1895/11",578
"1895/12",561
"1896/01",564
"1896/02",573
"1896/03",580
"1896/04",553
"1896/05",551
"1896/06",554
"1896/07",561
"1896/08",577
"1896/09",547
"1896/10",592
"1896/11",572
"1896/12",545
"1897/01",587
"1897/02",512
"1897/03",532
"1897/04",529
"1897/05",582
"1897/06",538
"1897/07",592
"1897/08",571
"1897/09",546
"1897/10",606
"1897/11",536
"1897/12",550
"1898/01",579
"1898/02",512
"1898/03",553
"1898/04",552
"1898/05",544
"1898/06",541
"1898/07",566
"1898/08",538
"1898/09",534
"1898/10",582
"1898/11",527
"1898/12",566
"1899/01",551
"1899/02",497
"1899/03",554
"1899/04",545
"1899/05",501
"1899/06",510
"1899/07",577
"1899/08",548
"1899/09",532
"1899/10",511
"1899/11",518
"1899/12",564
"1900/01",560
"1900/02",534
"1900/03",597
"1900/04",527
"1900/05",531
"1900/06",557
"1900/07",425
"1900/08",416
"1900/09",439
"1900/10",416
"1900/11",429
"1900/12",431
"1901/01",521
"1901/02",476
"1901/03",553
"1901/04",508
"1901/05",532
"1901/06",558
"1901/07",581
"1901/08",588
"1901/09",580
"1901/10",577
"1901/11",613
"1901/12",597
"1902/01",611
"1902/02",560
"1902/03",596
"1902/04",444
"1902/05",458
"1902/06",424
"1902/07",444
"1902/08",462
"1902/09",426
"1902/10",451
"1902/11",463
"1902/12",425
"1903/01",474
"1903/02",436
"1903/03",454
"1903/04",425
"1903/05",501
"1903/06",361
"1903/07",488
"1903/08",481
"1903/09",408
"1903/10",459
"1903/11",430
"1903/12",465
"1904/01",587
"1904/02",542
"1904/03",577
"1904/04",566
"1904/05",552
"1904/06",565
"1904/07",593
"1904/08",578
"1904/09",564
"1904/10",598
"1904/11",536
"1904/12",617
"1905/01",585
"1905/02",547
"1905/03",575
"1905/04",581
"1905/05",576
"1905/06",545
"1905/07",594
"1905/08",575
"1905/09",565
"1905/10",570
"1905/11",545
"1905/12",579
"1906/01",416
"1906/02",385
"1906/03",438
"1906/04",408
"1906/05",413
"1906/06",409
"1906/07",422
"1906/08",409
"1906/09",416
"1906/10",392
"1906/11",382
"1906/12",407
"1907/01",397
"1907/02",361
"1907/03",419
"1907/04",380
"1907/05",389
"1907/06",411
"1907/07",393
"1907/08",406
"1907/09",397
"1907/10",398
"1907/11",386
"1907/12",369
"1908/01",284
"1908/02",289
"1908/03",291
"1908/04",329
"1908/05",425
"1908/06",399
"1908/07",405
"1908/08",424
"1908/09",394
"1908/10",422
"1908/11",409
"1908/12",416
"1909/01",424
"1909/02",376
"1909/03",409
"1909/04",378
"1909/05",396
"1909/06",361
"1909/07",369
"1909/08",285
"1909/09",292
"1909/10",302
"1909/11",275
"1909/12",282
"1910/01",298
"1910/02",262
"1910/03",330
"1910/04",416
"1910/05",413
"1910/06",396
"1910/07",422
"1910/08",414
"1910/09",398
"1910/10",428
"1910/11",408
"1910/12",425
"1911/01",417
"1911/02",379
"1911/03",412
"1911/04",420
"1911/05",410
"1911/06",403
"1911/07",434
"1911/08",414
"1911/09",415
"1911/10",414
"1911/11",404
"1911/12",428
"1912/01",406
"1912/02",390
"1912/03",424
"1912/04",442
"1912/05",460
"1912/06",463
"1912/07",339
"1912/08",347
"1912/09",332
"1912/10",337
"1912/11",348
"1912/12",347
"1913/01",346
"1913/02",315
"1913/03",368
"1913/04",340
"1913/05",373
"1913/06",354
"1913/07",361
"1913/08",361
"1913/09",316
"1913/10",333
"1913/11",326
"1913/12",324
"1914/01",330
"1914/02",299
"1914/03",328
"1914/04",330
"1914/05",346
"1914/06",295
"1914/07",306
"1914/08",229
"1914/09",191
"1914/10",179
"1914/11",174
"1914/12",164
"1915/01",166
"1915/02",140
"1915/03",154
"1915/04",154
"1915/05",176
"1915/06",160
"1915/07",167
"1915/08",169
"1915/09",160
"1915/10",174
"1915/11",140
"1915/12",142
"1916/01",160
"1916/02",128
"1916/03",124
"1916/04",141
"1916/05",126
"1916/06",126
"1916/07",142
"1916/08",126
"1916/09",133
"1916/10",133
"1916/11",124
"1916/12",140
"1917/01",134
"1917/02",136
"1917/03",137
"1917/04",129
"1917/05",120
"1917/06",123
"1917/07",123
"1917/08",121
"1917/09",124
"1917/10",124
"1917/11",120
"1917/12",134
"1918/01",124
"1918/02",118
"1918/03",139
"1918/04",120
"1918/05",126
"1918/06",128
"1918/07",120
"1918/08",117
"1918/09",109
"1918/10",119
"1918/11",155
"1918/12",165
"1919/01",166
"1919/02",158
"1919/03",196
"1919/04",188
"1919/05",199
"1919/06",189
"1919/07",188
"1919/08",212
"1919/09",183
"1919/10",204
"1919/11",226
"1919/12",206
"1920/01",196
"1920/02",192
"1920/03",201
"1920/04",176
"1920/05",168
"1920/06",183
"1920/07",199
"1920/08",168
"1920/09",167
"1920/10",77
"1920/11",69
"1920/12",64
"1921/01",86
"1921/02",64
"1921/03",64
"1921/04",90
"1921/05",84
"1921/06",74
"1921/07",94
"1921/08",76
"1921/09",76
"1921/10",89
"1921/11",76
"1921/12",87
"1922/01",352
"1922/02",328
"1922/03",364
"1922/04",389
"1922/05",354
"1922/06",348
"1922/07",382
"1922/08",365
"1922/09",359
"1922/10",368
"1922/11",363
"1922/12",397
"1923/01",274
"1923/02",346
"1923/03",409
"1923/04",373
"1923/05",372
"1923/06",391
"1923/07",375
"1923/08",362
"1923/09",375
"1923/10",381
"1923/11",388
"1923/12",437
"1924/01",369
"1924/02",348
"1924/03",417
"1924/04",396
"1924/05",390
"1924/06",392
"1924/07",390
"1924/08",393
"1924/09",358
"1924/10",406
"1924/11",424
"1924/12",422
"1925/01",422
"1925/02",364
"1925/03",427
"1925/04",422
"1925/05",446
"1925/06",390
"1925/07",420
"1925/08",428
"1925/09",397
"1925/10",453
"1925/11",422
"1925/12",441
"1926/01",450
"1926/02",389
"1926/03",442
"1926/04",424
"1926/05",462
"1926/06",422
"1926/07",435
"1926/08",406
"1926/09",394
"1926/10",452
"1926/11",412
"1926/12",431
"1927/01",424
"1927/02",396
"1927/03",427
"1927/04",440
"1927/05",448
"1927/06",428
"1927/07",480
"1927/08",414
"1927/09",422
"1927/10",466
"1927/11",436
"1927/12",463
"1928/01",452
"1928/02",430
"1928/03",504
"1928/04",470
"1928/05",474
"1928/06",483
"1928/07",453
"1928/08",431
"1928/09",468
"1928/10",484
"1928/11",472
"1928/12",508
"1929/01",468
"1929/02",437
"1929/03",518
"1929/04",472
"1929/05",484
"1929/06",509
"1929/07",480
"1929/08",491
"1929/09",463
"1929/10",492
"1929/11",507
"1929/12",505
"1930/01",478
"1930/02",458
"1930/03",524
"1930/04",492
"1930/05",540
"1930/06",506
"1930/07",490
"1930/08",473
"1930/09",466
"1930/10",520
"1930/11",529
"1930/12",534
"1931/01",534
"1931/02",487
"1931/03",533
"1931/04",496
"1931/05",551
"1931/06",512
"1931/07",512
"1931/08",501
"1931/09",498
"1931/10",564
"1931/11",524
"1931/12",518
"1932/01",539
"1932/02",508
"1932/03",537
"1932/04",554
"1932/05",533
"1932/06",510
"1932/07",537
"1932/08",481
"1932/09",497
"1932/10",563
"1932/11",525
"1932/12",584
"1933/01",541
"1933/02",492
"1933/03",561
"1933/04",538
"1933/05",546
"1933/06",520
"1933/07",543
"1933/08",479
"1933/09",535
"1933/10",561
"1933/11",536
"1933/12",580
"1934/01",529
"1934/02",492
"1934/03",605
"1934/04",534
"1934/05",568
"1934/06",484
"1934/07",390
"1934/08",342
"1934/09",398
"1934/10",389
"1934/11",384
"1934/12",428
"1935/01",574
"1935/02",552
"1935/03",639
"1935/04",578
"1935/05",620
"1935/06",601
"1935/07",584
"1935/08",560
"1935/09",566
"1935/10",607
"1935/11",605
"1935/12",619
"1936/01",918
"1936/02",900
"1936/03",930
"1936/04",874
"1936/05",954
"1936/06",844
"1936/07",896
"1936/08",858
"1936/09",844
"1936/10",930
"1936/11",888
"1936/12",944
"1937/01",939
"1937/02",732
"1937/03",902
"1937/04",877
"1937/05",885
"1937/06",890
"1937/07",615
"1937/08",541
"1937/09",565
"1937/10",627
"1937/11",568
"1937/12",618
"1938/01",587
"1938/02",531
"1938/03",568
"1938/04",570
"1938/05",586
"1938/06",577
"1938/07",620
"1938/08",525
"1938/09",562
"1938/10",604
"1938/11",575
"1938/12",614
"1939/01",573
"1939/02",530
"1939/03",619
"1939/04",578
"1939/05",599
"1939/06",574
"1939/07",619
"1939/08",514
"1939/09",316
"1939/10",303
"1939/11",305
"1939/12",328
"1940/01",326
"1940/02",313
"1940/03",341
"1940/04",329
"1940/05",246
"1940/06",130
"1940/07",141
"1940/08",142
"1940/09",137
"1940/10",136
"1940/11",157
"1940/12",149
"1941/01",242
"1941/02",214
"1941/03",265
"1941/04",240
"1941/05",269
"1941/06",284
"1941/07",299
"1941/08",279
"1941/09",283
"1941/10",292
"1941/11",280
"1941/12",234
"1942/01",241
"1942/02",207
"1942/03",227
"1942/04",212
"1942/05",205
"1942/06",179
"1942/07",192
"1942/08",197
"1942/09",193
"1942/10",205
"1942/11",173
"1942/12",169
"1943/01",183
"1943/02",167
"1943/03",166
"1943/04",181
"1943/05",191
"1943/06",175
"1943/07",193
"1943/08",164
"1943/09",168
"1943/10",186
"1943/11",175
"1943/12",194
"1944/01",219
"1944/02",198
"1944/03",212
"1944/04",199
"1944/05",182
"1944/06",197
"1944/07",172
"1944/08",100
"1944/09",17
"1944/10",18
"1944/11",20
"1944/12",25
"1945/01",20
