"date","base"
"1818/01",0
"1818/02",0
"1818/03",0
"1818/04",0
"1818/05",0
"1818/06",1
"1818/07",1
"1818/08",0
"1818/09",0
"1818/10",0
"1818/11",0
"1818/12",0
"1819/01",0
"1819/02",0
"1819/03",0
"1819/04",0
"1819/05",0
"1819/06",0
"1819/07",0
"1819/08",0
"1819/09",0
"1819/10",0
"1819/11",0
"1819/12",0
"1820/01",0
"1820/02",0
"1820/03",0
"1820/04",0
"1820/05",0
"1820/06",0
"1820/07",0
"1820/08",0
"1820/09",0
"1820/10",0
"1820/11",0
"1820/12",0
"1821/01",0
"1821/02",0
"1821/03",0
"1821/04",0
"1821/05",0
"1821/06",0
"1821/07",0
"1821/08",0
"1821/09",0
"1821/10",0
"1821/11",0
"1821/12",0
"1822/01",0
"1822/02",0
"1822/03",0
"1822/04",0
"1822/05",0
"1822/06",0
"1822/07",0
"1822/08",0
"1822/09",0
"1822/10",0
"1822/11",0
"1822/12",0
"1823/01",0
"1823/02",0
"1823/03",0
"1823/04",0
"1823/05",0
"1823/06",0
"1823/07",0
"1823/08",0
"1823/09",0
"1823/10",0
"1823/11",0
"1823/12",0
"1824/01",0
"1824/02",0
"1824/03",0
"1824/04",0
"1824/05",0
"1824/06",0
"1824/07",0
"1824/08",0
"1824/09",0
"1824/10",0
"1824/11",0
"1824/12",0
"1825/01",0
"1825/02",0
"1825/03",0
"1825/04",0
"1825/05",0
"1825/06",0
"1825/07",0
"1825/08",0
"1825/09",0
"1825/10",0
"1825/11",0
"1825/12",0
"1826/01",0
"1826/02",0
"1826/03",0
"1826/04",0
"1826/05",0
"1826/06",0
"1826/07",0
"1826/08",0
"1826/09",0
"1826/10",0
"1826/11",0
"1826/12",0
"1827/01",0
"1827/02",0
"1827/03",0
"1827/04",0
"1827/05",0
"1827/06",0
"1827/07",1
"1827/08",0
"1827/09",0
"1827/10",0
"1827/11",0
"1827/12",0
"1828/01",0
"1828/02",0
"1828/03",1
"1828/04",0
"1828/05",0
"1828/06",1
"1828/07",0
"1828/08",0
"1828/09",0
"1828/10",0
"1828/11",0
"1828/12",0
"1829/01",0
"1829/02",0
"1829/03",0
"1829/04",0
"1829/05",0
"1829/06",0
"1829/07",0
"1829/08",0
"1829/09",0
"1829/10",0
"1829/11",0
"1829/12",0
"1830/01",0
"1830/02",0
"1830/03",0
"1830/04",0
"1830/05",0
"1830/06",0
"1830/07",0
"1830/08",0
"1830/09",0
"1830/10",0
"1830/11",0
"1830/12",0
"1831/01",0
"1831/02",0
"1831/03",0
"1831/04",0
"1831/05",0
"1831/06",0
"1831/07",0
"1831/08",0
