"date","base"
"1800/01",0
"1800/02",0
"1800/03",0
"1800/04",0
"1800/05",0
"1800/06",0
"1800/07",0
"1800/08",0
"1800/09",0
"1800/10",0
"1800/11",0
"1800/12",0
"1801/01",0
"1801/02",0
"1801/03",0
"1801/04",0
"1801/05",0
"1801/06",0
"1801/07",0
"1801/08",0
"1801/09",0
"1801/10",0
"1801/11",0
"1801/12",0
"1802/01",1
"1802/02",0
"1802/03",0
"1802/04",0
"1802/05",0
"1802/06",0
"1802/07",0
"1802/08",0
"1802/09",0
"1802/10",0
"1802/11",0
"1802/12",0
"1803/01",2
"1803/02",0
"1803/03",0
"1803/04",0
"1803/05",0
"1803/06",0
"1803/07",0
"1803/08",0
"1803/09",0
"1803/10",0
"1803/11",0
"1803/12",0
"1804/01",1
"1804/02",0
"1804/03",0
"1804/04",0
"1804/05",0
"1804/06",0
"1804/07",0
"1804/08",0
"1804/09",0
"1804/10",0
"1804/11",0
"1804/12",0
"1805/01",0
"1805/02",0
"1805/03",0
"1805/04",0
"1805/05",0
"1805/06",0
"1805/07",0
"1805/08",0
"1805/09",0
"1805/10",0
"1805/11",0
"1805/12",0
"1806/01",1
"1806/02",0
"1806/03",0
"1806/04",0
"1806/05",0
"1806/06",0
"1806/07",0
"1806/08",0
"1806/09",0
"1806/10",0
"1806/11",0
"1806/12",0
"1807/01",1
"1807/02",0
"1807/03",0
"1807/04",0
"1807/05",0
"1807/06",0
"1807/07",0
"1807/08",0
"1807/09",0
"1807/10",0
"1807/11",0
"1807/12",0
"1808/01",1
"1808/02",0
"1808/03",0
"1808/04",0
"1808/05",0
"1808/06",0
"1808/07",0
"1808/08",0
"1808/09",0
"1808/10",0
"1808/11",0
"1808/12",0
"1809/01",1
"1809/02",0
"1809/03",0
"1809/04",0
"1809/05",0
"1809/06",0
"1809/07",0
"1809/08",0
"1809/09",0
"1809/10",0
"1809/11",0
"1809/12",0
"1810/01",1
"1810/02",0
"1810/03",0
"1810/04",0
"1810/05",0
"1810/06",0
"1810/07",0
"1810/08",0
"1810/09",0
"1810/10",0
"1810/11",0
"1810/12",0
"1811/01",1
"1811/02",0
"1811/03",0
"1811/04",0
"1811/05",0
"1811/06",0
"1811/07",0
"1811/08",0
"1811/09",0
"1811/10",0
"1811/11",0
"1811/12",0
"1812/01",1
"1812/02",0
"1812/03",0
"1812/04",0
"1812/05",0
"1812/06",0
"1812/07",0
"1812/08",0
"1812/09",0
"1812/10",0
"1812/11",0
"1812/12",0
"1813/01",1
"1813/02",0
"1813/03",0
"1813/04",0
"1813/05",0
"1813/06",0
"1813/07",0
"1813/08",0
"1813/09",0
"1813/10",0
"1813/11",0
"1813/12",0
"1814/01",0
"1814/02",0
"1814/03",0
"1814/04",0
"1814/05",0
"1814/06",0
"1814/07",0
"1814/08",0
"1814/09",0
"1814/10",0
"1814/11",0
"1814/12",0
"1815/01",0
"1815/02",0
"1815/03",0
"1815/04",0
"1815/05",0
"1815/06",0
"1815/07",0
"1815/08",0
"1815/09",0
"1815/10",0
"1815/11",0
"1815/12",0
"1816/01",2
"1816/02",0
"1816/03",0
"1816/04",0
"1816/05",0
"1816/06",0
"1816/07",0
"1816/08",0
"1816/09",0
"1816/10",0
"1816/11",0
"1816/12",0
"1817/01",1
"1817/02",2
"1817/03",2
"1817/04",3
"1817/05",1
"1817/06",4
"1817/07",3
"1817/08",3
"1817/09",0
"1817/10",1
"1817/11",4
"1817/12",2
"1818/01",2
"1818/02",0
"1818/03",0
"1818/04",0
"1818/05",0
"1818/06",0
"1818/07",0
"1818/08",0
"1818/09",0
"1818/10",0
"1818/11",0
"1818/12",0
"1819/01",1
"1819/02",0
"1819/03",0
"1819/04",0
"1819/05",0
"1819/06",0
"1819/07",0
"1819/08",0
"1819/09",0
"1819/10",0
"1819/11",0
"1819/12",0
"1820/01",5
"1820/02",0
"1820/03",0
"1820/04",0
"1820/05",0
"1820/06",0
"1820/07",0
"1820/08",0
"1820/09",0
"1820/10",0
"1820/11",0
"1820/12",0
"1821/01",3
"1821/02",0
"1821/03",2
"1821/04",5
"1821/05",3
"1821/06",3
"1821/07",1
"1821/08",2
"1821/09",3
"1821/10",3
"1821/11",2
"1821/12",3
"1822/01",2
"1822/02",0
"1822/03",1
"1822/04",0
"1822/05",2
"1822/06",6
"1822/07",2
"1822/08",3
"1822/09",2
"1822/10",0
"1822/11",0
"1822/12",0
"1823/01",2
"1823/02",0
"1823/03",1
"1823/04",3
"1823/05",0
"1823/06",1
"1823/07",0
"1823/08",0
"1823/09",0
"1823/10",0
"1823/11",0
"1823/12",0
"1824/01",2
"1824/02",0
"1824/03",0
"1824/04",0
"1824/05",0
"1824/06",0
"1824/07",0
"1824/08",0
"1824/09",0
"1824/10",1
"1824/11",0
"1824/12",0
"1825/01",6
"1825/02",2
"1825/03",2
"1825/04",3
"1825/05",2
"1825/06",1
"1825/07",5
"1825/08",0
"1825/09",0
"1825/10",0
"1825/11",1
"1825/12",0
"1826/01",1
"1826/02",0
"1826/03",0
"1826/04",0
"1826/05",0
"1826/06",0
"1826/07",0
"1826/08",0
"1826/09",1
"1826/10",0
"1826/11",0
"1826/12",0
"1827/01",2
"1827/02",0
"1827/03",0
"1827/04",1
"1827/05",0
"1827/06",0
"1827/07",0
"1827/08",0
"1827/09",0
"1827/10",0
"1827/11",0
"1827/12",0
"1828/01",2
"1828/02",0
"1828/03",0
"1828/04",0
"1828/05",1
"1828/06",0
"1828/07",0
"1828/08",0
"1828/09",0
"1828/10",1
"1828/11",1
"1828/12",0
"1829/01",2
"1829/02",1
"1829/03",0
"1829/04",0
"1829/05",0
"1829/06",0
"1829/07",0
"1829/08",0
"1829/09",0
"1829/10",0
"1829/11",0
"1829/12",0
"1830/01",3
"1830/02",0
"1830/03",0
"1830/04",0
"1830/05",0
"1830/06",1
"1830/07",0
"1830/08",0
"1830/09",3
"1830/10",1
"1830/11",1
"1830/12",0
"1831/01",1
"1831/02",1
"1831/03",1
"1831/04",2
"1831/05",3
"1831/06",1
"1831/07",2
"1831/08",0
"1831/09",1
"1831/10",0
"1831/11",0
"1831/12",0
"1832/01",2
"1832/02",0
"1832/03",0
"1832/04",0
"1832/05",0
"1832/06",0
"1832/07",1
"1832/08",1
"1832/09",0
"1832/10",0
"1832/11",1
"1832/12",2
"1833/01",7
"1833/02",3
"1833/03",1
"1833/04",1
"1833/05",2
"1833/06",0
"1833/07",1
"1833/08",1
"1833/09",1
"1833/10",0
"1833/11",0
"1833/12",0
"1834/01",2
"1834/02",0
"1834/03",0
"1834/04",0
"1834/05",0
"1834/06",0
"1834/07",0
"1834/08",0
"1834/09",0
"1834/10",0
"1834/11",0
"1834/12",0
"1835/01",2
"1835/02",0
"1835/03",0
"1835/04",0
"1835/05",0
"1835/06",0
"1835/07",0
"1835/08",0
"1835/09",0
"1835/10",0
"1835/11",0
"1835/12",0
"1836/01",1
"1836/02",0
"1836/03",0
"1836/04",0
"1836/05",0
"1836/06",0
"1836/07",0
"1836/08",0
"1836/09",0
"1836/10",0
"1836/11",0
"1836/12",0
"1837/01",4
"1837/02",0
"1837/03",0
"1837/04",0
"1837/05",0
"1837/06",0
"1837/07",0
"1837/08",0
"1837/09",0
"1837/10",0
"1837/11",0
"1837/12",0
"1838/01",3
"1838/02",0
"1838/03",0
"1838/04",0
"1838/05",0
"1838/06",0
"1838/07",1
"1838/08",0
"1838/09",0
"1838/10",0
"1838/11",0
"1838/12",0
"1839/01",2
"1839/02",0
"1839/03",0
"1839/04",0
"1839/05",0
"1839/06",0
"1839/07",1
"1839/08",0
"1839/09",0
"1839/10",0
"1839/11",0
"1839/12",0
"1840/01",2
"1840/02",0
"1840/03",0
"1840/04",0
"1840/05",0
"1840/06",0
"1840/07",0
"1840/08",0
"1840/09",0
"1840/10",0
"1840/11",0
"1840/12",0
"1841/01",5
"1841/02",0
"1841/03",0
"1841/04",0
"1841/05",0
"1841/06",0
"1841/07",0
"1841/08",0
"1841/09",0
"1841/10",0
"1841/11",0
"1841/12",0
"1842/01",5
"1842/02",0
"1842/03",0
"1842/04",0
"1842/05",0
"1842/06",0
"1842/07",0
"1842/08",0
"1842/09",0
"1842/10",0
"1842/11",0
"1842/12",0
"1843/01",3
"1843/02",0
"1843/03",0
"1843/04",0
"1843/05",0
"1843/06",0
"1843/07",0
"1843/08",0
"1843/09",0
"1843/10",0
"1843/11",0
"1843/12",0
"1844/01",1
"1844/02",2
"1844/03",0
"1844/04",0
"1844/05",0
"1844/06",0
"1844/07",0
"1844/08",0
"1844/09",0
"1844/10",0
"1844/11",0
"1844/12",0
"1845/01",2
"1845/02",0
"1845/03",0
"1845/04",1
"1845/05",0
"1845/06",0
"1845/07",0
"1845/08",0
"1845/09",0
"1845/10",0
"1845/11",0
"1845/12",0
"1846/01",4
"1846/02",0
"1846/03",0
"1846/04",0
"1846/05",0
"1846/06",0
"1846/07",0
"1846/08",0
"1846/09",0
"1846/10",0
"1846/11",0
"1846/12",0
"1847/01",3
"1847/02",0
"1847/03",0
"1847/04",0
"1847/05",0
"1847/06",0
"1847/07",0
"1847/08",0
"1847/09",0
"1847/10",0
"1847/11",0
"1847/12",0
"1848/01",1
"1848/02",0
"1848/03",0
"1848/04",0
"1848/05",0
"1848/06",0
"1848/07",0
"1848/08",2
"1848/09",0
"1848/10",0
"1848/11",0
"1848/12",0
"1849/01",1
"1849/02",0
"1849/03",0
"1849/04",0
"1849/05",0
"1849/06",0
"1849/07",0
"1849/08",0
"1849/09",0
"1849/10",0
"1849/11",0
"1849/12",0
"1850/01",3
"1850/02",0
"1850/03",0
"1850/04",0
"1850/05",0
"1850/06",0
"1850/07",0
"1850/08",0
"1850/09",0
"1850/10",0
"1850/11",0
"1850/12",2
"1851/01",5
"1851/02",0
"1851/03",0
"1851/04",0
"1851/05",0
"1851/06",0
"1851/07",0
"1851/08",0
"1851/09",0
"1851/10",0
"1851/11",0
"1851/12",0
"1852/01",2
"1852/02",0
"1852/03",0
"1852/04",0
"1852/05",0
"1852/06",0
"1852/07",0
"1852/08",0
"1852/09",0
"1852/10",0
"1852/11",0
"1852/12",0
"1853/01",1
"1853/02",0
"1853/03",0
"1853/04",0
"1853/05",0
"1853/06",0
"1853/07",0
"1853/08",0
"1853/09",0
"1853/10",0
"1853/11",0
"1853/12",0
"1854/01",3
"1854/02",0
"1854/03",0
"1854/04",0
"1854/05",0
"1854/06",0
"1854/07",0
"1854/08",0
"1854/09",0
"1854/10",0
"1854/11",0
"1854/12",0
"1855/01",2
"1855/02",0
"1855/03",0
"1855/04",0
"1855/05",0
"1855/06",0
"1855/07",0
"1855/08",0
"1855/09",0
"1855/10",0
"1855/11",0
"1855/12",0
"1856/01",4
"1856/02",0
"1856/03",0
"1856/04",0
"1856/05",0
"1856/06",0
"1856/07",0
"1856/08",0
"1856/09",0
"1856/10",0
"1856/11",0
"1856/12",0
"1857/01",8
"1857/02",0
"1857/03",0
"1857/04",0
"1857/05",0
"1857/06",0
"1857/07",0
"1857/08",0
"1857/09",0
"1857/10",0
"1857/11",0
"1857/12",0
"1858/01",8
"1858/02",0
"1858/03",0
"1858/04",0
"1858/05",0
"1858/06",0
"1858/07",0
"1858/08",0
"1858/09",0
"1858/10",0
"1858/11",0
"1858/12",0
"1859/01",21
"1859/02",0
"1859/03",0
"1859/04",0
"1859/05",0
"1859/06",0
"1859/07",0
"1859/08",0
"1859/09",0
"1859/10",0
"1859/11",0
"1859/12",0
"1860/01",19
"1860/02",0
"1860/03",0
"1860/04",0
"1860/05",0
"1860/06",0
"1860/07",0
"1860/08",0
"1860/09",0
"1860/10",0
"1860/11",0
"1860/12",0
"1861/01",24
"1861/02",0
"1861/03",0
"1861/04",0
"1861/05",0
"1861/06",0
"1861/07",0
"1861/08",0
"1861/09",0
"1861/10",0
"1861/11",0
"1861/12",0
"1862/01",23
"1862/02",0
"1862/03",0
"1862/04",0
"1862/05",0
"1862/06",0
"1862/07",0
"1862/08",0
"1862/09",0
"1862/10",0
"1862/11",0
"1862/12",0
"1863/01",20
"1863/02",0
"1863/03",0
"1863/04",0
"1863/05",0
"1863/06",0
"1863/07",0
"1863/08",0
"1863/09",0
"1863/10",0
"1863/11",0
"1863/12",0
"1864/01",22
"1864/02",0
"1864/03",0
"1864/04",0
"1864/05",0
"1864/06",0
"1864/07",0
"1864/08",0
"1864/09",0
"1864/10",0
"1864/11",0
"1864/12",0
"1865/01",21
"1865/02",0
"1865/03",0
"1865/04",0
"1865/05",0
"1865/06",0
"1865/07",0
"1865/08",0
"1865/09",0
"1865/10",0
"1865/11",0
"1865/12",0
"1866/01",14
"1866/02",0
"1866/03",0
"1866/04",0
"1866/05",0
"1866/06",0
"1866/07",0
"1866/08",0
"1866/09",0
"1866/10",0
"1866/11",0
"1866/12",0
"1867/01",12
"1867/02",0
"1867/03",0
"1867/04",0
"1867/05",0
"1867/06",0
"1867/07",0
"1867/08",0
"1867/09",0
"1867/10",0
"1867/11",0
"1867/12",0
"1868/01",11
"1868/02",0
"1868/03",0
"1868/04",0
"1868/05",0
"1868/06",0
"1868/07",0
"1868/08",0
"1868/09",0
"1868/10",2
"1868/11",2
"1868/12",2
"1869/01",13
"1869/02",2
"1869/03",2
"1869/04",2
"1869/05",2
"1869/06",2
"1869/07",2
"1869/08",2
"1869/09",2
"1869/10",2
"1869/11",2
"1869/12",1
"1870/01",13
"1870/02",2
"1870/03",2
"1870/04",2
"1870/05",2
"1870/06",2
"1870/07",2
"1870/08",2
"1870/09",2
"1870/10",0
"1870/11",0
"1870/12",1
"1871/01",7
"1871/02",0
"1871/03",0
"1871/04",0
"1871/05",0
"1871/06",0
"1871/07",0
"1871/08",0
"1871/09",0
"1871/10",2
"1871/11",2
"1871/12",2
"1872/01",14
"1872/02",2
"1872/03",2
"1872/04",2
"1872/05",2
"1872/06",2
"1872/07",2
"1872/08",2
"1872/09",2
"1872/10",0
"1872/11",0
"1872/12",0
"1873/01",10
"1873/02",0
"1873/03",1
"1873/04",2
"1873/05",2
"1873/06",2
"1873/07",2
"1873/08",2
"1873/09",2
"1873/10",2
"1873/11",2
"1873/12",2
"1874/01",10
"1874/02",2
"1874/03",0
"1874/04",2
"1874/05",2
"1874/06",2
"1874/07",2
"1874/08",2
"1874/09",2
"1874/10",2
"1874/11",2
"1874/12",2
"1875/01",19
"1875/02",2
"1875/03",2
"1875/04",0
"1875/05",2
"1875/06",1
"1875/07",2
"1875/08",2
"1875/09",2
"1875/10",2
"1875/11",2
"1875/12",2
"1876/01",14
"1876/02",2
"1876/03",2
"1876/04",2
"1876/05",0
"1876/06",3
"1876/07",2
"1876/08",2
"1876/09",2
"1876/10",2
"1876/11",2
"1876/12",2
"1877/01",14
"1877/02",2
"1877/03",2
"1877/04",2
"1877/05",2
"1877/06",1
"1877/07",2
"1877/08",3
"1877/09",2
"1877/10",3
"1877/11",2
"1877/12",12
"1878/01",26
"1878/02",11
"1878/03",11
"1878/04",11
"1878/05",11
"1878/06",8
"1878/07",2
"1878/08",3
"1878/09",0
"1878/10",1
"1878/11",4
"1878/12",8
"1879/01",14
"1879/02",0
"1879/03",2
"1879/04",2
"1879/05",2
"1879/06",2
"1879/07",2
"1879/08",2
"1879/09",2
"1879/10",2
"1879/11",2
"1879/12",2
"1880/01",21
"1880/02",2
"1880/03",0
"1880/04",0
"1880/05",0
"1880/06",2
"1880/07",2
"1880/08",2
"1880/09",2
"1880/10",2
"1880/11",2
"1880/12",2
"1881/01",20
"1881/02",2
"1881/03",2
"1881/04",2
"1881/05",1
"1881/06",1
"1881/07",0
"1881/08",4
"1881/09",3
"1881/10",1
"1881/11",7
"1881/12",3
"1882/01",23
"1882/02",0
"1882/03",0
"1882/04",0
"1882/05",0
"1882/06",0
"1882/07",0
"1882/08",0
"1882/09",0
"1882/10",0
"1882/11",0
"1882/12",0
"1883/01",23
"1883/02",0
"1883/03",0
"1883/04",0
"1883/05",0
"1883/06",0
"1883/07",4
"1883/08",1
"1883/09",0
"1883/10",4
"1883/11",4
"1883/12",4
"1884/01",28
"1884/02",4
"1884/03",4
"1884/04",5
"1884/05",4
"1884/06",4
"1884/07",6
"1884/08",5
"1884/09",5
"1884/10",4
"1884/11",4
"1884/12",5
"1885/01",27
"1885/02",2
"1885/03",4
"1885/04",2
"1885/05",0
"1885/06",0
"1885/07",0
"1885/08",0
"1885/09",0
"1885/10",0
"1885/11",0
"1885/12",0
"1886/01",31
"1886/02",0
"1886/03",0
"1886/04",0
"1886/05",0
"1886/06",0
"1886/07",0
"1886/08",0
"1886/09",0
"1886/10",0
"1886/11",0
"1886/12",0
"1887/01",26
"1887/02",3
"1887/03",4
"1887/04",5
"1887/05",3
"1887/06",4
"1887/07",5
"1887/08",4
"1887/09",4
"1887/10",2
"1887/11",0
"1887/12",0
"1888/01",26
"1888/02",0
"1888/03",0
"1888/04",0
"1888/05",0
"1888/06",0
"1888/07",0
"1888/08",0
"1888/09",0
"1888/10",0
"1888/11",0
"1888/12",0
"1889/01",25
"1889/02",1
"1889/03",0
"1889/04",0
"1889/05",0
"1889/06",0
"1889/07",0
"1889/08",0
"1889/09",0
"1889/10",0
"1889/11",0
"1889/12",0
"1890/01",27
"1890/02",0
"1890/03",0
"1890/04",0
"1890/05",0
"1890/06",0
"1890/07",0
"1890/08",1
"1890/09",5
"1890/10",4
"1890/11",4
"1890/12",5
"1891/01",33
"1891/02",4
"1891/03",5
"1891/04",3
"1891/05",4
"1891/06",4
"1891/07",3
"1891/08",3
"1891/09",0
"1891/10",0
"1891/11",0
"1891/12",0
"1892/01",54
"1892/02",0
"1892/03",1
"1892/04",4
"1892/05",5
"1892/06",4
"1892/07",5
"1892/08",4
"1892/09",4
"1892/10",8
"1892/11",7
"1892/12",4
"1893/01",31
"1893/02",5
"1893/03",7
"1893/04",6
"1893/05",7
"1893/06",6
"1893/07",3
"1893/08",4
"1893/09",2
"1893/10",2
"1893/11",0
"1893/12",4
"1894/01",40
"1894/02",5
"1894/03",11
"1894/04",9
"1894/05",10
"1894/06",10
"1894/07",6
"1894/08",8
"1894/09",9
"1894/10",10
"1894/11",7
"1894/12",7
"1895/01",50
"1895/02",1
"1895/03",1
"1895/04",2
"1895/05",2
"1895/06",4
"1895/07",2
"1895/08",3
"1895/09",2
"1895/10",2
"1895/11",1
"1895/12",0
"1896/01",59
"1896/02",0
"1896/03",2
"1896/04",4
"1896/05",5
"1896/06",4
"1896/07",6
"1896/08",4
"1896/09",4
"1896/10",6
"1896/11",6
"1896/12",9
"1897/01",47
"1897/02",8
"1897/03",10
"1897/04",12
"1897/05",15
"1897/06",14
"1897/07",15
"1897/08",13
"1897/09",15
"1897/10",15
"1897/11",13
"1897/12",15
"1898/01",55
"1898/02",12
"1898/03",14
"1898/04",13
"1898/05",13
"1898/06",14
"1898/07",13
"1898/08",13
"1898/09",17
"1898/10",20
"1898/11",19
"1898/12",18
"1899/01",65
"1899/02",12
"1899/03",14
"1899/04",9
"1899/05",9
"1899/06",8
"1899/07",8
"1899/08",8
"1899/09",9
"1899/10",8
"1899/11",9
"1899/12",9
"1900/01",40
"1900/02",8
"1900/03",9
"1900/04",7
"1900/05",9
"1900/06",9
"1900/07",8
"1900/08",9
"1900/09",9
"1900/10",9
"1900/11",8
"1900/12",10
"1901/01",36
"1901/02",9
"1901/03",9
"1901/04",8
"1901/05",9
"1901/06",10
"1901/07",10
"1901/08",9
"1901/09",8
"1901/10",10
"1901/11",9
"1901/12",8
"1902/01",42
"1902/02",8
"1902/03",9
"1902/04",10
"1902/05",9
"1902/06",8
"1902/07",9
"1902/08",8
"1902/09",9
"1902/10",12
"1902/11",12
"1902/12",11
"1903/01",43
"1903/02",13
"1903/03",13
"1903/04",13
"1903/05",13
"1903/06",12
"1903/07",12
"1903/08",13
"1903/09",13
"1903/10",15
"1903/11",12
"1903/12",13
"1904/01",40
"1904/02",11
"1904/03",12
"1904/04",11
"1904/05",10
"1904/06",12
"1904/07",9
"1904/08",9
"1904/09",8
"1904/10",9
"1904/11",8
"1904/12",9
"1905/01",49
"1905/02",8
"1905/03",9
"1905/04",5
"1905/05",4
"1905/06",4
"1905/07",5
"1905/08",4
"1905/09",5
"1905/10",4
"1905/11",5
"1905/12",6
"1906/01",57
"1906/02",12
"1906/03",14
"1906/04",11
"1906/05",12
"1906/06",11
"1906/07",10
"1906/08",12
"1906/09",14
"1906/10",11
"1906/11",14
"1906/12",21
"1907/01",64
"1907/02",17
"1907/03",25
"1907/04",21
"1907/05",19
"1907/06",28
"1907/07",23
"1907/08",27
"1907/09",19
"1907/10",23
"1907/11",25
"1907/12",19
"1908/01",79
"1908/02",26
"1908/03",21
"1908/04",23
"1908/05",26
"1908/06",18
"1908/07",23
"1908/08",27
"1908/09",33
"1908/10",38
"1908/11",32
"1908/12",24
"1909/01",88
"1909/02",27
"1909/03",30
"1909/04",30
"1909/05",32
"1909/06",29
"1909/07",28
"1909/08",28
"1909/09",31
"1909/10",31
"1909/11",26
"1909/12",29
"1910/01",75
"1910/02",27
"1910/03",28
"1910/04",30
"1910/05",26
"1910/06",25
"1910/07",26
"1910/08",25
"1910/09",31
"1910/10",28
"1910/11",30
"1910/12",29
"1911/01",82
"1911/02",27
"1911/03",29
"1911/04",24
"1911/05",23
"1911/06",23
"1911/07",26
"1911/08",23
"1911/09",23
"1911/10",20
"1911/11",21
"1911/12",30
"1912/01",86
"1912/02",38
"1912/03",55
"1912/04",66
"1912/05",69
"1912/06",70
"1912/07",69
"1912/08",74
"1912/09",69
"1912/10",79
"1912/11",82
"1912/12",77
"1913/01",113
"1913/02",60
"1913/03",67
"1913/04",65
"1913/05",74
"1913/06",73
"1913/07",63
"1913/08",64
"1913/09",59
"1913/10",64
"1913/11",57
"1913/12",54
"1914/01",110
"1914/02",53
"1914/03",54
"1914/04",52
"1914/05",57
"1914/06",54
"1914/07",54
"1914/08",41
"1914/09",35
"1914/10",37
"1914/11",37
"1914/12",37
"1915/01",60
"1915/02",37
"1915/03",39
"1915/04",39
"1915/05",40
"1915/06",40
"1915/07",43
"1915/08",41
"1915/09",39
"1915/10",42
"1915/11",39
"1915/12",41
"1916/01",68
"1916/02",39
"1916/03",44
"1916/04",46
"1916/05",45
"1916/06",43
"1916/07",46
"1916/08",43
"1916/09",45
"1916/10",44
"1916/11",44
"1916/12",45
"1917/01",73
"1917/02",43
"1917/03",48
"1917/04",43
"1917/05",46
"1917/06",46
"1917/07",46
"1917/08",41
"1917/09",40
"1917/10",41
"1917/11",42
"1917/12",44
"1918/01",78
"1918/02",40
"1918/03",43
"1918/04",40
"1918/05",42
"1918/06",43
"1918/07",43
"1918/08",40
"1918/09",40
"1918/10",43
"1918/11",40
"1918/12",42
"1919/01",70
"1919/02",40
"1919/03",47
"1919/04",45
"1919/05",47
"1919/06",46
"1919/07",45
"1919/08",46
"1919/09",46
"1919/10",52
"1919/11",53
"1919/12",51
"1920/01",128
"1920/02",45
"1920/03",50
"1920/04",51
"1920/05",49
"1920/06",42
"1920/07",50
"1920/08",43
"1920/09",48
"1920/10",48
"1920/11",46
"1920/12",48
"1921/01",128
"1921/02",43
"1921/03",48
"1921/04",55
"1921/05",53
"1921/06",55
"1921/07",58
"1921/08",56
"1921/09",56
"1921/10",55
"1921/11",53
"1921/12",62
"1922/01",130
"1922/02",57
"1922/03",63
"1922/04",63
"1922/05",62
"1922/06",60
"1922/07",59
"1922/08",60
"1922/09",66
"1922/10",66
"1922/11",63
"1922/12",74
"1923/01",148
"1923/02",71
"1923/03",80
"1923/04",74
"1923/05",71
"1923/06",77
"1923/07",70
"1923/08",71
"1923/09",72
"1923/10",73
"1923/11",72
"1923/12",78
"1924/01",174
"1924/02",76
"1924/03",78
"1924/04",74
"1924/05",71
"1924/06",67
"1924/07",75
"1924/08",68
"1924/09",64
"1924/10",76
"1924/11",74
"1924/12",84
"1925/01",172
"1925/02",72
"1925/03",79
"1925/04",89
"1925/05",93
"1925/06",89
"1925/07",91
"1925/08",90
"1925/09",92
"1925/10",100
"1925/11",89
"1925/12",88
"1926/01",157
"1926/02",74
"1926/03",80
"1926/04",80
"1926/05",78
"1926/06",81
"1926/07",84
"1926/08",62
"1926/09",77
"1926/10",86
"1926/11",76
"1926/12",84
"1927/01",162
"1927/02",76
"1927/03",83
"1927/04",85
"1927/05",80
"1927/06",81
"1927/07",80
"1927/08",77
"1927/09",74
"1927/10",90
"1927/11",76
"1927/12",78
"1928/01",158
"1928/02",78
"1928/03",79
"1928/04",77
"1928/05",69
"1928/06",79
"1928/07",82
"1928/08",74
"1928/09",86
"1928/10",80
"1928/11",75
"1928/12",74
"1929/01",140
"1929/02",60
"1929/03",73
"1929/04",69
"1929/05",64
"1929/06",70
"1929/07",70
"1929/08",66
"1929/09",63
"1929/10",65
"1929/11",65
"1929/12",67
"1930/01",162
"1930/02",73
"1930/03",81
"1930/04",78
"1930/05",80
"1930/06",78
"1930/07",74
"1930/08",77
"1930/09",72
"1930/10",85
"1930/11",87
"1930/12",85
"1931/01",179
"1931/02",76
"1931/03",83
"1931/04",79
"1931/05",75
"1931/06",81
"1931/07",76
"1931/08",75
"1931/09",78
"1931/10",79
"1931/11",71
"1931/12",70
"1932/01",175
"1932/02",77
"1932/03",80
"1932/04",79
"1932/05",78
"1932/06",83
"1932/07",75
"1932/08",73
"1932/09",79
"1932/10",85
"1932/11",82
"1932/12",92
"1933/01",180
"1933/02",78
"1933/03",84
"1933/04",86
"1933/05",94
"1933/06",97
"1933/07",99
"1933/08",97
"1933/09",93
"1933/10",93
"1933/11",82
"1933/12",97
"1934/01",198
"1934/02",92
"1934/03",115
"1934/04",103
"1934/05",104
"1934/06",105
"1934/07",102
"1934/08",104
"1934/09",96
"1934/10",99
"1934/11",88
"1934/12",78
"1935/01",159
"1935/02",77
"1935/03",91
"1935/04",84
"1935/05",86
"1935/06",86
"1935/07",90
"1935/08",89
"1935/09",89
"1935/10",103
"1935/11",88
"1935/12",86
"1936/01",174
"1936/02",79
"1936/03",95
"1936/04",88
"1936/05",95
"1936/06",82
"1936/07",80
"1936/08",85
"1936/09",94
"1936/10",91
"1936/11",83
"1936/12",88
"1937/01",157
"1937/02",66
"1937/03",70
"1937/04",62
"1937/05",61
"1937/06",65
"1937/07",65
"1937/08",60
"1937/09",61
"1937/10",63
"1937/11",58
"1937/12",62
"1938/01",95
"1938/02",51
"1938/03",58
"1938/04",55
"1938/05",59
"1938/06",54
"1938/07",57
"1938/08",57
"1938/09",55
"1938/10",58
"1938/11",53
"1938/12",56
"1939/01",63
"1939/02",37
"1939/03",36
"1939/04",38
"1939/05",35
"1939/06",34
"1939/07",37
"1939/08",38
"1939/09",32
"1939/10",34
"1939/11",34
"1939/12",36
"1940/01",45
"1940/02",33
"1940/03",36
"1940/04",34
"1940/05",35
"1940/06",34
"1940/07",34
"1940/08",35
"1940/09",35
"1940/10",37
"1940/11",35
"1940/12",34
"1941/01",44
"1941/02",32
"1941/03",36
"1941/04",34
"1941/05",35
"1941/06",34
"1941/07",34
"1941/08",36
"1941/09",34
"1941/10",35
"1941/11",35
"1941/12",35
"1942/01",44
"1942/02",30
"1942/03",34
"1942/04",31
"1942/05",32
"1942/06",29
"1942/07",30
"1942/08",31
"1942/09",31
"1942/10",30
"1942/11",31
"1942/12",36
"1943/01",42
"1943/02",34
"1943/03",35
"1943/04",33
"1943/05",34
"1943/06",33
"1943/07",37
"1943/08",35
"1943/09",34
"1943/10",36
"1943/11",34
"1943/12",35
"1944/01",42
"1944/02",33
"1944/03",35
"1944/04",34
"1944/05",34
"1944/06",34
"1944/07",7
"1944/08",35
"1944/09",34
"1944/10",30
"1944/11",30
"1944/12",31
"1945/01",11
