"date","base"
"1690/01",1
"1690/02",0
"1690/03",0
"1690/04",0
"1690/05",0
"1690/06",0
"1690/07",0
"1690/08",0
"1690/09",0
"1690/10",0
"1690/11",0
"1690/12",0
"1691/01",0
"1691/02",0
"1691/03",0
"1691/04",0
"1691/05",0
"1691/06",0
"1691/07",0
"1691/08",0
"1691/09",0
"1691/10",0
"1691/11",0
"1691/12",0
"1692/01",0
"1692/02",0
"1692/03",0
"1692/04",0
"1692/05",0
"1692/06",0
"1692/07",0
"1692/08",0
"1692/09",0
"1692/10",0
"1692/11",0
"1692/12",0
"1693/01",0
"1693/02",0
"1693/03",0
"1693/04",0
"1693/05",0
"1693/06",0
"1693/07",0
"1693/08",0
"1693/09",0
"1693/10",0
"1693/11",0
"1693/12",0
"1694/01",0
"1694/02",0
"1694/03",0
"1694/04",0
"1694/05",0
"1694/06",0
"1694/07",0
"1694/08",0
"1694/09",0
"1694/10",0
"1694/11",0
"1694/12",0
"1695/01",0
"1695/02",0
"1695/03",0
"1695/04",0
"1695/05",0
"1695/06",0
"1695/07",0
"1695/08",0
"1695/09",0
"1695/10",0
"1695/11",0
"1695/12",0
"1696/01",2
"1696/02",0
"1696/03",0
"1696/04",0
"1696/05",0
"1696/06",0
"1696/07",0
"1696/08",0
"1696/09",0
"1696/10",0
"1696/11",0
"1696/12",0
"1697/01",1
"1697/02",0
"1697/03",0
"1697/04",0
"1697/05",0
"1697/06",0
"1697/07",0
"1697/08",0
"1697/09",0
"1697/10",0
"1697/11",0
"1697/12",0
"1698/01",2
"1698/02",0
"1698/03",0
"1698/04",0
"1698/05",0
"1698/06",0
"1698/07",0
"1698/08",0
"1698/09",0
"1698/10",0
"1698/11",0
"1698/12",0
"1699/01",3
"1699/02",0
"1699/03",0
"1699/04",0
"1699/05",0
"1699/06",0
"1699/07",0
"1699/08",0
"1699/09",0
"1699/10",0
"1699/11",0
"1699/12",0
"1700/01",1
"1700/02",0
"1700/03",0
"1700/04",0
"1700/05",0
"1700/06",0
"1700/07",0
"1700/08",0
"1700/09",0
"1700/10",0
"1700/11",0
"1700/12",0
"1701/01",0
"1701/02",0
"1701/03",0
"1701/04",0
"1701/05",0
"1701/06",0
"1701/07",0
"1701/08",0
"1701/09",0
"1701/10",0
"1701/11",0
"1701/12",0
"1702/01",3
"1702/02",0
"1702/03",0
"1702/04",0
"1702/05",0
"1702/06",0
"1702/07",0
"1702/08",0
"1702/09",0
"1702/10",0
"1702/11",0
"1702/12",0
"1703/01",2
"1703/02",0
"1703/03",0
"1703/04",0
"1703/05",0
"1703/06",0
"1703/07",0
"1703/08",0
"1703/09",0
"1703/10",0
"1703/11",0
"1703/12",0
"1704/01",2
"1704/02",0
"1704/03",0
"1704/04",0
"1704/05",0
"1704/06",0
"1704/07",0
"1704/08",0
"1704/09",0
"1704/10",0
"1704/11",0
"1704/12",0
"1705/01",2
"1705/02",0
"1705/03",0
"1705/04",0
"1705/05",0
"1705/06",0
"1705/07",0
"1705/08",0
"1705/09",0
"1705/10",0
"1705/11",0
"1705/12",0
"1706/01",2
"1706/02",0
"1706/03",0
"1706/04",0
"1706/05",0
"1706/06",0
"1706/07",0
"1706/08",0
"1706/09",0
"1706/10",0
