n,annee,mois,jour
8014,1821,1,1
7769,1821,1,2
8396,1821,1,3
7758,1821,1,4
7963,1821,1,5
8563,1821,1,6
8038,1821,1,7
8201,1821,1,8
18019,1821,1,9
9204,1821,1,10
8334,1821,1,11
8146,1821,1,12
7613,1821,1,13
8114,1821,1,14
8375,1821,1,15
8001,1821,1,16
8439,1821,1,17
8042,1821,1,18
7812,1821,1,19
7959,1821,1,20
7518,1821,1,21
8342,1821,1,22
7949,1821,1,24
8372,1821,1,25
7676,1821,1,26
7986,1821,1,27
8992,1821,1,28
8499,1821,1,29
7791,1821,1,30
8560,1821,1,31
8375,1821,2,1
7919,1821,2,2
8436,1821,2,3
7899,1821,2,4
8079,1821,2,5
14089,1821,2,6
8140,1821,2,7
8561,1821,2,8
8255,1821,2,9
7940,1821,2,10
8469,1821,2,11
7479,1821,2,12
18876,1821,2,13
8111,1821,2,14
7857,1821,2,15
8447,1821,2,17
8801,1821,2,18
8343,1821,2,19
9189,1821,2,20
8680,1821,2,21
8719,1821,2,22
8158,1821,2,23
17168,1821,2,24
7943,1821,2,25
8139,1821,2,26
7848,1821,2,27
8324,1821,2,28
8455,1821,3,1
8071,1821,3,2
7916,1821,3,3
7516,1821,3,4
8284,1821,3,5
7890,1821,3,6
8002,1821,3,7
7905,1821,3,8
9275,1821,3,9
9446,1821,3,10
7932,1821,3,11
7860,1821,3,12
8491,1821,3,13
8089,1821,3,14
8459,1821,3,15
8228,1821,3,16
7864,1821,3,17
8869,1821,3,18
7772,1821,3,19
13224,1821,3,20
17120,1821,3,21
8874,1821,3,22
8395,1821,3,23
8165,1821,3,24
8370,1821,3,25
8157,1821,3,26
8032,1821,3,27
8270,1821,3,28
8461,1821,3,29
7898,1821,3,30
7730,1821,3,31
8533,1821,4,1
8061,1821,4,2
7887,1821,4,3
8869,1821,4,4
8087,1821,4,5
8409,1821,4,6
14097,1821,4,7
14446,1821,4,8
8329,1821,4,9
8611,1821,4,10
8181,1821,4,11
13473,1821,4,12
9130,1821,4,13
8908,1821,4,14
13177,1821,4,15
8059,1821,4,16
8918,1821,4,17
8877,1821,4,18
7821,1821,4,19
7969,1821,4,20
8197,1821,4,21
8320,1821,4,22
8250,1821,4,23
8008,1821,4,25
8059,1821,4,26
8425,1821,4,27
7904,1821,4,28
8667,1821,4,29
7917,1821,4,30
17772,1821,5,1
8074,1821,5,2
7961,1821,5,3
8581,1821,5,5
8766,1821,5,6
8013,1821,5,7
9499,1821,5,8
8825,1821,5,9
14288,1821,5,10
8547,1821,5,11
8567,1821,5,12
13504,1821,5,13
8265,1821,5,14
12749,1821,5,15
12664,1821,5,16
8906,1821,5,17
8220,1821,5,18
8749,1821,5,19
8192,1821,5,20
8482,1821,5,21
8603,1821,5,22
8843,1821,5,23
8835,1821,5,24
8873,1821,5,25
8788,1821,5,26
13454,1821,5,27
8450,1821,5,28
8735,1821,5,29
8728,1821,5,30
8477,1821,5,31
8811,1821,6,1
8183,1821,6,2
8400,1821,6,3
8400,1821,6,4
8675,1821,6,5
8634,1821,6,6
8774,1821,6,7
13345,1821,6,8
8914,1821,6,9
8373,1821,6,10
8101,1821,6,11
8588,1821,6,13
8582,1821,6,14
8349,1821,6,15
8333,1821,6,16
8728,1821,6,17
8100,1821,6,18
13238,1821,6,19
9021,1821,6,20
8563,1821,6,21
8663,1821,6,22
8833,1821,6,23
8766,1821,6,24
8618,1821,6,25
8670,1821,6,26
8220,1821,6,27
8728,1821,6,28
12138,1821,6,29
9340,1821,6,30
8094,1821,7,1
7970,1821,7,2
8404,1821,7,3
8426,1821,7,4
8842,1821,7,5
9070,1821,7,6
13088,1821,7,7
8591,1821,7,8
7926,1821,7,9
8657,1821,7,10
8320,1821,7,11
8202,1821,7,12
8367,1821,7,13
7917,1821,7,14
12977,1821,7,15
8168,1821,7,16
8305,1821,7,17
8434,1821,7,18
7936,1821,7,19
8383,1821,7,20
8189,1821,7,21
7636,1821,7,22
8523,1821,7,23
7686,1821,7,24
7503,1821,7,25
7814,1821,7,26
8229,1821,7,27
8340,1821,7,28
7876,1821,7,29
7924,1821,7,30
7631,1821,7,31
7656,1821,8,1
7544,1821,8,2
8240,1821,8,3
7995,1821,8,4
7824,1821,8,5
8357,1821,8,6
7704,1821,8,7
8024,1821,8,8
13060,1821,8,9
7365,1821,8,10
7782,1821,8,11
8106,1821,8,12
8447,1821,8,13
8426,1821,8,14
7966,1821,8,15
8188,1821,8,16
8459,1821,8,18
7800,1821,8,19
8001,1821,8,20
7983,1821,8,21
7822,1821,8,22
7657,1821,8,23
8065,1821,8,24
7388,1821,8,25
7906,1821,8,26
8708,1821,8,27
7683,1821,8,28
8410,1821,8,29
7594,1821,8,30
8047,1821,8,31
8032,1821,9,1
7735,1821,9,2
8322,1821,9,3
7557,1821,9,4
8059,1821,9,5
7618,1821,9,6
8086,1821,9,7
7731,1821,9,8
8315,1821,9,9
8099,1821,9,10
7897,1821,9,11
8033,1821,9,12
7966,1821,9,13
8358,1821,9,14
8046,1821,9,15
8095,1821,9,16
8493,1821,9,17
8148,1821,9,18
8064,1821,9,19
8291,1821,9,20
8248,1821,9,21
8009,1821,9,22
7479,1821,9,23
8028,1821,9,24
7997,1821,9,25
7821,1821,9,26
7631,1821,9,27
7958,1821,9,28
11497,1821,9,29
7797,1821,9,30
7949,1821,10,1
8043,1821,10,2
8206,1821,10,3
8000,1821,10,4
7932,1821,10,5
7839,1821,10,6
7942,1821,10,7
7874,1821,10,8
8130,1821,10,9
8323,1821,10,10
7691,1821,10,11
8171,1821,10,12
7840,1821,10,13
8000,1821,10,14
7813,1821,10,15
7872,1821,10,16
7922,1821,10,17
8161,1821,10,18
8146,1821,10,19
6930,1821,10,20
8238,1821,10,21
7896,1821,10,22
7560,1821,10,23
