"Corpus","Type de documents","Langue","Mode de recherche"
"Gallica-presse 1789-1950 / Le Monde 1945-2022","Presse ancienne et contemporaine","Français","N-gramme offline"
"Presse française – Gallica","Presse ancienne","Français","N-gramme offline & Document online"
"Recherche par titre de presse – Gallica","Presse ancienne","Français","Document online"
"Livres – Gallica","Livres","Français","N-gramme offline & Document online"
"Corpus personnalisé – Gallica","Divers","Français","Document online"
"Livres+Presse – Gallica","Presse ancienne et livres","Français","N-gramme offline & Document online"
"Le Monde","Presse contemporaine","Français","N-gramme offline"
"Le Figaro","Presse contemporaine","Français","Article online"
"Presse française – MediaCloud","Presse contemporaine","Français","Article online"
"Presse suisse-romande – Bibliothèque nationale suisse","Presse ancienne","Français","Article online"
"Presse wallonne – KBR","Presse ancienne","Français","Page online"
"Presse luxembourgeoise – eLuxemburgensia","Presse ancienne","Français","Article online"
"Presse québécoise – BanQ","Presse ancienne et contemporaine","Français","Document online"
"Livres – Ngram Viewer Français","Livres","Français","N-gramme online"
"Google Trends – France","Recherches web","Français","Gtrends"
"Presse Auvergne-Rhône-Alpes – Lectura","Presse ancienne régionale","Français","Page online"
"Presse du sillon lorain – Limédia","Presse ancienne régionale","Français","Document online"
"Presse méridionale – Mémonum","Presse ancienne régionale","Français","Document online"
"Presse de Saint-Denis – Commun-Patrimoine","Presse ancienne régionale","Français","Document online"
"Presse de Brest – Yroise","Presse ancienne régionale","Français","Document online"
"Presse des Pyrénées – Pireneas","Presse ancienne régionale","Français","Document online"
"Presse toulousaine – Rosalis","Presse ancienne régionale","Français","Document online"
"Presse diplomatique – Bibliothèque diplomatique numérique","Presse ancienne spécialisée","Français","Document online"
"Presse francophone – RFN","Presse ancienne régionale","Français","Document online"
"Presse alsacienne – Numistral","Presse ancienne régionale","Français","Document online"
"Presse de Roubaix – BN-R","Presse ancienne régionale","Français","Document online"
"Isidore","Travaux de recherche","Français","Document online"
"Cairn.info","Travaux de recherche","Français","Document online"
"Theses.fr","Travaux de recherche","Français","Document online"
"HAL-SHS","Travaux de recherche","Français","Document online"
"MusixMatch – Français","Paroles de chansons","Français","Document online"
"Gallica-presse (1789/1950) + Le Monde (1951-2022)","Presse ancienne et contemporaine","Français","N-gramme offline"
"Presse allemande – Deutsche digitale bibliothek","Presse ancienne","Allemand","Document online"
"Presse allemande – Europeana","Presse ancienne","Allemand","Document online"
"Presse austro-hongroise – ANNO","Presse ancienne","Allemand","Document online"
"Presse suisse-allemande – Bibliothèque nationale suisse","Presse ancienne","Allemand","Article online"
"Presse germanophone – MediaCloud","Presse contemporaine","Allemand","Article online"
"Livres – Ngram Viewer Allemand","Livres","Allemand","N-gramme online"
"MusixMatch – Allemand","Paroles de chansons","Allemand","Document online"
"Presse britannique – BNA","Presse ancienne et contemporaine","Anglais","Article online"
"Presse australienne – Trove","Presse ancienne","Anglais","Article online"
"Presse américaine – Library of Congress","Presse ancienne","Anglais","Page online"
"Presse anglophone – MediaCloud","Presse contemporaine","Anglais","Article online"
"Livres – Ngram Viewer Anglais","Livres","Anglais","N-gramme online"
"MusixMatch – Anglais","Paroles de chansons","Anglais","Document online"
"Presse néerlandaise – Europeana","Presse ancienne","Néerlandais","Document online"
"Presse flamande – KBR","Presse ancienne","Néerlandais","Page online"
"Presse néerlandophone – MediaCloud","Presse contemporaine","Néerlandais","Article online"
"MusixMatch – Néerlandais","Paroles de chansons","Néerlandais","Document online"
"Presse espagnole – BNE","Presse ancienne et contemporaine","Espagnol","Page online"
"Presse hispanophone – MediaCloud","Presse contemporaine","Espagnol","Article online"
"Livres – Ngram Viewer Espagnol","Livres","Espagnol","N-gramme online"
"MusixMatch – Espagnol","Paroles de chansons","Espagnol","Document online"
