n,annee,mois
53461,1780,1
52620,1780,2
55794,1780,3
52616,1780,4
57550,1780,5
52840,1780,6
56479,1780,7
56452,1780,8
54093,1780,9
55352,1780,10
28823,1780,11
18125,1780,12
51498,1781,1
43122,1781,2
50135,1781,3
47157,1781,4
51098,1781,5
48524,1781,6
51132,1781,7
48800,1781,8
46374,1781,9
47733,1781,10
43406,1781,11
49868,1781,12
22716,1782,1
16940,1782,2
22773,1782,3
23141,1782,4
20364,1782,5
19825,1782,6
22035,1782,7
20452,1782,8
17043,1782,9
20715,1782,10
18764,1782,11
21449,1782,12
21581,1783,1
19869,1783,2
20624,1783,3
22908,1783,4
20659,1783,5
18809,1783,6
28833,1783,7
24304,1783,8
21376,1783,9
21009,1783,10
20097,1783,11
20896,1783,12
61173,1784,1
56178,1784,2
71881,1784,3
61500,1784,4
64148,1784,5
66334,1784,6
70525,1784,7
65781,1784,8
62361,1784,9
63451,1784,10
71121,1784,11
75254,1784,12
107197,1785,1
93513,1785,2
108968,1785,3
103727,1785,4
106666,1785,5
98715,1785,6
103290,1785,7
107781,1785,8
101811,1785,9
120503,1785,10
129741,1785,11
154113,1785,12
115802,1786,1
110045,1786,2
122761,1786,3
112292,1786,4
121790,1786,5
110679,1786,6
119126,1786,7
123165,1786,8
137783,1786,9
119192,1786,10
109671,1786,11
119766,1786,12
125311,1787,1
122777,1787,2
150844,1787,3
138860,1787,4
159481,1787,5
143568,1787,6
152870,1787,7
147587,1787,8
139929,1787,9
159342,1787,10
141518,1787,11
167031,1787,12
138707,1788,1
129568,1788,2
136555,1788,3
138534,1788,4
142631,1788,5
140486,1788,6
157459,1788,7
140705,1788,8
158652,1788,9
141014,1788,10
135189,1788,11
155665,1788,12
114710,1789,1
98973,1789,2
116284,1789,3
119472,1789,4
117166,1789,5
113060,1789,6
111605,1789,7
114110,1789,8
117684,1789,9
120878,1789,10
122711,1789,11
132759,1789,12
114073,1790,1
109269,1790,2
145848,1790,3
117028,1790,4
127523,1790,5
127293,1790,6
121203,1790,7
129573,1790,8
120193,1790,9
116571,1790,10
129194,1790,11
138574,1790,12
153882,1791,1
124111,1791,2
156972,1791,3
156778,1791,4
165740,1791,5
153444,1791,6
167669,1791,7
175654,1791,8
168647,1791,9
163646,1791,10
148085,1791,11
165254,1791,12
126761,1792,1
118703,1792,2
119658,1792,3
152276,1792,4
140120,1792,5
132698,1792,6
164280,1792,7
174535,1792,8
132142,1792,9
138288,1792,10
124114,1792,11
227637,1792,12
203556,1793,1
200929,1793,2
241072,1793,3
246964,1793,4
230275,1793,5
212258,1793,6
179242,1793,7
170242,1793,8
212075,1793,9
211943,1793,10
198336,1793,11
200408,1793,12
246725,1794,1
235109,1794,2
257865,1794,3
262683,1794,4
275906,1794,5
276452,1794,6
248251,1794,7
268140,1794,8
274701,1794,9
199601,1794,10
204297,1794,11
220685,1794,12
199330,1795,1
180408,1795,2
218763,1795,3
203345,1795,4
208566,1795,5
193407,1795,6
236552,1795,7
221505,1795,8
213991,1795,9
255346,1795,10
231932,1795,11
263840,1795,12
238349,1796,1
234856,1796,2
242424,1796,3
236987,1796,4
248633,1796,5
256589,1796,6
212121,1796,7
252494,1796,8
262372,1796,9
261703,1796,10
252798,1796,11
264150,1796,12
202384,1797,1
175859,1797,2
169736,1797,3
163169,1797,4
193382,1797,5
157264,1797,6
165172,1797,7
163255,1797,8
179052,1797,9
189070,1797,10
172037,1797,11
175273,1797,12
161058,1798,1
157504,1798,2
187009,1798,3
168305,1798,4
168784,1798,5
174487,1798,6
163047,1798,7
174660,1798,8
172582,1798,9
197099,1798,10
189634,1798,11
235463,1798,12
239761,1799,1
203769,1799,2
205510,1799,3
240908,1799,4
249453,1799,5
242673,1799,6
240520,1799,7
245951,1799,8
222912,1799,9
256097,1799,10
229513,1799,11
240543,1799,12
209731,1800,1
179532,1800,2
222196,1800,3
197688,1800,4
199788,1800,5
193123,1800,6
182992,1800,7
192715,1800,8
183611,1800,9
176446,1800,10
180932,1800,11
224966,1800,12
194205,1801,1
178517,1801,2
198726,1801,3
180239,1801,4
215592,1801,5
218074,1801,6
192791,1801,7
178517,1801,8
236501,1801,9
271739,1801,10
264193,1801,11
307016,1801,12
225239,1802,1
225110,1802,2
246200,1802,3
243693,1802,4
257062,1802,5
238109,1802,6
251800,1802,7
255509,1802,8
252304,1802,9
220408,1802,10
156679,1802,11
262296,1802,12
281546,1803,1
217179,1803,2
296898,1803,3
314744,1803,4
281676,1803,5
292577,1803,6
291780,1803,7
295545,1803,8
299272,1803,9
293930,1803,10
292965,1803,11
357983,1803,12
255133,1804,1
280619,1804,2
305301,1804,3
284048,1804,4
291863,1804,5
262900,1804,6
253209,1804,7
283560,1804,8
265546,1804,9
267806,1804,10
237099,1804,11
280148,1804,12
258871,1805,1
245638,1805,2
284741,1805,3
263192,1805,4
274057,1805,5
283176,1805,6
273732,1805,7
262473,1805,8
258800,1805,9
287539,1805,10
271124,1805,11
272992,1805,12
198424,1806,1
191294,1806,2
213727,1806,3
208433,1806,4
221234,1806,5
216135,1806,6
222915,1806,7
207635,1806,8
220749,1806,9
278856,1806,10
254338,1806,11
269347,1806,12
252113,1807,1
221006,1807,2
215550,1807,3
224543,1807,4
251436,1807,5
224372,1807,6
