n,annee
2593,1716
12058,1719
10879,1722
5061,1748
55600,1749
1635,1755
15777,1764
2092,1772
1082,1773
1978,1774
5266,1776
2354,1780
2854,1781
1429,1784
21479,1785
3463,1786
8707,1788
17317,1790
4448,1791
6823,1795
9047,1796
22276,1797
31456,1798
1956,1799
39779,1800
4706,1802
814,1803
4367,1804
38985,1807
27274,1808
22153,1809
21882,1810
1756,1811
80587,1812
946,1813
3039,1816
6063,1817
5464,1818
39438,1819
2112,1820
1189,1821
20101,1826
9743,1827
1138,1828
1602,1829
14684,1830
1286,1831
9446,1832
23064,1833
5217,1834
18217,1835
37654,1836
59916,1837
95877,1838
36595,1839
3290,1840
25170,1841
53985,1842
64794,1843
17816,1844
1260,1845
38663,1846
48967,1847
38360,1848
13140,1849
23825,1851
57071,1853
18871,1854
1114,1855
43626,1856
46114,1857
236564,1859
57239,1860
2422,1861
27688,1862
7100,1863
40940,1864
59234,1865
882,1866
18333,1867
5819,1869
3867,1870
41668,1871
35204,1873
47676,1874
6746,1875
37304,1876
6385,1877
18259,1878
10221,1879
203815,1880
10520,1881
5870,1882
41715,1883
35392,1884
26426,1885
44341,1886
55538,1887
17178,1888
69785,1889
64550,1890
19135,1891
116513,1892
136251,1893
95124,1894
42316,1895
56211,1896
95348,1897
23226,1898
45481,1899
45080,1900
18327,1901
23018,1902
82743,1903
75322,1904
66776,1905
54933,1906
23015,1907
54189,1908
46896,1909
29313,1910
59299,1911
136640,1912
45981,1913
138676,1914
97333,1915
5543,1916
73649,1917
82722,1918
58982,1919
55836,1920
91890,1921
230310,1922
282959,1923
169772,1924
318627,1925
207892,1926
217918,1927
137249,1928
239517,1929
342812,1930
518483,1931
423966,1932
241434,1933
459416,1934
421392,1935
452182,1936
440239,1937
586476,1938
241566,1939
391038,1940
246020,1941
103184,1942
145484,1943
40329,1944
186933,1945
405997,1946
334306,1947
310754,1948
527351,1949
670086,1950
689027,1951
457310,1952
450143,1953
310105,1954
842520,1955
522768,1956
456097,1957
555568,1958
616392,1959
598114,1960
639914,1961
994293,1962
717655,1963
402806,1964
903112,1965
842812,1966
1009306,1967
983570,1968
911446,1969
1105427,1970
1127633,1971
1158732,1972
1240324,1973
1157487,1974
1819409,1975
2010543,1976
2506632,1977
2960377,1978
2734877,1979
3126743,1980
3263457,1981
3449421,1982
3442462,1983
4595817,1984
4719797,1985
3690801,1986
5438063,1987
5483256,1988
5986345,1989
7598791,1990
7168459,1991
9309919,1992
8870190,1993
9775072,1994
9948756,1995
13710902,1996
11903010,1997
13055125,1998
14663593,1999
17129368,2000
18413130,2001
19815920,2002
20345709,2003
23406243,2004
25127742,2005
28304175,2006
36520997,2007
38560845,2008
49994734,2009
54581960,2010
70686997,2011
82719817,2012
98979521,2013
100433502,2014
75852844,2015
33452001,2016
26014592,2017
22374757,2018
23272992,2019
19901079,2020
18672626,2021
14998230,2022
7760806,2023
3352582,2024
15995,2025
