n,annee
31214,1700
147,1702
84338,1703
50333,1704
4132,1705
10911,1706
1038,1708
90306,1710
5871,1711
128730,1712
36378,1713
135758,1714
3973,1715
81994,1716
136346,1719
303219,1720
263197,1722
1574,1723
638464,1724
10506,1725
94143,1726
66955,1727
98633,1728
7193,1729
44250,1734
114377,1735
164781,1739
690909,1740
147767,1741
241739,1742
74683,1743
451019,1748
225245,1749
119490,1750
484223,1751
145101,1752
165700,1753
92952,1754
258258,1755
1663,1756
25913,1757
84217,1758
225581,1759
119255,1763
147792,1764
89913,1765
329224,1766
154564,1767
95076,1768
147296,1769
161120,1771
66761,1772
307107,1773
62679,1774
207637,1775
234708,1776
873894,1777
28186,1778
74681,1779
54111,1780
331800,1781
298607,1782
37568,1783
34919,1784
401360,1785
45445,1786
65737,1787
1865437,1788
164456,1789
885529,1790
1294015,1791
86740,1792
573,1793
337904,1794
117246,1795
454197,1796
439635,1797
335572,1798
226363,1799
292976,1800
32884,1802
19690,1803
131440,1804
80461,1805
232583,1806
394833,1807
84877,1808
232538,1809
99072,1810
279935,1811
278888,1812
233564,1813
434451,1814
289394,1815
125594,1816
812121,1817
205272,1818
166501,1819
498938,1820
411549,1821
871559,1822
227406,1823
151237,1824
311084,1825
25676,1826
243397,1827
428279,1828
381646,1829
1199394,1830
371672,1831
1344367,1832
493070,1833
599386,1834
1187528,1835
1053517,1836
1155904,1837
308893,1838
1211467,1839
1893602,1840
796028,1841
524620,1842
2756917,1843
1579193,1844
1208828,1845
1630283,1846
1187520,1847
2519966,1848
1219693,1849
1299562,1850
1506854,1851
1058904,1852
1413282,1853
887422,1854
2562982,1855
1248481,1856
2198220,1857
1546713,1858
2535035,1859
1703809,1860
1446531,1861
1807390,1862
1890975,1863
2415898,1864
1738585,1865
2588300,1866
1641630,1867
1246031,1868
3852261,1869
1337112,1870
1706633,1871
2302206,1872
1266865,1873
1896931,1874
1149825,1875
2179119,1876
2363341,1877
1643040,1878
2023258,1879
2596934,1880
2695887,1881
2590813,1882
3237513,1883
2323505,1884
3849214,1885
2841443,1886
3688905,1887
3620559,1888
3604063,1889
4143708,1890
3257777,1891
3837563,1892
3513438,1893
5199211,1894
2712246,1895
3690148,1896
4155391,1897
5915343,1898
7527082,1899
9242116,1900
3805540,1901
6918623,1902
5715047,1903
5385581,1904
6641588,1905
5149726,1906
5702102,1907
7508937,1908
6548783,1909
5941042,1910
8108447,1911
6659771,1912
6285640,1913
6314694,1914
6042180,1915
4738301,1916
5618111,1917
5531630,1918
7863132,1919
8091087,1920
7038355,1921
11922367,1922
6343388,1923
4328185,1924
8187449,1925
8040752,1926
8683866,1927
8876306,1928
9637073,1929
11158314,1930
11084705,1931
10989551,1932
11434750,1933
13448577,1934
14036181,1935
13172519,1936
15258224,1937
14913423,1938
14031819,1939
14183192,1940
14344554,1941
12210441,1942
12674411,1943
12000151,1944
12937542,1945
17288685,1946
15914162,1947
17964023,1948
16916270,1949
19241645,1950
20542498,1951
22055995,1952
19229677,1953
20845164,1954
23578292,1955
22488280,1956
25171079,1957
30650079,1958
27499597,1959
30966747,1960
28257429,1961
31000935,1962
29906243,1963
33200968,1964
33310124,1965
34590195,1966
32698417,1967
38198273,1968
46070957,1969
46869885,1970
49920875,1971
48795400,1972
56428077,1973
57677613,1974
62370870,1975
61292813,1976
64140459,1977
76340069,1978
79644063,1979
85946416,1980
89493591,1981
95894470,1982
99988346,1983
112988392,1984
122529244,1985
134064659,1986
146013330,1987
166334026,1988
168081509,1989
176456559,1990
201179699,1991
220678422,1992
232539348,1993
263992648,1994
287975671,1995
317464660,1996
343829012,1997
383481447,1998
405803326,1999
465685834,2000
487270325,2001
516831231,2002
601737876,2003
655746046,2004
700324038,2005
773559392,2006
892224171,2007
966114195,2008
1141867042,2009
1358513515,2010
1726587659,2011
2136211076,2012
2501617933,2013
2672687094,2014
2481457587,2015
1520170789,2016
1360189167,2017
1335315263,2018
1251599486,2019
1220632093,2020
1227063625,2021
1037276937,2022
853109565,2023
549100388,2024
7540070,2025
