"date","count","base","ratio","mot","url","resolution","corpus","langue","bibli","search_mode"
"1788/01",84,608519,0.00013804006119776,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221788/01/01%22%20and%20gallicapublication_date%3C=%221788/01/31%22)&suggest=10&keywords=liberté","Mois","Presse","Français","Gallica","N-gramme"
"1788/02",51,185534,0.000274882231828129,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221788/02/01%22%20and%20gallicapublication_date%3C=%221788/02/31%22)&suggest=10&keywords=liberté","Mois","Presse","Français","Gallica","N-gramme"
"1788/03",45,190089,0.00023673121537806,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221788/03/01%22%20and%20gallicapublication_date%3C=%221788/03/31%22)&suggest=10&keywords=liberté","Mois","Presse","Français","Gallica","N-gramme"
"1788/04",43,204242,0.000210534561941227,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221788/04/01%22%20and%20gallicapublication_date%3C=%221788/04/31%22)&suggest=10&keywords=liberté","Mois","Presse","Français","Gallica","N-gramme"
"1788/05",37,207558,0.000178263425163087,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221788/05/01%22%20and%20gallicapublication_date%3C=%221788/05/31%22)&suggest=10&keywords=liberté","Mois","Presse","Français","Gallica","N-gramme"
"1788/06",47,204050,0.000230335702033815,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221788/06/01%22%20and%20gallicapublication_date%3C=%221788/06/31%22)&suggest=10&keywords=liberté","Mois","Presse","Français","Gallica","N-gramme"
"1788/07",55,430888,0.00012764337832569,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221788/07/01%22%20and%20gallicapublication_date%3C=%221788/07/31%22)&suggest=10&keywords=liberté","Mois","Presse","Français","Gallica","N-gramme"
"1788/08",42,205918,0.000203964684971688,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221788/08/01%22%20and%20gallicapublication_date%3C=%221788/08/31%22)&suggest=10&keywords=liberté","Mois","Presse","Français","Gallica","N-gramme"
"1788/09",26,211124,0.000123150376082302,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221788/09/01%22%20and%20gallicapublication_date%3C=%221788/09/31%22)&suggest=10&keywords=liberté","Mois","Presse","Français","Gallica","N-gramme"
"1788/10",16,218600,7.31930466605672e-05,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221788/10/01%22%20and%20gallicapublication_date%3C=%221788/10/31%22)&suggest=10&keywords=liberté","Mois","Presse","Français","Gallica","N-gramme"
