"date","count","base","ratio","mot","url","resolution","corpus","langue","bibli","search_mode"
"1851",0,19404677,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1852",0,10019140,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1853",0,7990364,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1854",0,22599065,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1855",0,17274992,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1856",0,28340267,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1857",0,22830276,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1858",0,32614174,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1859",0,26643303,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1860",0,24137701,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1861",0,32367492,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1862",0,34250055,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1863",0,29364936,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1864",0,18614033,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1865",0,19988177,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1866",0,27055188,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1867",0,32216894,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1868",0,30856920,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1869",0,35927033,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1870",0,36959549,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1871",0,30894949,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1872",0,36507838,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1873",0,45764318,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1874",0,42961282,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1875",0,48077774,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1876",0,58160599,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1877",0,48178658,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1878",0,57671175,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1879",0,57089507,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1880",0,44342556,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1881",0,44331198,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1882",0,51210756,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1883",3,62937617,4.7666247039509e-08,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1884",0,49289043,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1885",0,52373055,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1886",0,64394470,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1887",0,73193113,0,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1888",3,84240229,3.56124388028432e-08,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
