"annee","count","base","mot","url","corpus","langue","bibli","date","search_mode","ratio"
1870,0,1742825,"mentalités","https://www.persee.fr/search?l=fre&da=1870&q=%22mentalités%22","Presse","Français","Persée",1870,"N-gramme",0
1871,0,1146117,"mentalités","https://www.persee.fr/search?l=fre&da=1871&q=%22mentalités%22","Presse","Français","Persée",1871,"N-gramme",0
1872,0,2019191,"mentalités","https://www.persee.fr/search?l=fre&da=1872&q=%22mentalités%22","Presse","Français","Persée",1872,"N-gramme",0
1873,0,2038509,"mentalités","https://www.persee.fr/search?l=fre&da=1873&q=%22mentalités%22","Presse","Français","Persée",1873,"N-gramme",0
1874,0,2022712,"mentalités","https://www.persee.fr/search?l=fre&da=1874&q=%22mentalités%22","Presse","Français","Persée",1874,"N-gramme",0
1875,0,1954035,"mentalités","https://www.persee.fr/search?l=fre&da=1875&q=%22mentalités%22","Presse","Français","Persée",1875,"N-gramme",0
1876,0,2065539,"mentalités","https://www.persee.fr/search?l=fre&da=1876&q=%22mentalités%22","Presse","Français","Persée",1876,"N-gramme",0
1877,0,2675592,"mentalités","https://www.persee.fr/search?l=fre&da=1877&q=%22mentalités%22","Presse","Français","Persée",1877,"N-gramme",0
1878,0,2868749,"mentalités","https://www.persee.fr/search?l=fre&da=1878&q=%22mentalités%22","Presse","Français","Persée",1878,"N-gramme",0
1879,0,2597251,"mentalités","https://www.persee.fr/search?l=fre&da=1879&q=%22mentalités%22","Presse","Français","Persée",1879,"N-gramme",0
1880,0,3376705,"mentalités","https://www.persee.fr/search?l=fre&da=1880&q=%22mentalités%22","Presse","Français","Persée",1880,"N-gramme",0
1881,0,2934331,"mentalités","https://www.persee.fr/search?l=fre&da=1881&q=%22mentalités%22","Presse","Français","Persée",1881,"N-gramme",0
1882,0,3547540,"mentalités","https://www.persee.fr/search?l=fre&da=1882&q=%22mentalités%22","Presse","Français","Persée",1882,"N-gramme",0
1883,0,3423785,"mentalités","https://www.persee.fr/search?l=fre&da=1883&q=%22mentalités%22","Presse","Français","Persée",1883,"N-gramme",0
1884,0,3615134,"mentalités","https://www.persee.fr/search?l=fre&da=1884&q=%22mentalités%22","Presse","Français","Persée",1884,"N-gramme",0
1885,0,3180119,"mentalités","https://www.persee.fr/search?l=fre&da=1885&q=%22mentalités%22","Presse","Français","Persée",1885,"N-gramme",0
1886,0,4179361,"mentalités","https://www.persee.fr/search?l=fre&da=1886&q=%22mentalités%22","Presse","Français","Persée",1886,"N-gramme",0
1887,0,2930192,"mentalités","https://www.persee.fr/search?l=fre&da=1887&q=%22mentalités%22","Presse","Français","Persée",1887,"N-gramme",0
1888,0,3677081,"mentalités","https://www.persee.fr/search?l=fre&da=1888&q=%22mentalités%22","Presse","Français","Persée",1888,"N-gramme",0
1889,0,3824484,"mentalités","https://www.persee.fr/search?l=fre&da=1889&q=%22mentalités%22","Presse","Français","Persée",1889,"N-gramme",0
1890,0,3415799,"mentalités","https://www.persee.fr/search?l=fre&da=1890&q=%22mentalités%22","Presse","Français","Persée",1890,"N-gramme",0
1891,0,3696482,"mentalités","https://www.persee.fr/search?l=fre&da=1891&q=%22mentalités%22","Presse","Français","Persée",1891,"N-gramme",0
1892,0,4051793,"mentalités","https://www.persee.fr/search?l=fre&da=1892&q=%22mentalités%22","Presse","Français","Persée",1892,"N-gramme",0
1893,0,4535750,"mentalités","https://www.persee.fr/search?l=fre&da=1893&q=%22mentalités%22","Presse","Français","Persée",1893,"N-gramme",0
1894,0,3716235,"mentalités","https://www.persee.fr/search?l=fre&da=1894&q=%22mentalités%22","Presse","Français","Persée",1894,"N-gramme",0
1895,0,5116161,"mentalités","https://www.persee.fr/search?l=fre&da=1895&q=%22mentalités%22","Presse","Français","Persée",1895,"N-gramme",0
1896,0,5052125,"mentalités","https://www.persee.fr/search?l=fre&da=1896&q=%22mentalités%22","Presse","Français","Persée",1896,"N-gramme",0
1897,0,4505168,"mentalités","https://www.persee.fr/search?l=fre&da=1897&q=%22mentalités%22","Presse","Français","Persée",1897,"N-gramme",0
1898,0,5463121,"mentalités","https://www.persee.fr/search?l=fre&da=1898&q=%22mentalités%22","Presse","Français","Persée",1898,"N-gramme",0
1899,0,5599680,"mentalités","https://www.persee.fr/search?l=fre&da=1899&q=%22mentalités%22","Presse","Français","Persée",1899,"N-gramme",0
1900,0,5074003,"mentalités","https://www.persee.fr/search?l=fre&da=1900&q=%22mentalités%22","Presse","Français","Persée",1900,"N-gramme",0
1901,0,6285189,"mentalités","https://www.persee.fr/search?l=fre&da=1901&q=%22mentalités%22","Presse","Français","Persée",1901,"N-gramme",0
