n,annee,mois,jour
13109,1854,4,2
12572,1854,4,9
14988,1854,4,16
12874,1854,4,23
12922,1854,4,30
11984,1854,5,7
10862,1854,5,14
12569,1854,5,21
14049,1854,5,28
14217,1854,6,4
14988,1854,6,11
12477,1854,6,18
12585,1854,6,25
14325,1854,7,2
12858,1854,7,9
13347,1854,7,16
14493,1854,7,23
14399,1854,7,30
12907,1854,8,6
13196,1854,8,11
13253,1854,8,20
13635,1854,8,27
13334,1854,9,3
13798,1854,9,10
13075,1854,9,17
13583,1854,9,24
12073,1854,10,1
10876,1854,10,8
10791,1854,10,15
12983,1854,10,22
11586,1854,10,29
14086,1854,11,5
12377,1854,11,12
13388,1854,11,19
14707,1854,11,26
13872,1854,12,3
13688,1854,12,10
14585,1854,12,17
13219,1854,12,24
15309,1854,12,31
11250,1855,1,7
14954,1855,1,14
14392,1855,1,21
11863,1855,1,28
13079,1855,2,4
14222,1855,2,11
13840,1855,2,18
14359,1855,2,25
14397,1855,3,4
14335,1855,3,11
14509,1855,3,18
14399,1855,3,25
30653,1855,4,1
13122,1855,4,8
13032,1855,4,15
15999,1855,4,22
9766,1855,4,29
14502,1855,5,6
15741,1855,5,13
10848,1855,5,20
15659,1855,5,27
16768,1855,6,3
16288,1855,6,10
14530,1855,6,17
14975,1855,6,24
14450,1855,7,1
15695,1855,7,8
13061,1855,7,15
14898,1855,7,22
16636,1855,7,29
15093,1855,8,12
16165,1855,8,19
14644,1855,8,26
13476,1855,9,2
15458,1855,9,9
15139,1855,9,16
15007,1855,9,23
16363,1855,9,30
17094,1855,10,7
15547,1855,10,14
14899,1855,10,21
13919,1855,10,28
16453,1855,11,4
14474,1855,11,11
15012,1855,11,18
16963,1855,11,25
14699,1855,12,2
14489,1855,12,9
15240,1855,12,16
16946,1855,12,23
16562,1855,12,30
16810,1856,1,6
14857,1856,1,10
14827,1856,1,13
15002,1856,1,17
13822,1856,1,20
14998,1856,1,24
13529,1856,1,27
13656,1856,1,31
14753,1856,2,3
14518,1856,2,7
14146,1856,2,10
14613,1856,2,14
14484,1856,2,17
13543,1856,2,21
13324,1856,2,24
15083,1856,2,28
15836,1856,3,2
15784,1856,3,6
14399,1856,3,9
15871,1856,3,13
14461,1856,3,16
16289,1856,3,20
14859,1856,3,23
14780,1856,3,27
16772,1856,3,30
13317,1856,4,3
14871,1856,4,6
12376,1856,4,10
15513,1856,4,13
13155,1856,4,17
15485,1856,4,20
14046,1856,4,24
11225,1856,4,27
15627,1856,5,1
14686,1856,5,4
14534,1856,5,8
14616,1856,5,11
10969,1856,5,15
13754,1856,5,18
17474,1856,5,22
13891,1856,5,25
12039,1856,5,29
12341,1856,6,1
13656,1856,6,5
14738,1856,6,8
14429,1856,6,12
15256,1856,6,15
13878,1856,6,19
14206,1856,6,22
13441,1856,6,26
12554,1856,6,29
14116,1856,7,3
13029,1856,7,6
15306,1856,7,10
14115,1856,7,13
15858,1856,7,17
14496,1856,7,20
15008,1856,7,24
15350,1856,7,27
14793,1856,7,31
15143,1856,8,3
15255,1856,8,7
14312,1856,8,10
14801,1856,8,14
13204,1856,8,17
15668,1856,8,21
14452,1856,8,24
16914,1856,8,28
14898,1856,8,31
15562,1856,9,4
15034,1856,9,7
13963,1856,9,11
14699,1856,9,14
15477,1856,9,18
13390,1856,9,21
15586,1856,9,25
14510,1856,9,28
14980,1856,10,2
13995,1856,10,5
13666,1856,10,9
15140,1856,10,12
15280,1856,10,16
14178,1856,10,19
15038,1856,10,23
15435,1856,10,26
15120,1856,10,30
14885,1856,11,2
15186,1856,11,6
13819,1856,11,9
13935,1856,11,13
15858,1856,11,16
12514,1856,11,20
13614,1856,11,23
14572,1856,11,27
15061,1856,11,30
14883,1856,12,4
14056,1856,12,7
15118,1856,12,11
11585,1856,12,14
13518,1856,12,18
13305,1856,12,21
13876,1856,12,25
14275,1856,12,28
15148,1857,1,1
12758,1857,1,4
14862,1857,1,8
10654,1857,1,11
30716,1857,1,15
15604,1857,1,18
15367,1857,1,22
13190,1857,1,25
14279,1857,1,29
13670,1857,2,1
10102,1857,2,5
15522,1857,2,8
14337,1857,2,12
12945,1857,2,15
12441,1857,2,19
16013,1857,2,22
15702,1857,2,26
15260,1857,3,1
17182,1857,3,5
14741,1857,3,8
15409,1857,3,12
15236,1857,3,15
16513,1857,3,19
13970,1857,3,22
14421,1857,3,26
14555,1857,3,29
16251,1857,4,2
15064,1857,4,5
14909,1857,4,9
16562,1857,4,12
15635,1857,4,16
14554,1857,4,19
16544,1857,4,23
15747,1857,4,26
16419,1857,4,30
14679,1857,5,3
16620,1857,5,7
17510,1857,5,10
16541,1857,5,14
17024,1857,5,17
16576,1857,5,21
16355,1857,5,24
17271,1857,5,28
15660,1857,5,31
13365,1857,6,1
17124,1857,6,4
16592,1857,6,7
15978,1857,6,11
16568,1857,6,14
15664,1857,6,18
15663,1857,6,21
16065,1857,6,25
16065,1857,6,28
13935,1857,7,2
13964,1857,7,5
14374,1857,7,9
14654,1857,7,12
15648,1857,7,16
16361,1857,7,19
16078,1857,7,23
14805,1857,7,26
14730,1857,7,30
15830,1857,8,2
15423,1857,8,6
14604,1857,8,9
14340,1857,8,13
15009,1857,8,16
14699,1857,8,20
13111,1857,8,23
13549,1857,8,27
13957,1857,8,30
15226,1857,9,3
14155,1857,9,6
14083,1857,9,10
15207,1857,9,13
16792,1857,9,17
13633,1857,9,20
13554,1857,9,24
13750,1857,9,27
14486,1857,10,1
15368,1857,10,4
14261,1857,10,8
13277,1857,10,11
15445,1857,10,15
13280,1857,10,18
14058,1857,10,22
13595,1857,10,25
14987,1857,10,29
13791,1857,11,1
13906,1857,11,5
12628,1857,11,8
15155,1857,11,12
14446,1857,11,15
14207,1857,11,19
12427,1857,11,22
14808,1857,11,26
12964,1857,11,29
9944,1857,12,3
11198,1857,12,6
14675,1857,12,10
10796,1857,12,13
14439,1857,12,17
13295,1857,12,20
18010,1857,12,24
13160,1857,12,27
14044,1857,12,31
14947,1858,1,3
21721,1858,1,7
14659,1858,1,10
22924,1858,1,14
14664,1858,1,17
13382,1858,1,21
24416,1858,1,24
15278,1858,1,28
14756,1858,1,31
13617,1858,2,4
13096,1858,2,7
12754,1858,2,11
13487,1858,2,14
14047,1858,2,18
15504,1858,2,21
14204,1858,2,25
16384,1858,2,28
15111,1858,3,4
15989,1858,3,7
12951,1858,3,11
13913,1858,3,14
13732,1858,3,18
21872,1858,3,21
15863,1858,3,25
22512,1858,3,28
15019,1858,4,1
12519,1858,4,4
18774,1858,4,8
12510,1858,4,11
12384,1858,4,15
12895,1858,4,18
14415,1858,4,22
13762,1858,4,25
14100,1858,4,29
19297,1858,5,2
14260,1858,5,6
12427,1858,5,9
13864,1858,5,13
12350,1858,5,16
14829,1858,5,20
12278,1858,5,23
13669,1858,5,27
10616,1858,5,30
12834,1858,6,3
11826,1858,6,6
13862,1858,6,10
13968,1858,6,13
13303,1858,6,17
13269,1858,6,20
12307,1858,6,24
14006,1858,6,27
14356,1858,7,1
12638,1858,7,4
13024,1858,7,8
12082,1858,7,11
13721,1858,7,15
13087,1858,7,18
14550,1858,7,22
10887,1858,7,25
13548,1858,7,29
11688,1858,8,1
14680,1858,8,5
14188,1858,8,8
12799,1858,8,12
11721,1858,8,15
13935,1858,8,19
12377,1858,8,22
13344,1858,8,26
11618,1858,8,29
12168,1858,9,2
13930,1858,9,5
15320,1858,9,9
14306,1858,9,12
14344,1858,9,16
14949,1858,9,19
14645,1858,9,23
13946,1858,9,26
14098,1858,9,30
13710,1858,10,3
13376,1858,10,7
13434,1858,10,10
12570,1858,10,14
12239,1858,10,17
13354,1858,10,20
13905,1858,10,24
13237,1858,10,28
12549,1858,10,31
11702,1858,11,4
11379,1858,11,7
12437,1858,11,11
12375,1858,11,14
12771,1858,11,18
11427,1858,11,21
11867,1858,11,25
12398,1858,11,28
13381,1858,12,2
12491,1858,12,5
11471,1858,12,9
13178,1858,12,12
12444,1858,12,16
12946,1858,12,19
12525,1858,12,23
19248,1858,12,26
11661,1858,12,30
12780,1859,1,2
13627,1859,1,6
14269,1859,1,9
12998,1859,1,13
13715,1859,1,16
11081,1859,1,20
13956,1859,1,23
13864,1859,1,27
11195,1859,1,30
13706,1859,2,3
13346,1859,2,6
12049,1859,2,10
12687,1859,2,13
13501,1859,2,17
14293,1859,2,20
13631,1859,2,24
11682,1859,2,27
13474,1859,3,3
11368,1859,3,6
15116,1859,3,10
12248,1859,3,13
12572,1859,3,17
12575,1859,3,20
10481,1859,3,24
11392,1859,3,27
13074,1859,3,31
12634,1859,4,3
12490,1859,4,5
10721,1859,4,9
12070,1859,4,12
13884,1859,4,16
12859,1859,4,19
13282,1859,4,23
14980,1859,4,26
14190,1859,4,30
14637,1859,5,3
13530,1859,5,7
12496,1859,5,10
14659,1859,5,14
13396,1859,5,17
13157,1859,5,21
12339,1859,5,24
12963,1859,5,28
12734,1859,5,31
13122,1859,6,4
12364,1859,6,7
13241,1859,6,11
12334,1859,6,14
12621,1859,6,18
12942,1859,6,21
11015,1859,6,25
13400,1859,6,28
13331,1859,7,2
15061,1859,7,5
12705,1859,7,9
15722,1859,7,12
13481,1859,7,16
14153,1859,7,19
13469,1859,7,23
15139,1859,7,26
12908,1859,7,30
12612,1859,8,2
13145,1859,8,6
14510,1859,8,9
12861,1859,8,13
13550,1859,8,18
12979,1859,8,20
12863,1859,8,23
14047,1859,8,27
12479,1859,8,30
12569,1859,9,3
11992,1859,9,6
11744,1859,9,10
14010,1859,9,13
12551,1859,9,17
13075,1859,9,20
12956,1859,9,24
12775,1859,9,27
11955,1859,10,1
12440,1859,10,4
12344,1859,10,8
11859,1859,10,12
11741,1859,10,16
11726,1859,10,20
10903,1859,10,23
15051,1859,10,27
12710,1859,10,30
13512,1859,11,3
12303,1859,11,6
14718,1859,11,10
13867,1859,11,13
11801,1859,11,17
13299,1859,11,20
14628,1859,11,24
14244,1859,11,27
13646,1859,12,1
12756,1859,12,4
14736,1859,12,8
13428,1859,12,11
13069,1859,12,14
13895,1859,12,18
15120,1859,12,22
19509,1859,12,25
14401,1859,12,29
14176,1860,1,1
12711,1860,1,5
13979,1860,1,8
14188,1860,1,12
13742,1860,1,15
13405,1860,1,19
12798,1860,1,22
14125,1860,1,26
12737,1860,1,29
14292,1860,2,2
12976,1860,2,5
13148,1860,2,9
12540,1860,2,12
14101,1860,2,16
12708,1860,2,19
13195,1860,2,23
12062,1860,2,26
14144,1860,3,1
12559,1860,3,4
13435,1860,3,8
14120,1860,3,11
13186,1860,3,15
14084,1860,3,18
11329,1860,3,22
12391,1860,3,25
12730,1860,3,29
11302,1860,4,1
11794,1860,4,5
10962,1860,4,8
13524,1860,4,12
13429,1860,4,15
12514,1860,4,19
13410,1860,4,22
13170,1860,4,26
13197,1860,4,29
13102,1860,5,3
11982,1860,5,6
13720,1860,5,10
12619,1860,5,13
12465,1860,5,17
9850,1860,5,20
13237,1860,5,24
12674,1860,5,27
13387,1860,5,31
13881,1860,6,3
12687,1860,6,7
13100,1860,6,10
13051,1860,6,14
12165,1860,6,17
12816,1860,6,21
12628,1860,6,24
13040,1860,6,28
13211,1860,7,1
13037,1860,7,5
13147,1860,7,8
12468,1860,7,12
12290,1860,7,15
14317,1860,7,19
11919,1860,7,22
13562,1860,7,26
10791,1860,7,29
10766,1860,8,2
12438,1860,8,5
14083,1860,8,9
13230,1860,8,12
13171,1860,8,16
12237,1860,8,19
11394,1860,8,23
12777,1860,8,26
12949,1860,8,30
11541,1860,9,2
13484,1860,9,6
11652,1860,9,9
12549,1860,9,13
12315,1860,9,16
11069,1860,9,20
12289,1860,9,23
14183,1860,9,27
11931,1860,9,30
12551,1860,10,4
11603,1860,10,7
12053,1860,10,11
11455,1860,10,14
12361,1860,10,18
11698,1860,10,21
13440,1860,10,25
12650,1860,10,28
12349,1860,11,1
11865,1860,11,4
12685,1860,11,8
12028,1860,11,11
12817,1860,11,15
12866,1860,11,18
13477,1860,11,22
11704,1860,11,25
13239,1860,11,29
12165,1860,12,2
12708,1860,12,6
14202,1860,12,9
12127,1860,12,13
12723,1860,12,16
11219,1860,12,20
11958,1860,12,23
13117,1860,12,27
11409,1860,12,30
12319,1861,1,3
12394,1861,1,6
13955,1861,1,10
13064,1861,1,13
12438,1861,1,17
13073,1861,1,20
12889,1861,1,24
12852,1861,1,27
13571,1861,1,31
12115,1861,2,3
13303,1861,2,7
13489,1861,2,10
13396,1861,2,14
12500,1861,2,17
12758,1861,2,21
14321,1861,2,24
12383,1861,2,28
12598,1861,3,3
12470,1861,3,7
13018,1861,3,10
11457,1861,3,14
13984,1861,3,17
11788,1861,3,21
13042,1861,3,24
12956,1861,3,28
13115,1861,3,31
