"first_indexation_date","count"
"2007-10",24267
"2007-11",48
"2007-12",242
"2008-01",25
"2008-02",31
"2008-03",717
"2008-04",353
"2008-05",464
"2008-06",513
"2008-07",1210
"2008-08",1718
"2008-09",4114
"2008-10",3152
"2008-11",2643
"2008-12",5182
"2009-01",1286
"2009-02",2837
"2009-03",1642
"2009-04",1426
"2009-05",4843
"2009-06",7626
"2009-07",2863
"2009-08",8508
"2009-09",6581
"2009-10",3410
"2009-11",6439
"2009-12",3547
"2010-01",3293
"2010-02",4602
"2010-03",4674
"2010-04",2516
"2010-05",3267
"2010-06",4689
"2010-07",4932
"2010-08",5862
"2010-09",2835
"2010-10",2176
"2010-11",1547
"2010-12",935
"2011-01",234
"2011-02",480
"2011-03",172
"2011-04",297
"2011-05",268
"2011-06",115
"2011-07",101
"2011-08",87
"2011-09",57
"2011-10",147
"2011-11",114
"2011-12",231
"2012-01",390
"2012-02",379
"2012-03",1943
"2012-04",1198
"2012-05",712
"2012-06",1242
"2012-07",2782
"2012-08",2309
"2012-09",709
"2012-10",6224
"2012-11",4288
"2012-12",7127
"2013-01",665
"2013-02",3897
"2013-03",4171
"2013-04",3680
"2013-05",2918
"2013-06",2094
"2013-07",1906
"2013-08",2240
"2013-09",2292
"2013-10",1380
"2013-11",1649
"2013-12",1912
"2014-01",1260
"2014-02",1371
"2014-03",1334
"2014-04",330
"2014-05",387
"2014-06",194
"2014-07",149
"2014-08",259
"2014-09",335
"2014-10",341
"2014-11",171
"2014-12",367
"2015-01",560
"2015-02",326
"2015-03",159
"2015-04",189
"2015-05",121
"2015-06",1743
"2015-07",1550
"2015-08",640
"2015-09",2799
"2015-10",3321
"2015-11",3358
"2015-12",4659
"2016-01",5882
"2016-02",2282
"2016-03",2353
"2016-04",12615
"2016-05",3429
"2016-06",11816
"2016-07",1644
"2016-08",5693
"2016-09",2522
"2016-10",1830
"2016-11",1916
"2016-12",2803
"2017-01",2092
"2017-02",1881
"2017-03",2055
"2017-04",1554
"2017-05",1560
"2017-06",630
"2017-07",1269
"2017-08",1811
"2017-09",1642
"2017-10",2497
"2017-11",2689
"2017-12",4689
"2018-01",1130
"2018-02",95
"2018-03",1121
"2018-04",222
"2018-05",2495
"2018-06",1557
"2018-07",332
"2018-08",295
"2018-09",449
"2018-10",276
"2018-11",1861
"2018-12",3800
"2019-01",8202
"2019-02",2360
"2019-03",4314
"2019-04",4267
"2019-05",1219
"2019-06",1345
"2019-07",1089
"2019-08",213
"2019-09",4024
"2019-10",1351
"2019-11",1403
"2019-12",753
"2020-01",1876
"2020-02",1258
"2020-03",4539
"2020-04",1352
"2020-05",105
"2020-06",3552
"2020-07",1220
"2020-08",469
"2020-09",3444
"2020-10",1323
"2020-11",1896
"2020-12",1534
"2021-01",1071
"2021-02",1335
"2021-03",699
