n,annee,mois,jour
24005,1904,4,18
25469,1904,4,19
25261,1904,4,20
26084,1904,4,21
27152,1904,4,22
26035,1904,4,24
25219,1904,4,25
25796,1904,4,26
25985,1904,4,27
26031,1904,4,28
26362,1904,4,29
26836,1904,4,30
25298,1904,5,1
22691,1904,5,2
24876,1904,5,3
25937,1904,5,4
25407,1904,5,5
25432,1904,5,6
26724,1904,5,7
25695,1904,5,8
23197,1904,5,9
25446,1904,5,10
25243,1904,5,11
26027,1904,5,12
24894,1904,5,13
26588,1904,5,14
26266,1904,5,15
25119,1904,5,16
25656,1904,5,17
27000,1904,5,18
26065,1904,5,19
25517,1904,5,20
26135,1904,5,21
26335,1904,5,22
25155,1904,5,23
24420,1904,5,24
25551,1904,5,25
26710,1904,5,26
25559,1904,5,27
26497,1904,5,28
26534,1904,5,29
25476,1904,5,30
25954,1904,5,31
26502,1904,6,1
26127,1904,6,2
26733,1904,6,3
26882,1904,6,4
24604,1904,6,5
25426,1904,6,6
26981,1904,6,7
25830,1904,6,8
26707,1904,6,9
28912,1904,6,10
27683,1904,6,11
25613,1904,6,12
26218,1904,6,13
26577,1904,6,14
26694,1904,6,15
26465,1904,6,16
27303,1904,6,17
26881,1904,6,18
23063,1904,6,19
25937,1904,6,20
26973,1904,6,21
27060,1904,6,22
28416,1904,6,23
28108,1904,6,24
26308,1904,6,25
26599,1904,6,26
26412,1904,6,27
26906,1904,6,28
26792,1904,6,29
26906,1904,6,30
26423,1904,7,2
26034,1904,7,3
26510,1904,7,4
26878,1904,7,5
26951,1904,7,6
26463,1904,7,7
26262,1904,7,8
26120,1904,7,9
25725,1904,7,10
25563,1904,7,11
26640,1904,7,12
27278,1904,7,13
26984,1904,7,14
26279,1904,7,15
27055,1904,7,16
24750,1904,7,17
27140,1904,7,18
27111,1904,7,19
26648,1904,7,20
26588,1904,7,21
26436,1904,7,22
26487,1904,7,23
26218,1904,7,24
26155,1904,7,25
27086,1904,7,26
26341,1904,7,27
26804,1904,7,28
26617,1904,7,29
26647,1904,7,30
26474,1904,7,31
26281,1904,8,1
26530,1904,8,2
26988,1904,8,3
25975,1904,8,4
26937,1904,8,5
26311,1904,8,6
26141,1904,8,7
26192,1904,8,8
25754,1904,8,9
26215,1904,8,10
25571,1904,8,11
26108,1904,8,12
26635,1904,8,13
24339,1904,8,14
25729,1904,8,15
25933,1904,8,16
26612,1904,8,17
25708,1904,8,18
28567,1904,8,19
26376,1904,8,20
27732,1904,8,21
25375,1904,8,22
26265,1904,8,23
26730,1904,8,24
25841,1904,8,25
26831,1904,8,26
26837,1904,8,27
26328,1904,8,28
25803,1904,8,29
27080,1904,8,30
26785,1904,8,31
26285,1904,9,1
26949,1904,9,2
26056,1904,9,3
25682,1904,9,4
26397,1904,9,5
26197,1904,9,6
26235,1904,9,7
25472,1904,9,8
25387,1904,9,9
25943,1904,9,10
25539,1904,9,11
25598,1904,9,12
25445,1904,9,13
25347,1904,9,14
25573,1904,9,15
25240,1904,9,16
25178,1904,9,17
23881,1904,9,18
25088,1904,9,19
24992,1904,9,20
26279,1904,9,21
24938,1904,9,22
26304,1904,9,23
25867,1904,9,24
24172,1904,9,25
25272,1904,9,26
25565,1904,9,27
26211,1904,9,28
26515,1904,9,29
25203,1904,9,30
24864,1904,10,1
23966,1904,10,2
25794,1904,10,3
26686,1904,10,4
26447,1904,10,5
26849,1904,10,6
26409,1904,10,7
26426,1904,10,8
26282,1904,10,9
26038,1904,10,10
25977,1904,10,11
26493,1904,10,12
27523,1904,10,13
25449,1904,10,14
26756,1904,10,15
25647,1904,10,16
25198,1904,10,17
24594,1904,10,18
27118,1904,10,19
25656,1904,10,20
25405,1904,10,21
26931,1904,10,22
25893,1904,10,23
25926,1904,10,24
25470,1904,10,25
25423,1904,10,26
27060,1904,10,27
25924,1904,10,28
27618,1904,10,29
26253,1904,10,30
23892,1904,10,31
25394,1904,11,1
24843,1904,11,2
26020,1904,11,3
26072,1904,11,4
28656,1904,11,5
20577,1904,11,6
25698,1904,11,7
25895,1904,11,8
24700,1904,11,9
26582,1904,11,10
25916,1904,11,11
25311,1904,11,12
25627,1904,11,13
25171,1904,11,14
26349,1904,11,15
26840,1904,11,16
26972,1904,11,17
25439,1904,11,18
26486,1904,11,19
25633,1904,11,20
24295,1904,11,21
25032,1904,11,22
25522,1904,11,23
25845,1904,11,24
25307,1904,11,25
25085,1904,11,26
23440,1904,11,27
25789,1904,11,28
26126,1904,11,29
28265,1904,11,30
25839,1904,12,1
27723,1904,12,2
26416,1904,12,3
24040,1904,12,4
25977,1904,12,5
26675,1904,12,6
27229,1904,12,7
26607,1904,12,8
26518,1904,12,9
26558,1904,12,10
22587,1904,12,11
25953,1904,12,12
25855,1904,12,13
26648,1904,12,14
26555,1904,12,15
26668,1904,12,16
26524,1904,12,17
25010,1904,12,18
26138,1904,12,19
25774,1904,12,20
26803,1904,12,21
26675,1904,12,22
25821,1904,12,23
25577,1904,12,24
25773,1904,12,25
26292,1904,12,26
23945,1904,12,27
26582,1904,12,28
26437,1904,12,29
25845,1904,12,30
27203,1904,12,31
26062,1905,1,1
26559,1905,1,2
26601,1905,1,3
27081,1905,1,4
25994,1905,1,5
26367,1905,1,6
26823,1905,1,7
25325,1905,1,8
25276,1905,1,9
26331,1905,1,10
25690,1905,1,11
26123,1905,1,12
25841,1905,1,13
26297,1905,1,14
27114,1905,1,15
24824,1905,1,16
25445,1905,1,17
26192,1905,1,18
24982,1905,1,19
26250,1905,1,20
25400,1905,1,21
24603,1905,1,22
21168,1905,1,23
25411,1905,1,24
26047,1905,1,25
25193,1905,1,26
25843,1905,1,27
27029,1905,1,28
22013,1905,1,29
26041,1905,1,30
26100,1905,1,31
25285,1905,2,1
26644,1905,2,2
25302,1905,2,3
27222,1905,2,4
25349,1905,2,5
22635,1905,2,6
26175,1905,2,7
27727,1905,2,8
26649,1905,2,9
26513,1905,2,10
27683,1905,2,11
25777,1905,2,12
25575,1905,2,13
26115,1905,2,14
26976,1905,2,15
25521,1905,2,16
26140,1905,2,17
25670,1905,2,18
25552,1905,2,19
26255,1905,2,20
24950,1905,2,21
25715,1905,2,22
26093,1905,2,23
26291,1905,2,24
25839,1905,2,25
22810,1905,2,26
25798,1905,2,27
25890,1905,2,28
26213,1905,3,1
26092,1905,3,2
25397,1905,3,3
25781,1905,3,4
19400,1905,3,5
24715,1905,3,6
26098,1905,3,7
26256,1905,3,8
26065,1905,3,9
25897,1905,3,10
24803,1905,3,11
21446,1905,3,12
25714,1905,3,13
26270,1905,3,14
25240,1905,3,15
25143,1905,3,16
25960,1905,3,17
25969,1905,3,18
25819,1905,3,19
25508,1905,3,20
26422,1905,3,21
26446,1905,3,22
27077,1905,3,23
27535,1905,3,24
26640,1905,3,25
19574,1905,3,26
26680,1905,3,27
43081,1905,3,28
42661,1905,3,29
42736,1905,3,30
27039,1905,3,31
25159,1905,4,1
21025,1905,4,2
25313,1905,4,3
26314,1905,4,4
26679,1905,4,5
26221,1905,4,6
26218,1905,4,7
27947,1905,4,8
26327,1905,4,9
25504,1905,4,10
27124,1905,4,11
26471,1905,4,12
25988,1905,4,13
26531,1905,4,14
26706,1905,4,15
25450,1905,4,16
25434,1905,4,17
26434,1905,4,18
27511,1905,4,19
26646,1905,4,21
28433,1905,4,22
26996,1905,4,23
25855,1905,4,24
25195,1905,4,25
26082,1905,4,26
25866,1905,4,27
23695,1905,4,28
26491,1905,4,29
22003,1905,4,30
26092,1905,5,1
26974,1905,5,2
26487,1905,5,3
26630,1905,5,4
26167,1905,5,5
26513,1905,5,6
25680,1905,5,7
26656,1905,5,8
26701,1905,5,9
25956,1905,5,10
26137,1905,5,11
26702,1905,5,12
26462,1905,5,13
26081,1905,5,14
26354,1905,5,15
26558,1905,5,16
26454,1905,5,17
26311,1905,5,18
27322,1905,5,19
27274,1905,5,20
26079,1905,5,21
26856,1905,5,22
