n,annee,mois,jour
19305,1904,4,18
20592,1904,4,19
19925,1904,4,20
20563,1904,4,21
21708,1904,4,22
20501,1904,4,24
20699,1904,4,25
20732,1904,4,26
21097,1904,4,27
21102,1904,4,28
21180,1904,4,29
21269,1904,4,30
20463,1904,5,1
16827,1904,5,2
19274,1904,5,3
20690,1904,5,4
20577,1904,5,5
20515,1904,5,6
21679,1904,5,7
20615,1904,5,8
18557,1904,5,9
20280,1904,5,10
20327,1904,5,11
21303,1904,5,12
20653,1904,5,13
21132,1904,5,14
21520,1904,5,15
20508,1904,5,16
21017,1904,5,17
21904,1904,5,18
20879,1904,5,19
20598,1904,5,20
20673,1904,5,21
21160,1904,5,22
20478,1904,5,23
20256,1904,5,24
20836,1904,5,25
21244,1904,5,26
20400,1904,5,27
21370,1904,5,28
20919,1904,5,29
20259,1904,5,30
20840,1904,5,31
21185,1904,6,1
21116,1904,6,2
21897,1904,6,3
21431,1904,6,4
19560,1904,6,5
20440,1904,6,6
21347,1904,6,7
21150,1904,6,8
21215,1904,6,9
23257,1904,6,10
22388,1904,6,11
19997,1904,6,12
21634,1904,6,13
21587,1904,6,14
21565,1904,6,15
21472,1904,6,16
22360,1904,6,17
21415,1904,6,18
18155,1904,6,19
21102,1904,6,20
21789,1904,6,21
21491,1904,6,22
23002,1904,6,23
22270,1904,6,24
21050,1904,6,25
21371,1904,6,26
21781,1904,6,27
21184,1904,6,28
21442,1904,6,29
21558,1904,6,30
21106,1904,7,2
21089,1904,7,3
21671,1904,7,4
21542,1904,7,5
21236,1904,7,6
21265,1904,7,7
21146,1904,7,8
20873,1904,7,9
20975,1904,7,10
20475,1904,7,11
21573,1904,7,12
21570,1904,7,13
21837,1904,7,14
21622,1904,7,15
21628,1904,7,16
19894,1904,7,17
22061,1904,7,18
21497,1904,7,19
21641,1904,7,20
21646,1904,7,21
20902,1904,7,22
21291,1904,7,23
21006,1904,7,24
21766,1904,7,25
21851,1904,7,26
21864,1904,7,27
21818,1904,7,28
21960,1904,7,29
21872,1904,7,30
21554,1904,7,31
21082,1904,8,1
21549,1904,8,2
21998,1904,8,3
21460,1904,8,4
22239,1904,8,5
21631,1904,8,6
21352,1904,8,7
21439,1904,8,8
20926,1904,8,9
20954,1904,8,10
20872,1904,8,11
21385,1904,8,12
21721,1904,8,13
19868,1904,8,14
21552,1904,8,15
21937,1904,8,16
20871,1904,8,17
20423,1904,8,18
23563,1904,8,19
21524,1904,8,20
22741,1904,8,21
20955,1904,8,22
21674,1904,8,23
21774,1904,8,24
21218,1904,8,25
21932,1904,8,26
21890,1904,8,27
21293,1904,8,28
21499,1904,8,29
22001,1904,8,30
21813,1904,8,31
21409,1904,9,1
21826,1904,9,2
20885,1904,9,3
21060,1904,9,4
21893,1904,9,5
21041,1904,9,6
21555,1904,9,7
20090,1904,9,8
20707,1904,9,9
20903,1904,9,10
20675,1904,9,11
21023,1904,9,12
20429,1904,9,13
20625,1904,9,14
20728,1904,9,15
20429,1904,9,16
20144,1904,9,17
19400,1904,9,18
20499,1904,9,19
20566,1904,9,20
21226,1904,9,21
19891,1904,9,22
21217,1904,9,23
20951,1904,9,24
19271,1904,9,25
20304,1904,9,26
20925,1904,9,27
21174,1904,9,28
21162,1904,9,29
20163,1904,9,30
19926,1904,10,1
19109,1904,10,2
21004,1904,10,3
21603,1904,10,4
21393,1904,10,5
21714,1904,10,6
21287,1904,10,7
21267,1904,10,8
21312,1904,10,9
21754,1904,10,10
21388,1904,10,11
21072,1904,10,12
22201,1904,10,13
20354,1904,10,14
21376,1904,10,15
20749,1904,10,16
20699,1904,10,17
19908,1904,10,18
21884,1904,10,19
20678,1904,10,20
20686,1904,10,21
21307,1904,10,22
20268,1904,10,23
20946,1904,10,24
20695,1904,10,25
20651,1904,10,26
21884,1904,10,27
21370,1904,10,28
22040,1904,10,29
21323,1904,10,30
19641,1904,10,31
20485,1904,11,1
20035,1904,11,2
21005,1904,11,3
21254,1904,11,4
23052,1904,11,5
16096,1904,11,6
20918,1904,11,7
20813,1904,11,8
20395,1904,11,9
20779,1904,11,10
21277,1904,11,11
19997,1904,11,12
20638,1904,11,13
20782,1904,11,14
21312,1904,11,15
21454,1904,11,16
21529,1904,11,17
20475,1904,11,18
21288,1904,11,19
20941,1904,11,20
19443,1904,11,21
20290,1904,11,22
20767,1904,11,23
21136,1904,11,24
20305,1904,11,25
20155,1904,11,26
18910,1904,11,27
20995,1904,11,28
21433,1904,11,29
23225,1904,11,30
21043,1904,12,1
22657,1904,12,2
21237,1904,12,3
19476,1904,12,4
20851,1904,12,5
21551,1904,12,6
21961,1904,12,7
21859,1904,12,8
21364,1904,12,9
21606,1904,12,10
18149,1904,12,11
21238,1904,12,12
21105,1904,12,13
21533,1904,12,14
21358,1904,12,15
21761,1904,12,16
21258,1904,12,17
20185,1904,12,18
21345,1904,12,19
21087,1904,12,20
21317,1904,12,21
21720,1904,12,22
21038,1904,12,23
21100,1904,12,24
21216,1904,12,25
21946,1904,12,26
19980,1904,12,27
21887,1904,12,28
21266,1904,12,29
21097,1904,12,30
21779,1904,12,31
21330,1905,1,1
22125,1905,1,2
21827,1905,1,3
21798,1905,1,4
20936,1905,1,5
21540,1905,1,6
21715,1905,1,7
20357,1905,1,8
21073,1905,1,9
21395,1905,1,10
20777,1905,1,11
21341,1905,1,12
20964,1905,1,13
21546,1905,1,14
22078,1905,1,15
20315,1905,1,16
20873,1905,1,17
21044,1905,1,18
20094,1905,1,19
21526,1905,1,20
20376,1905,1,21
20015,1905,1,22
17260,1905,1,23
20655,1905,1,24
21327,1905,1,25
20306,1905,1,26
20479,1905,1,27
21395,1905,1,28
16911,1905,1,29
20842,1905,1,30
21120,1905,1,31
20322,1905,2,1
19586,1905,2,2
20360,1905,2,3
20944,1905,2,4
19841,1905,2,5
18158,1905,2,6
20547,1905,2,7
21338,1905,2,8
21238,1905,2,9
21247,1905,2,10
22194,1905,2,11
20557,1905,2,12
20650,1905,2,13
21184,1905,2,14
21739,1905,2,15
20578,1905,2,16
21000,1905,2,17
20457,1905,2,18
20243,1905,2,19
21644,1905,2,20
20308,1905,2,21
20756,1905,2,22
21104,1905,2,23
21316,1905,2,24
21082,1905,2,25
18370,1905,2,26
20755,1905,2,27
21021,1905,2,28
21240,1905,3,1
21343,1905,3,2
20341,1905,3,3
20530,1905,3,4
16344,1905,3,5
19844,1905,3,6
21056,1905,3,7
21471,1905,3,8
20376,1905,3,9
20952,1905,3,10
19726,1905,3,11
17356,1905,3,12
20346,1905,3,13
21333,1905,3,14
19804,1905,3,15
20103,1905,3,16
21160,1905,3,17
20879,1905,3,18
20951,1905,3,19
20796,1905,3,20
21567,1905,3,21
21484,1905,3,22
21741,1905,3,23
22549,1905,3,24
21519,1905,3,25
15951,1905,3,26
21912,1905,3,27
35000,1905,3,28
34799,1905,3,29
34127,1905,3,30
22008,1905,3,31
20451,1905,4,1
17532,1905,4,2
20575,1905,4,3
21767,1905,4,4
21976,1905,4,5
21280,1905,4,6
21287,1905,4,7
23476,1905,4,8
21637,1905,4,9
20849,1905,4,10
22129,1905,4,11
21764,1905,4,12
21207,1905,4,13
21804,1905,4,14
21892,1905,4,15
20416,1905,4,16
21329,1905,4,17
21671,1905,4,18
21093,1905,4,19
21605,1905,4,21
23690,1905,4,22
22127,1905,4,23
21472,1905,4,24
20170,1905,4,25
21358,1905,4,26
21177,1905,4,27
19081,1905,4,28
21412,1905,4,29
18024,1905,4,30
20089,1905,5,1
21515,1905,5,2
21151,1905,5,3
20859,1905,5,4
20096,1905,5,5
20786,1905,5,6
20254,1905,5,7
21585,1905,5,8
21507,1905,5,9
20765,1905,5,10
20766,1905,5,11
21057,1905,5,12
21184,1905,5,13
20390,1905,5,14
21474,1905,5,15
20708,1905,5,16
21141,1905,5,17
20555,1905,5,18
21336,1905,5,19
21465,1905,5,20
21259,1905,5,21
21460,1905,5,22
22023,1905,5,23
22322,1905,5,24
21434,1905,5,25
21294,1905,5,26
18352,1905,5,27
21003,1905,5,28
34287,1905,5,29
20912,1905,5,30
21149,1905,5,31
20311,1905,6,1
19765,1905,6,2
20275,1905,6,3
18467,1905,6,4
21408,1905,6,5
20459,1905,6,6
21800,1905,6,7
21742,1905,6,8
20920,1905,6,9
20468,1905,6,10
21465,1905,6,11
21339,1905,6,12
22662,1905,6,13
21596,1905,6,14
20549,1905,6,15
20910,1905,6,16
20379,1905,6,17
19468,1905,6,18
21318,1905,6,19
20047,1905,6,20
20791,1905,6,21
20394,1905,6,22
20591,1905,6,23
20874,1905,6,24
17764,1905,6,25
20841,1905,6,26
20992,1905,6,27
20733,1905,6,28
20473,1905,6,29
19206,1905,6,30
20253,1905,7,2
21419,1905,7,3
20587,1905,7,4
20241,1905,7,5
20874,1905,7,6
20752,1905,7,7
21209,1905,7,8
19282,1905,7,9
20084,1905,7,10
21120,1905,7,11
20882,1905,7,12
21664,1905,7,13
20599,1905,7,14
21184,1905,7,15
