n,annee,mois,jour
1955,1789,8,29
2404,1789,8,31
2208,1789,9,1
2421,1789,9,2
4065,1789,9,3
1855,1789,9,5
2412,1789,9,7
1205,1789,9,9
1736,1789,9,10
1015,1789,9,11
2526,1789,9,12
1835,1789,9,14
1566,1789,9,15
881,1789,9,16
1712,1789,9,17
1997,1789,9,18
1486,1789,9,19
2367,1789,9,21
916,1789,9,22
2032,1789,9,23
2485,1789,9,24
2522,1789,9,25
1049,1789,9,26
2375,1789,9,28
2094,1789,9,29
2834,1789,9,30
1924,1789,10,1
2035,1789,10,2
2147,1789,10,3
2938,1789,10,5
986,1789,10,6
1388,1789,10,8
1999,1789,10,9
2018,1789,10,10
1859,1789,10,12
2164,1789,10,13
2112,1789,10,14
1172,1789,10,15
1181,1789,10,19
1637,1789,10,20
3478,1789,10,21
1612,1789,10,22
1914,1789,10,23
1610,1789,10,24
1695,1789,10,26
1766,1789,10,27
2003,1789,10,28
2282,1789,10,29
2204,1789,10,30
1770,1789,10,31
1457,1789,11,2
1683,1789,11,3
2124,1789,11,4
2968,1789,11,5
2009,1789,11,6
1916,1789,11,7
2956,1789,11,9
1846,1789,11,10
1946,1789,11,11
2061,1789,11,12
2134,1789,11,13
1801,1789,11,14
1812,1789,11,16
4404,1789,11,17
1282,1789,11,18
4035,1789,11,19
4648,1789,11,21
5937,1789,11,24
5170,1789,11,26
6233,1789,11,28
5388,1789,12,1
4531,1789,12,3
3414,1789,12,5
2651,1789,12,7
2070,1789,12,9
6103,1789,12,10
6250,1789,12,12
4350,1789,12,15
5299,1789,12,17
2070,1789,12,19
1699,1789,12,21
3911,1789,12,22
5618,1789,12,24
3282,1789,12,28
4395,1789,12,29
1854,1789,12,31
1534,1790,1,1
3996,1790,1,2
2630,1790,1,4
1660,1790,1,5
3976,1790,1,7
1865,1790,1,9
886,1790,1,11
1780,1790,1,12
1285,1790,1,13
2103,1790,1,14
1559,1790,1,15
3769,1790,1,16
2308,1790,1,19
1728,1790,1,20
3456,1790,1,21
2612,1790,1,22
3845,1790,1,23
4465,1790,1,26
2666,1790,1,28
2235,1790,1,29
3007,1790,1,30
1754,1790,2,2
2325,1790,2,3
1391,1790,2,4
1719,1790,2,5
3859,1790,2,6
2305,1790,2,7
3902,1790,2,9
3986,1790,2,11
1518,1790,2,13
1685,1790,2,15
2196,1790,2,16
756,1790,2,17
2894,1790,2,18
4637,1790,2,20
1567,1790,2,23
1182,1790,2,24
4398,1790,2,25
3434,1790,2,27
2050,1790,3,1
1520,1790,3,2
1342,1790,3,3
3203,1790,3,4
1867,1790,3,5
2281,1790,3,6
1240,1790,3,7
1755,1790,3,8
2345,1790,3,9
1402,1790,3,10
3168,1790,3,11
689,1790,3,12
2994,1790,3,13
960,1790,3,14
1341,1790,3,15
