n,annee,mois,jour
23602,1869,1,1
24448,1869,1,2
21928,1869,1,4
25560,1869,1,5
25242,1869,1,6
24074,1869,1,7
25755,1869,1,8
23574,1869,1,9
25960,1869,1,10
23210,1869,1,11
21632,1869,1,12
24955,1869,1,13
25828,1869,1,14
24176,1869,1,15
26115,1869,1,16
25715,1869,1,17
22920,1869,1,18
24034,1869,1,19
24243,1869,1,20
26182,1869,1,21
29294,1869,1,22
28204,1869,1,23
42402,1869,1,24
25147,1869,1,25
26155,1869,1,26
59430,1869,1,27
60512,1869,1,28
24976,1869,1,29
62285,1869,1,30
25028,1869,1,31
23250,1869,2,1
29177,1869,2,2
27546,1869,2,3
27605,1869,2,4
29377,1869,2,5
29337,1869,2,6
28642,1869,2,7
25812,1869,2,8
29092,1869,2,9
29487,1869,2,10
26290,1869,2,11
26555,1869,2,12
26419,1869,2,13
24699,1869,2,14
22506,1869,2,15
22331,1869,2,16
23385,1869,2,17
24822,1869,2,18
25575,1869,2,19
64915,1869,2,20
26957,1869,2,21
24953,1869,2,22
32465,1869,2,23
46176,1869,2,24
43899,1869,2,25
43855,1869,2,26
45848,1869,2,27
21760,1869,2,28
24638,1869,3,1
23746,1869,3,2
44507,1869,3,3
61049,1869,3,4
43350,1869,3,5
61827,1869,3,6
60286,1869,3,7
27283,1869,3,8
26540,1869,3,9
63846,1869,3,10
40802,1869,3,11
21515,1869,3,12
64073,1869,3,13
60784,1869,3,14
23036,1869,3,15
37902,1869,3,16
44152,1869,3,17
62350,1869,3,18
43699,1869,3,19
29599,1869,3,20
63106,1869,3,21
20128,1869,3,22
62535,1869,3,23
26827,1869,3,24
25493,1869,3,25
27923,1869,3,26
26539,1869,3,27
24910,1869,3,28
38648,1869,3,29
27002,1869,3,31
60850,1869,4,1
45118,1869,4,2
64899,1869,4,3
59978,1869,4,4
21269,1869,4,5
47227,1869,4,6
61950,1869,4,7
46400,1869,4,8
59615,1869,4,9
64711,1869,4,10
62927,1869,4,11
27029,1869,4,12
62502,1869,4,13
67598,1869,4,14
66658,1869,4,15
62780,1869,4,16
64786,1869,4,17
63797,1869,4,18
23574,1869,4,19
58039,1869,4,20
73003,1869,4,21
61474,1869,4,22
61397,1869,4,23
98592,1869,4,24
60275,1869,4,25
27536,1869,4,26
79647,1869,4,27
43238,1869,4,28
63217,1869,4,29
42492,1869,4,30
61670,1869,5,1
27237,1869,5,2
29799,1869,5,3
31114,1869,5,4
29361,1869,5,5
32787,1869,5,6
26900,1869,5,7
26973,1869,5,9
27736,1869,5,10
25233,1869,5,11
26504,1869,5,12
26134,1869,5,13
24113,1869,5,14
24380,1869,5,15
26457,1869,5,16
24503,1869,5,17
24816,1869,5,19
