n,annee,mois,jour
13735,1836,6,15
15152,1836,7,1
14484,1836,7,2
14258,1836,7,3
15740,1836,7,5
15595,1836,7,6
15700,1836,7,7
16798,1836,7,8
15117,1836,7,9
13349,1836,7,10
15392,1836,7,12
14638,1836,7,13
15519,1836,7,14
16007,1836,7,15
15182,1836,7,16
15676,1836,7,17
15274,1836,7,19
15536,1836,7,20
16574,1836,7,21
14787,1836,7,22
16706,1836,7,23
16605,1836,7,24
16220,1836,7,26
16644,1836,7,27
16043,1836,7,28
16125,1836,7,29
15650,1836,7,30
16093,1836,7,31
17029,1836,8,2
16131,1836,8,3
15877,1836,8,4
16640,1836,8,5
15692,1836,8,6
15874,1836,8,7
28528,1836,8,9
16323,1836,8,10
16121,1836,8,11
14128,1836,8,12
16172,1836,8,13
16182,1836,8,14
14722,1836,8,16
15143,1836,8,17
14887,1836,8,18
15231,1836,8,19
15381,1836,8,20
14244,1836,8,21
16262,1836,8,23
13810,1836,8,24
13800,1836,8,25
15096,1836,8,26
14901,1836,8,27
14400,1836,8,28
16603,1836,8,30
15137,1836,8,31
15375,1836,9,1
14682,1836,9,2
16025,1836,9,3
15463,1836,9,4
14547,1836,9,6
16160,1836,9,7
15797,1836,9,8
15099,1836,9,9
14539,1836,9,10
16392,1836,9,11
15706,1836,9,13
16380,1836,9,14
14440,1836,9,15
15220,1836,9,16
15311,1836,9,17
14598,1836,9,18
14284,1836,9,20
14918,1836,9,21
14497,1836,9,22
15072,1836,9,23
12800,1836,9,24
15069,1836,9,25
16114,1836,9,26
15816,1836,9,27
13002,1836,9,28
15157,1836,9,29
14741,1836,9,30
15923,1836,10,1
14770,1836,10,2
14923,1836,10,3
16071,1836,10,4
14455,1836,10,5
15140,1836,10,6
15294,1836,10,7
15386,1836,10,8
14928,1836,10,9
14031,1836,10,10
15025,1836,10,11
14192,1836,10,12
14321,1836,10,13
15910,1836,10,14
14874,1836,10,15
15884,1836,10,16
15433,1836,10,17
14325,1836,10,18
12751,1836,10,19
14723,1836,10,20
14903,1836,10,21
15383,1836,10,22
15834,1836,10,23
14093,1836,10,24
14245,1836,10,25
14817,1836,10,26
15286,1836,10,27
14467,1836,10,28
13795,1836,10,29
14208,1836,10,30
13753,1836,10,31
15065,1836,11,1
14023,1836,11,2
15481,1836,11,3
15516,1836,11,4
14565,1836,11,5
14702,1836,11,6
14269,1836,11,7
14552,1836,11,8
13679,1836,11,9
14574,1836,11,10
14797,1836,11,11
13999,1836,11,12
15149,1836,11,13
13810,1836,11,14
15314,1836,11,15
13554,1836,11,16
14387,1836,11,17
13026,1836,11,18
13746,1836,11,19
14585,1836,11,20
14805,1836,11,21
14014,1836,11,22
14123,1836,11,23
14522,1836,11,24
14436,1836,11,25
12812,1836,11,26
13057,1836,11,27
14939,1836,11,28
13098,1836,11,29
14598,1836,11,30
14319,1836,12,1
15271,1836,12,2
13658,1836,12,3
14505,1836,12,4
14117,1836,12,5
14019,1836,12,6
15238,1836,12,7
14591,1836,12,8
21712,1836,12,9
13969,1836,12,10
12212,1836,12,11
14132,1836,12,12
13985,1836,12,13
12459,1836,12,14
12987,1836,12,15
13129,1836,12,16
15797,1836,12,17
13417,1836,12,18
15176,1836,12,19
11573,1836,12,20
13596,1836,12,21
13694,1836,12,22
15408,1836,12,23
14875,1836,12,24
13994,1836,12,25
12837,1836,12,26
14626,1836,12,27
12806,1836,12,28
14651,1836,12,29
14264,1836,12,30
14673,1836,12,31
13446,1837,1,1
15283,1837,1,3
15576,1837,1,4
17106,1837,1,5
14080,1837,1,6
14791,1837,1,7
15371,1837,1,8
15276,1837,1,9
15746,1837,1,11
13626,1837,1,12
15696,1837,1,13
16289,1837,1,14
16454,1837,1,15
14246,1837,1,16
29750,1837,1,17
15989,1837,1,18
22137,1837,1,19
15872,1837,1,20
15817,1837,1,21
13799,1837,1,22
13936,1837,1,23
14044,1837,1,24
14772,1837,1,25
14798,1837,1,26
14758,1837,1,27
13965,1837,1,28
13960,1837,1,29
13453,1837,1,30
14968,1837,1,31
13996,1837,2,1
15151,1837,2,2
13961,1837,2,3
14154,1837,2,4
12968,1837,2,5
14529,1837,2,6
14974,1837,2,7
14833,1837,2,8
15423,1837,2,9
15337,1837,2,10
15344,1837,2,11
15364,1837,2,12
13848,1837,2,13
14800,1837,2,14
14193,1837,2,15
16191,1837,2,16
16199,1837,2,17
16661,1837,2,18
16099,1837,2,19
15102,1837,2,20
16436,1837,2,21
15888,1837,2,22
15331,1837,2,23
15627,1837,2,24
14880,1837,2,25
15540,1837,2,26
14294,1837,2,27
15197,1837,2,28
16816,1837,3,1
14844,1837,3,2
16841,1837,3,3
15873,1837,3,4
17072,1837,3,5
15197,1837,3,6
16289,1837,3,7
15988,1837,3,8
14870,1837,3,9
15306,1837,3,10
15113,1837,3,11
12875,1837,3,12
14541,1837,3,13
14417,1837,3,14
14414,1837,3,15
14065,1837,3,16
13757,1837,3,17
13657,1837,3,18
14907,1837,3,19
15611,1837,3,20
13858,1837,3,21
15265,1837,3,22
16372,1837,3,23
15007,1837,3,24
14411,1837,3,25
14492,1837,3,26
13897,1837,3,28
15370,1837,3,29
14727,1837,3,30
25646,1837,3,31
15386,1837,4,1
13863,1837,4,2
14784,1837,4,3
14947,1837,4,4
15204,1837,4,5
13615,1837,4,6
14899,1837,4,7
15233,1837,4,8
15132,1837,4,9
14819,1837,4,10
15142,1837,4,11
15932,1837,4,12
14647,1837,4,13
14345,1837,4,14
15340,1837,4,15
15536,1837,4,16
13381,1837,4,17
13901,1837,4,18
