n,annee,mois
11346,2004,12
591,2005,4
1323,2005,5
748,2005,6
974,2005,7
1759,2005,8
12669,2005,9
48291,2005,10
57379,2005,11
70884,2005,12
166737,2006,1
1798075,2006,2
1634065,2006,3
1589740,2006,4
1765974,2006,5
1809918,2006,6
1416877,2006,7
1230648,2006,8
1681258,2006,9
1761410,2006,10
1804154,2006,11
1650519,2006,12
2000968,2007,1
1695702,2007,2
2275594,2007,3
2170527,2007,4
2844722,2007,5
2689522,2007,6
2153529,2007,7
2397833,2007,8
3611650,2007,9
3340803,2007,10
3215476,2007,11
2641307,2007,12
3072045,2008,1
3254747,2008,2
3261040,2008,3
3141837,2008,4
3108493,2008,5
3218916,2008,6
2804085,2008,7
2895942,2008,8
3158878,2008,9
3769309,2008,10
3452651,2008,11
3088471,2008,12
3803529,2009,1
3557544,2009,2
3890226,2009,3
3791211,2009,4
3511614,2009,5
3837350,2009,6
3364294,2009,7
2834257,2009,8
3406119,2009,9
3646947,2009,10
3424819,2009,11
3470016,2009,12
4052091,2010,1
3997884,2010,2
4234812,2010,3
4077110,2010,4
3674303,2010,5
3752485,2010,6
3297816,2010,7
3122870,2010,8
3558301,2010,9
3679671,2010,10
3625401,2010,11
3337630,2010,12
3819343,2011,1
3474978,2011,2
4137399,2011,3
3506252,2011,4
3944181,2011,5
3606553,2011,6
3512010,2011,7
3198169,2011,8
3813338,2011,9
3855182,2011,10
3804609,2011,11
3277928,2011,12
3823157,2012,1
3487789,2012,2
3968017,2012,3
3717276,2012,4
3783463,2012,5
3749965,2012,6
3431572,2012,7
2975183,2012,8
3400004,2012,9
3888478,2012,10
3668416,2012,11
3298216,2012,12
3602054,2013,1
3541294,2013,2
3625629,2013,3
3672446,2013,4
3589225,2013,5
3491963,2013,6
3183826,2013,7
2968086,2013,8
3451280,2013,9
3759095,2013,10
3579553,2013,11
3250022,2013,12
3559996,2014,1
3372728,2014,2
3738212,2014,3
3646617,2014,4
3461784,2014,5
3611793,2014,6
3548142,2014,7
3120891,2014,8
3641625,2014,9
3929208,2014,10
3753563,2014,11
3675366,2014,12
3929783,2015,1
3616399,2015,2
4046729,2015,3
3731171,2015,4
3708555,2015,5
3978230,2015,6
3377493,2015,7
3126156,2015,8
3956966,2015,9
3785447,2015,10
3657080,2015,11
3397901,2015,12
3682867,2016,1
3803442,2016,2
3876459,2016,3
3797832,2016,4
3813445,2016,5
4127413,2016,6
3432927,2016,7
3457642,2016,8
4045460,2016,9
3949202,2016,10
4120470,2016,11
3702173,2016,12
4045795,2017,1
3600734,2017,2
4281304,2017,3
3800163,2017,4
4060273,2017,5
4112404,2017,6
3645726,2017,7
3310852,2017,8
3819456,2017,9
4138661,2017,10
3990080,2017,11
3551965,2017,12
4088470,2018,1
3830924,2018,2
4188457,2018,3
3846534,2018,4
4055370,2018,5
4337630,2018,6
4006798,2018,7
3307513,2018,8
4042428,2018,9
4396081,2018,10
4243815,2018,11
3598394,2018,12
4355648,2019,1
4229560,2019,2
4627925,2019,3
4379689,2019,4
4489821,2019,5
4271423,2019,6
3811719,2019,7
3091925,2019,8
4269530,2019,9
4423504,2019,10
4088317,2019,11
3580938,2019,12
4162121,2020,1
3896958,2020,2
4117842,2020,3
4017354,2020,4
4029663,2020,5
4216199,2020,6
3959592,2020,7
3197963,2020,8
4452030,2020,9
4585482,2020,10
4539954,2020,11
4236295,2020,12
4228942,2021,1
3917825,2021,2
4534154,2021,3
4282715,2021,4
4211756,2021,5
4426416,2021,6
3888125,2021,7
3263058,2021,8
4376173,2021,9
4540646,2021,10
4372861,2021,11
3967126,2021,12
4408543,2022,1
4277643,2022,2
4706776,2022,3
4217427,2022,4
4303229,2022,5
4234185,2022,6
3766602,2022,7
3432762,2022,8
4370559,2022,9
4280009,2022,10
4176705,2022,11
3758371,2022,12
4184506,2023,1
4167744,2023,2
4604779,2023,3
3956761,2023,4
4243750,2023,5
4253998,2023,6
3561309,2023,7
3382215,2023,8
4242552,2023,9
4357064,2023,10
4215452,2023,11
3816571,2023,12
4318646,2024,1
4242367,2024,2
