n,annee,mois,jour
8650,1944,12,19
9454,1944,12,20
9699,1944,12,21
9632,1944,12,22
10095,1944,12,23
9836,1944,12,25
10589,1944,12,26
9094,1944,12,27
9136,1944,12,28
9906,1944,12,29
9838,1944,12,30
10087,1945,1,1
10561,1945,1,2
9649,1945,1,3
9636,1945,1,4
8887,1945,1,5
9123,1945,1,6
9098,1945,1,7
9523,1945,1,9
9844,1945,1,10
9705,1945,1,11
8375,1945,1,12
8247,1945,1,13
9643,1945,1,14
5208,1945,1,16
5014,1945,1,17
4835,1945,1,18
5639,1945,1,19
5196,1945,1,20
4932,1945,1,22
5253,1945,1,23
8861,1945,1,24
9055,1945,1,25
9020,1945,1,26
8963,1945,1,27
10466,1945,1,29
8048,1945,1,30
8014,1945,1,31
8522,1945,2,1
8069,1945,2,2
8334,1945,2,3
11224,1945,2,5
8004,1945,2,6
8608,1945,2,7
8808,1945,2,8
8807,1945,2,9
8657,1945,2,10
9436,1945,2,12
9215,1945,2,13
9027,1945,2,14
8555,1945,2,15
8657,1945,2,16
8909,1945,2,17
9973,1945,2,19
8828,1945,2,20
9451,1945,2,21
8837,1945,2,22
9003,1945,2,23
8819,1945,2,24
9651,1945,2,26
9127,1945,2,27
9365,1945,2,28
9434,1945,3,1
8739,1945,3,2
8317,1945,3,3
20875,1945,3,5
8638,1945,3,6
9176,1945,3,7
8389,1945,3,8
8927,1945,3,9
8649,1945,3,10
10590,1945,3,12
8655,1945,3,13
8341,1945,3,14
8668,1945,3,15
9179,1945,3,16
8822,1945,3,17
10231,1945,3,19
8664,1945,3,20
8135,1945,3,21
8409,1945,3,22
8137,1945,3,23
8986,1945,3,24
9481,1945,3,26
8106,1945,3,27
8569,1945,3,28
8593,1945,3,29
8752,1945,3,30
23704,1945,3,31
11535,1945,4,2
10812,1945,4,3
9763,1945,4,4
7823,1945,4,5
8834,1945,4,6
9026,1945,4,7
9288,1945,4,9
8367,1945,4,10
9135,1945,4,11
8353,1945,4,12
8008,1945,4,13
21472,1945,4,14
8469,1945,4,16
9583,1945,4,17
8652,1945,4,18
8679,1945,4,19
8979,1945,4,20
8269,1945,4,21
9486,1945,4,23
22053,1945,4,24
8915,1945,4,25
8215,1945,4,26
9017,1945,4,27
8646,1945,4,28
10128,1945,4,30
13967,1945,5,2
8212,1945,5,3
20279,1945,5,4
7833,1945,5,5
9587,1945,5,7
7875,1945,5,8
19216,1945,5,9
10045,1945,5,10
9990,1945,5,11
8749,1945,5,12
10251,1945,5,14
15826,1945,5,15
8119,1945,5,16
9714,1945,5,17
8602,1945,5,18
8428,1945,5,19
10261,1945,5,21
9410,1945,5,22
8463,1945,5,23
8858,1945,5,24
8494,1945,5,25
19436,1945,5,26
8310,1945,5,28
8973,1945,5,29
8608,1945,5,30
9298,1945,5,31
8691,1945,6,1
8275,1945,6,2
9813,1945,6,4
21462,1945,6,5
9894,1945,6,6
21492,1945,6,7
8662,1945,6,8
8490,1945,6,9
10010,1945,6,11
9059,1945,6,12
8433,1945,6,13
8474,1945,6,14
8085,1945,6,15
9405,1945,6,16
8957,1945,6,18
21499,1945,6,19
9142,1945,6,20
20544,1945,6,21
8460,1945,6,22
8946,1945,6,23
8911,1945,6,25
8400,1945,6,26
8997,1945,6,27
18774,1945,6,28
8113,1945,6,29
8436,1945,6,30
9048,1945,7,2
20508,1945,7,3
8641,1945,7,4
7803,1945,7,5
7934,1945,7,6
8297,1945,7,7
9937,1945,7,9
8135,1945,7,10
7896,1945,7,11
18803,1945,7,12
7843,1945,7,13
19333,1945,7,14
11639,1945,7,16
21064,1945,7,17
8317,1945,7,18
7748,1945,7,19
9025,1945,7,20
8914,1945,7,21
10672,1945,7,23
20928,1945,7,24
10863,1945,7,25
6636,1945,7,26
9722,1945,7,27
20587,1945,7,28
12495,1945,7,29
10918,1945,7,30
22096,1945,7,31
10236,1945,8,1
10168,1945,8,2
10854,1945,8,3
19662,1945,8,4
7399,1945,8,6
9481,1945,8,7
20575,1945,8,8
9757,1945,8,9
9084,1945,8,10
4788,1945,8,11
22191,1945,8,13
24601,1945,8,14
9801,1945,8,15
12748,1945,8,16
9448,1945,8,17
8982,1945,8,18
9494,1945,8,20
11978,1945,8,21
9251,1945,8,22
9067,1945,8,23
9371,1945,8,24
22480,1945,8,25
9671,1945,8,27
9273,1945,8,28
9257,1945,8,29
8616,1945,8,30
9023,1945,8,31
20241,1945,9,1
9822,1945,9,3
8183,1945,9,4
8777,1945,9,5
21057,1945,9,6
8855,1945,9,7
20848,1945,9,8
9166,1945,9,10
8761,1945,9,11
21330,1945,9,12
8278,1945,9,13
8756,1945,9,14
20097,1945,9,15
9080,1945,9,17
8492,1945,9,18
21203,1945,9,19
8232,1945,9,20
8370,1945,9,21
20305,1945,9,22
9483,1945,9,24
7603,1945,9,25
8100,1945,9,26
20387,1945,9,27
8866,1945,9,28
20417,1945,9,29
8521,1945,10,1
9838,1945,10,2
8448,1945,10,3
20270,1945,10,4
9400,1945,10,5
18590,1945,10,6
8842,1945,10,8
9056,1945,10,9
20286,1945,10,10
9131,1945,10,11
8464,1945,10,12
17876,1945,10,13
21239,1945,10,15
8647,1945,10,16
20304,1945,10,17
8026,1945,10,18
8253,1945,10,19
19310,1945,10,20
8263,1945,10,22
4944,1945,10,23
16458,1945,10,24
8394,1945,10,25
8137,1945,10,26
18725,1945,10,27
8382,1945,10,29
19551,1945,10,30
7921,1945,10,31
17887,1945,11,1
9463,1945,11,2
19470,1945,11,3
8001,1945,11,5
20013,1945,11,6
8154,1945,11,7
18542,1945,11,8
8530,1945,11,9
18767,1945,11,10
8135,1945,11,12
19214,1945,11,13
8501,1945,11,14
19216,1945,11,15
8043,1945,11,16
18511,1945,11,17
8068,1945,11,19
20471,1945,11,20
7838,1945,11,21
18399,1945,11,22
8044,1945,11,23
20098,1945,11,24
18241,1945,11,26
20312,1945,11,27
7913,1945,11,28
19279,1945,11,29
7946,1945,11,30
18953,1945,12,1
7894,1945,12,3
20295,1945,12,4
8197,1945,12,5
18851,1945,12,6
8136,1945,12,7
18758,1945,12,8
7467,1945,12,10
19005,1945,12,11
19746,1945,12,12
17349,1945,12,13
7646,1945,12,14
18616,1945,12,15
7942,1945,12,17
18743,1945,12,18
8378,1945,12,19
17767,1945,12,20
8204,1945,12,21
18310,1945,12,22
17763,1945,12,24
19461,1945,12,25
10251,1945,12,26
19348,1945,12,27
20902,1945,12,28
19839,1945,12,29
19572,1945,12,31
21824,1946,1,1
10656,1946,1,2
20181,1946,1,3
8565,1946,1,4
19375,1946,1,5
8337,1946,1,7
21322,1946,1,8
8480,1946,1,9
18259,1946,1,10
8239,1946,1,11
19427,1946,1,12
8151,1946,1,14
19775,1946,1,15
7364,1946,1,16
17984,1946,1,17
20278,1946,1,18
18587,1946,1,19
8566,1946,1,21
19060,1946,1,22
8746,1946,1,23
17960,1946,1,24
7855,1946,1,25
18233,1946,1,26
18635,1946,2,2
19873,1946,2,4
20007,1946,2,5
18576,1946,2,6
19023,1946,2,7
8038,1946,2,8
18803,1946,2,9
8311,1946,2,11
19792,1946,2,12
8067,1946,2,13
18820,1946,2,14
8008,1946,2,15
18333,1946,2,16
