n,annee,mois,rubrique
9987,1944,12,culture
6932,1944,12,inclassable
50358,1944,12,international
32242,1944,12,politique
477,1944,12,science/technologie
3283,1944,12,"société"
153,1944,12,sport
5325,1944,12,"économie"
19884,1945,1,culture
17604,1945,1,inclassable
113403,1945,1,international
53506,1945,1,politique
1322,1945,1,science/technologie
6947,1945,1,"société"
789,1945,1,sport
13737,1945,1,"économie"
21414,1945,2,culture
17095,1945,2,inclassable
117523,1945,2,international
41683,1945,2,politique
2550,1945,2,science/technologie
8443,1945,2,"société"
1128,1945,2,sport
11851,1945,2,"économie"
24183,1945,3,culture
16840,1945,3,inclassable
127309,1945,3,international
77180,1945,3,politique
1177,1945,3,science/technologie
7766,1945,3,"société"
1439,1945,3,sport
16421,1945,3,"économie"
16228,1945,4,culture
19755,1945,4,inclassable
157219,1945,4,international
44607,1945,4,politique
964,1945,4,science/technologie
8781,1945,4,"société"
2250,1945,4,sport
9555,1945,4,"économie"
25966,1945,5,culture
14262,1945,5,inclassable
170337,1945,5,international
48396,1945,5,politique
147,1945,5,science/technologie
8110,1945,5,"société"
2811,1945,5,sport
14004,1945,5,"économie"
22817,1945,6,culture
20159,1945,6,inclassable
167978,1945,6,international
58181,1945,6,politique
1126,1945,6,science/technologie
9903,1945,6,"société"
1938,1945,6,sport
14493,1945,6,"économie"
38380,1945,7,culture
12863,1945,7,inclassable
146855,1945,7,international
100513,1945,7,politique
2556,1945,7,science/technologie
14217,1945,7,"société"
1587,1945,7,sport
17970,1945,7,"économie"
19317,1945,8,culture
11203,1945,8,inclassable
135907,1945,8,international
124923,1945,8,politique
6481,1945,8,science/technologie
14282,1945,8,"société"
1640,1945,8,sport
11950,1945,8,"économie"
42093,1945,9,culture
19025,1945,9,inclassable
154650,1945,9,international
65166,1945,9,politique
3037,1945,9,science/technologie
26392,1945,9,"société"
3912,1945,9,sport
18434,1945,9,"économie"
42792,1945,10,culture
19021,1945,10,inclassable
134732,1945,10,international
95036,1945,10,politique
5961,1945,10,science/technologie
23706,1945,10,"société"
3532,1945,10,sport
19485,1945,10,"économie"
54496,1945,11,culture
19562,1945,11,inclassable
154911,1945,11,international
98617,1945,11,politique
3605,1945,11,science/technologie
22704,1945,11,"société"
5219,1945,11,sport
17218,1945,11,"économie"
54064,1945,12,culture
14223,1945,12,inclassable
165479,1945,12,international
101493,1945,12,politique
7442,1945,12,science/technologie
24384,1945,12,"société"
8286,1945,12,sport
33091,1945,12,"économie"
43928,1946,1,culture
15683,1946,1,inclassable
130111,1946,1,international
94089,1946,1,politique
4032,1946,1,science/technologie
19585,1946,1,"société"
6098,1946,1,sport
34148,1946,1,"économie"
51262,1946,2,culture
11990,1946,2,inclassable
136687,1946,2,international
91542,1946,2,politique
5901,1946,2,science/technologie
16407,1946,2,"société"
7751,1946,2,sport
29275,1946,2,"économie"
42646,1946,3,culture
14248,1946,3,inclassable
156106,1946,3,international
101348,1946,3,politique
3929,1946,3,science/technologie
20358,1946,3,"société"
7790,1946,3,sport
21692,1946,3,"économie"
37836,1946,4,culture
11123,1946,4,inclassable
140801,1946,4,international
126916,1946,4,politique
7076,1946,4,science/technologie
15585,1946,4,"société"
7891,1946,4,sport
22680,1946,4,"économie"
45584,1946,5,culture
12820,1946,5,inclassable
163984,1946,5,international
92438,1946,5,politique
6063,1946,5,science/technologie
20898,1946,5,"société"
9285,1946,5,sport
20071,1946,5,"économie"
60963,1946,6,culture
14818,1946,6,inclassable
149806,1946,6,international
95891,1946,6,politique
5471,1946,6,science/technologie
22868,1946,6,"société"
15267,1946,6,sport
27149,1946,6,"économie"
63806,1946,7,culture
20828,1946,7,inclassable
188929,1946,7,international
131077,1946,7,politique
9056,1946,7,science/technologie
33193,1946,7,"société"
21919,1946,7,sport
51021,1946,7,"économie"
55167,1946,8,culture
28096,1946,8,inclassable
246375,1946,8,international
134311,1946,8,politique
7769,1946,8,science/technologie
41203,1946,8,"société"
18087,1946,8,sport
37206,1946,8,"économie"
45631,1946,9,culture
43331,1946,9,inclassable
182078,1946,9,international
143052,1946,9,politique
1614,1946,9,science/technologie
19128,1946,9,"société"
13614,1946,9,sport
28139,1946,9,"économie"
62068,1946,10,culture
15114,1946,10,inclassable
188533,1946,10,international
139329,1946,10,politique
8009,1946,10,science/technologie
26454,1946,10,"société"
14403,1946,10,sport
32669,1946,10,"économie"
54674,1946,11,culture
21695,1946,11,inclassable
167993,1946,11,international
117655,1946,11,politique
7445,1946,11,science/technologie
29266,1946,11,"société"
11156,1946,11,sport
34846,1946,11,"économie"
60314,1946,12,culture
15628,1946,12,inclassable
173056,1946,12,international
108992,1946,12,politique
6779,1946,12,science/technologie
28465,1946,12,"société"
13463,1946,12,sport
38848,1946,12,"économie"
47758,1947,1,culture
10635,1947,1,inclassable
135845,1947,1,international
115110,1947,1,politique
3468,1947,1,science/technologie
20299,1947,1,"société"
10588,1947,1,sport
45432,1947,1,"économie"
23196,1947,2,culture
8008,1947,2,inclassable
82615,1947,2,international
