n,annee,mois
249006,2000,10
2145372,2000,11
1930371,2000,12
2201623,2001,1
2109944,2001,2
2079704,2001,3
1614700,2001,4
1890527,2001,5
1770037,2001,6
1801026,2001,7
1551232,2001,8
1970289,2001,9
2295223,2001,10
2198031,2001,11
2111901,2001,12
2106909,2002,1
2012872,2002,2
2216973,2002,3
2016082,2002,4
2220339,2002,5
2163599,2002,6
1911897,2002,7
1541004,2002,8
2116542,2002,9
2265294,2002,10
1853473,2002,11
1752009,2002,12
1864121,2003,1
1760753,2003,2
1995252,2003,3
1765541,2003,4
1828719,2003,5
1697496,2003,6
1570016,2003,7
1461827,2003,8
1682405,2003,9
1925263,2003,10
1807127,2003,11
1771266,2003,12
1740251,2004,1
1788557,2004,2
1929963,2004,3
1737685,2004,4
1818711,2004,5
1698829,2004,6
1489791,2004,7
1453019,2004,8
1668651,2004,9
1784451,2004,10
1872208,2004,11
1766823,2004,12
1828290,2005,1
1689433,2005,2
1845656,2005,3
1935195,2005,4
1915716,2005,5
1801477,2005,6
1637950,2005,7
1456297,2005,8
1895189,2005,9
1880557,2005,10
1892795,2005,11
1809245,2005,12
1940277,2006,1
1755217,2006,2
1859689,2006,3
1673236,2006,4
1955919,2006,5
1800119,2006,6
1505591,2006,7
1375731,2006,8
1791785,2006,9
1897570,2006,10
1898282,2006,11
1672549,2006,12
2043131,2007,1
1835798,2007,2
2002483,2007,3
1838947,2007,4
1954406,2007,5
1794091,2007,6
1634285,2007,7
546443,2007,8
1882678,2007,9
740613,2007,10
293145,2007,11
286576,2007,12
306792,2008,1
280219,2008,2
297103,2008,3
283497,2008,4
294525,2008,5
297530,2008,6
1419710,2008,7
1940301,2008,8
2219821,2008,9
2346125,2008,10
2293191,2008,11
2236285,2008,12
2120252,2009,1
1963658,2009,2
2117269,2009,3
2097694,2009,4
2024237,2009,5
2012821,2009,6
1820177,2009,7
1582040,2009,8
2104142,2009,9
2114211,2009,10
2018116,2009,11
1991742,2009,12
2128089,2010,1
1964482,2010,2
2225980,2010,3
2072844,2010,4
2138253,2010,5
2167905,2010,6
1913116,2010,7
1686254,2010,8
2114665,2010,9
2126272,2010,10
2257752,2010,11
2159496,2010,12
2281697,2011,1
2127789,2011,2
2404760,2011,3
2113554,2011,4
1886371,2011,5
1779064,2011,6
1789453,2011,7
1917336,2011,8
2431887,2011,9
2418528,2011,10
2481439,2011,11
2527454,2011,12
2550200,2012,1
2441721,2012,2
2739851,2012,3
2720423,2012,4
2720090,2012,5
2674593,2012,6
2192692,2012,7
2092165,2012,8
2403466,2012,9
2521356,2012,10
2493549,2012,11
2281083,2012,12
2377097,2013,1
2206785,2013,2
2391153,2013,3
2270053,2013,4
2214656,2013,5
2320268,2013,6
2310501,2013,7
2239860,2013,8
2370671,2013,9
2437206,2013,10
2381035,2013,11
2355046,2013,12
1018994,2014,1
1037316,2014,2
1613691,2014,3
1582768,2014,4
1910293,2014,5
2137716,2014,6
2008266,2014,7
1947336,2014,8
1847620,2014,9
1987017,2014,10
1876104,2014,11
2034655,2014,12
2543310,2015,1
1816462,2015,2
2144692,2015,3
1936626,2015,4
2333732,2015,5
2096962,2015,6
2063904,2015,7
2252097,2015,8
2126905,2015,9
2014370,2015,10
2210011,2015,11
2259882,2015,12
2182203,2016,1
1900356,2016,2
1569179,2016,3
1406162,2016,4
1631604,2016,5
2182497,2016,6
2202430,2016,7
1968605,2016,8
1955249,2016,9
1801174,2016,10
2293497,2016,11
2226628,2016,12
1765063,2017,1
2048352,2017,2
2182606,2017,3
2104773,2017,4
2281421,2017,5
2359576,2017,6
1941046,2017,7
1714690,2017,8
2031806,2017,9
2302962,2017,10
2283270,2017,11
2055998,2017,12
2309722,2018,1
2151075,2018,2
2397821,2018,3
2273839,2018,4
2507715,2018,5
2609000,2018,6
2403943,2018,7
1930764,2018,8
2330939,2018,9
2447346,2018,10
2536474,2018,11
2260109,2018,12
2539303,2019,1
2378690,2019,2
2476703,2019,3
2385870,2019,4
2606577,2019,5
2563003,2019,6
2329535,2019,7
1941623,2019,8
2546092,2019,9
2578766,2019,10
2640189,2019,11
2556487,2019,12
2951447,2020,1
2722196,2020,2
3262819,2020,3
2793528,2020,4
2903551,2020,5
2841346,2020,6
2573370,2020,7
2274744,2020,8
2855869,2020,9
2776583,2020,10
2714759,2020,11
2609552,2020,12
2864049,2021,1
2623088,2021,2
3017314,2021,3
2840236,2021,4
3046921,2021,5
3271128,2021,6
2882166,2021,7
2542431,2021,8
2968713,2021,9
3100795,2021,10
2802844,2021,11
2605746,2021,12
2863992,2022,1
2784714,2022,2
2923174,2022,3
2758745,2022,4
2729152,2022,5
2894160,2022,6
2532615,2022,7
2190700,2022,8
2636044,2022,9
2655408,2022,10
2721851,2022,11
2553323,2022,12
2655653,2023,1
2408310,2023,2
2708863,2023,3
2477520,2023,4
2734840,2023,5
2952188,2023,6
2615032,2023,7
4563853,2023,8
5575589,2023,9
6004960,2023,10
5825452,2023,11
5464354,2023,12
6188026,2024,1
6138906,2024,2
6745760,2024,3
6428482,2024,4
6974522,2024,5
6936150,2024,6
2332318,2024,7
