annee,mois,jour,total_n
1998,1,1,23695
1998,1,2,24417
1998,1,3,21246
1998,1,5,27547
1998,1,6,29121
1998,1,7,29124
1998,1,8,32663
1998,1,9,30889
1998,1,10,29372
1998,1,12,36274
1998,1,13,31929
1998,1,14,29274
1998,1,15,33523
1998,1,16,29790
1998,1,17,26923
1998,1,19,30138
1998,1,20,30378
1998,1,21,30421
1998,1,22,31631
1998,1,23,31029
1998,1,24,29183
1998,1,26,32815
1998,1,27,36873
1998,1,28,29559
1998,1,29,36020
1998,1,30,30563
1998,1,31,26755
1998,2,2,27565
1998,2,3,29903
1998,2,4,27898
1998,2,5,35346
1998,2,6,35542
1998,2,7,28558
1998,2,9,31418
1998,2,10,32900
1998,2,11,28196
1998,2,12,35397
1998,2,13,30418
1998,2,14,28094
1998,2,16,29227
1998,2,17,32777
1998,2,18,29584
1998,2,19,33926
1998,2,20,29088
1998,2,21,27210
1998,2,23,27546
1998,2,24,33018
1998,2,25,30017
1998,2,26,31373
1998,2,27,30671
1998,2,28,28289
1998,3,2,32469
1998,3,3,30175
1998,3,4,29188
1998,3,5,31728
1998,3,6,34566
1998,3,7,33949
1998,3,9,31827
1998,3,10,31062
1998,3,11,31867
1998,3,12,36120
1998,3,13,31192
1998,3,14,23535
1998,3,16,25040
1998,3,17,30628
1998,3,18,29127
1998,3,19,44964
1998,3,20,27569
1998,3,21,27564
1998,3,23,32721
1998,3,24,31128
1998,3,25,32711
1998,3,26,36333
1998,3,27,31368
1998,3,28,30261
1998,3,30,31849
1998,3,31,34004
1998,4,1,26067
1998,4,2,34808
1998,4,3,33133
1998,4,5,27131
1998,4,6,33481
1998,4,7,29715
1998,4,8,35136
1998,4,9,27596
1998,4,10,25264
1998,4,12,22340
1998,4,13,26610
1998,4,14,26444
1998,4,15,448
1998,4,16,29702
1998,4,17,27100
1998,4,18,23315
1998,4,19,656
1998,4,20,27388
1998,4,21,28504
1998,4,22,30412
1998,4,23,29736
1998,4,24,27960
1998,4,25,30401
1998,4,27,29547
1998,4,28,29368
1998,4,29,37987
1998,4,30,38561
1998,5,2,22666
1998,5,4,37401
1998,5,5,29963
1998,5,6,31152
1998,5,7,37758
1998,5,8,28093
1998,5,9,30813
1998,5,11,23802
1998,5,12,29699
1998,5,13,46606
1998,5,14,37311
1998,5,15,35645
1998,5,17,36079
1998,5,18,32693
1998,5,19,27234
1998,5,20,34081
1998,5,21,27318
1998,5,22,22348
1998,5,23,11244
1998,5,24,4092
1998,5,25,27007
1998,5,26,26703
1998,5,27,29092
1998,5,28,32353
1998,5,29,37063
1998,5,30,22674
1998,6,1,22892
1998,6,2,26497
1998,6,3,26557
1998,6,4,30992
1998,6,5,30079
1998,6,6,25858
1998,6,8,27413
1998,6,9,44116
1998,6,10,27232
1998,6,11,34895
1998,6,12,28729
1998,6,13,24948
1998,6,15,32190
1998,6,16,29829
1998,6,17,31101
1998,6,18,30088
1998,6,19,29052
1998,6,20,25391
1998,6,22,27995
1998,6,23,30665
1998,6,24,28950
1998,6,25,32966
1998,6,26,30605
1998,6,27,28764
1998,6,29,30429
1998,6,30,33505
1998,7,1,27483
1998,7,2,30927
1998,7,3,30981
1998,7,4,25320
1998,7,6,28531
1998,7,7,24840
1998,7,8,26640
1998,7,9,32449
1998,7,10,27280
1998,7,11,23792
1998,7,13,27400
1998,7,14,27424
1998,7,15,23891
1998,7,16,23485
1998,7,17,22934
1998,7,18,22660
1998,7,20,26518
1998,7,21,22872
1998,7,22,24855
1998,7,23,20515
1998,7,24,23211
1998,7,25,20366
1998,7,27,21466
1998,7,28,23771
1998,7,29,23136
1998,7,30,22996
1998,7,31,24056
1998,8,1,20418
1998,8,3,20658
1998,8,4,17707
1998,8,5,19226
1998,8,6,20306
1998,8,7,17818
1998,8,8,19507
1998,8,10,20991
1998,8,11,17727
1998,8,12,19939
1998,8,13,17001
1998,8,14,19311
1998,8,15,18622
1998,8,17,21712
1998,8,18,18829
1998,8,19,20163
1998,8,20,20334
1998,8,21,20056
1998,8,22,16493
1998,8,24,20563
1998,8,25,21486
1998,8,26,21906
1998,8,27,28959
1998,8,28,22240
1998,8,29,26156
1998,8,31,22034
1998,9,1,22922
1998,9,2,24233
1998,9,3,33832
1998,9,4,21504
1998,9,5,25215
1998,9,7,29130
1998,9,8,27558
1998,9,9,26349
1998,9,10,31093
1998,9,11,25259
1998,9,12,28521
1998,9,14,32523
1998,9,15,30099
1998,9,16,30478
1998,9,17,33397
1998,9,18,28022
1998,9,19,27739
1998,9,21,30294
1998,9,22,28697
1998,9,23,27271
1998,9,24,33338
1998,9,25,24310
1998,9,26,30842
1998,9,28,25698
1998,9,29,33834
1998,9,30,29893
1998,10,1,33002
1998,10,2,28590
1998,10,3,31923
1998,10,5,29764
1998,10,6,29768
1998,10,7,32673
1998,10,8,30906
1998,10,10,27440
1998,10,12,25591
1998,10,13,29137
1998,10,14,26788
1998,10,15,31557
1998,10,16,25862
1998,10,17,26325
1998,10,19,27132
1998,10,20,29389
1998,10,21,26399
1998,10,22,30123
1998,10,23,24948
1998,10,24,19701
1998,10,26,22086
1998,10,27,22128
1998,10,28,23868
1998,10,29,29674
1998,10,30,22961
1998,10,31,25521
1998,11,2,24357
1998,11,3,25470
1998,11,4,27058
1998,11,5,28806
1998,11,6,28368
1998,11,7,22316
1998,11,9,26650
1998,11,10,23473
1998,11,11,20190
1998,11,12,30412
1998,11,13,26146
1998,11,14,29358
1998,11,16,28312
1998,11,17,27831
1998,11,18,25855
1998,11,19,29795
1998,11,20,25978
1998,11,21,22790
1998,11,23,29153
1998,11,24,28471
1998,11,25,24929
1998,11,26,30040
1998,11,27,28766
1998,11,28,22147
1998,11,30,28593
1998,12,1,23316
1998,12,2,28390
1998,12,3,32973
1998,12,4,27184
1998,12,5,24111
1998,12,7,30621
1998,12,8,29757
1998,12,9,30541
1998,12,10,31879
1998,12,11,27669
1998,12,12,29209
1998,12,14,33208
1998,12,15,29209
1998,12,16,27461
1998,12,17,30719
1998,12,18,29341
1998,12,19,25038
1998,12,21,28305
1998,12,22,23651
1998,12,23,23246
1998,12,24,24241
1998,12,25,20679
1998,12,26,17290
1998,12,28,22839
1998,12,29,20561
1998,12,30,24705
1998,12,31,27306
1999,1,1,21014
1999,1,2,16908
1999,1,4,28753
1999,1,5,25040
1999,1,6,27132
1999,1,7,29620
1999,1,8,25900
1999,1,9,23177
1999,1,11,26239
1999,1,12,30644
1999,1,13,26093
1999,1,14,33080
1999,1,15,28005
1999,1,16,23618
1999,1,18,28847
1999,1,19,29831
1999,1,20,25480
1999,1,21,33312
1999,1,22,28834
1999,1,23,26931
1999,1,25,34872
1999,1,26,38038
1999,1,27,31092
1999,1,28,26242
1999,1,29,32379
1999,1,30,23164
1999,2,1,29398
1999,2,2,29437
1999,2,3,28552
1999,2,4,30200
1999,2,5,28834
1999,2,6,25549
1999,2,8,34468
1999,2,9,71449
1999,2,10,29901
1999,2,11,33117
1999,2,12,27702
1999,2,13,26670
1999,2,15,32312
1999,2,16,27360
1999,2,17,29163
1999,2,18,29168
1999,2,19,29741
1999,2,20,29183
1999,2,22,29235
1999,2,23,25478
1999,2,24,30711
1999,2,25,35130
1999,2,26,30131
1999,2,27,24669
1999,3,1,28275
1999,3,2,28515
1999,3,3,38756
1999,3,4,31955
1999,3,5,26136
1999,3,6,1810
1999,3,7,24206
1999,3,8,31938
1999,3,9,30931
1999,3,10,30341
1999,3,11,27893
1999,3,12,28666
1999,3,14,20329
1999,3,15,38126
1999,3,16,26923
1999,3,17,35076
1999,3,18,31399
1999,3,19,24634
1999,3,20,576
1999,3,21,29604
1999,3,22,22191
1999,3,23,37890
1999,3,24,36077
1999,3,25,25962
1999,3,26,29217
1999,3,28,29853
1999,3,29,25734
1999,3,30,25538
1999,3,31,40485
1999,4,1,28652
1999,4,2,26994
1999,4,4,23161
1999,4,5,28426
1999,4,6,28154
1999,4,7,29683
1999,4,8,30287
1999,4,9,26382
1999,4,11,34020
1999,4,12,34296
1999,4,13,28635
1999,4,14,31518
1999,4,15,31711
1999,4,16,27525
1999,4,18,28001
1999,4,19,29226
1999,4,20,27642
1999,4,21,31608
1999,4,22,30150
1999,4,23,27255
1999,4,25,28333
1999,4,26,29099
1999,4,27,28556
1999,4,28,33522
1999,4,29,28790
1999,5,2,31771
1999,5,3,28353
1999,5,4,31381
1999,5,5,29462
1999,5,6,31093
1999,5,7,27284
1999,5,9,30161
1999,5,10,25589
1999,5,11,30174
1999,5,12,27009
1999,5,13,31735
1999,5,14,26185
1999,5,16,34605
1999,5,17,32702
1999,5,18,28082
1999,5,19,32903
1999,5,20,28996
1999,5,21,25836
1999,5,23,23726
1999,5,24,33158
1999,5,25,29118
1999,5,26,29008
1999,5,27,27994
1999,5,28,27700
1999,5,30,30821
1999,6,1,24373
1999,6,2,33264
1999,6,3,30088
1999,6,4,33636
1999,6,5,32365
1999,6,7,32509
1999,6,8,30788
1999,6,9,31338
1999,6,10,34499
1999,6,11,34758
1999,6,12,25276
1999,6,14,29019
1999,6,15,34349
1999,6,16,28867
1999,6,17,35121
1999,6,18,31946
1999,6,19,24201
1999,6,21,33135
1999,6,22,28082
1999,6,23,26832
1999,6,24,32539
1999,6,25,27231
1999,6,26,28125
1999,6,28,32204
1999,6,29,31225
1999,6,30,28797
1999,7,1,28177
1999,7,2,31390
1999,7,3,26924
1999,7,4,133
1999,7,5,28958
1999,7,6,26684
1999,7,7,30229
1999,7,8,30414
1999,7,9,28223
1999,7,10,28015
1999,7,12,32155
1999,7,13,27312
1999,7,14,22021
1999,7,15,22891
1999,7,16,26256
1999,7,17,23250
1999,7,19,24764
1999,7,20,22744
1999,7,21,36223
1999,7,22,26343
1999,7,23,21560
1999,7,25,23451
1999,7,26,20453
1999,7,27,17875
1999,7,28,20125
1999,7,29,21900
1999,7,30,16235
1999,7,31,8993
1999,8,1,22657
1999,8,2,24147
1999,8,3,22480
1999,8,4,21065
1999,8,5,21890
1999,8,6,17765
1999,8,8,26382
1999,8,9,22191
1999,8,10,25609
1999,8,11,22571
1999,8,12,21316
1999,8,13,21273
1999,8,15,28266
1999,8,16,22829
1999,8,17,22251
1999,8,18,22786
1999,8,19,22228
1999,8,20,21289
1999,8,22,27548
1999,8,23,26352
1999,8,24,25385
1999,8,25,30278
1999,8,26,30143
1999,8,27,27356
1999,8,29,30898
1999,8,30,20853
1999,8,31,24773
1999,9,1,29010
1999,9,2,23692
1999,9,3,27858
1999,9,5,28250
1999,9,6,28816
1999,9,7,25861
1999,9,8,34549
1999,9,9,25152
1999,9,10,31316
1999,9,12,30579
1999,9,13,29651
1999,9,14,30566
1999,9,15,32678
1999,9,16,29497
1999,9,17,29454
1999,9,19,32403
1999,9,20,30952
1999,9,21,27908
1999,9,22,34921
1999,9,23,29039
1999,9,24,30424
1999,9,26,27486
1999,9,27,28073
1999,9,28,30323
1999,9,29,34980
1999,9,30,38515
1999,10,1,32268
1999,10,3,21217
1999,10,4,34856
1999,10,5,34140
1999,10,6,30919
1999,10,7,33954
1999,10,8,31037
1999,10,10,32767
1999,10,11,31980
1999,10,12,30515
1999,10,13,37143
1999,10,14,32657
1999,10,15,30669
1999,10,17,34377
1999,10,18,29412
1999,10,19,27851
1999,10,20,36751
1999,10,21,27892
1999,10,22,30476
1999,10,24,31485
1999,10,25,30412
1999,10,26,30165
1999,10,27,34856
1999,10,28,27910
1999,10,29,32286
1999,11,1,26292
1999,11,2,29855
1999,11,3,28689
1999,11,4,32704
1999,11,5,26457
1999,11,6,39721
1999,11,8,29929
1999,11,9,30068
1999,11,10,26900
1999,11,11,29592
1999,11,12,29640
1999,11,13,27187
1999,11,15,29574
1999,11,16,28614
1999,11,17,28521
1999,11,18,33586
1999,11,19,30428
1999,11,20,32619
1999,11,22,32039
1999,11,23,28124
1999,11,24,48006
1999,11,25,35290
1999,11,26,28528
1999,11,27,36070
1999,11,29,29776
1999,11,30,37776
1999,12,1,30848
1999,12,2,35009
1999,12,3,30419
1999,12,4,30095
1999,12,6,34290
1999,12,7,30257
1999,12,8,27582
1999,12,9,38454
1999,12,10,33025
1999,12,11,29943
1999,12,13,27397
1999,12,14,28510
1999,12,15,28570
1999,12,16,30771
1999,12,17,27818
1999,12,18,30845
1999,12,20,30385
1999,12,21,28222
1999,12,22,25911
1999,12,23,27559
1999,12,24,25748
1999,12,25,23071
