"ark","titre"
"cb327511352","
Courrier du Bas-Rhin (Le)"
"cb419368144","
Echo du théâtre (L')"
"cb34396439w","
Elsässer (der)"
"cb34420707c","
Freie Presse fûr Elsass-Lothringen"
"cb327884623","
Illustration de Bade et d'Alsace (L')"
"cb43682771h","
Illustrierte Weltschau"
"cb41936813s","
Journal de la réforme protestante (Le)"
"cb32802649h","
Juif (Le)"
"cb419368144","
Progrès religieux (Le)"
"cb34447162z","
Schlettstadter Tageblatt"
"cb32873074r","
Strassburger Burger-Zeitung"
"cb32873085d","
Strassburger neue Zeitung"
"cb344124174","
Strassburger neueste Nachrichten"
"cb345436031","
Strassburger privilegirte Zeitung"
"cb419477071","
Strassurger Post"
"cb32881359d","
Tribune juive (La)"
"cb32886381s","
Unterländer Kurier"
"cb436148338","
Vogesenwacht"
"cb37583893m","
Volksfreund (der)"
"cb43614924k","
Weltbote, allgemeine Zeitung für alle Stände"
