"ark","titre"
"cb32708262w","
Avenir de l'Ouest (L')"
"cb32735051k","
Caen-sport"
"cb32740838k","
Cherbourg-revue"
"cb32885652s","
Cocorico"
"cb327797879","
Gars normands de Paris, de la Duché, de partout (Les)"
"cb41193642z","
Ouest-Éclair (Éd. de Caen) (L')"
"cb32833617r","
Passe-temps (Le)"
"cb32849871r","
Redressement : pour la construction du socialisme et de la paix"
"cb32860376b","
Revue illustré du Calvados (La)"
"cb32861112s","
Revue photographique de l'Ouest"
"cb32885652s","
Université (L')"
"cb32893938s","
Yacht (Le)"
