"ark","titre"
"cb32682329c","
Action syndicale de Lens (L')"
"cb32691621d","
Ami du peuple (L'), supplément illustré du dimanche"
"cb32695427w","
Annuaire (L') "
"cb32707911p","
Avenir (L') : organe de défense des travailleurs"
"cb32708787m","
Avenir du travailleur (L')"
"cb32709783g","
Bandit du Nord (Le)"
"cb32710239n","
Bataille (La)"
"cb32710693j","
Beffroi de Dunkerque (Le)"
"cb32717397s","
Bulletin commercial et industriel de Roubaix"
"cb34547555z","
Combat (Le)"
"cb327445528","
Combat de Roubaix-Tourcoing (Le)"
"cb32750763q","
Courrier de Roubaix (Le)"
"cb32751296j","
Courrier du Nord (Le), supplément illustré"
"cb327513139","
Courrier du Pile (Le)"
"cb327516076","
Courrier populaire de Dunkerque (Le)"
"cb32751969k","
Cravache de Roubaix (La)"
"cb32752379g","
Cri des chômeurs, Valenciennes (Le)"
"cb32753198f","
Croix du Nord (La)"
"cb327544824","
Défense (La)"
"cb32757459b","
Dimanche (Le)"
"cb327587195","
Douai-sportif"
"cb32759008t","
Droit du peuple (Le)"
"cb32759234x","
Dunkerque-sports"
"cb327623054","
Écho du Nord (L') : supplément illustré"
"cb32763212c","
Écho théâtral de Roubaix (L')"
"cb327664130","
Émancipation ouvrière (L')"
"cb327693212","
Essor de l'Épeule (L')"
"cb327703542","
Étoile du Nord (L')"
"cb32772372g","
Express du Nord et du Pas-de-Calais (L')"
"cb327741894","
Fermier des Flandres (Le)"
"cb327771081","
Franc-parleur (Le)"
"cb32778461j","
Fraternité (La)"
"cb32783482h","
Grand écho du Nord de la France (Le)"
"cb32786201v","
Hebdomadaire (L'). Revue illustrée"
"cb327885940","
Illustré de Roubaix (L')"
"cb32797388g","
Journal de Douai (Le)"
"cb327974266","
Journal de Fourmies"
"cb32809793z","
Lutte (La)"
"cb32824103q","
Nord mutualiste (Le)"
"cb32824045c","
Nord-Finance"
"cb32824088n","
Nord-Littoral"
"cb32837854g","
Petite Gazette de Douai (La)"
"cb32838470v","
Petites affiches roubaisiennes"
"cb32854399r","
Réveil des cheminots des Flandres (Le)"
"cb32862863v","
Roubaisien (Le)"
"cb32862872t","
Roubaix radical"
"cb328628735","
Roubaix républicain"
"cb32862878w","
Roubaix-Tourcoing syndiqué"
"cb32862875v","
Roubaix-socialiste"
"cb32867114x","
Semaine roubaisienne (La)"
"cb328689747","
Socialiste de Roubaix-Tourcoing (Le)"
"cb32724831q","
Société photographique du Nord"
"cb32871596z","
Spectacles (Les)"
"cb32884055x","
Union fédérale roubaisienne (L')"
"cb328846171","
Union républicaine (L')"
"cb32889009z","
Vie flamande illustrée (La)"
