"ark","titre"
"cb32710208c","
Bastille (La)"
"cb32724999m","
Bulletin de la Ville de Paris"
"cb32737304c","
Capitole (Le)"
"cb32737471s","
Carillon de Montmartre"
"cb402332539","
Cocher (Le)"
"cb32778002x","
France municipale (La)"
"cb32780563s","
Gazette de Paris (La)"
"cb32780467w","
Gazette de la navigation et des ports de Paris et du département de la Seine"
"cb32780811c","
Gazette des étrangers (La)"
"cb32786402r","
Heraldo de Paris"
"cb32789829m","
Indépendant du XVe et d'Issy-les-Moulineaux (L')"
"cb32790511r","
Indicateur des mariages (L') : relevé des mariages affichés dans les mairies"
"cb328021970","
Journal parisien utilitaire (Le )"
"cb34431064q","
Montmartre : artistique, littéraire, illustré"
"cb344310652","
Montmartre illustré"
"cb32828117c","
Oeil de Paris pénètre partout (L')"
"cb328329656","
Paris spectacles"
"cb32832731b","
Paris-New-York"
"cb328328877","
Paris-Républicain"
"cb32832185m","
Paris-artiste"
"cb32832320k","
Paris-club"
"cb32832716f","
Paris-municipal"
"cb32832804q","
Paris-plaisirs"
"cb442816289","
Paris-plaisirs : Paris-annonces"
"cb34419111x","
Petit Parisien (Le) : journal quotidien du soir"
"cb344191170","
Petit Parisien (Le). Supplément littéraire illustré "
"cb421267926","
Quotidien de Montmartre (Le)"
"cb32850786j","
Renaissance de Montmartre (La )"
"cb328669722","
Semaine parisienne (La)"
"cb32866997d","
Semaine politique et littéraire de Paris (La)"
"cb328767225","
Temps présent (Le)"
