"ark","titre"
"cb32713184x","
Bloc laïque vosgien (Le)"
"cb32764608g","
École unique (L') : organe bi-mensuel de défense de l'enseignement laïque"
"cb327815829","
Gazette vosgienne"
"cb32788572p","
Illustré de l'Est (L')"
"cb32788929n","
Impartial de l'Est (L'). Littéraire illustré : lectures de la famille"
"cb32788930v","
Impartial de l'Est (L'). Supplément illustré"
"bpt6k971315z","
Nouvelliste des Vosges (Le)"
"cb328341226","
Patriote lorrain (Le)"
"cb32836760w","
Petit Lorrain (Le). Supplément illustré"
"cb32836760w","
Petit lorrain (Le)"
"cb32838295n","
Petites affiches de Rambervillers"
"cb328439618","
Progrès de l'Est (Le). Supplément illustré"
"cb328802487","
Travailleur des Vosges et de la région de l'Est (Le)"
"cb32892364f","
Vosgien illustré (Le)"
