"ark","titre"
"cb45542129b","
Abeille du Gâtinais (L') Supplément littéraire"
"cb327132021","
Bloc républicain du Gâtinais (Le)"
"cb327236506","
Bulletin de la Société centrale de l'Yonne pour l'encouragement de l'agriculture"
"cb327271487","
Bulletin du Comice agricole et viticole de l'arrondissement d'Auxerre"
"cb327277435","
Bulletin du Photo-club sénonais"
"cb32727982m","
Bulletin du Syndicat agricole du département de l'Yonne"
"cb32744730h","
Combattant républicain (Le)"
"cb32752419w","
Cri des terriens (Le )"
"cb327734573","
Fédération agricole de l'Yonne (La)"
"cb327885731","
Illustré de l'Yonne (L')"
"cb344249203","
Mère éducatrice (La)"
"cb328251258","
Notre edelweiss "
"cb328357761","
Petit Bourguignon (Le)"
"cb32845315x","
Province nouvelle (La)"
