"title","ark"
"Journal des débats politiques et littéraires","cb39294634r"
"Journal officiel de la République française","cb34378481r"
"Galignani's messenger","cb32779538j"
"Gazette nationale ou le Moniteur universel  ","cb34452336z"
"Le Sémaphore de Marseille ","cb328671932"
"Le Siècle ","cb32868136g"
"La Presse ","cb34448033b"
"Phare de la Loire ","cb32839062c"
"Le Figaro ","cb34355551z"
"Le Constitutionnel ","cb32747578p"
"Le Temps ","cb34431794k"
"La Patrie ","cb32833792s"
"Le Petit journal ","cb32895690j"
"Le Droit ","cb34447993f"
"Le Petit Marseillais ","cb32836813n"
"Mémorial de la Loire et de la Haute Loire ","cb32813853r"
"Le Courrier de Saône et","cb34366345x"
"La Liberté  ","cb328066631"
"Le Progrès de la Côte d'Or ","cb32844000t"
"La Petite Gironde ","cb328378921"
"Cours authentique ","cb32715573v"
"Le Charivari ","cb34452332k"
"Journal du Cher ","cb32800711m"
"Le Petit Parisien ","cb34419111x"
"La Dépêche ","cb327558876"
"Bulletin municipal officiel de la Ville de Paris","cb343512457"
"Le Progrès de la Somme ","cb32844033s"
"La Gazette de France ","cb32780296x"
"La Gironde ","cb32782567n"
"La France ","cb327773077"
"Le Petit Provençal ","cb32837257v"
"Le Matin ","cb328123058"
"Le Gaulois ","cb32779904b"
"La Dépêche de Brest ","cb32755951g"
"La Lanterne ","cb328051026"
"L'Intransigeant ","cb32793876w"
"La Croix ","cb343631418"
"Journal de Paris  ","cb327986698"
"La Charente ","cb32740226x"
"Le Petit Troyen ","cb32837632m"
"Le Mémorial des Pyrénées ","cb328139024"
"L'Indépendant des Basses Pyrénées ","cb34416250c"
"Le Pays ","cb328343740"
"Le Rappel ","cb328479063"
"La France de Bordeaux et du Sud Ouest ","cb32777284d"
"Le Petit courrier ","cb32836053p"
"Le Jockey ","cb32796461g"
"L'Écho de Paris ","cb34429768r"
"La République française ","cb32853032d"
"Le Journal ","cb34473289x"
"L'Evénement ","cb32771670c"
"Le Soir ","cb328705910"
"Le XIXe siècle ","cb32757974m"
"Le Grand écho du Nord de la France","cb32783482h"
"La Loi ","cb32809056t"
"L'Univers ","cb34520232c"
"L'Express du Midi ","cb32772370s"
"Le Radical ","cb32847124t"
"L'Auto ","cb327071375"
"Cote de la Bourse et de la banque et le Messager de la Bourse réunis ","cb32749493s"
"La Petite République ","cb345185020"
"Istanboul","cb327941766"
"L'Ouest Éclair ","cb32830550k"
"Journal de Toulouse ","cb345241384"
"Le Petit moniteur universel ","cb32837006d"
"Vert vert ","cb32888151s"
"Gazette de France ","cb41265446t"
"Journal de la ville de Saint Quentin et de l'arrondissement","cb32798346s"
"L'Humanité ","cb327877302"
"Le Petit caporal ","cb328358889"
"Le Patriote des Pyrénées ","cb32834057k"
"Le Soleil ","cb344447668"
"L'Écho d'Oran ","cb32759772v"
"La Petite presse ","cb32837965d"
"The New York herald ","cb391150993"
"Impressions ","cb41473216d"
"Le National  ","cb32822280z"
"La Tribune de l'Aube ","cb328809574"
"L'Echo d'Alger ","cb327596899"
"L'Union ","cb32882940w"
"Le Peuple ","cb34348990g"
"L'Action française ","cb326819451"
"Bulletin de la cote ","cb32745962x"
"L'Indépendant de la Charente Inférieure ","cb32789598m"
"La Dépêche du Berry ","cb34420510q"
"Bastia Journal ","cb32710201z"
"Le Midi socialiste ","cb32815893g"
"Gil Blas ","cb344298410"
