"date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien","sdewey","sdewey_nom","sdewey2","sdewey_nom2"
"1814-1944","https://gallica.bnf.fr/ark:/12148/cb39294634r/date","Paris","Journal des débats politiques et littéraires",48168,"cb39294634r_date",47622,"1814-04-01","1944-08-19","1814-04-01","1944-08-19",TRUE,34,"Droit","",""
"1881-2015","https://gallica.bnf.fr/ark:/12148/cb34378481r/date","Paris","Journal officiel de la République française",45753,"cb34378481r_date",25565,"1881-01-01","1950-12-31","1881-01-01","1950-12-31",TRUE,34,"Droit","",""
"1814-1895","https://gallica.bnf.fr/ark:/12148/cb32779538j/date","Paris","Galignani's messenger",44776,"cb32779538j_date",29767,"1814-07-02","1895-12-31","1814-07-02","1895-12-31",TRUE,7,"Presse et édition","",""
"1789-1810","https://gallica.bnf.fr/ark:/12148/cb34452336z/date","Paris","Gazette nationale ou le Moniteur universel  ",40528,"cb34452336z_date",41086,"1789-01-01","1901-06-30","1789-01-01","1901-06-30",TRUE,944,"Histoire de France","",""
"1827-1944","https://gallica.bnf.fr/ark:/12148/cb328671932/date","Marseille","Le Sémaphore de Marseille ",35700,"cb328671932_date",42612,"1827-12-19","1944-08-19","1827-12-19","1944-08-19",TRUE,7,"Presse et édition","",""
"1836-1932","https://gallica.bnf.fr/ark:/12148/cb32868136g/date","Paris","Le Siècle ",33269,"cb32868136g_date",1612,"1836-06-23","1840-11-21","1836-06-23","1840-11-21",TRUE,7,"Presse et édition","",""
"1836-1952","https://gallica.bnf.fr/ark:/12148/cb34448033b/date","Paris","La Presse ",31498,"cb34448033b_date",36188,"1836-06-15","1935-07-15","1836-06-15","1935-07-15",TRUE,7,"Presse et édition","",""
"1844-1944","https://gallica.bnf.fr/ark:/12148/cb32839062c/date","Nantes","Phare de la Loire ",31473,"cb32839062c_date",33826,"1852-01-02","1944-08-13","1852-01-02","1944-08-13",TRUE,0,"Savoir livre informatique","",""
"1854","https://gallica.bnf.fr/ark:/12148/cb34355551z/date","Paris","Le Figaro ",30751,"cb34355551z_date",35335,"1854-04-02","1950-12-30","1854-04-02","1950-12-30",TRUE,7,"Presse et édition","",""
"1819-1914","https://gallica.bnf.fr/ark:/12148/cb32747578p/date","Paris","Le Constitutionnel ",30393,"cb32747578p_date",34778,"1819-05-02","1914-07-21","1819-05-02","1914-07-21",TRUE,7,"Presse et édition","",""
"1861-1942","https://gallica.bnf.fr/ark:/12148/cb34431794k/date","Paris","Le Temps ",30301,"cb34431794k_date",29803,"1861-04-25","1942-11-30","1861-04-25","1942-11-30",TRUE,7,"Presse et édition","",""
"1841-1937","https://gallica.bnf.fr/ark:/12148/cb32833792s/date","Paris","La Patrie ",29677,"cb32833792s_date",35211,"1841-01-01","1937-05-29","1841-01-01","1937-05-29",TRUE,7,"Presse et édition","",""
"1863-1944","https://gallica.bnf.fr/ark:/12148/cb32895690j/date","Paris, Clermont Ferrand, Pau","Le Petit journal ",29518,"cb32895690j_date",29792,"1863-01-31","1944-08-26","1863-01-31","1944-08-26",TRUE,NA,NA,"",""
"1835-1938","https://gallica.bnf.fr/ark:/12148/cb34447993f/date","Paris","Le Droit ",27831,"cb34447993f_date",37631,"1835-12-01","1938-12-12","1835-12-01","1938-12-12",TRUE,34,"Droit","",""
"1868-1944","https://gallica.bnf.fr/ark:/12148/cb32836813n/date","Marseille","Le Petit Marseillais ",27248,"cb32836813n_date",27900,"1868-03-22","1944-08-11","1868-03-22","1944-08-11",TRUE,7,"Presse et édition","",""
"1854-1930","https://gallica.bnf.fr/ark:/12148/cb32813853r/date","Saint Étienne","Mémorial de la Loire et de la Haute Loire ",27139,"cb32813853r_date",28092,"1854-01-01","1930-12-01","1854-01-01","1930-12-01",TRUE,7,"Presse et édition","",""
"1840-1947","https://gallica.bnf.fr/ark:/12148/cb34366345x/date","Chalon sur Saône","Le Courrier de Saône et",26677,"cb34366345x_date",36442,"1840-09-05","1940-06-15","1840-09-05","1940-06-15",TRUE,7,"Presse et édition","",""
"1865-1940","https://gallica.bnf.fr/ark:/12148/cb328066631/date","Paris","La Liberté  ",26238,"cb328066631_date",27358,"1865-07-16","1940-06-11","1865-07-16","1940-06-11",TRUE,7,"Presse et édition","",""
"1869-1944","https://gallica.bnf.fr/ark:/12148/cb32844000t/date","Dijon, Nuits[ Saint Georges], Dijon","Le Progrès de la Côte d'Or ",26235,"cb32844000t_date",27626,"1869-01-14","1944-09-04","1869-01-14","1944-09-04",TRUE,7,"Presse et édition","",""
