"ark","titre"
"cb32680137z","
 A.C.N.P. L'oublié de l'avant (L')"
"cb327036216","
Amicale des anciens combattants du 81e régiment d'infanterie"
"cb32691956w","
Amicale générale des anciens combattants du 44e Régt. d'infanterie et du 244e Régt. d'infanterie. Bulletin trimestriel "
"bpt6k75882445","
Amicale tonkinoise des anciens combattants: annuaire"
"cb32692853t","
Ancien combattant (L') (Lille)"
"cb345329309","
Ancien combattant (L') (Nancy)"
"cb32705215n","
Anciens combattants de l'enseignement public des Hautes Pyrénées"
"cb32692927j","
Anciens de la 27e (Les)"
"cb32705847x","
Association vosgienne des anciens combattants de l'Armée d'Orient"
"cb32705229b","
Bulletin annuel des mutilés et anciens combattants du Louvre "
"cb32718730v","
Bulletin de l'Amicale des anciens combattants des 104e et 304e régiments d'infanterie - 32e et 232e R.I.T. "
"cb32718738m","
Bulletin de l'Amicale des anciens combattants du personnel administratif des hospices civils de Lyon"
"bpt6k75879322","
Bulletin de l'Association ""Les Combattants de moins de vingt ans"""
"cb32719194p","
Bulletin de l'Association amicale des anciens combattants du 24e R. I."
"cb32719444z","
Bulletin de l'Association amicale des anciens militaires du 5e Hussards. Groupe Iéna"
"cb32719797c","
Bulletin de l'Association des anciens combattants d'Orient de la region de Rouen"
"cb32719801s","
Bulletin de l'Association des anciens combattants de 1914-1918. Les Poilus de France (Bruxelles)"
"cb327201147","
Bulletin de l'Association des mutilés et anciens combattants de la Grande Guerre (Région de l'Est)"
"cb327202851","
Bulletin de l'Association fraternelle des mutilés, blessés, réformés & anciens combattants de l'arrondissement de Coutances"
"cb34392301z","
Bulletin de l'Union des mutilés, réformés et anciens combattants du département de l'Oise"
"cb327226639","
Bulletin de la Fédération des anciens combattants de l'enseignement public de France et des colonies"
"cb32723504r","
Bulletin de la Société amicale des anciens combattants et anciens du 4e R.A.C. et 204 R.A.C."
"cb327235053","
Bulletin de la Société amicale des anciens combattants et mobilisés aux armées de la préfecture de la Seine"
"cb34535440z","
Bulletin des mutilés de la guerre"
"cb32729562c","
Bulletin mensuel de l'Association amicale des anciens combattants du département du Puy-de-Dôme (guerre 1914-1918) "
"cb32731274t","
Bulletin noiséen (Le)"
