"ark","titre"
"cb326877150","
Almanach des bastimens, pour l'année ..."
"cb32688404r","
Almanach du commerce de Paris"
"cb326884200","
Almanach du commerce des villes de Lyon, de la Guillotière [...]"
"cb32686424w","
Almanach-Bottin du commerce de Paris [...]"
"cb32696195s","
Annuaire de l'industrie linière"
"cb32696396p","
Annuaire de la fabrique d'horlogerie de Besançon"
"cb32697422n","
Annuaire du commerce Didot-Bottin"
"cb32697416q","
Annuaire du commerce des bois et charbons de bois"
"cb32697418d","
Annuaire du commerce des soies"
"cb32698508m","
Annuaire parisien : contenant 10 000 adresses des fabricants, négociants"
"cb32695639f","
Annuaire-almanach du commerce, de l'industrie [...]"
"cb42659777h","
Bazar parisien, ou Annuaire raisonné de l'industrie des premiers artistes et fabricans de Paris"
"cb344205639","
Tableau des boulangers de Paris"
