"ark","titre"
"btv1b55005596q","A S"
"btv1b550056103","Ah  oh "
"cb32686008j","Allo  SaintMaixent"
"cb32699739p","Anticafard revue antiboche"
"cb326997417","Anticafard puis Poilus et MarieLouise"
"btv1b7300011d","Argonnaute"
"cb32702776h","Artilleur déchainé"
"cb344260025","Automobile aux armées"
"btv1b7300049v","Aux 100 000 articles"
"btv1b55005607t","Bâtonpilote"
"cb32711073h","Bellica"
"cb44415264x","Bille ne ment pas"
"btv1b55005602k","Biniou à poil"
"cb32712842p","Bistouri"
"cb32713276k","Bochofage"
"btv1b550005530","Bombe"
"cb327144871","Bombes et pétards"
"cb327157215","Boyau organe pour se boyauter"
"cb32715722h","Boyaux du 95e"
"cb327184781","Bulletin de guerre du personnel des usines Gillet"
"cb41950803f","Bulletin de la guerre"
"cb32735054m","Cafard enchaîné"
"cb32735055z","Cafard muselé"
"btv1b7300057d","Cahots de la roulante"
"btv1b7300136k","Canard de Ramscapelle"
"btv1b55000562z","Canard du Père Hilarion puis Canard des poilus"
"cb327369759","Canard du biffin"
"bpt6k111435v","Canard du boyau"
"btv1b7300009b","Canard technique sanitaire spécial"
"btv1b7300058t","Carillon du 3e Chasseurs"
"cb327404552","Chat pelottant"
"btv1b55000555w","Chéchia puis Le zouzou"
"cb327432646","Claque à fond"
"cb32743939x","Col bleu"
"cb44415603t","Colonne double"
"btv1b73000545","Courrier des sapes"
"cb34384155m","Crapouillot"
"btv1b73000597","Cri de Vaux"
"cb32752278v","Cri de guerre"
"cb32752277h","Cri de guerre"
"cb32752343g","Cri de ralliement des Gromort"
"cb32752416v","Cri des ravins"
"cb32752518t","Cri du poilu"
"btv1b550055975","Croissant"
"cb32754228s","De lairquot"
"cb32754250z","De la lumière "
"btv1b7300148s","Drapeau"
"cb44415585q","Echo de Mouscron"
"cb327611865","Echo de Tranchéesville"
"cb327603289","Echo de la classe 22"
"cb423372949","Echo de la guerre"
"cb444156223","Echo des  partis fen>"
"cb327613214","Echo des bleuets"
"btv1b7300143q","Echo des dunes"
"cb327615806","Echo des gourbis"
"btv1b73000901","Echo des marmites"
"cb44415606v","Echo des paniers"
"btv1b7300014n","Echo des tranchées"
"btv1b7300023m","Echo du 75"
"cb32762162d","Echo du GrandCouronné"
"cb32762165f","Echo du groupe cycliste"
"btv1b55000557s","Echo du ravin"
"cb42413457f","Echo polaire"
"cb32764089n","Eclaireur du Moulin vert"
"btv1b55000563d","Eclat"
"btv1b73001444","En attendant"
"cb32767066q","Enfant de Barbapoux"
"cb327700260","Etincelle"
"cb44253840k","Eux et nous dans les tranchées"
"cb32773937v"," Félix Potin ière"
"cb32775728t","Flambeau"
"cb32775703g","Flambeau"
"cb32775773n","Flambée"
"btv1b55000559p","Fourbi et gourbi"
"cb32778911c","Front"
"btv1b550056014","Fusée"
"cb32779235p","Fusillade crépitante et humoristique"
"cb32779406n","Gafouilleur organe des moulins à café puis Pompellerevue"
"cb327801103","Gazette Chifflot"
"cb32780668s","Gazette Deglane"
"cb32781243k","Gazette Godefroy Freynet"
